SOURCE_ID,DATE,PERMITTED_ACRES,COMPLETED_ACRES,PILE_VOLUME,BURN_NAME,ENTITY_REQUESTING,LAT_PERMIT,LON_PERMIT,BURN_STATUS
2022-41,NA,NA,0,601.87,LWT-39,USFS/Shoshone National Forest,43.5525,109.8661,Incomplete
2022-42,NA,NA,0,15708,Cook Lake,USFS,4435.407,10421.383,Incomplete
2022-43,2022-12-08,NA,NA,12566.369999999999,Sheridan Creek,USFS/Shoshone National Forest,43.63714,109.9323,Complete
2022-44,2022-02-03,NA,NA,58978.17,Tie Camp,USFS/Shoshone National Forest,43.52358,109.7599,Complete
2022-45,2022-12-09,NA,NA,3304.58,Union Pass Community,USFS/Shoshone National Forest,43.57111,109.8358,Complete
2022-46,2022-12-08,NA,NA,7068.58,Vista,USFS/Shoshone National Forest,43.71537,109.9762,Complete
2022-47,2022-02-22,NA,NA,15708,North Bearlodge,USFS,4444.712,10422.725,Complete
2022-48,2022-01-20,NA,NA,16755.16,Warm Springs CG,USFS/Shoshone National Forest,43.56761,109.8433,Complete
2022-49,2022-02-21,NA,NA,15708,Herman,USFS,4433.838,10429.208,Complete
2022-50,2022-01-24,NA,NA,226194.67,T-11,USFS/Shoshone National Forest,43.66411,109.9622,Complete
2022-51,2022-01-25,NA,NA,15708,Coil Tornado,USFS,4421.292,10409.33,Complete
2022-52,2022-02-01,NA,NA,NA,Fish Mountain Hand Piles,USFS,4418.532,10416.708,Complete
2022-53,NA,747,0,NA,Buttes,USFS,4418.532,10416.708,Incomplete
2022-54,NA,5875,0,NA,Moskee,USFS,4415.6,10406.79,Incomplete
2022-55,2022-05-20,NA,NA,54,Teton Basin Pile Burning,USDA Forest Service,43.67493,-110.99359,Complete
2022-56,2022-11-02,NA,NA,567000,Teton Canyon Pile Burn,USDA Forest Service,43.75496,-110.97176,Complete
2022-57,NA,1714,0,NA,Hill Creek Prescribed Fire,USDA Forest Service,43.69167,-111.00833,Incomplete
2022-58,2022-10-15,206,206,NA,Teton Canyon Broadcast RX Unit 1,USDA Forest Service,43.76247,-110.97017,Complete
2022-59,2022-10-18,316,316,NA,Teton Canyon Broadcast RX Unit 2,USDA Forest Service,43.76247,-110.97017,Complete
2022-60,NA,NA,0,100000,Chief Joseph,USFS,44.47,1092544.76,Incomplete
2022-61,NA,NA,0,200000,Meeteetse,USFS,44.01,109542.31,Incomplete
2022-62,NA,NA,0,100000,North Fork,USFS,442746.03,1094113.24,Incomplete
2022-63,NA,NA,0,100000,South Fork,USFS,441012.16,109366.23,Incomplete
2022-64,NA,1684,0,NA,Timber Creek,USFS,44249.23,1091045.94,Incomplete
2022-65,NA,277,0,NA,Sugarloaf,USFS,445014.1,1092948.13,Incomplete
2022-66,NA,2306,0,NA,Cottonwood,USFS,435254.7,10914.21,Incomplete
2022-67,NA,660,0,NA,Bald Ridge,USFS,445513.63,1094346.41,Incomplete
2022-68,NA,1913,0,NA,Upper Clarks Fork,USFS,445513.63,1094346.41,Incomplete
2022-69,NA,2156,0,NA,Wood River,USFS,435551.74,1091054.39,Incomplete
2022-70,2022-04-15,4236,4236,NA,Sunlight,USFS,44459.8,109313.58,Complete
2022-71,NA,NA,0,NA,"Camp Comfort, Unit 18, 19, 20",USFS,44.315,-106.883,Incomplete
2022-72,2022-01-26,NA,NA,71500,Dullknife,USFS,44.04,-107.043,Complete
2022-73,NA,NA,0,NA,"Grommund Creek, Unit 5",USFS,44.278,-106.867,Incomplete
2022-74,2022-02-15,NA,NA,NA,"2021 WUI Unit 19, Hunter Cabins",USFS,44.317,-106.962,Complete
2022-75,2022-11-30,NA,NA,NA,MBRTB Programmatic Pile Burn,USFS,41.07417,106.13111,Complete
2022-76,2022-12-07,NA,NA,1636246.1700000002,MBRTB Programmatic Pile Burn - Brush Creek/Hayden RD,USDA USFS,41.23571,107.08268,Complete
2022-77,2022-11-17,NA,NA,7747,West Slope Big Horns/Sand Draw,Bureau of Land Management Wind River/Bighorn Basin District,44.05075,107.34442,Complete
2022-78,NA,NA,0,5000,Telephone Canyon,NA,41.26579,-106.47699,Incomplete
2022-79,NA,NA,0,NA,Cedar Knoll,USDA Forest Service,4408.442,-10429.607,Incomplete
2022-80,NA,NA,0,NA,Devils Pass,USDA Forest Service,4222.11,-10539.992,Incomplete
2022-81,NA,NA,0,NA,Clay Spur Llama Unit,USDA Forest Service,4401.717,-10428.15,Incomplete
2022-82,NA,NA,0,NA,Wildcat Unit 13,USDA Forest Service,4222.11,-10539.992,Incomplete
2022-83,NA,NA,0,1720.02,East Double Eight Timber Sale Slash Piles,Bureau of Land Management,4131.645,-10621.76,Incomplete
2022-84,NA,NA,0,6018.73,Seminoe WUI Morgan Creek Slash Piles Rx,Bureau of Land Management,4210.607,-10657.687,Incomplete
2022-85,NA,4990,0,NA,Upper Pastures,Wind River Bighorn Basin District BLM,43.81495,108.90347,Incomplete
2022-86,NA,3935,0,NA,Noon Point,Wind River Bighorn Basin District BLM,43.9415,109.05,Incomplete
2022-87,NA,300,0,NA,Medicine Lodge,Wind River Bighorn Basin District BLM,44.38969,107.47117,Incomplete
2022-89,2022-05-06,200,200,NA,Hooligan Springs,Wind River Bighorn Basin District BLM,44.18022,107.37267,Complete
2022-90,2022-11-15,NA,NA,7747,Markham Draw,Wind River Bighorn Basin District BLM,44.17192,107.34947,Complete
2022-91,2022-01-21,NA,NA,136500,Beaver Creek Piles,Wind River/Bighorn Basin District,-44.70639,107.73472,Complete
2022-92,2022-02-01,NA,NA,NA,RFO Campgrounds Slash Pile Burns - Encampment River Campground Unit,Bureau of Land Management,41.109,-10647.641,Complete
2022-93,NA,NA,0,85465.95999999999,RFO Campgrounds Slash Pile Burns - Pryor Flats Campground Unit,Bureau of Land Management,4114.512,-10635.74,Incomplete
2022-94,2022-01-10,NA,NA,NA,Oak Patch TSI PIle,WSFD,NA,NA,Complete
2022-95,2022-01-25,NA,NA,129925,South Corral Creek Slash Piles,Bureau of Land Management,4115.123,-10632.412,Complete
2022-96,NA,NA,0,60328,Cow Camp Timber Sale,Bureau of Land Management,417.762,-10649.344,Incomplete
2022-97,2022-05-17,1000,1000,NA,Pole Mtn. Vegetation Project,USDA US Forest Service,41.25138,105.35526,Complete
2022-98,2022-03-26,3000,3000,NA,Devils Canyon Prescribed Fire,Wind River/Bighorn Basin District BLM,-44.88556,-44.88556,Complete
2022-99,NA,NA,0,680,Patton Creek Slash Piles,Camp Guernsey Fire Department,42.44982,-104.75207,Incomplete
2023 -180,NA,NA,0,15000,Cook Lake,Forest Service,44.59694,-104.39164,Incomplete
2023-176,NA,NA,0,293,Pine Ridge Pile Burn,WSFD,44.2822,-104.727,Incomplete
2023-177,2023-01-04,NA,NA,NA,Wildcat,USFS,4222.11,-10539.922,Complete
2023-178,2023-01-30,NA,NA,NA,Clay Spur,USFS,4401.717,-10428.15,Complete
2023-179,2023-02-02,NA,NA,15000,North Bearlodge,Forest Service,44.75286,-104.3824,Complete
2023-181,2023-01-31,NA,NA,15000,Coil,Forest Service,44.36292,-104.14865,Complete
2023-182,2023-01-04,NA,NA,500,Fish,Forest Service,44.30501,-104.24312,Complete
2023-183,2023-04-11,NA,NA,15000,Addition Country,Forest Service,44.46586,-104.52583,Complete
2023-184,2023-03-10,NA,NA,15000,Stateline,Forest Service,44.4281,-104.07653,Complete
2023-185,NA,NA,0,122000,Stateline Piles 2022,BLM Newcastle,1044.157,43.53082,Incomplete
2023-186,NA,1000,0,NA,Philp Prescribed Burn - 2023,Bureau of Land Management,43.457,-107.867,Incomplete
2023-187,NA,600,0,NA,Hadsell Prescribed Burn - 2023,Bureau of Land Management,42.327,-107.729,Incomplete
2023-188,NA,100,0,NA,Ocean Lake Prescribed Burn - 2023,Bureau of Land Management,43.199,-108.55,Incomplete
2023-189,NA,NA,0,256585,Green Mountain Piles - Willow Creek,Bureau of Land Management,42.343,-107.606,Incomplete
2023-190,NA,NA,0,42764,Green Mountain Piles - Jost Creek,Bureau of Land Management,42.331,-107.707,Incomplete
2023-191,2023-02-01,NA,NA,1710,Miner's Delight Piles,Bureau of Land Management,42.533,-108.68,Complete
2023-192,NA,NA,0,102634,Long Creek/Tin Cup Piles - 2023,Bureau of Land Management,42.637,-107.958,Incomplete
2023-193,2023-01-05,NA,NA,NA,"Camp Comfort Unit 18, 19, 20",USFS,44.315,-106.88333,Complete
2023-194,2023-01-18,NA,NA,NA,"Grommund Creek, Unit 5",USFS,44.27833,-106.86666,Complete
2023-195,NA,NA,0,300000,Snowy Range,Medicine Bow National Forest,41.29013,-106.27154,Incomplete
2023-196,NA,NA,0,300000,Sierra Madre Range,Medicine Bow National Forest,41.5471,-106.9808,Incomplete
2023-197,NA,NA,0,5400,Pole Mountain,Medicine Bow National Forest,41.23816,-105.39274,Incomplete
2023-199,NA,NA,0,NA,Dull Knife Mahogany,BLM,44.7457,106.85764,Incomplete
2023-200,NA,NA,0,NA,EK Mountain,BLM,43.79813,-106.8359,Incomplete
2023-201,NA,NA,0,NA,Sawmill Creek,BLM,43.88847,-106,Incomplete
2023-202,2023-01-18,NA,NA,NA,Billy Creek Public Pile,BLM,44.11661,-106.87217,Complete
2023-203,2023-01-11,NA,NA,NA,Billy Creek TSI,BLM,44.11661,-106.83179,Complete
2023-204,NA,NA,0,NA,Weston Hills,BLM,44.62399,-105.38312,Incomplete
2023-205,NA,250,0,NA,Noon Point,BLM,43.9415,-109.04997,Incomplete
2023-206,NA,250,0,NA,Medicine Lodge,BLM,44.35,-107.51667,Incomplete
2023-207,NA,100,0,NA,Hooligan Springs,BLM,44.18022,-107.37267,Incomplete
2023-208,NA,NA,0,7747,Markham Draw,BLM,44.17192,-107.34947,Incomplete
2023-209,NA,NA,0,7747,Sand Draw,BLM,44.05075,-107,Incomplete
2023-210,NA,NA,0,6000,Rattlesnake Butte,BLM,44.11054,-107.885,Incomplete
2023-211,NA,NA,0,2192932.42,Boulder Ridge Slash Pile Rx burn,Bureau of Land Management,4059.906,-10538.762,Incomplete
2023-212,2023-01-16,NA,NA,198803,Lawler Croell,Spearfish Forest Products,44.41969,-104.64694,Complete
2023-213,2023-01-10,NA,NA,NA,Foot Creek Units 1 & 2,USFS,44.32815,-106.91285,Complete
2023-214,2023-01-13,NA,NA,4998.929999999999,Pinedale Field Office Programmatic Piles (FY23),Pinedale Field Office BLM,42.3535,-110.39447,Complete
2023-215,2023-01-05,NA,NA,5734000,Quill Landing Piles,U.S.D.A./ Forest Service,44.8259,-107.843,Complete
2023-216,2023-01-19,NA,NA,160000,NZSHF- Meeteetse (Piles),USFS- Shoshone National Forest,43.97984,-109.1169,Complete
2023-217,2023-03-13,NA,NA,50893.8,"Pine Creek 14, 20,25, 36, 27",USFS,42.49313,-108.944922,Complete
2023-218,NA,NA,0,25658.5,Loop Road 28,USFS,42.52736,-108.77657,Incomplete
2023-219,NA,NA,0,1696.46,Loop Road 84,USFS,42.55727,-108.7666,Incomplete
2023-220,NA,NA,0,1570.8,Pass Creek,USFS,42.61099,-108.75575,Incomplete
2023-221,NA,NA,0,3141.59,Diamond 4/Dickinson Park,USFS,42.85722,-109.05101,Incomplete
2023-222,NA,NA,0,122000,Jackpot Piles,BLM Newcastle,44.29282,-104.48538,Incomplete
2023-223,NA,NA,0,154955,Eagle Ridge,Bureau of Land Management,42.6977,-106.429,Incomplete
2023-224,2023-02-01,NA,NA,160000,RSFO Iron Mountain Fuels Treatments Pile Rx,BLM WY HDD,41.00896,-109.46059,Complete
2023-225,2023-01-13,NA,NA,1072,Patten Creek Slash Piles,Camp Guernsey Fire Department,42.44933,-104.74501,Complete
2023-226,2023-04-29,4236,4236,NA,Sunlight RX,USFS,44.73966,-109.52374,Complete
2023-227,NA,1417,0,NA,Little Hornet / Packsaddle,NA,42.418,-110.559,Incomplete
2023-228,NA,68,0,NA,Hams Fork - Nugent (Unit 2),USFS - BTNF,42.176,-110.805,Incomplete
2023-229,NA,27,0,NA,Hams Fork - Basin RX (Unit 5),USFS - BTNF,42.259,-110.767,Incomplete
2023-230,NA,200,0,NA,Hams Fork - Unit 6 and Unit 8,USFS - BTNF,42.303,-110.751,Incomplete
2023-231,NA,947,0,NA,Star valley Front - Strawberry Rx (Unit 9),USFS -BTNF,42.881,-110.807,Incomplete
2023-232,NA,3483,0,NA,Star Valley Front - Unit 2A,NA,42.759,-110.904,Incomplete
2023-233,NA,5000,0,NA,Star Valley Front - Unit 2,NA,42.759,-110.904,Incomplete
2023-234,2023-01-24,NA,NA,88357,Rodger Croell,Spearfish Forest Products,44.3882,-104.5858,Complete
2023-235,NA,NA,0,NA,Boulder Ridge Pile BUrn,Wyoming State Forestry,2,2,Incomplete
2023-236,NA,NA,0,122000,Stateline IGO,BLM Newcastle,43.83554,-104.06485,Incomplete
2023-237,2023-01-19,NA,NA,2000,Bates Creek Juniper Slash Pile Burn,WY State Forestry Division,42.641,-106.392,Complete
2023-238,NA,NA,0,NA,Billie Jean Sale Piles,USFS,44.15099,-106.9241,Incomplete
2023-239,NA,NA,0,NA,Caribou Sale,USFS,44.21228,-106.90199,Incomplete
2023-240,NA,NA,0,NA,Snyder Sale,USFS,44.22968,-106.98332,Incomplete
2023-241,NA,2965,0,NA,Wood River RX,USFS- Shoshone NF,43.9168,-109.1113,Incomplete
2023-242,NA,NA,0,NA,Boulder Ridge Pile BUrn,Wyoming State Forestry,1,1,Incomplete
2023-243,NA,65,0,NA,Yellowtail,BLM,44.87154,-108.29557,Incomplete
2023-244,2023-01-24,NA,NA,3460,Mill Creek Slash Pile Burn,WY State Forestry Division,42.40792,-105.43929,Complete
2023-245,NA,NA,0,175000,Goldie Divide,BLM Newcastle,44.81897,-104.75684,Incomplete
2023-246,NA,NA,0,140000,Newcastle Fire Defense Zone,BLM Newcastle,43.8766,-104.22882,Incomplete
2023-247,2023-01-31,NA,NA,3927,McDonald,Spearfish Forest Products,44.72598,-104.32087,Complete
2023-248,2023-02-01,NA,NA,9425,Lincoln,Spearfish Forest Products,44.19724,-104.40475,Complete
2023-249,NA,NA,0,NA,Boulder Ridge slash pile burn,Wyoming state forestry division,1,1,Incomplete
2023-250,2023-04-17,1684,1684,NA,Timber Creek,Shoshone National Forest,44.04091,-109.18326,Complete
2023-251,NA,2722,0,NA,Cottonwood/Gooseberry RX,Shoshone National Forest,43.8997,-109.0463,Incomplete
2023-252,NA,660,0,NA,Bald Ridge II,Shoshone Nat. Forest,44.7448,-109.3765,Incomplete
2023-253,NA,NA,0,122000,Skull Creek,BLM Newcastle,44.13729,-104,Incomplete
2023-254,NA,NA,0,70000,Upper Twin Creek,Wyoming State Forestry Division,42.57434,-108.66383,Incomplete
2023-255,NA,NA,0,5655,Davidson,Spearfish Forest Products,44.78219,-104.63745,Incomplete
2023-256,NA,NA,0,47000,Pine Creek,Wyoming State Forestry Division,42.48508,-108.904,Incomplete
2023-257,NA,NA,0,47000,Pine Creek,Wyoming State Forestry Division,42.48508,-108.904,Incomplete
2023-258,2023-04-29,138,138,NA,Elk Creek,Shoshone National Forest,44.73722,-109.4561,Complete
2023-259,2023-02-10,NA,NA,4500,Gray Rocks TSI Slash Pile Burn,WY State Forestry Division,42.41846,-105.44004,Complete
2023-260,NA,NA,0,167551,CLC,Spearfish Forest Products,44.43088,-104.50949,Incomplete
2023-262,NA,NA,0,19500,Teton Canyon Piles,USFS,43.75927,-110.98333,Incomplete
