SOURCE_ID,DATE,PERMITTED_ACRES,COMPLETED_ACRES,PILE_VOLUME,BURN_NAME,BURNTYPE_REPORTED,ENTITY_REQUESTING,LAT_PERMIT,LON_PERMIT,LEGAL_DESCRIP,BURN_STATUS
155,2010-01-01,200,0,NA,Mailbox,Broadcast,"BLM, Gunnison Field Office",NA,NA,46N 14W 9,Incomplete
225,2010-01-01,400,0,412,Powderhorn,Broadcast,"BLM, Gunnison Field Office",NA,NA,46N 2W 16,Complete
233,2010-01-01,776,0,245,Dry Park,Broadcast,"BLM, Gunnison Field Office",NA,NA,46n 13w 7,Complete
238,2010-01-01,260,0,NA,Flanders,Broadcast,"BLM, Gunnison Field Office",NA,NA,49N 16W 29,Incomplete
370,2010-01-01,NA,471,0,Blue Mesa Piles,Pile,"BLM, Gunnison Field Office",NA,NA,47N 4W 24,Complete
22,2010-01-01,65,0,NA,Poverty Mountain Broadcast,Broadcast,"BLM, Royal Gorge Field Office, Canon City",NA,NA,19S 72W 18,Incomplete
54,2010-01-01,NA,157,0,Arkansas Mountain Fuel Break Piles,Pile,"BLM, Royal Gorge Field Office, Canon City",38.43,-105.7,48N 11E 1,Complete
55,2010-01-01,NA,157,0,Sand Gulch,Pile,"BLM, Royal Gorge Field Office, Canon City",NA,NA,49N 11E 19,Complete
56,2010-01-01,NA,126,0,Turkey Gulch Piles,Pile,"BLM, Royal Gorge Field Office, Canon City",NA,NA,20S 73W 9,Complete
115,2010-01-01,450,0,224,Booger Red,Broadcast,"BLM, Royal Gorge Field Office, Canon City",NA,NA,15S 70W 30,Complete
128,2010-01-01,450,0,NA,Rice Gulch,Broadcast,"BLM, Royal Gorge Field Office, Canon City",NA,NA,16S 71W 28,Incomplete
129,2010-01-01,250,0,NA,Lakemoor West Broadcast,Broadcast,"BLM, Royal Gorge Field Office, Canon City",NA,NA,15S 71W 13,Incomplete
130,2010-01-01,25,0,10,Blue Heron,Broadcast,"BLM, Royal Gorge Field Office, Canon City",NA,NA,19S 69W 13,Complete
182,2010-01-01,NA,200,0,Kerr Gulch,Pile,"BLM, Royal Gorge Field Office, Canon City",38.4,-105.74,48N 11E 18,Complete
214,2010-01-01,NA,131,0,Rosita,Pile,"BLM, Royal Gorge Field Office, Canon City",NA,NA,22S 71W 19,Complete
332,2010-01-01,175,0,NA,Sand Gulch,Broadcast,"BLM, Royal Gorge Field Office, Canon City",NA,NA,49N 11E 16,Incomplete
333,2010-01-01,NA,86,0,High Park Piles,Pile,"BLM, Royal Gorge Field Office, Canon City",NA,NA,16S 71W 3,Complete
349,2010-01-01,NA,4687,0,Stony Face,Pile,"BLM, Royal Gorge Field Office, Canon City",NA,NA,51N 11E 33,Complete
286,2010-01-01,1114,0,140,Hat Springs Broadcast Rx,Broadcast,"BLM, Saguache Field Office",NA,NA,44N 5E 6,Complete
324,2010-01-01,1578,0,925,Noland Gulch,Broadcast,"BLM, Saguache Field Office",38.2,-105.98,46N 9E 21,Complete
262,2010-01-01,NA,191,0,Forest Lakes Piles,Pile,"BLM, San Juan Field Office",NA,NA,35N 7W 3,Complete
280,2010-01-01,1000,0,225,Dolores Rim,Broadcast,"BLM, San Juan Field Office",37.76,-108.77,NA,Complete
282,2010-01-01,334,0,NA,Mesa Pedregosa,Broadcast,"BLM, San Juan Field Office",37.04,-106.88,NA,Incomplete
385,2010-01-01,NA,393,0,Disappointment Tamarisk Piles,Pile,"BLM, San Juan Field Office",38,-108.49,NA,Complete
125,2010-01-01,566,0,NA,Badger Flats,Broadcast,"BLM, White River Field Office",NA,NA,5N 100W 2,Incomplete
212,2010-01-01,1300,0,NA,Segar Mtn. Rx,Broadcast,"BLM, White River Field Office",NA,NA,1S 95W 27,Incomplete
279,2010-01-01,NA,236,0,Freezewall Piles,Pile,"BLM, White River Field Office",NA,NA,2S 99W 1,Complete
189,2010-01-01,25000,0,8517,Fort Carson - PCMS,Broadcast,"DOD, Fort Carson Army",NA,NA,30S 59W 1,Complete
190,2010-01-01,10000,0,869,Fort Carson - South,Broadcast,"DOD, Fort Carson Army",NA,NA,18S 67W 16,Complete
191,2010-01-01,10000,0,NA,Fort Carson - Middle,Broadcast,"DOD, Fort Carson Army",NA,NA,17S 66W 12,Incomplete
192,2010-01-01,5000,0,288,Fort Carson - North,Broadcast,"DOD, Fort Carson Army",NA,NA,15S 66W 22,Complete
246,2010-01-01,23,0,NA,Van Fleet Orchid research meadow,Broadcast,"LOCAL, City of Boulder",NA,NA,1S 70W 10,Incomplete
106,2010-01-01,NA,42,0,Witter - Boulder Mountain Fire PD,Pile,"LOCAL, Boulder Mountain Fire",NA,NA,1N 71W 9,Complete
167,2010-01-01,NA,335,0,Reynolds Ranch,Pile,"LOCAL, Boulder County Open Space",NA,NA,1S 72W 19,Complete
168,2010-01-01,NA,201,0,Heil PA 7 Unit 1 & PA10 U1,Pile,"LOCAL, Boulder County Open Space",NA,NA,3N 71W 36,Complete
259,2010-01-01,22,0,NA,Heil Geer Meadows RX,Broadcast,"LOCAL, Boulder County Open Space",NA,NA,1N 71W 28,Incomplete
326,2010-01-01,NA,592,0,Heil Log Decks,Pile,"LOCAL, Boulder County Open Space",40.84,-105.19,2N 71W 12,Complete
329,2010-01-01,66,0,NA,Hall PA7 Unit 4,Broadcast,"LOCAL, Boulder County Open Space",NA,NA,3N 71W 15,Incomplete
107,2010-01-01,NA,54,0,Bobcat Ridge Piles,Pile,"LOCAL, City of Fort Collins",NA,NA,6N 70W 21,Complete
199,2010-01-01,60,0,52.7,Bobcat Ridge Natural Area,Broadcast,"LOCAL, City of Fort Collins",NA,NA,6N 70W 16,Complete
264,2010-01-01,22,0,0.15,Butterfly Woods,Broadcast,"LOCAL, City of Fort Collins",40.61,-105.13,8N 69W 33,Complete
327,2010-01-01,47,0,NA,Running Deer Rx,Broadcast,"LOCAL, City of Fort Collins",NA,NA,7N 68W 21,Incomplete
330,2010-01-01,300,0,250,Soapstone Prairie Mountain Plover Rx,Broadcast,"LOCAL, City of Fort Collins",NA,NA,11N 68W 5,Complete
388,2010-01-01,NA,NA,NA,Grand County Delegation Annual Summary,NA,"LOCAL, Grand County Delegation",NA,NA,NA,Incomplete
322,2010-01-01,NA,7069,0,Las Colonias,Pile,"LOCAL, Grand Junction Fire Department",39.03,-108.33,NA,Complete
65,2010-01-01,NA,1414,0,Lake of the Pines,Pile,"LOCAL, Lefthand Fire Dept",40.13,-105.28,NA,Complete
67,2010-01-01,NA,85,0,Mountain Ridge,Pile,"LOCAL, Lefthand Fire Dept",NA,NA,2N 71W 1,Complete
39,2010-01-01,NA,38,0,Carter Lake,Pile,"LOCAL, Larimer County",NA,NA,4N 70W 4,Complete
40,2010-01-01,NA,38,0,Horsetooth,Pile,"LOCAL, Larimer County",NA,NA,7N 70W 25,Complete
41,2010-01-01,125,0,NA,Indian Creek Phase 2,Broadcast,"LOCAL, Larimer County",NA,NA,6N 69W 30,Incomplete
166,2010-01-01,NA,39,0,Platte Canyon Piles (Deer Creek),Pile,"LOCAL, Platte Canyon Fire Department",NA,NA,6S 72W 28,Complete
44,2010-01-01,NA,39,0,Flagstaff,Pile,"LOCAL, Rocky Mountain Fire",NA,NA,1S 71W 8,Complete
312,2010-01-01,75,0,11,Fetters Ranch,Broadcast,"Local, South Metro Fire Department",NA,NA,5S 66W 32,Complete
177,2010-01-01,150,0,NA,"Green Mountain Units 2,3,4,5",Broadcast,"LOCAL, West Metro Fire Department",NA,NA,4S 70W 24,Incomplete
180,2010-01-01,54,0,NA,Ken Caryl - North Hogback North,Broadcast,"LOCAL, West Metro Fire Department",NA,NA,5S 69W 30,Incomplete
298,2010-01-01,350,0,137,Bear Creek Rx 2010,Broadcast,"LOCAL, West Metro Fire Department",39.38,-105.1,4S 69W 34,Complete
64,2010-01-01,NA,275,0,Oak Meadows,Pile,"MULTI, multiple agencies",NA,NA,7S 89W 15,Complete
144,2010-01-01,915,0,340,Blacktail,Broadcast,"MULTI, multiple agencies",NA,NA,4N 84W 30,Complete
156,2010-01-01,485,0,260,Chaffee,Broadcast,"MULTI, multiple agencies",NA,NA,47N 8W 34,Complete
193,2010-01-01,18,0,0.3,Bulrush Wetlands Park (Yardley Wetlands),Broadcast,"MULTI, multiple agencies",NA,NA,1N 68W 5,Complete
197,2010-01-01,2400,0,1292,Reservoir Gulch RX,Broadcast,"MULTI, multiple agencies",NA,NA,8S 92W 9,Complete
69,2010-01-01,160,0,NA,Green Grizzly,Broadcast,"NPS, Black Canyon National Park",NA,NA,50N 7W 8,Incomplete
100,2010-01-01,NA,5027,0,BCP Maintenance Brush Piles,Pile,"NPS, Black Canyon National Park",NA,NA,49N 7W 5,Complete
302,2010-01-01,NA,65,0,Green Grizzly Piles,Pile,"NPS, Black Canyon National Park",NA,NA,50N 7W 18,Complete
104,2010-01-01,160,0,2,Red Canyon,Broadcast,"NPS, Colorado National Monument",NA,NA,12S 101W 10,Complete
303,2010-01-01,NA,65,0,East Side Piles,Pile,"NPS, Colorado National Monument",NA,NA,12S 101W 11,Complete
200,2010-01-01,NA,275,0,Florissant Piles,Pile,"NPS, Florissant Fossil Beds National Monument",40.39,-105.58,NA,Complete
243,2010-01-01,NA,151,0,SE Florissant Boundary Piles,Pile,"NPS, Florissant Fossil Beds National Monument",NA,NA,13S 70W 30,Complete
294,2010-01-01,500,0,NA,Liberty RX,Broadcast,"NPS, Great Sand Dunes National Park",37.5,-105.37,NA,Incomplete
126,2010-01-01,NA,3700,0,Chapin Pile Rx,Pile,"NPS, Mesa Verde National Park",NA,NA,34N 15W 16,Complete
139,2010-01-01,NA,29500,0,Betty Dicks Slash Disposal Burn,Pile,"NPS, Rocky Mountain National Park",NA,NA,4N 76W 12,Complete
165,2010-01-01,NA,275,0,Grand Lake Boundary Piles,Pile,"NPS, Rocky Mountain National Park",40.26,-105.84,NA,Complete
171,2010-01-01,NA,275,0,Deer Mountain Piles,Pile,"NPS, Rocky Mountain National Park",40.39,-105.48,NA,Complete
194,2010-01-01,NA,14621,0,Pontiac Pit,Pile,"NPS, Rocky Mountain National Park",40.33,-105.85,NA,Complete
226,2010-01-01,100,0,2,Horseshoe,Broadcast,"NPS, Rocky Mountain National Park",NA,NA,5N 73W 17,Complete
247,2010-01-01,NA,396,0,Leiffer Cabin,Pile,"NPS, Rocky Mountain National Park",40.27,-105.54,NA,Complete
278,2010-01-01,500,0,21,South Lateral Moraine,Broadcast,"NPS, Rocky Mountain National Park",NA,NA,4N 73W 5,Complete
287,2010-01-01,200,0,NA,North Lateral Moraine,Broadcast,"NPS, Rocky Mountain National Park",40.21,-105.35,NA,Incomplete
3,2010-01-01,NA,15301,0,Private Piles,Pile,"PVT, Privately-owned land",37.57,-105.3,NA,Complete
4,2010-01-01,NA,20000,0,Private Piles,Pile,"PVT, Privately-owned land",37.52,-105.4,NA,Complete
29,2010-01-01,NA,10268,0,Private Piles,Pile,"PVT, Privately-owned land",NA,NA,2N 83W 6,Complete
42,2010-01-01,NA,933,0,Private Piles,Pile,"PVT, Privately-owned land",NA,NA,3N 84W 16,Complete
43,2010-01-01,NA,11200,0,Private Piles,Pile,"PVT, Privately-owned land",NA,NA,6S 78W 24,Complete
58,2010-01-01,2000,0,NA,Private Broadcast,Broadcast,"PVT, Privately-owned land",37.53,-105.37,NA,Incomplete
59,2010-01-01,1700,0,NA,Private Broadcast,Broadcast,"PVT, Privately-owned land",37.49,-105.48,NA,Incomplete
66,2010-01-01,NA,63,0,Private Piles,Pile,"PVT, Privately-owned land",NA,NA,2N 72W 22,Complete
68,2010-01-01,NA,19635,0,Private Piles,Pile,"PVT, Privately-owned land",NA,NA,2N 83W 6,Complete
94,2010-01-01,NA,85,0,Private Piles,Pile,"PVT, Privately-owned land",NA,NA,2N 71W 19,Complete
95,2010-01-01,NA,545,0,Private Piles,Pile,"PVT, Privately-owned land",NA,NA,3S 79W 11,Complete
101,2010-01-01,NA,8459,0,Private Piles,Pile,"PVT, Privately-owned land",NA,NA,1S 81W 15,Complete
105,2010-01-01,880,0,NA,Banded Peaks Ranch Broadcast,Broadcast,"PVT, Privately-owned land",37.49,-106.69,NA,Incomplete
118,2010-01-01,NA,141000,0,Private Piles,Pile,"PVT, Privately-owned land",NA,NA,2S 80W 17,Complete
119,2010-01-01,NA,5301,0,Private Piles,Pile,"PVT, Privately-owned land",NA,NA,3N 85W 12,Complete
124,2010-01-01,NA,628,0,Private Piles,Pile,"PVT, Privately-owned land",37.05,-106.69,NA,Complete
147,2010-01-01,NA,2356,0,Private Piles,Pile,"PVT, Privately-owned land",NA,NA,3N 84W 23,Complete
151,2010-01-01,NA,5300,0,Private Piles,Pile,"PVT, Privately-owned land",NA,NA,6S 77W 29,Complete
169,2010-01-01,725,0,129,Phantom Canyon Preseve: East Side,Broadcast,"PVT, Privately-owned land",NA,NA,11N 71W 1,Complete
188,2010-01-01,NA,39270,0,Private Piles,Pile,"PVT, Privately-owned land",NA,NA,4S 78W 23,Complete
196,2010-01-01,NA,70686,0,Private Piles,Pile,"PVT, Privately-owned land",NA,NA,1N 81W 1,Complete
215,2010-01-01,NA,2500,0,Private Piles,Pile,"PVT, Privately-owned land",NA,NA,3N 84W 10,Complete
216,2010-01-01,NA,2500,0,Private Piles,Pile,"PVT, Privately-owned land",NA,NA,5N 84W 10,Complete
219,2010-01-01,250,0,NA,WWV,Broadcast,"PVT, Privately-owned land",NA,NA,8N 68W 7,Incomplete
220,2010-01-01,NA,7000,0,Private Piles,Pile,"PVT, Privately-owned land",40.47,-106.85,NA,Complete
221,2010-01-01,73,0,NA,Bar NI Unit 3,Broadcast,"PVT, Privately-owned land",37.19,-105.04,NA,Incomplete
234,2010-01-01,NA,1414,0,Private Piles,Pile,"PVT, Privately-owned land",40.42,-106.85,NA,Complete
251,2010-01-01,NA,1800,0,Private Piles,Pile,"PVT, Privately-owned land",NA,NA,2N 83W 17,Complete
271,2010-01-01,1000,0,240,Blue Valley Ranch Broadcast,Broadcast,"PVT, Privately-owned land",39.99,-106.38,1S 80W 16,Complete
284,2010-01-01,NA,2300,0,Private Piles,Pile,"PVT, Privately-owned land",NA,NA,2S 75W 9,Complete
285,2010-01-01,NA,1325,0,Private Piles,Pile,"PVT, Privately-owned land",39.59,-105.93,NA,Complete
293,2010-01-01,NA,8796,0,Private Piles,Pile,"PVT, Privately-owned land",NA,NA,2N 83W 6,Complete
295,2010-01-01,NA,3770,0,Private Piles,Pile,"PVT, Privately-owned land",NA,NA,6S 77W 19,Complete
296,2010-01-01,NA,314,0,Private Piles,Pile,"PVT, Privately-owned land",NA,NA,5S 76W 2,Complete
304,2010-01-01,NA,31416,0,Private Piles,Pile,"PVT, Privately-owned land",NA,NA,1N 2W 18,Complete
305,2010-01-01,NA,2026,0,Private Piles,Pile,"PVT, Privately-owned land",40.14,-106.47,NA,Complete
328,2010-01-01,NA,120,0,Private Piles,Pile,"PVT, Privately-owned land",NA,NA,6S 78W 30,Complete
335,2010-01-01,NA,3299,0,Private Piles,Pile,"PVT, Privately-owned land",NA,NA,13S 86W 25,Complete
341,2010-01-01,NA,100,0,Private Piles,Pile,"PVT, Privately-owned land",39.16,-106.86,NA,Complete
342,2010-01-01,NA,235,0,Private Piles,Pile,"PVT, Privately-owned land",39.18,-106.85,NA,Complete
365,2010-01-01,NA,4000,0,Private Piles,Pile,"PVT, Privately-owned land",NA,NA,3N 84W 6,Complete
366,2010-01-01,NA,5300,0,Private Piles,Pile,"PVT, Privately-owned land",40.51,-107.11,NA,Complete
369,2010-01-01,NA,75000,0,Private Piles,Pile,"PVT, Privately-owned land",40.81,-105.65,NA,Complete
371,2010-01-01,600,0,NA,Private Piles,Broadcast,"PVT, Privately-owned land",NA,NA,33S 51W 21,Incomplete
373,2010-01-01,NA,4404,0,Private Piles,Pile,"PVT, Privately-owned land",40.32,-106.47,NA,Complete
377,2010-01-01,NA,7068,0,Private Piles,Pile,"PVT, Privately-owned land",39.73,-106.11,NA,Complete
378,2010-01-01,NA,300,0,Private Piles,Pile,"PVT, Privately-owned land",39.58,-104.43,NA,Complete
379,2010-01-01,NA,NA,0,Private Piles,Pile,"PVT, Privately-owned land",NA,NA,6N 84W 4,Incomplete
381,2010-01-01,NA,196,0,Private Piles,Pile,"PVT, Privately-owned land",NA,NA,2S 80W 36,Complete
384,2010-01-01,NA,1178,0,Private Piles,Pile,"PVT, Privately-owned land",NA,NA,2N 83W 17,Complete
276,2010-01-01,50,0,0.25,Hudson Rx,Broadcast,"STATE, Alamosa District Office",37.17,-106.29,34N 6E 15,Complete
289,2010-01-01,NA,2500,0,Ptarmigan Meadows Piles,Pile,"STATE, Alamosa District Office",NA,NA,41N 3W 13,Complete
325,2010-01-01,NA,3140,0,Forbes Park LOA Piles Unit B,Pile,"STATE, Alamosa District Office",37.26,-105.1,NA,Complete
372,2010-01-01,NA,59,0,Powder House ALS,Pile,"STATE, Alamosa District Office",NA,NA,39N 3E 4,Complete
16,2010-01-01,NA,115,0,Upper Sunshine/Lickskillet (Gold Hill),Pile,"STATE, Boulder District Office",NA,NA,1N 71W 7,Complete
112,2010-01-01,NA,85,0,Gross Roservoir,Pile,"STATE, Boulder District Office",NA,NA,1S 71W 20,Complete
70,2010-01-01,NA,1254,0,Table Mountain Pile Burns,Pile,"STATE, Canon City District Office",NA,NA,17S 68W 24,Complete
83,2010-01-01,NA,157,0,Upper Badger Creek Pile Burn,Pile,"STATE, Canon City District Office",NA,NA,51N 10E 14,Complete
269,2010-01-01,27,0,NA,Tarryall Reservoir SWA,Broadcast,"STATE, Denver Area Office,  NE Region",NA,NA,9S 74W 25,Incomplete
270,2010-01-01,15,0,NA,Woodhouse State Wildlife Area,Broadcast,"STATE, Denver Area Office,  NE Region",NA,NA,7S 68W 9,Incomplete
181,2010-01-01,NA,1571,0,Frisco Creek,Pile,"STATE, Durango District Office",NA,NA,38N 5E 2,Complete
102,2010-01-01,335,0,NA,Lower North Fork,Broadcast,"STATE, Franktown District Office",NA,NA,7S 70W 15,Incomplete
111,2010-01-01,NA,1571,0,Bergan Peak,Pile,"STATE, Golden District Office",NA,NA,4S 72W 26,Complete
121,2010-01-01,53,0,NA,Flying J Ranch,Broadcast,"STATE, Golden District Office",NA,NA,5S 70W 10,Incomplete
138,2010-01-01,298,0,101,GGCSP Nott Creek Broadcast,Broadcast,"STATE, Golden District Office",NA,NA,2S 71W 19,Complete
230,2010-01-01,60,0,NA,"White Ranch Park Understory (Units 13, 14, 20)",Broadcast,"STATE, Golden District Office",39.82,-105.28,NA,Incomplete
239,2010-01-01,350,0,159,Bear Creek Bowl II/Mt Evans SWA,Broadcast,"STATE, Golden District Office",NA,NA,5S 73W 11,Complete
248,2010-01-01,20,0,NA,White Ranch Park Grass (Unit 12),Broadcast,"STATE, Golden District Office",39.82,-105.28,NA,Incomplete
263,2010-01-01,NA,101,0,Ralston Roost,Pile,"STATE, Golden District Office",NA,NA,2S 72W 35,Complete
71,2010-01-01,NA,1759,0,Fraser Valley Piles,Pile,"STATE, Granby District Office",NA,NA,1S 75W 34,Complete
357,2010-01-01,54,0,26,Tern Island@Blue Lake,Broadcast,"STATE, Lamar Area Office",NA,NA,20S 52W 32,Complete
60,2010-01-01,75,0,12,Escalante Food Plots/Field Burn,Broadcast,"STATE, Montrose Area Office, SW Region",NA,NA,15S 96W 18,Complete
61,2010-01-01,NA,392,0,Hamilton Tamarisk Piles,Pile,"STATE, Montrose Area Office, SW Region",NA,NA,15S 96W 18,Complete
198,2010-01-01,50,0,50,Coller SWA,Broadcast,"STATE, Monte Vista Area Office, SE Region",37.7,-106.75,40N 2E 12,Complete
203,2010-01-01,NA,27,0,Rio Grande SWA Piles,Pile,"STATE, Monte Vista Area Office, SE Region",NA,NA,39N 8E 34,Complete
52,2010-01-01,NA,5500,0,Steamboat Lake and Pearl,Pile,"STATE, Steamboat Springs District Office",NA,NA,10N 85W 26,Complete
99,2010-01-01,NA,884,0,CS Forest Piles,Pile,"STATE, Steamboat Springs District Office",40.5,-105.9,7N 76W 16,Complete
217,2010-01-01,NA,3142,0,Knox,Pile,"STATE, Steamboat Springs District Office",NA,NA,10N 85W 20,Complete
250,2010-01-01,750,0,NA,Delaney Buttes,Broadcast,"STATE, Steamboat Springs District Office",NA,NA,10N 77W 5,Incomplete
364,2010-01-01,NA,2356,0,Stagecoach Piles,Pile,"STATE, Steamboat Springs District Office",NA,NA,4N 84W 32,Complete
15,2010-01-01,114,0,114,PPWS North Slope Ridge Road,Broadcast,"STATE, Woodland Park District Office",NA,NA,13S 69W 13,Complete
149,2010-01-01,650,0,155,James Mark Jones SWA Rx Burn,Broadcast,"STATE, Woodland Park District Office",NA,NA,10S 76W 9,Complete
213,2010-01-01,60,0,60,Eleven Mile State Park Rx Burn,Broadcast,"STATE, Woodland Park District Office",NA,NA,13S 72W 18,Complete
291,2010-01-01,NA,200,0,Pikes Peak Watershed Pile Burn,Pile,"STATE, Woodland Park District Office",NA,NA,13S 69W 11,Complete
292,2010-01-01,NA,1500,0,Salt Creek Piles,Pile,"STATE, Woodland Park District Office",NA,NA,13S 77W 3,Complete
6,2010-01-01,NA,60,0,James Creek Units H1401 & RFB14,Pile,"USFS, Arapaho/Roosevelt National Forests",NA,NA,2N 72W 11,Complete
7,2010-01-01,NA,32,0,Sugarloaf 165 A & B,Pile,"USFS, Arapaho/Roosevelt National Forests",NA,NA,1N 72W 21,Complete
8,2010-01-01,NA,191,0,Sugarloaf 132 & 132E,Pile,"USFS, Arapaho/Roosevelt National Forests",NA,NA,1N 72W 33,Complete
9,2010-01-01,NA,151,0,James Creek PBFB1,Pile,"USFS, Arapaho/Roosevelt National Forests",NA,NA,1N 72W 9,Complete
10,2010-01-01,NA,151,0,Porter Ranch Unit 5,Pile,"USFS, Arapaho/Roosevelt National Forests",NA,NA,1S 72W 10,Complete
11,2010-01-01,NA,9425,0,Sugarloaf Unit 121-123,Pile,"USFS, Arapaho/Roosevelt National Forests",NA,NA,1N 72W 31,Complete
17,2010-01-01,NA,32,0,Sugarloaf 166,Pile,"USFS, Arapaho/Roosevelt National Forests",NA,NA,1N 72W 14,Complete
18,2010-01-01,NA,565,0,Sugarloaf Unit 54,Pile,"USFS, Arapaho/Roosevelt National Forests",NA,NA,1N 72W 30,Complete
88,2010-01-01,NA,151,0,Fish Creek,Pile,"USFS, Arapaho/Roosevelt National Forests",NA,NA,4N 72W 18,Complete
89,2010-01-01,NA,151,0,Meeker Park,Pile,"USFS, Arapaho/Roosevelt National Forests",NA,NA,3N 72W 6,Complete
90,2010-01-01,NA,151,0,Pinewood Springs,Pile,"USFS, Arapaho/Roosevelt National Forests",NA,NA,4N 71W 21,Complete
91,2010-01-01,NA,151,0,Pingree Hill,Pile,"USFS, Arapaho/Roosevelt National Forests",NA,NA,9N 73W 22,Complete
92,2010-01-01,NA,151,0,Red Feather,Pile,"USFS, Arapaho/Roosevelt National Forests",NA,NA,10N 73W 4,Complete
97,2010-01-01,NA,151,0,Grizzly Gulch,Pile,"USFS, Arapaho/Roosevelt National Forests",NA,NA,4N 72W 4,Complete
116,2010-01-01,NA,1885,0,Evergreen 32 & 5,Pile,"USFS, Arapaho/Roosevelt National Forests",NA,NA,5S 71W 32,Complete
117,2010-01-01,NA,236,0,Lake Pasture,Pile,"USFS, Arapaho/Roosevelt National Forests",NA,NA,4N 72W 21,Complete
135,2010-01-01,NA,151,0,Sugarloaf Unit 3,Pile,"USFS, Arapaho/Roosevelt National Forests",NA,NA,1N 72W 10,Complete
136,2010-01-01,NA,828,0,Evergreen 6B,Pile,"USFS, Arapaho/Roosevelt National Forests",NA,NA,5S 71W 31,Complete
152,2010-01-01,NA,236,0,Box Prairie Piles,Pile,"USFS, Arapaho/Roosevelt National Forests",NA,NA,7N 72W 7,Complete
172,2010-01-01,NA,1571,0,A Bay Temp Storage Piles,Pile,"USFS, Arapaho/Roosevelt National Forests",NA,NA,2N 76W 11,Complete
173,2010-01-01,NA,5301,0,ANRA Landing Piles,Pile,"USFS, Arapaho/Roosevelt National Forests",NA,NA,3N 76W 15,Complete
