SOURCE_ID,DATE,PERMITTED_ACRES,COMPLETED_ACRES,PILE_VOLUME,BURN_NAME,BURNTYPE_REPORTED,ENTITY_REQUESTING,LAT_PERMIT,LON_PERMIT,BURN_STATUS
1005999,2005-12-01,NA,67,22000,Candy Kitchen #2,Pile,Federal,34.8933,-108.5459,Complete
1006008,2005-03-01,2213,1275,0,Springs,Broadcast,Federal,32.18206,-104.67754,Complete
1006010,2005-09-01,6100,450,150000,Sheep Basin RX,NA,Federal,33.5946,-108.7393,Complete
1006012,2005-03-01,8000,5300,0,Squirrel Springs,Broadcast,Federal,33.8284,-108.6014,Complete
1006013,2005-03-01,10450,3000,0,Collins Park RX,Broadcast,Federal,33.64333,-108.4611,Complete
1006015,2005-03-01,111,30,0,Reserve Admin Site RX,Broadcast,Federal,33.7232,-108.7743,Complete
1006021,2005-09-01,75,100,0,Centennial,Broadcast,Bureau of Land Management,32.378,-105.769,Complete
1006022,2005-03-01,700,730,0,Chijuilla #7,Broadcast,Federal,36.0525,-107.06778,Complete
1006023,2005-03-01,1665,200,0,Youse Well,Broadcast,Bureau of Land Management,32.24083,-104.50806,Complete
1006025,2005-03-01,3100,10,0,Schoolhouse,Broadcast,Bureau of Land Management,32.48778,-104.45778,Complete
1006029,2005-03-01,22500,3500,0,Indian Peaks RX,Broadcast,Federal,33.5568,-108.0148,Complete
1006043,2005-03-01,4134,4780,0,Iron Maiden RX,Broadcast,Federal,33.61667,-104.3667,Complete
1006045,2005-09-01,1000,400,0,Santa Fe Watershed Broadcast,Broadcast,Federal,35.6739,-105.8488,Complete
1006047,2005-03-01,189,189,0,Quintana,Broadcast,Bureau of Land Management,36.9512,-107.3676,Complete
1006048,2005-03-01,1400,1400,0,Bixler,Broadcast,Federal,36.7688,-107.2242,Complete
1006057,2005-03-01,1555,850,0,Sapillo (Red/Scott/Jay),Broadcast,Federal,32.9542,-108.2094,Complete
1006058,2005-12-01,NA,40,60000,Redondo piles,Pile,Federal,34.9924,-106.632,Complete
1006062,2005-03-01,NA,25,0,Oniel,Pile,Federal,35.8487,-106.8038,Complete
1006063,2005-03-01,2800,800,0,North Melena,Broadcast,Federal,33.53361,-104.37111,Complete
1006064,2005-03-01,100,80,0,Ruedas,Broadcast,Federal,36.07,-105.8,Complete
1006072,2005-03-01,353,354,0,Humpback Chub RX,Broadcast,Federal,33.1875,-104.37833,Complete
1006073,2005-03-01,309,309,0,Delgadito,Broadcast,Bureau of Land Management,36.67472,-107.50278,Complete
1006074,2005-03-01,150,150,0,Grassy Canyon,Broadcast,Bureau of Land Management,36.95772,-107.62158,Complete
1006076,2005-03-01,3498,2000,0,Taylor Canyon,Broadcast,Federal,33.91139,-107.6381,Complete
1006077,2005-03-01,400,65,0,Gallina WUI,Broadcast,Federal,36.20889,-106.8206,Complete
1006079,2005-03-01,4100,1437,0,Gatlin,Broadcast,Federal,33.5946,-108.7393,Complete
1006080,2005-03-01,103,110,0,Los Alamitos,Broadcast,Federal,35.63661,-105.74486,Complete
1006083,2005-03-01,1870,100,0,Dry Lakes II,Broadcast,Federal,36.618,-106.0275,Complete
1006086,2005-03-01,4000,200,0,Mesa Camino/Fuertes,Broadcast,Federal,36.25528,-106.6775,Complete
1006089,2005-03-01,210,180,3000,Maxwell Unit 9,Broadcast,Federal,36.57972,-104.59306,Complete
1006090,2005-03-01,1635,1100,0,Coyote Draw,Broadcast,Federal,33.6637,-104.4093,Complete
1006091,2005-03-01,1600,500,0,Kellog,Broadcast,Federal,33.886,-107.6741,Complete
1006095,2005-06-01,10000,850,0,Ladrone RX,Broadcast,Bureau of Land Management,34.42667,-107.08833,Complete
1006096,2005-03-01,50,50,0,Block 6,Broadcast,Federal,36.77939,-103.98333,Complete
1006098,2005-03-01,530,480,0,Bull Pasture,Broadcast,Bureau of Land Management,3.56972,-76.09033,Complete
1006102,2005-03-01,1800,1800,0,Pine Springs Rx,Broadcast,Federal,33.3255,-105.5297,Complete
1006104,2005-03-01,100,94,0,Anselmo,Broadcast,Federal,36.9145,-107.3269,Complete
1006110,2005-03-01,140,140,0,West Silver,Broadcast,Federal,33.4269,-105.5119,Complete
1006111,2005-03-01,1000,1000,0,Pinon Draw,Broadcast,Federal,32.6396,-105.5157,Complete
1006115,2005-03-01,10000,4300,0,XT,Broadcast,Federal,31.7262,-108.728,Complete
1006116,2005-06-01,750,740,0,Dalton,Broadcast,Federal,35.68472,-105.72972,Complete
1006117,2005-06-01,2500,800,0,Bullard Wildlife,Broadcast,Federal,32.73333,-108.52639,Complete
1006120,2005-06-01,35,30,0,Dripping Springs,Broadcast,Federal,32.409,-106.5897,Complete
1006123,2005-06-01,2000,1200,0,Big Hatchet,Broadcast,Federal,31.6684,-108.4044,Complete
1006127,2005-03-01,6200,4500,0,Stable Mesa,Broadcast,Federal,35.82,-106.7508,Complete
1006132,2005-09-01,1800,1797,0,Valle Toledo,Broadcast,Valles Caldera National Preserve,35.95843,-106.46728,Complete
1006134,2005-09-01,496,496,0,Slane,Broadcast,Federal,36.79917,-107.85806,Complete
1006135,2005-09-01,331,331,0,Upper Potter,Broadcast,Federal,36.79528,-107.90361,Complete
1006137,2005-06-01,120,80,0,Chaperito Rx Burn,Broadcast,Federal,35.61917,-105.63445,Complete
1006138,2005-06-01,657,657,0,Sebadilla,Broadcast,Federal,35.55806,-105.51444,Complete
1006139,2005-03-01,66,66,0,Dorado,Broadcast,Federal,3.13853,-73.08292,Complete
1006142,2005-03-01,27,27,0,Spring Creek,Broadcast,Federal,36.61806,-106.14194,Complete
1006146,2005-09-01,NA,644,0,Capitan Slash,Pile,Federal,33.7574,-105.6324,Complete
1006149,2005-09-01,2000,1200,0,North Chaparral,Broadcast,Federal,35.9207,-106.7508,Complete
1006150,2005-09-01,1500,500,0,Pecos River,Broadcast,Bureau of Land Management,32.13778,-104.02556,Complete
1006152,2005-03-01,1800,400,0,Calico peak,Broadcast,Federal,32.9674,-105.825,Complete
1006156,2005-09-01,2000,1835,0,Devils Park RX,Broadcast,Federal,33.5134,-108.7858,Complete
1006158,2005-03-01,302,97,0,Beanfield RX,Broadcast,Federal,34.5728,-106.5815,Complete
1006171,2005-09-01,301,180,0,Bitter Lake Unit 3,Broadcast,Federal,33.43306,-104.41666,Complete
1006183,2005-03-01,300,300,NA,South Flats,Broadcast,Private,0.60224,-109.10886,Complete
1006234,2005-03-01,100,100,0,Lobo,Broadcast,Private,36.93333,-106.53333,Complete
1006257,2006-03-01,302,100,0,Beanfield RX,Broadcast,Federal,34.5728,-106.5815,Complete
1006259,2006-03-01,22500,7800,0,Indian Peaks RX,Broadcast,Federal,33.5568,-108.0148,Complete
1006265,2006-03-01,800,150,0,West Entranas,Broadcast,Federal,36.0816,-105.7955,Complete
1006270,2006-03-01,4500,4100,0,Gatlin,Broadcast,Federal,33.5946,-108.7393,Complete
1006271,2006-03-01,8000,600,0,Squirrel Springs,Broadcast,Federal,33.8284,-108.6014,Complete
1006285,2006-12-01,NA,25,18338.40039,Capulin,Pile,Federal,36.3845,-105.4521,Complete
1006287,2006-03-01,11660,4361,0,Lion Den RX,Broadcast,Federal,32.57499,-106.5373,Complete
1006291,2006-03-01,922,933,0,West Mesa Rx,Broadcast,Federal,34.29167,-107.05278,Complete
1006292,2006-03-01,3488,2,0,"Dry Lonesome, Dry Well U",Broadcast,Federal,34.39611,-106.9097,Complete
1006293,2006-03-01,200,90,0,Bitter Lake Wetlands,Broadcast,Federal,33.43306,-104.4167,Complete
1006294,2006-03-01,999,240,1240,Farm Burn Rx,Broadcast,Federal,33.38611,-104.40833,Complete
1006299,2006-03-01,6100,1000,0,Sheep Basin RX,Broadcast,Federal,33.5946,-108.7393,Complete
1006301,2006-09-01,770,500,0,Pemada,Broadcast,Federal,36.79722,-107.87527,Complete
1006303,2006-03-01,NA,122,180,Shady Brook,Pile,Federal,36.37,-105.4005,Complete
1006317,2006-03-01,1100,1221,0,McBroom,Broadcast,Federal,34.2956,-108.5896,Complete
1006318,2006-03-01,400,156,0,Gallina WUI,Broadcast,Federal,36.20889,-106.8206,Complete
1006321,2006-03-01,3000,75,118560,Santa Fe Watershed,NA,Federal,35.6887,-105.8488,Complete
1006323,2006-03-01,2000,0,0,La Sotella,Broadcast,Federal,36.04,-106.16,Incomplete
1006329,2006-03-01,3200,2100,0,Ranch Supply,Broadcast,Federal,33.92167,-107.61222,Complete
1006330,2006-09-01,143,143,0,Dove,Broadcast,Federal,34.16672,-108.49478,Complete
1006337,2006-03-01,3056,52,0,Pot Mountain Rx,Broadcast,Bureau of Land Management,36.75972,-105.79972,Complete
1006338,2006-03-01,55,55,0,Magdalena RX,Broadcast,Federal,34.1025,-107.31389,Complete
1006340,2006-06-01,383,392,0,East Rendija,Broadcast,Federal,34.90778,-108.12444,Complete
1006341,2006-06-01,755,47,0,Lava,Broadcast,Federal,34.762,-107.9664,Complete
1006342,2006-06-01,432,8,0,Lava Falls,Broadcast,Federal,34.7329,-108.0015,Complete
1006343,2006-03-01,1870,360,0,Dry Lakes II,Broadcast,Federal,36.618,-106.0275,Complete
1006348,2006-03-01,2000,0,0,La Sotella,Broadcast,Federal,36.04,-106.16,Incomplete
1006349,2006-03-01,3500,185,0,Mesa Camino/Fuertes,Broadcast,Federal,36.25528,-106.6775,Complete
1006351,2006-03-01,105,50,0,Devils Canyon,Broadcast,Federal,33.47,-105.4775,Complete
1006352,2006-09-01,NA,888,0,Capitan Slash,Pile,Federal,33.7574,-105.6324,Complete
1006356,2006-06-01,2100,1000,0,Rendija/NPS,Broadcast,Bureau of Land Management,34.94708,-108.14677,Complete
1006357,2006-03-01,430,150,0,Coal Creek Phase 2,Broadcast,Federal,35.85222,-106.9689,Complete
1006359,2006-03-01,1000,20,0,Headquarters,Broadcast,Federal,34.75195,-108.20194,Complete
1006360,2006-03-01,10,20,0,Ceboll Springs,Broadcast,Federal,34.66806,-107.835,Complete
1006362,2006-09-01,787,500,0,McKnight,Broadcast,Federal,35.96558,-107.97498,Complete
1006367,2006-03-01,1400,50,0,Petaca Las Tables,Broadcast,Federal,36.589,-106.1177,Complete
1006376,2006-03-01,4318,60,0,Thompson Canyon,Broadcast,Federal,34.28333,-107.7833,Complete
1006377,2006-03-01,1711,1700,0,Freeman,Broadcast,Federal,33.9279,-108.7746,Complete
1006378,2006-03-01,2289,1301,0,Miner,Broadcast,Federal,33.9279,-108.8097,Complete
1006379,2006-03-01,7520,4000,0,Wildhorse,Broadcast,Federal,32.7851,-108.518,Complete
1006380,2006-03-01,6250,4000,0,Silverdale,Broadcast,Federal,32.7271,-108.4666,Complete
1006382,2006-03-01,2000,213,0,Highway,Broadcast,Federal,34.295,-108.67361,Complete
1006383,2006-03-01,750,2880,0,Cottonwood,Broadcast,Federal,31.51432,-109.04285,Complete
1006384,2006-03-01,1000,1,0,Caja,Broadcast,Federal,35.7048,-106.1856,Complete
1006386,2006-06-01,20000,12582,0,Skates Wildland Fire Use,Broadcast,Federal,32.96867,-108.15828,Complete
1006402,2006-09-01,535,50,0,425,Broadcast,Federal,35.16858,-108.05808,Complete
1006403,2006-03-01,NA,250,18000,JAMESTOWN,Pile,Federal,35.4722,-108.4673,Complete
1006407,2006-06-01,700,473,0,Timberon L&S,Broadcast,Federal,32.6087,-105.7378,Complete
1006409,2006-09-01,37,37,0,Chaperito,Broadcast,Federal,35.61917,-105.63445,Complete
1006413,2006-03-01,800,200,0,Sawmill WUI Broadcast,Broadcast,Federal,32.68353,-108.46655,Complete
1006419,2006-09-01,300,400,0,Mesita,Broadcast,Federal,36.48769,-106.46411,Complete
1006420,2006-09-01,563,67,0,Bandelier HQ/Mesa Top,Broadcast,Federal,35.79167,-106.29166,Complete
1006423,2006-09-01,300,300,0,Red Canyon Rx,Broadcast,Federal,34.61639,-106.38472,Complete
1006425,2006-09-01,250,56,0,El Porvenir,Broadcast,Federal,35.71503,-105.50086,Complete
1006440,2006-09-01,205,19,85200,Los Alamos Maintenance,NA,Municipal,34.7573,-104.9106,Complete
1006442,2006-03-01,NA,250,210000,Snow Farm,Pile,Private,32.18,-106.55,Complete
1006450,2006-03-01,1600,0,0,BCR 2005-01,Broadcast,Private,36.0219,-104.6595,Incomplete
1006475,2006-03-01,14400,6400,0,Thompson Canyon,Broadcast,Private,34.31687,-107.7336,Complete
1006476,2006-03-01,5000,114,0,Long Canyon,Broadcast,Private,34.2352,-107.6048,Complete
1006480,2006-03-01,6200,1000,0,McKinney Flat  Burn,Broadcast,Private,31.3648,-108.6769,Complete
1006482,2006-09-01,85,25,0,Pritzlaff Ranch 06,Broadcast,Private,35.76078,-105.34978,Complete
1006503,2007-03-01,500,40,0,Poverty Creek RX,Broadcast,Federal,33.4704,-107.8079,Complete
1006506,2007-03-01,500,334,0,Valle II,Broadcast,Federal,35.8775,-106.3622,Complete
1006507,2007-03-01,1000,1000,0,Caja,Broadcast,Federal,35.7048,-106.1856,Complete
1006513,2007-03-01,200,138,0,Bitter Lake Wetlands,Broadcast,Federal,33.43306,-104.4167,Complete
1006516,2007-06-01,NA,200,140000,Deerhead,Pile,Federal,32.9469,-105.6687,Complete
1006520,2007-03-01,1100,770,0,Calico peak,Broadcast,Federal,32.9674,-105.825,Complete
1006522,2007-03-01,900,270,0,Jayhill,Broadcast,Federal,32.92111,-105.4972,Complete
1006523,2007-03-01,NA,50,50000,ELMA Pile Burn,Pile,Federal,34.875,-108,Complete
1006529,2007-03-01,4318,1100,0,Thompson Canyon,Broadcast,Federal,34.28333,-107.7833,Complete
1006543,2007-03-01,400,105,15000,Gallina WUI,NA,Federal,36.20889,-106.8206,Complete
1006546,2007-03-01,6100,1800,0,Sheep Basin RX,Broadcast,Federal,33.5946,-108.7393,Complete
1006553,2007-03-01,288,30,20000,La Joya,NA,Federal,36.0961,-105.7955,Complete
1006554,2007-03-01,250,250,0,Black River,Broadcast,Bureau of Land Management,32.01167,-104.10555,Complete
1006558,2007-03-01,9071,3000,0,Harris,Broadcast,Federal,32.7271,-108.5694,Complete
1006559,2007-03-01,1100,1100,0,Eight Mile Draw,Broadcast,Federal,33.6492,-104.2514,Complete
1006560,2007-03-01,2000,1600,0,Chaparral,Broadcast,Federal,35.9207,-106.7508,Complete
1006563,2007-03-01,650,100,0,Walker Flats,Broadcast,Federal,NA,NA,Complete
1006564,2007-03-01,100,250,0,Centennial,Broadcast,Federal,32.358,-105.802,Complete
1006573,2007-09-01,1440,1450,0,Upper Frijoles 9,Broadcast,Federal,35.85007,-106.4083,Complete
1006575,2007-03-01,355,635,0,Popatosa Sacaton Rx,Broadcast,Federal,34.34583,-106.9836,Complete
1006576,2007-03-01,3488,240,0,"Dry Lonesome, Dry Well U",Broadcast,Federal,34.39611,-106.9097,Complete
1006577,2007-03-01,540,540,0,Interface RX Unit 10,Broadcast,Federal,35.57222,-105.1861,Complete
1006578,2007-03-01,2400,2799,0,Oil Field Rx,Broadcast,Federal,33.43853,-104.3809,Complete
1006579,2007-03-01,52,53,0,Rio Hondo Rx,Broadcast,Federal,33.38611,-104.4083,Complete
1006580,2007-03-01,325,325,0,Maxwell Unit 2 Rx,Broadcast,Federal,36.57972,-104.5931,Complete
1006585,2007-06-01,NA,375,0,Bent,Pile,Federal,33.20011,-105.8586,Complete
1006586,2007-03-01,3000,1500,0,Blanco,Broadcast,Federal,36.0237,-106.2506,Complete
1006588,2007-09-01,833,833,0,Salazar,Broadcast,Federal,35.25667,-107.6884,Complete
1006589,2007-09-01,995,125,945000,La Cueva Prescribed Burn,NA,Federal,35.6162,-105.7267,Complete
1006590,2007-03-01,1200,1350,0,K-87/91W RX,Broadcast,Federal,NA,NA,Complete
1006593,2007-03-01,116,120,0,North Rendija Rx Burn,Broadcast,Federal,NA,NA,Complete
1006594,2007-03-01,141,154,0,Bat Caves East Rx Burn,Broadcast,Federal,34.9631,-108.0053,Complete
1006595,2007-03-01,537,10,0,Malpais Mill,Broadcast,Federal,34.762,-106.8951,Complete
1006596,2007-03-01,755,430,0,Lava,Broadcast,Federal,34.762,-107.9664,Complete
1006597,2007-03-01,432,300,0,Lava Falls,Broadcast,Federal,34.7329,-108.0015,Complete
1006598,2007-03-01,300,50,0,K-46,Broadcast,Federal,36.5172,-103.082,Complete
1006604,2007-03-01,1050,650,0,NW Barbero,Broadcast,Federal,NA,NA,Complete
1006610,2007-03-01,6600,1700,0,San Diego RX,Broadcast,Federal,35.7192,-106.8038,Complete
1006612,2007-06-01,NA,259,85000,ELMO Basalt Piles,Pile,Federal,35.0375,-108.3325,Complete
1006614,2007-06-01,5550,7652,0,Burnt Cabin RX,Broadcast,Federal,33.4555,-107.9104,Complete
1006615,2007-03-01,445,425,0,Lost Lakes,Broadcast,Federal,36.6327,-107.2223,Complete
1006616,2007-03-01,5000,2400,0,Madera Rx,Broadcast,Federal,NA,NA,Complete
1006628,2007-06-01,20.3,6,0,Omaha Beach Rx,Broadcast,Federal,NA,NA,Complete
1006629,2007-06-01,NA,33,0,DINO WFU,Broadcast,Federal,34.9777,-108.1285,Complete
1006631,2007-06-01,3500,200,0,Ladron,Broadcast,Bureau of Land Management,NA,NA,Complete
1006643,2007-03-01,550,584,0,Magdalena RX,Broadcast,Federal,34.1025,-107.3139,Complete
1006651,2007-09-01,800,30,0,Wind Mtn Sage Sec 5,Broadcast,Bureau of Land Management,NA,NA,Complete
1006662,2007-09-01,700,185,0,Timberon,Broadcast,Federal,NA,NA,Complete
1006676,2007-03-01,1280,200,NA,Tequesquite Ranch,Broadcast,Private,NA,NA,Complete
1006677,2007-06-01,122,124,NA,3-B Farms,Broadcast,Private,NA,NA,Complete
1006678,2007-06-01,122,124,NA,3-B Farms,Broadcast,Private,NA,NA,Complete
1006710,2007-03-01,NA,2.5,5000,Thorpe Ranch Slash Piles,Pile,State,35.2077,-104.3106,Complete
1006712,2007-12-01,120,127,0,Blue Hole,Broadcast,State,NA,NA,Complete
1006722,2008-03-01,2980,1300,0,Medio Tank,Broadcast,Federal,35.5307,-107.3365,Complete
1006730,2008-03-01,10000,8538,0,Ladrone,Broadcast,Bureau of Land Management,34.3983,-107.14,Complete
1006732,2008-12-01,NA,20,0,North Shady Brook Piles,Broadcast,Federal,36.3845,-105.4177,Complete
1006740,2008-03-01,2000,70,0,Santa Fe Watershed #2,Broadcast,Federal,35.6887,-105.831,Complete
1006742,2008-03-01,500,350,0,Valle II,Broadcast,Federal,35.8775,-106.3622,Complete
1006743,2008-03-01,3000,1285,0,Blanco,Broadcast,Federal,36.0237,-106.2506,Complete
1006749,2008-03-01,111,111,0,Reserve Admin Site Rx,Broadcast,Federal,33.7232,-108.7743,Complete
1006750,2008-03-01,34251,1715,0,Reserve WUI Broadcast,Broadcast,Federal,33.6669,-108.8586,Complete
1006764,2008-03-01,3500,775,0,Mesa Camino,Broadcast,Federal,36.25528,-106.6775,Complete
1006765,2008-03-01,400,10,0,Gallina WUI,Broadcast,Federal,36.20889,-106.8206,Complete
1006768,2008-09-01,3500,2027,0,Jaybird,Broadcast,Federal,32.9542,-108.1924,Complete
1006773,2008-03-01,900,900,0,Ranch Supply,Broadcast,Federal,33.92167,-107.6122,Complete
1006775,2008-03-01,NA,25,216000,Fossil,Pile,Federal,35.2586,-108.1217,Complete
1006776,2008-03-01,40,40,0,Dripping Springs,Broadcast,Federal,32.409,-106.5897,Complete
1006777,2008-03-01,100,300,0,Centennial,Broadcast,Federal,32.358,-105.802,Complete
1006779,2008-03-01,220,220,0,Negrito Fire Base Rx,Broadcast,Federal,33.5125,-108.5127,Complete
1006782,2008-03-01,5000,700,0,Mertz Ranch,Broadcast,Federal,34.6454,-107.7907,Complete
1006790,2008-03-01,3734,3734,0,Sheep Walk RX,Broadcast,Federal,32.715,-106.5481,Complete
1006795,2008-03-01,4015,4015,0,Black Brushy RX,Broadcast,Federal,32.5769,-106.5069,Complete
1006796,2008-03-01,20250,12000,0,San Pasqual RX,Broadcast,Federal,33.8153,-106.8103,Complete
1006797,2008-03-01,230,123,0,Pecos NHP NW Pastures RX,Broadcast,National Park Service,35.5281,-105.6839,Complete
1006798,2008-03-01,5282,500,0,Willow,Broadcast,Federal,32.6545,-108.4666,Complete
