SOURCE_ID,DATE,ACRES_REQUESTED,ACRES_COMPLETED,BURN_NAME,BURNTYPE_REPORTED,ENTITY_REQUESTING,LAT_PERMIT,LON_PERMIT,TONS,BURN_STATUS
161795,2010-10-06,30,0,Killarney Lake Broadcast,Understory,Bureau of Land Management,47.5207,-116.556,0,Incomplete
161795,2010-10-07,30,0,Killarney Lake Broadcast,Understory,Bureau of Land Management,47.5207,-116.556,0,Incomplete
161795,2010-10-08,30,0,Killarney Lake Broadcast,Understory,Bureau of Land Management,47.5207,-116.556,0,Incomplete
160030,2010-10-12,5,0,Eastside Township,Other Mechanical,Bureau of Land Management,45.7789,-115.411,0,Incomplete
160030,2010-10-13,5,1,Eastside Township,Other Mechanical,Bureau of Land Management,45.7789,-115.411,40,Complete
160030,2010-10-14,50,0,Eastside Township,Other Mechanical,Bureau of Land Management,45.7789,-115.411,0,Incomplete
160030,2010-10-15,50,1,Eastside Township,Other Mechanical,Bureau of Land Management,45.7789,-115.411,40,Complete
160030,2010-10-16,50,50,Eastside Township,Other Mechanical,Bureau of Land Management,45.7789,-115.411,2000,Complete
160030,2010-10-17,50,50,Eastside Township,Other Mechanical,Bureau of Land Management,45.7789,-115.411,2000,Complete
160030,2010-10-18,50,75,Eastside Township,Other Mechanical,Bureau of Land Management,45.7789,-115.411,3000,Complete
160030,2010-10-19,50,0,Eastside Township,Other Mechanical,Bureau of Land Management,45.7789,-115.411,0,Incomplete
160030,2010-10-20,10,10,Eastside Township,Other Mechanical,Bureau of Land Management,45.7789,-115.411,400,Complete
160030,2010-10-25,25,10,Eastside Township,Other Mechanical,Bureau of Land Management,45.7789,-115.411,400,Complete
160030,2010-10-26,25,10,Eastside Township,Other Mechanical,Bureau of Land Management,45.7789,-115.411,400,Complete
160030,2010-10-27,20,10,Eastside Township,Other Mechanical,Bureau of Land Management,45.7789,-115.411,400,Complete
160030,2010-10-28,20,10,Eastside Township,Other Mechanical,Bureau of Land Management,45.7789,-115.411,400,Complete
161510,2010-10-28,1,0,Bald Mtn Hand Piles,Hand Piles,Bureau of Land Management,43.6699,-114.369,0,Incomplete
160030,2010-10-29,10,5,Eastside Township,Other Mechanical,Bureau of Land Management,45.7789,-115.411,200,Complete
162656,2010-11-02,10,0,AML piles - Rex,Other Mechanical,Bureau of Land Management,47.5352,-115.872,0,Incomplete
162657,2010-11-02,10,0,AML piles - Constitution,Other Mechanical,Bureau of Land Management,47.4336,-116.172,0,Incomplete
49035,2010-11-02,10,2,misc. piles,Hand Piles,Bureau of Land Management,47.4482,-116.407,20,Complete
160030,2010-11-02,10,5,Eastside Township,Other Mechanical,Bureau of Land Management,45.7789,-115.411,200,Complete
162654,2010-11-02,18,5,Island Pilot piles,Other Mechanical,Bureau of Land Management,47.2816,-115.494,150,Complete
159413,2010-11-04,50,0,2-Tail piles,Other Mechanical,Bureau of Land Management,48.6816,-116.166,0,Incomplete
160030,2010-11-04,10,5,Eastside Township,Other Mechanical,Bureau of Land Management,45.7789,-115.411,200,Complete
162654,2010-11-04,8,0,Island Pilot piles,Other Mechanical,Bureau of Land Management,47.2816,-115.494,0,Incomplete
162654,2010-11-05,5,3,Island Pilot piles,Other Mechanical,Bureau of Land Management,47.2816,-115.494,90,Complete
159413,2010-11-05,50,0,2-Tail piles,Other Mechanical,Bureau of Land Management,48.6816,-116.166,0,Incomplete
160030,2010-11-08,10,0,Eastside Township,Other Mechanical,Bureau of Land Management,45.7789,-115.411,0,Incomplete
160030,2010-11-09,10,0,Eastside Township,Other Mechanical,Bureau of Land Management,45.7789,-115.411,0,Incomplete
89211,2010-11-09,25,20,Soda Hills,Hand Piles,Bureau of Land Management,42.6989,-111.69,400,Complete
89211,2010-11-10,25,0,Soda Hills,Hand Piles,Bureau of Land Management,42.6989,-111.69,0,Incomplete
89211,2010-11-15,20,20,Soda Hills,Hand Piles,Bureau of Land Management,42.6989,-111.69,400,Complete
89211,2010-11-16,25,0,Soda Hills,Hand Piles,Bureau of Land Management,42.6989,-111.69,0,Incomplete
89204,2010-11-17,20,20,Samaria Hand Piles,Hand Piles,Bureau of Land Management,42.0776,-112.279,700,Complete
89204,2010-11-18,25,0,Samaria Hand Piles,Hand Piles,Bureau of Land Management,42.0776,-112.279,0,Incomplete
164938,2010-11-18,50,25,"Morgan Creek Piles Units 4,5,6,19,29",Hand Piles,Bureau of Land Management,44.6594,-114.281,225,Complete
164938,2010-11-19,25,0,"Morgan Creek Piles Units 4,5,6,19,29",Hand Piles,Bureau of Land Management,44.6594,-114.281,0,Incomplete
164938,2010-11-22,50,50,"Morgan Creek Piles Units 4,5,6,19,29",Hand Piles,Bureau of Land Management,44.6594,-114.281,450,Complete
89204,2010-11-22,25,25,Samaria Hand Piles,Hand Piles,Bureau of Land Management,42.0776,-112.279,875,Complete
89204,2010-11-23,25,0,Samaria Hand Piles,Hand Piles,Bureau of Land Management,42.0776,-112.279,0,Incomplete
164938,2010-11-29,100,100,"Morgan Creek Piles Units 4,5,6,19,29",Hand Piles,Bureau of Land Management,44.6594,-114.281,900,Complete
164938,2010-12-01,25,25,"Morgan Creek Piles Units 4,5,6,19,29",Hand Piles,Bureau of Land Management,44.6594,-114.281,225,Complete
159413,2010-12-07,50,10,2-Tail piles,Other Mechanical,Bureau of Land Management,48.6816,-116.166,200,Complete
159413,2010-12-22,40,40,2-Tail piles,Other Mechanical,Bureau of Land Management,48.6816,-116.166,800,Complete
161795,2011-05-11,24,24,Killarney Lake Broadcast,Understory,Bureau of Land Management,47.5207,-116.556,375.36,Complete
160212,2011-06-27,150,0,Martin Canyon,Broadcast,Bureau of Land Management,43.5106,-114.143,0,Incomplete
160212,2011-07-06,150,0,Martin Canyon,Broadcast,Bureau of Land Management,43.5106,-114.143,0,Incomplete
165403,2011-09-23,45,0,Island Pilot,Understory,Bureau of Land Management,47.4772,-115.829,0,Incomplete
165403,2011-09-24,45,0,Island Pilot,Understory,Bureau of Land Management,47.4772,-115.829,0,Incomplete
165403,2011-09-30,45,22,Island Pilot,Understory,Bureau of Land Management,47.4772,-115.829,634.7,Complete
165403,2011-10-01,45,23,Island Pilot,Understory,Bureau of Land Management,47.4772,-115.829,663.5500000000001,Complete
165830,2011-10-12,25,2,Eastside Township tractor,Other Mechanical,Bureau of Land Management,45.8513,-115.411,80,Complete
165830,2011-10-13,50,40,Eastside Township tractor,Other Mechanical,Bureau of Land Management,45.8513,-115.411,1600,Complete
165830,2011-10-14,20,5,Eastside Township tractor,Other Mechanical,Bureau of Land Management,45.8513,-115.411,200,Complete
160212,2011-10-15,200,0,Martin Canyon,Broadcast,Bureau of Land Management,43.5106,-114.143,0,Incomplete
160030,2011-10-17,50,45,Eastside Township,Other Mechanical,Bureau of Land Management,45.7789,-115.411,1800,Complete
160212,2011-10-17,200,0,Martin Canyon,Broadcast,Bureau of Land Management,43.5106,-114.143,0,Incomplete
160212,2011-10-18,200,0,Martin Canyon,Broadcast,Bureau of Land Management,43.5106,-114.143,0,Incomplete
165830,2011-10-18,50,50,Eastside Township tractor,Other Mechanical,Bureau of Land Management,45.8513,-115.411,2000,Complete
160212,2011-10-19,200,0,Martin Canyon,Broadcast,Bureau of Land Management,43.5106,-114.143,0,Incomplete
165830,2011-10-19,50,50,Eastside Township tractor,Other Mechanical,Bureau of Land Management,45.8513,-115.411,2000,Complete
165830,2011-10-20,20,2,Eastside Township tractor,Other Mechanical,Bureau of Land Management,45.8513,-115.411,80,Complete
164938,2011-10-24,100,0,"Morgan Creek Piles Units 4,5,6,19,29",Hand Piles,Bureau of Land Management,44.6594,-114.281,0,Incomplete
165838,2011-10-24,20,0,Eastside Township Landings,Landings,Bureau of Land Management,45.8513,-115.411,0,Incomplete
165838,2011-10-25,20,1,Eastside Township Landings,Landings,Bureau of Land Management,45.8513,-115.411,25,Complete
165838,2011-10-26,20,7,Eastside Township Landings,Landings,Bureau of Land Management,45.8513,-115.411,175,Complete
164938,2011-10-26,100,0,"Morgan Creek Piles Units 4,5,6,19,29",Hand Piles,Bureau of Land Management,44.6594,-114.281,0,Incomplete
165838,2011-10-27,20,7,Eastside Township Landings,Landings,Bureau of Land Management,45.8513,-115.411,175,Complete
164938,2011-10-27,100,65,"Morgan Creek Piles Units 4,5,6,19,29",Hand Piles,Bureau of Land Management,44.6594,-114.281,585,Complete
164938,2011-10-28,50,0,"Morgan Creek Piles Units 4,5,6,19,29",Hand Piles,Bureau of Land Management,44.6594,-114.281,0,Incomplete
164938,2011-10-31,50,0,"Morgan Creek Piles Units 4,5,6,19,29",Hand Piles,Bureau of Land Management,44.6594,-114.281,0,Incomplete
165838,2011-10-31,10,10,Eastside Township Landings,Landings,Bureau of Land Management,45.8513,-115.411,250,Complete
165838,2011-11-01,20,10,Eastside Township Landings,Landings,Bureau of Land Management,45.8513,-115.411,250,Complete
164938,2011-11-01,35,0,"Morgan Creek Piles Units 4,5,6,19,29",Hand Piles,Bureau of Land Management,44.6594,-114.281,0,Incomplete
165838,2011-11-02,10,5,Eastside Township Landings,Landings,Bureau of Land Management,45.8513,-115.411,125,Complete
166815,2011-11-03,300,2,Hailey Creek Piles,Hand Piles,Bureau of Land Management,43.55,-114.148,4,Complete
166597,2011-11-04,1,1,Hunter_Trapper,Hand Piles,Bureau of Land Management,47.464,-116.244,7,Complete
89211,2011-11-07,20,20,Soda Hills,Hand Piles,Bureau of Land Management,42.6989,-111.69,400,Complete
164938,2011-11-07,35,35,"Morgan Creek Piles Units 4,5,6,19,29",Hand Piles,Bureau of Land Management,44.6594,-114.281,315,Complete
166815,2011-11-07,298,0,Hailey Creek Piles,Hand Piles,Bureau of Land Management,43.55,-114.148,0,Incomplete
89204,2011-11-08,30,0,Samaria Hand Piles,Hand Piles,Bureau of Land Management,42.0776,-112.279,0,Incomplete
164938,2011-11-08,35,0,"Morgan Creek Piles Units 4,5,6,19,29",Hand Piles,Bureau of Land Management,44.6594,-114.281,0,Incomplete
166815,2011-11-08,298,0,Hailey Creek Piles,Hand Piles,Bureau of Land Management,43.55,-114.148,0,Incomplete
89211,2011-11-09,30,2,Soda Hills,Hand Piles,Bureau of Land Management,42.6989,-111.69,40,Complete
162654,2011-11-10,10,6,Island Pilot piles,Other Mechanical,Bureau of Land Management,47.2816,-115.494,180,Complete
165838,2011-11-14,5,5,Eastside Township Landings,Landings,Bureau of Land Management,45.8513,-115.411,125,Complete
166815,2011-11-14,298,75,Hailey Creek Piles,Hand Piles,Bureau of Land Management,43.55,-114.148,150,Complete
162654,2011-11-14,4,0,Island Pilot piles,Other Mechanical,Bureau of Land Management,47.2816,-115.494,0,Incomplete
166815,2011-11-15,298,0,Hailey Creek Piles,Hand Piles,Bureau of Land Management,43.55,-114.148,0,Incomplete
89211,2011-11-15,25,15,Soda Hills,Hand Piles,Bureau of Land Management,42.6989,-111.69,300,Complete
89211,2011-11-16,25,0,Soda Hills,Hand Piles,Bureau of Land Management,42.6989,-111.69,0,Incomplete
89211,2011-11-17,25,20,Soda Hills,Hand Piles,Bureau of Land Management,42.6989,-111.69,400,Complete
89211,2011-11-21,12,7,Soda Hills,Hand Piles,Bureau of Land Management,42.6989,-111.69,140,Complete
50005,2012-03-15,2,1,Russell Bar,Hand Piles,Bureau of Land Management,45.6631,-116.298,10,Complete
50003,2012-04-11,1,0,Hammer Creek,Hand Piles,Bureau of Land Management,45.6776,-116.339,0,Incomplete
50003,2012-04-12,1,1,Hammer Creek,Hand Piles,Bureau of Land Management,45.6776,-116.339,10,Complete
161795,2012-04-23,24,24,Killarney Lake Broadcast,Understory,Bureau of Land Management,47.5207,-116.556,375.36,Complete
161510,2012-05-12,1,1,Bald Mtn Hand Piles,Hand Piles,Bureau of Land Management,43.6699,-114.369,10,Complete
161510,2012-05-13,1,0,Bald Mtn Hand Piles,Hand Piles,Bureau of Land Management,43.6699,-114.369,0,Incomplete
161510,2012-05-14,1,0,Bald Mtn Hand Piles,Hand Piles,Bureau of Land Management,43.6699,-114.369,0,Incomplete
160212,2012-06-13,125,0,Martin Canyon,Broadcast,Bureau of Land Management,43.5106,-114.143,0,Incomplete
160212,2012-06-14,125,0,Martin Canyon,Broadcast,Bureau of Land Management,43.5106,-114.143,0,Incomplete
160212,2012-06-15,125,0,Martin Canyon,Broadcast,Bureau of Land Management,43.5106,-114.143,0,Incomplete
168485,2012-10-23,25,0,Murry South Handpiles,Hand Piles,Bureau of Land Management,47.6028,-115.855,0,Incomplete
167181,2012-10-24,30,15,Wallace South,Hand Piles,Bureau of Land Management,47.4603,-115.926,300,Complete
167181,2012-10-25,20,5,Wallace South,Hand Piles,Bureau of Land Management,47.4603,-115.926,100,Complete
168566,2012-10-26,11,0,Killarney Handpiles,Hand Piles,Bureau of Land Management,47.5235,-116.557,0,Incomplete
168571,2012-10-29,20,20,Wallace South Landing Piles,Landings,Bureau of Land Management,47.4521,-115.92,600,Complete
168566,2012-10-29,11,11,Killarney Handpiles,Hand Piles,Bureau of Land Management,47.5235,-116.557,110,Complete
167181,2012-10-30,10,10,Wallace South,Hand Piles,Bureau of Land Management,47.4603,-115.926,200,Complete
168566,2012-10-30,11,0,Killarney Handpiles,Hand Piles,Bureau of Land Management,47.5235,-116.557,0,Incomplete
165830,2012-10-30,25,25,Eastside Township tractor,Other Mechanical,Bureau of Land Management,45.8513,-115.411,1000,Complete
165830,2012-10-31,25,20,Eastside Township tractor,Other Mechanical,Bureau of Land Management,45.8513,-115.411,800,Complete
168571,2012-10-31,20,20,Wallace South Landing Piles,Landings,Bureau of Land Management,47.4521,-115.92,600,Complete
168566,2012-10-31,11,0,Killarney Handpiles,Hand Piles,Bureau of Land Management,47.5235,-116.557,0,Incomplete
167181,2012-11-01,10,10,Wallace South,Hand Piles,Bureau of Land Management,47.4603,-115.926,200,Complete
165830,2012-11-01,20,1,Eastside Township tractor,Other Mechanical,Bureau of Land Management,45.8513,-115.411,40,Complete
160212,2012-11-06,500,80,Martin Canyon,Broadcast,Bureau of Land Management,43.5106,-114.143,3165.6,Complete
165830,2012-11-06,20,10,Eastside Township tractor,Other Mechanical,Bureau of Land Management,45.8513,-115.411,400,Complete
168485,2012-11-07,25,12,Murry South Handpiles,Hand Piles,Bureau of Land Management,47.6028,-115.855,480,Complete
160212,2012-11-07,150,100,Martin Canyon,Broadcast,Bureau of Land Management,43.5106,-114.143,3957,Complete
165830,2012-11-07,20,5,Eastside Township tractor,Other Mechanical,Bureau of Land Management,45.8513,-115.411,200,Complete
168566,2012-11-08,11,4,Killarney Handpiles,Hand Piles,Bureau of Land Management,47.5235,-116.557,40,Complete
168103,2012-11-13,15,5,Dave Creek Piles,Hand Piles,Bureau of Land Management,42,-115.371,15,Complete
168566,2012-11-15,4,4,Killarney Handpiles,Hand Piles,Bureau of Land Management,47.5235,-116.557,40,Complete
167181,2012-11-28,10,8,Wallace South,Hand Piles,Bureau of Land Management,47.4603,-115.926,160,Complete
168576,2012-12-06,1,1,Lucky Friday,Landings,Bureau of Land Management,47.4747,-115.791,10,Complete
89211,2013-03-26,10,10,Soda Hills,Hand Piles,Bureau of Land Management,42.6989,-111.69,200,Complete
89211,2013-03-27,30,30,Soda Hills,Hand Piles,Bureau of Land Management,42.6989,-111.69,600,Complete
168896,2013-04-01,242,0,Rochat Unit 2,Broadcast,Bureau of Land Management,47.3807,-116.467,0,Incomplete
50005,2013-04-02,1,0,Russell Bar,Hand Piles,Bureau of Land Management,45.6631,-116.298,0,Incomplete
168895,2013-04-26,147,140,Wallace_Brushfield_burn,Broadcast,Bureau of Land Management,47.4543,-115.922,1869,Complete
168896,2013-04-27,242,0,Rochat Unit 2,Broadcast,Bureau of Land Management,47.3807,-116.467,0,Incomplete
168896,2013-05-03,242,0,Rochat Unit 2,Broadcast,Bureau of Land Management,47.3807,-116.467,0,Incomplete
168896,2013-05-06,242,242,Rochat Unit 2,Broadcast,Bureau of Land Management,47.3807,-116.467,6981.700000000001,Complete
168897,2013-09-20,15,0,Filly,Understory,Bureau of Land Management,47.491,-116.67,0,Incomplete
167181,2013-10-03,15,0,Wallace South,Hand Piles,Bureau of Land Management,47.4603,-115.926,0,Incomplete
169075,2013-10-21,4,1,Elk City,Hand Piles,Bureau of Land Management,45.8035,-115.427,15,Complete
160030,2013-10-21,50,4,Eastside Township,Other Mechanical,Bureau of Land Management,45.7789,-115.411,160,Complete
167181,2013-10-21,17,0,Wallace South,Hand Piles,Bureau of Land Management,47.4603,-115.926,0,Incomplete
160030,2013-10-22,50,0,Eastside Township,Other Mechanical,Bureau of Land Management,45.7789,-115.411,0,Incomplete
169075,2013-10-22,5,2,Elk City,Hand Piles,Bureau of Land Management,45.8035,-115.427,30,Complete
169075,2013-10-23,5,2,Elk City,Hand Piles,Bureau of Land Management,45.8035,-115.427,30,Complete
160030,2013-10-23,10,1,Eastside Township,Other Mechanical,Bureau of Land Management,45.7789,-115.411,40,Complete
169010,2013-10-24,5,0,Bally Mtn.,Hand Piles,Bureau of Land Management,45.1733,-116.301,0,Incomplete
169075,2013-10-24,5,0,Elk City,Hand Piles,Bureau of Land Management,45.8035,-115.427,0,Incomplete
168897,2013-10-25,15,7,Filly,Understory,Bureau of Land Management,47.491,-116.67,201.95000000000002,Complete
170202,2013-10-26,650,385,rochat unit 1,Wildlife Habitat,Bureau of Land Management,47.3917,-116.408,16689.75,Complete
168897,2013-10-26,15,7,Filly,Understory,Bureau of Land Management,47.491,-116.67,201.95000000000002,Complete
170202,2013-10-27,1,0,rochat unit 1,Wildlife Habitat,Bureau of Land Management,47.3917,-116.408,0,Incomplete
169075,2013-10-28,10,0,Elk City,Hand Piles,Bureau of Land Management,45.8035,-115.427,0,Incomplete
167181,2013-10-28,17,17,Wallace South,Hand Piles,Bureau of Land Management,47.4603,-115.926,340,Complete
160030,2013-10-28,50,0,Eastside Township,Other Mechanical,Bureau of Land Management,45.7789,-115.411,0,Incomplete
160030,2013-10-29,50,2,Eastside Township,Other Mechanical,Bureau of Land Management,45.7789,-115.411,80,Complete
169075,2013-10-29,5,0,Elk City,Hand Piles,Bureau of Land Management,45.8035,-115.427,0,Incomplete
160030,2013-10-30,50,1,Eastside Township,Other Mechanical,Bureau of Land Management,45.7789,-115.411,40,Complete
169075,2013-10-30,5,0,Elk City,Hand Piles,Bureau of Land Management,45.8035,-115.427,0,Incomplete
167181,2013-10-30,15,15,Wallace South,Hand Piles,Bureau of Land Management,47.4603,-115.926,300,Complete
168566,2013-11-04,3,0,Killarney Handpiles,Hand Piles,Bureau of Land Management,47.5235,-116.557,0,Incomplete
167181,2013-11-04,5,5,Wallace South,Hand Piles,Bureau of Land Management,47.4603,-115.926,100,Complete
169075,2013-11-05,5,3,Elk City,Hand Piles,Bureau of Land Management,45.8035,-115.427,45,Complete
160030,2013-11-05,100,75,Eastside Township,Other Mechanical,Bureau of Land Management,45.7789,-115.411,3000,Complete
160030,2013-11-06,75,55,Eastside Township,Other Mechanical,Bureau of Land Management,45.7789,-115.411,2200,Complete
169075,2013-11-06,5,0,Elk City,Hand Piles,Bureau of Land Management,45.8035,-115.427,0,Incomplete
169010,2013-11-07,5,0,Bally Mtn.,Hand Piles,Bureau of Land Management,45.1733,-116.301,0,Incomplete
169010,2013-11-12,5,2,Bally Mtn.,Hand Piles,Bureau of Land Management,45.1733,-116.301,16,Complete
169010,2013-11-13,5,0,Bally Mtn.,Hand Piles,Bureau of Land Management,45.1733,-116.301,0,Incomplete
169010,2013-11-18,15,10,Bally Mtn.,Hand Piles,Bureau of Land Management,45.1733,-116.301,80,Complete
170109,2013-11-19,100,45,Bell Mountain Piles,Hand Piles,Bureau of Land Management,43.442,-114.125,360,Complete
169010,2013-11-19,15,0,Bally Mtn.,Hand Piles,Bureau of Land Management,45.1733,-116.301,0,Incomplete
170109,2013-11-20,100,25,Bell Mountain Piles,Hand Piles,Bureau of Land Management,43.442,-114.125,200,Complete
170109,2013-11-21,100,37,Bell Mountain Piles,Hand Piles,Bureau of Land Management,43.442,-114.125,296,Complete
170109,2013-11-25,50,22,Bell Mountain Piles,Hand Piles,Bureau of Land Management,43.442,-114.125,176,Complete
170109,2013-12-03,75,0,Bell Mountain Piles,Hand Piles,Bureau of Land Management,43.442,-114.125,0,Incomplete
170109,2013-12-04,75,41,Bell Mountain Piles,Hand Piles,Bureau of Land Management,43.442,-114.125,328,Complete
170109,2013-12-05,75,0,Bell Mountain Piles,Hand Piles,Bureau of Land Management,43.442,-114.125,0,Incomplete
170392,2013-12-16,25,25,Wet Gulch TS,Landings,Bureau of Land Management,45.552,-116.239,750,Complete
170392,2013-12-18,25,1,Wet Gulch TS,Landings,Bureau of Land Management,45.552,-116.239,30,Complete
170392,2014-01-08,25,25,Wet Gulch TS,Landings,Bureau of Land Management,45.552,-116.239,750,Complete
154573,2014-02-05,5,0,Fish Creek piles,Landings,Bureau of Land Management,48.1143,-116.688,0,Incomplete
50003,2014-03-17,1,0,Hammer Creek,Hand Piles,Bureau of Land Management,45.6776,-116.339,0,Incomplete
50003,2014-04-02,1,1,Hammer Creek,Hand Piles,Bureau of Land Management,45.6776,-116.339,10,Complete
170524,2014-04-10,150,150,Bally Mountain,Understory,Bureau of Land Management,45.1638,-116.297,3030,Complete
170524,2014-04-11,100,0,Bally Mountain,Understory,Bureau of Land Management,45.1638,-116.297,0,Incomplete
169075,2014-04-24,5,2,Elk City,Hand Piles,Bureau of Land Management,45.8035,-115.427,30,Complete
160212,2014-05-12,320,0,Martin Canyon,Broadcast,Bureau of Land Management,43.5106,-114.143,0,Incomplete
170109,2014-05-12,25,25,Bell Mountain Piles,Hand Piles,Bureau of Land Management,43.442,-114.125,200,Complete
160212,2014-05-13,320,300,Martin Canyon,Broadcast,Bureau of Land Management,43.5106,-114.143,11871,Complete
170109,2014-05-13,25,5,Bell Mountain Piles,Hand Piles,Bureau of Land Management,43.442,-114.125,40,Complete
170109,2014-05-14,25,0,Bell Mountain Piles,Hand Piles,Bureau of Land Management,43.442,-114.125,0,Incomplete
160212,2014-05-15,320,0,Martin Canyon,Broadcast,Bureau of Land Management,43.5106,-114.143,0,Incomplete
160212,2014-05-16,320,0,Martin Canyon,Broadcast,Bureau of Land Management,43.5106,-114.143,0,Incomplete
169075,2014-10-15,5,5,Elk City,Hand Piles,Bureau of Land Management,45.8035,-115.427,75,Complete
171938,2014-10-21,40,40,"Mullan Handpiles Units A,B",Hand Piles,Bureau of Land Management,47.4637,-115.797,400,Complete
171689,2014-10-21,20,20,"Challis Field Office, Morgan creek",Hand Piles,Bureau of Land Management,44.6606,-114.29,400,Complete
171689,2014-10-22,20,20,"Challis Field Office, Morgan creek",Hand Piles,Bureau of Land Management,44.6606,-114.29,400,Complete
171938,2014-10-22,20,0,"Mullan Handpiles Units A,B",Hand Piles,Bureau of Land Management,47.4637,-115.797,0,Incomplete
169010,2014-10-22,5,2,Bally Mtn.,Hand Piles,Bureau of Land Management,45.1733,-116.301,16,Complete
89211,2014-10-23,15,0,Soda Hills,Hand Piles,Bureau of Land Management,42.6989,-111.69,0,Incomplete
171849,2014-10-24,5,5,South Township,Hand Piles,Bureau of Land Management,45.8013,-115.424,145,Complete
171876,2014-10-27,6,0,Westmond Machine Piles,Hand Piles,Bureau of Land Management,48.1335,-116.573,0,Incomplete
172020,2014-10-27,20,0,Nine Mile Springs,Hand Piles,Bureau of Land Management,42.4905,-112.039,0,Incomplete
49043,2014-10-27,2,0,Fish Creek,Jackpot,Bureau of Land Management,48.1143,-116.688,0,Incomplete
89211,2014-10-27,15,0,Soda Hills,Hand Piles,Bureau of Land Management,42.6989,-111.69,0,Incomplete
160030,2014-10-28,30,25,Eastside Township,Other Mechanical,Bureau of Land Management,45.7789,-115.411,1000,Complete
89211,2014-10-29,5,0,Soda Hills,Hand Piles,Bureau of Land Management,42.6989,-111.69,0,Incomplete
171689,2014-10-30,10,0,"Challis Field Office, Morgan creek",Hand Piles,Bureau of Land Management,44.6606,-114.29,0,Incomplete
170392,2014-10-30,100,0,Wet Gulch TS,Landings,Bureau of Land Management,45.552,-116.239,0,Incomplete
89211,2014-11-03,15,15,Soda Hills,Hand Piles,Bureau of Land Management,42.6989,-111.69,300,Complete
172020,2014-11-04,15,15,Nine Mile Springs,Hand Piles,Bureau of Land Management,42.4905,-112.039,105,Complete
89211,2014-11-04,15,0,Soda Hills,Hand Piles,Bureau of Land Management,42.6989,-111.69,0,Incomplete
171689,2014-11-06,10,0,"Challis Field Office, Morgan creek",Hand Piles,Bureau of Land Management,44.6606,-114.29,0,Incomplete
172020,2014-11-12,30,30,Nine Mile Springs,Hand Piles,Bureau of Land Management,42.4905,-112.039,210,Complete
172020,2014-11-14,30,30,Nine Mile Springs,Hand Piles,Bureau of Land Management,42.4905,-112.039,210,Complete
170522,2014-11-17,50,43,West Jim Sage Piles,Hand Piles,Bureau of Land Management,42.1907,-113.52,430,Complete
169010,2014-11-17,5,5,Bally Mtn.,Hand Piles,Bureau of Land Management,45.1733,-116.301,40,Complete
160030,2014-11-18,10,0,Eastside Township,Other Mechanical,Bureau of Land Management,45.7789,-115.411,0,Incomplete
