DATE,COMPLETED_ACRES,BURN_NAME,ENTITY_REQUESTING,LAT_PERMIT,LON_PERMIT,BURN_STATUS
NA,2,The Enclave HOA Pile Burn,"LPE, Local or Private Entity",40.699000000000005,-111.562,Complete
2022-11-28,1,Pinebrook HOA Pile Burn,"LPE, Local or Private Entity",40.737,-111.581,Complete
2023-05-04,110,Park Ridge,"USFS, Fishlake NF Fremont River",38.103,-111.308,Complete
2023-05-04,5,West Zone Piles RX,"USFS, Ashley NF West Zone",40.627,-110.151,Complete
2023-05-04,10,Old Woman South,"USFS, Fishlake NF Richfield",38.779,-111.451,Complete
2023-05-03,50,Old Woman South,"USFS, Fishlake NF Richfield",38.785000000000004,-111.469,Complete
2023-05-02,1,Fremont River Slash Pile,"USFS, Fishlake NF Fremont River",38.576,-111.694,Complete
2023-05-02,500,Old Woman South,"USFS, Fishlake NF Richfield",38.858,-111.463,Complete
2023-05-02,25,North Zone Timber Piles,"USFS, Manti-La Sal North Zone",39.355,-111.502,Complete
2023-05-01,350,Old Woman South,"USFS, Fishlake NF Richfield",38.858,-111.463,Complete
2023-04-30,150,Old Woman South,"USFS, Fishlake NF Richfield",38.858,-111.463,Complete
2023-04-29,375,Old Woman South,"USFS, Fishlake NF Richfield",38.858,-111.463,Complete
2023-04-28,250,Old Woman South,"USFS, Fishlake NF Richfield",38.823,-111.478,Complete
2023-04-27,50,North Zone Timber Piles,"USFS, Manti-La Sal North Zone",39.348,-111.515,Complete
2023-04-27,75,Old Woman South,"USFS, Fishlake NF Richfield",38.823,-111.478,Complete
2023-04-19,0.5,Beaver Ranger District Slash Piles 2022,"USFS, Fishlake NF Beaver",38.26800000000001,-112.488,Complete
2023-04-19,2000,Fish Springs RX,"FWS, Rocky/Basin Refuges",39.855999999999995,-113.363,Complete
2023-04-18,0,Bauer Biochar Rx,"State, Wasatch Front Area",40.471,-112.361,Unknown
2023-04-17,30,Fremont River RD Slash,"USFS, Fishlake NF Fremont River",38.219,-111.576,Complete
2023-04-13,4,Sheep Bridge Rx,"State, Local or Private Entity",37.2,-113.213,Complete
2023-04-16,100,Bicknell Bottoms,"State, Central Area",38.303999999999995,-111.543,Complete
2023-03-16,1,Green River District Programmatic Pile Plan,"BLM, Green River District",39.568000000000005,-109.405,Complete
2023-04-05,60,Fremont River RD Slash,"USFS, Fishlake NF Fremont River",38.239000000000004,-111.604,Complete
2022-02-20,4.6,Sheep Bridge Rx,"State, Local or Private Entity",37.2,-113.213,Complete
2023-03-30,40,Color Country and Paria River District Piles,"BLM, Color Country District",39.136,-111.984,Complete
2023-02-28,1,Dikes and Piles,"FWS, Rocky/Basin Refuges",41.47,-112.246,Complete
2023-03-14,5,Shivwits Pile Burn,"BIA, Southern Paiute Agency",37.194,-113.775,Complete
2023-03-02,15,Color Country and Paria River District Piles,"BLM, Color Country District",37.650999999999996,-113.26,Complete
2023-03-01,15,Color Country and Paria River District Piles,"BLM, Color Country District",37.650999999999996,-113.26,Complete
2023-03-01,6,Canyon country programmatic pile burn,"BLM, Canyon Country District",38.558,-109.588,Complete
2023-02-28,2,Color Country and Paria River District Piles,"BLM, Color Country District",37.631,-113.194,Complete
2023-02-28,5,Color Country and Paria River District Piles,"BLM, Color Country District",37.650999999999996,-113.26,Complete
2023-02-28,5,Color Country and Paria River District Piles,"BLM, Color Country District",38.715,-111.997,Complete
2023-02-15,30,Color Country and Paria River District Piles,"BLM, Color Country District",37.633,-113.193,Complete
2023-02-27,4,Canyon country programmatic pile burn,"BLM, Canyon Country District",38.705000000000005,-109.405,Complete
2023-02-23,20,Canyon country programmatic pile burn,"BLM, Canyon Country District",38.652,-109.718,Complete
2023-02-23,30,Color Country and Paria River District Piles,"BLM, Color Country District",37.642,-113.197,Complete
2023-02-22,4,Canyon country programmatic pile burn,"BLM, Canyon Country District",38.652,-109.718,Complete
2023-02-21,4,Canyon country programmatic pile burn,"BLM, Canyon Country District",38.652,-109.718,Complete
2023-02-14,10,Zion Piles,"NPS, Utah NPS Units",37.215,-112.963,Complete
2023-02-15,3,Canyon country programmatic pile burn,"BLM, Canyon Country District",38.705000000000005,-109.405,Complete
2023-02-15,1,Color Country and Paria River District Piles,"BLM, Color Country District",37.626000000000005,-113.19,Complete
2023-02-15,40,Color Country and Paria River District Piles,"BLM, Color Country District",38.26200000000001,-113.55,Complete
2023-02-14,9,Grand County De Minimis Pile Burning,"State, Southeastern Area",38.709,-109.372,Complete
2023-02-14,1,Canyon country programmatic pile burn,"BLM, Canyon Country District",38.705000000000005,-109.405,Complete
2023-01-24,10,Lodge Rx Units 1-4,"NPS, Utah NPS Units",37.63,-112.17,Complete
2023-01-24,2,Shivwits Pile Burn,"BIA, Southern Paiute Agency",37.194,-113.775,Complete
2022-12-13,10,Johnson Creek,"State, Southeastern Area",37.713,-109.511,Complete
2022-12-13,35,Green River District Programmatic Pile Plan,"BLM, Green River District",39.561,-109.405,Complete
2022-12-07,13,Cedar City Piles,"USFS, Dixie NF Cedar City",37.486999999999995,-112.594,Complete
2022-12-06,3,Cedar City Piles,"USFS, Dixie NF Cedar City",37.737,-112.77,Complete
2022-12-01,50,Lower Fish Creek,"State, Southeastern Area",39.767,-110.957,Complete
2022-12-01,200,North Zone Timber Piles,"USFS, Manti-La Sal North Zone",39.367,-111.277,Complete
2022-11-30,15,Lower Fish Creek,"State, Southeastern Area",39.767,-110.957,Complete
2022-11-30,20,Cedar City Piles,"USFS, Dixie NF Cedar City",37.607,-112.734,Complete
2022-11-23,2,Pinebrook HOA Pile Burn,"LPE, Local or Private Entity",40.737,-111.566,Complete
2022-11-22,72,D4 Slash,"USFS, Fishlake NF Richfield",38.747,-111.798,Complete
2022-11-21,75,D4 Slash,"USFS, Fishlake NF Richfield",38.747,-111.798,Complete
2022-11-17,100,D4 Slash,"USFS, Fishlake NF Richfield",38.747,-111.798,Complete
2022-11-16,90,Evanston-Mountain View Pile Burn,"USFS, UWC NF East Zone",40.909,-110.045,Complete
2022-11-15,45,Evanston-Mountain View Pile Burn,"USFS, UWC NF East Zone",40.909,-110.045,Complete
2022-11-15,50,North Zone Timber Piles,"USFS, Manti-La Sal North Zone",39.671,-111.244,Complete
2022-11-11,1,The Enclave HOA Pile Burn,"LPE, Local or Private Entity",40.699000000000005,-111.56,Complete
2022-11-10,1,The Enclave HOA Pile Burn,"LPE, Local or Private Entity",40.699000000000005,-111.56,Complete
2022-11-09,1,The Enclave HOA Pile Burn,"LPE, Local or Private Entity",40.699000000000005,-111.56,Complete
2022-11-08,1,The Enclave HOA Pile Burn,"LPE, Local or Private Entity",40.699000000000005,-111.56,Complete
2022-11-08,1,Pine Meadow Ranch HOA Piles,"LPE, Local or Private Entity",40.803,-111.5,Complete
2022-11-10,1,Pinebrook HOA Pile Burn,"LPE, Local or Private Entity",40.737,-111.566,Complete
2022-11-09,1,Pinebrook HOA Pile Burn,"LPE, Local or Private Entity",40.737,-111.566,Complete
2022-11-08,1,Pinebrook HOA Pile Burn,"LPE, Local or Private Entity",40.737,-111.566,Complete
2022-11-14,100,Evanston-Mountain View Pile Burn,"USFS, UWC NF East Zone",40.909,-110.045,Complete
2022-11-11,5,Zion Piles,"NPS, Utah NPS Units",37.215,-112.963,Complete
2022-11-13,100,Evanston-Mountain View Pile Burn,"USFS, UWC NF East Zone",40.939,-110.23,Complete
2022-11-13,100,Evanston-Mountain View Pile Burn,"USFS, UWC NF East Zone",40.909,-110.045,Complete
2022-11-12,450,Evanston-Mountain View Pile Burn,"USFS, UWC NF East Zone",40.939,-110.23,Complete
2022-11-11,500,Evanston-Mountain View Pile Burn,"USFS, UWC NF East Zone",40.939,-110.23,Complete
2022-11-10,75,Evanston-Mountain View Pile Burn,"USFS, UWC NF East Zone",40.939,-110.23,Complete
2022-11-10,16,Willow Fuels Project (Piles and Broadcast),"USFS, Manti-La Sal North Zone",39.349,-111.506,Complete
2022-11-09,100,Cold Water,"State, Bear River Area",41.568000000000005,-111.749,Complete
2022-11-09,3,Grand County De Minimis Pile Burning,"State, Southeastern Area",38.585,-109.24,Complete
2022-11-08,25,North Zone Timber Piles,"USFS, Manti-La Sal North Zone",39.586999999999996,-111.222,Complete
2022-11-07,25,North Zone Timber Piles,"USFS, Manti-La Sal North Zone",39.586999999999996,-111.222,Complete
2022-11-08,20,Beaver Ranger District Slash Piles 2022,"USFS, Fishlake NF Beaver",38.259,-112.522,Complete
2022-11-07,90,Heber-Kamas Pile Burn,"USFS, UWC NF East Zone",40.476,-111.044,Complete
2022-11-08,41,Heber-Kamas Pile Burn,"USFS, UWC NF East Zone",40.148,-111.223,Complete
2022-11-01,30,Central Area Piles,"State, Central Area",38.586999999999996,-111.981,Complete
2022-11-05,50,Cold Springs DWR,"State, Southeastern Area",39.649,-110.315,Complete
2022-11-04,85,Cold Springs DWR,"State, Southeastern Area",39.649,-110.315,Complete
2022-11-02,2,The Enclave HOA Pile Burn,"LPE, Local or Private Entity",40.699000000000005,-111.56,Complete
2022-11-02,0.5,Summit Park Pile Burn,"LPE, Local or Private Entity",40.73500000000001,-111.616,Complete
2022-11-06,2.2,South Zone Piles - Lamb&#x27;s Canyon Phase 1,"USFS, UWC NF South Zone",40.716,-111.645,Complete
2022-11-06,3,Evanston-Mountain View Pile Burn,"USFS, UWC NF East Zone",40.919,-110.102,Complete
2022-11-06,137,Heber-Kamas Pile Burn,"USFS, UWC NF East Zone",40.476,-111.044,Complete
2022-11-05,0.25,Evanston-Mountain View Pile Burn,"USFS, UWC NF East Zone",40.921,-110.108,Complete
2022-11-05,6,Heber-Kamas Pile Burn,"USFS, UWC NF East Zone",40.620000000000005,-111.211,Complete
2022-11-05,7,South Zone Piles - Lamb&amp;amp;#x27;s Canyon Phase 1,"USFS, UWC NF South Zone",40.716,-111.645,Complete
2022-11-04,18,South Zone Piles - Lamb&amp;amp;amp;#x27;s Canyon Phase 1,"USFS, UWC NF South Zone",40.716,-111.645,Complete
2022-11-04,2.5,Evanston-Mountain View Pile Burn,"USFS, UWC NF East Zone",40.92,-110.111,Complete
2022-11-04,1,Heber-Kamas Pile Burn,"USFS, UWC NF East Zone",40.630645,-111.227576,Complete
2022-11-03,65,Heber-Kamas Pile Burn,"USFS, UWC NF East Zone",40.4979,-111.0787,Complete
2022-05-10,0.1,Ponderosa Restoration Broadcast,"USFS, UWC NF East Zone",40.605000000000004,-111.103,Complete
2022-05-26,0.1,West Fork of Duchesne,"USFS, UWC NF East Zone",40.439,-111.024,Complete
2022-11-03,10,Willow Fuels Project (Piles and Broadcast),"USFS, Manti-La Sal North Zone",39.33,-111.511,Complete
2022-11-02,187,Beaver Ranger District Slash Piles 2022,"USFS, Fishlake NF Beaver",38.259,-112.522,Complete
2022-11-02,25,Willow Fuels Project (Piles and Broadcast),"USFS, Manti-La Sal North Zone",39.33,-111.511,Complete
2022-11-01,27,Beaver Ranger District Slash Piles 2022,"USFS, Fishlake NF Beaver",38.29600000000001,-112.428,Complete
2022-11-01,25,Willow Fuels Project (Piles and Broadcast),"USFS, Manti-La Sal North Zone",39.33,-111.511,Complete
2022-10-31,66,Heber-Kamas Pile Burn,"USFS, UWC NF East Zone",40.596000000000004,-110.957,Complete
2022-10-31,90,Beaver Ranger District Slash Piles 2022,"USFS, Fishlake NF Beaver",38.237,-112.467,Complete
2022-10-30,40,Beaver Ranger District Slash Piles 2022,"USFS, Fishlake NF Beaver",38.237,-112.467,Complete
2022-10-30,24,Heber-Kamas Pile Burn,"USFS, UWC NF East Zone",40.178000000000004,-111.208,Complete
2022-10-30,3,Heber-Kamas Pile Burn,"USFS, UWC NF East Zone",40.596000000000004,-110.957,Complete
2022-10-30,3,Heber-Kamas Pile Burn,"USFS, UWC NF East Zone",40.6308,-110.9759,Complete
2022-10-29,3.5,South Zone Piles - Lamb&#x27;s Canyon Phase 1,"USFS, UWC NF South Zone",40.718,-111.639,Complete
2022-10-29,4,Evanston-Mountain View Pile Burn,"USFS, UWC NF East Zone",40.842999999999996,-110.915,Complete
2022-10-29,155,Beaver Ranger District Slash Piles 2022,"USFS, Fishlake NF Beaver",38.282000000000004,-112.431,Complete
2022-10-29,5,Heber-Kamas Pile Burn,"USFS, UWC NF East Zone",40.631,-110.979,Complete
2022-10-29,4,Heber-Kamas Pile Burn,"USFS, UWC NF East Zone",40.177,-111.208,Complete
2022-10-29,35,Heber-Kamas Pile Burn,"USFS, UWC NF East Zone",40.596000000000004,-110.957,Complete
2022-10-28,60,Beaver Ranger District Slash Piles 2022,"USFS, Fishlake NF Beaver",38.237,-112.467,Complete
2022-10-28,4,South Zone Piles - Lamb&#x27;s Canyon Phase 1,"USFS, UWC NF South Zone",40.720000000000006,-111.639,Complete
2022-10-28,7,Heber-Kamas Pile Burn,"USFS, UWC NF East Zone",40.608000000000004,-110.986,Complete
2022-10-28,45,Heber-Kamas Pile Burn,"USFS, UWC NF East Zone",40.596000000000004,-110.957,Complete
2022-10-28,6,Heber-Kamas Pile Burn,"USFS, UWC NF East Zone",40.177,-111.205,Complete
2022-05-11,1,Summit Park Pile Burn,"LPE, Local or Private Entity",40.73500000000001,-111.616,Complete
2022-10-27,4,SITLA Piles - Beaver Cty,"State, Southwestern Area",38.287,-112.428,Complete
2022-10-27,4,Heber-Kamas Pile Burn,"USFS, UWC NF East Zone",40.177,-111.205,Complete
2022-10-27,1.1,South Zone Piles - Lamb&#x27;s Canyon Phase 1,"USFS, UWC NF South Zone",40.720000000000006,-111.631,Complete
2022-10-27,30,Beaver Ranger District Slash Piles 2022,"USFS, Fishlake NF Beaver",38.239000000000004,-112.459,Complete
2022-10-27,146,Heber-Kamas Pile Burn,"USFS, UWC NF East Zone",40.636,-111.187,Complete
2022-10-27,125,Heber-Kamas Pile Burn,"USFS, UWC NF East Zone",40.596000000000004,-110.957,Complete
2022-10-26,4,Central Area Piles,"State, Central Area",38.580999999999996,-111.99,Complete
2022-10-26,4,SITLA Piles - Beaver Cty,"State, Southwestern Area",38.287,-112.428,Complete
2022-10-26,15,Beaver Ranger District Slash Piles 2022,"USFS, Fishlake NF Beaver",38.232000000000006,-112.448,Complete
2022-10-22,35,Signal Peak Rx,"USFS, Fishlake NF Richfield",38.645,-111.941,Complete
2022-10-21,1000,Signal Peak Rx,"USFS, Fishlake NF Richfield",38.639,-112.011,Complete
2022-10-20,250,Signal Peak Rx,"USFS, Fishlake NF Richfield",38.639,-112.011,Complete
2022-10-19,750,Trail Mtn Broadcast,"USFS, Manti-La Sal North Zone",39.321,-111.229,Complete
2022-10-18,100,Trail Mtn Broadcast,"USFS, Manti-La Sal North Zone",39.321,-111.229,Complete
2022-10-12,40,Ray Mesa II,"BLM, Canyon Country District",38.309,-109.062,Complete
2022-09-27,20,Kyune Creek Rx,"BLM, West Desert District",39.855,-110.931,Complete
2022-06-14,50,Box Elder Piles,"State, Bear River Area",41.421,-112.067,Complete
2022-06-10,100,Weber Piles,"State, Bear River Area",41.241,-112.033,Complete
2022-05-27,200,Ogden Bay WMA,"State, Bear River Area",41.205000000000005,-112.179,Complete
2022-05-22,150,Old Woman South,"USFS, Fishlake NF Richfield",38.858,-111.463,Complete
2022-05-20,50,The Pines,"USFS, Manti-La Sal North Zone",38.983,-111.342,Complete
2022-05-18,300,The Pines,"USFS, Manti-La Sal North Zone",38.983,-111.342,Complete
2022-05-17,350,The Pines,"USFS, Manti-La Sal North Zone",38.983,-111.342,Complete
2022-05-20,3,Little Sahara,"BLM, West Desert District",39.702000000000005,-112.334,Complete
2022-05-18,5,Heber-Kamas Pile Burn,"USFS, UWC NF East Zone",40.6,-110.985,Complete
2022-05-19,140,Old Woman South,"USFS, Fishlake NF Richfield",38.858,-111.463,Complete
2022-05-18,150,Old Woman South,"USFS, Fishlake NF Richfield",38.858,-111.463,Complete
2022-05-11,620,Salt Creek WMA,"State, Bear River Area",41.635000000000005,-112.244,Complete
2022-05-08,45,Old Woman South,"USFS, Fishlake NF Richfield",38.858,-111.463,Complete
2022-05-07,300,Old Woman South,"USFS, Fishlake NF Richfield",38.858,-111.463,Complete
2022-05-06,800,Old Woman South,"USFS, Fishlake NF Richfield",38.858,-111.463,Complete
2022-05-05,75,Old Woman South,"USFS, Fishlake NF Richfield",38.858,-111.463,Complete
2022-05-06,300,Ogden Bay WMA,"State, Bear River Area",41.205000000000005,-112.179,Complete
2022-05-05,50,Blue Fly,"USFS, Dixie NF Powell",37.62800000000001,-112.263,Complete
2022-05-05,33,Ray Mesa II,"BLM, Canyon Country District",38.309,-109.062,Complete
2022-05-04,35,Ray Mesa II,"BLM, Canyon Country District",38.309,-109.062,Complete
2022-05-05,147,Brown’s Park Comprehensive Prescribed Fire Project,"FWS, Rocky/Basin Refuges",40.840711,-109.051431,Complete
2022-05-04,145,Blue Fly,"USFS, Dixie NF Powell",37.62800000000001,-112.263,Complete
2022-04-30,410,Old Woman South,"USFS, Fishlake NF Richfield",38.858,-111.463,Complete
2022-04-29,400,Old Woman South,"USFS, Fishlake NF Richfield",38.858,-111.463,Complete
2022-04-28,100,Old Woman South,"USFS, Fishlake NF Richfield",38.858,-111.463,Complete
2022-05-04,40,Box Elder Piles,"State, Bear River Area",41.761,-113.823,Complete
2022-04-28,1,Summit Park Pile Burn,"LPE, Local or Private Entity",40.730000000000004,-111.617,Complete
2022-04-27,1,Summit Park Pile Burn,"LPE, Local or Private Entity",40.730000000000004,-111.617,Complete
2022-05-26,12,Leamington Tamarisk piles,"State, Central Area",39.539,-112.275,Complete
2022-04-30,5,Evanston-Mountain View Pile Burn,"USFS, UWC NF East Zone",40.876999999999995,-110.828,Complete
2022-04-28,30,West Fork of Duchesne,"USFS, UWC NF East Zone",40.461,-110.979,Complete
2022-04-27,125,West Fork of Duchesne,"USFS, UWC NF East Zone",40.46,-110.982,Complete
2022-04-26,125,West Fork of Duchesne,"USFS, UWC NF East Zone",40.46,-110.992,Complete
2022-04-28,200,Shingle Mill,"USFS, Manti-La Sal South Zone",37.803999999999995,-109.422,Complete
2022-04-27,110,Shingle Mill,"USFS, Manti-La Sal South Zone",37.815,-109.426,Complete
2022-04-26,250,Box Elder Piles,"State, Bear River Area",41.736000000000004,-113.843,Complete
2022-04-25,125,Park Ridge,"USFS, Fishlake NF Fremont River",38.103,-111.308,Complete
2022-04-21,1000,Old Woman South,"USFS, Fishlake NF Richfield",38.858,-111.463,Complete
2022-04-20,170,Shingle Mill,"USFS, Manti-La Sal South Zone",37.809,-109.414,Complete
2022-04-20,100,Old Woman South,"USFS, Fishlake NF Richfield",38.858,-111.463,Complete
2022-04-19,100,Old Woman South,"USFS, Fishlake NF Richfield",38.858,-111.463,Complete
2022-04-20,75,Horse Hollow,"USFS, Fishlake NF Fillmore",38.949999999999996,-112.271,Complete
2022-04-17,70,La Sal (D4) Pile Rx,"USFS, Manti-La Sal South Zone",38.512,-109.327,Complete
2022-04-16,55,Shingle Mill,"USFS, Manti-La Sal South Zone",37.81099999999999,-109.425,Complete
2022-04-15,405,Shingle Mill,"USFS, Manti-La Sal South Zone",37.806,-109.402,Complete
2022-04-13,34,Fremont River Slash Pile,"USFS, Fishlake NF Fremont River",38.550999999999995,-111.665,Complete
2022-04-11,600,Old Woman South,"USFS, Fishlake NF Richfield",38.858,-111.463,Complete
2022-04-07,0.2,Summit Park Pile Burn,"LPE, Local or Private Entity",40.73500000000001,-111.617,Complete
2022-04-06,0.3,Summit Park Pile Burn,"LPE, Local or Private Entity",40.73500000000001,-111.617,Complete
2022-04-04,0.2,Summit Park Pile Burn,"LPE, Local or Private Entity",40.73500000000001,-111.617,Complete
2022-03-31,0.2,Summit Park Pile Burn,"LPE, Local or Private Entity",40.73500000000001,-111.617,Complete
2022-04-10,0,Heber-Kamas Pile Burn,"USFS, UWC NF East Zone",40.596500000000006,-110.9294,Unknown
2022-04-09,100,Heber-Kamas Pile Burn,"USFS, UWC NF East Zone",40.596500000000006,-110.9294,Complete
2022-04-09,600,Old Woman South,"USFS, Fishlake NF Richfield",38.858,-111.463,Complete
2022-04-08,800,Old Woman South,"USFS, Fishlake NF Richfield",38.858,-111.463,Complete
2022-04-07,15,La Sal (D4) Pile Rx,"USFS, Manti-La Sal South Zone",38.483999999999995,-109.322,Complete
2022-04-07,80,Old Woman South,"USFS, Fishlake NF Richfield",38.858,-111.463,Complete
2022-04-07,50,Ashley NF Piles,"USFS, Ashley NF East Zone",40.626000000000005,-109.942,Complete
2022-04-07,25,Powell District Piles,"USFS, Dixie NF Powell",37.5,-112.343,Complete
2022-04-06,5,Willow Fuels Project (Piles and Broadcast),"USFS, Manti-La Sal North Zone",39.352,-111.498,Complete
2022-04-06,40,La Sal (D4) Pile Rx,"USFS, Manti-La Sal South Zone",38.513999999999996,-109.349,Complete
2022-04-05,15,Fremont River Slash Pile,"USFS, Fishlake NF Fremont River",38.546,-111.655,Complete
2022-04-05,70,La Sal (D4) Pile Rx,"USFS, Manti-La Sal South Zone",38.513,-109.33,Complete
2022-04-04,60,Willow Fuels Project (Piles and Broadcast),"USFS, Manti-La Sal North Zone",39.352,-111.498,Complete
2022-04-04,50,La Sal (D4) Pile Rx,"USFS, Manti-La Sal South Zone",38.536,-109.337,Complete
2022-03-25,120,West River Dip,"State, Central Area",39.400999999999996,-112.515,Complete
2022-04-02,55,D4 Slash,"USFS, Fishlake NF Richfield",38.81099999999999,-111.499,Complete
2022-04-02,35,La Sal (D4) Pile Rx,"USFS, Manti-La Sal South Zone",38.496,-109.339,Complete
2022-04-02,10,Heber-Kamas Pile Burn,"USFS, UWC NF East Zone",40.5868,-110.968,Complete
2022-04-01,25,La Sal (D4) Pile Rx,"USFS, Manti-La Sal South Zone",38.513,-109.324,Complete
2022-03-31,50,La Sal (D4) Pile Rx,"USFS, Manti-La Sal South Zone",38.513,-109.324,Complete
2022-04-01,120,D4 Slash,"USFS, Fishlake NF Richfield",38.815999999999995,-111.48,Complete
2022-03-30,15,D4 Slash,"USFS, Fishlake NF Richfield",38.79900000000001,-111.468,Complete
2022-03-28,75,D4 Slash,"USFS, Fishlake NF Richfield",38.836,-111.458,Complete
2022-04-01,75,Willow Fuels Project (Piles and Broadcast),"USFS, Manti-La Sal North Zone",39.352,-111.498,Complete
2022-04-01,20,Heber-Kamas Pile Burn,"USFS, UWC NF East Zone",40.5868,-110.968,Complete
2022-03-30,8,Fremont River Slash Pile,"USFS, Fishlake NF Fremont River",38.546,-111.655,Complete
