Ignition Date,Agency,District,Burn Number,Burn Name,Daily Burn Acres Requested,Acres Treated,Acres Burned,Zero Burn Reason,Acres ERT Used,Location,Burn Duration,Ignition Duration,Dead Fuel Moisture 10 Hour,Dead Fuel Moisture 1000 Hour,Duff Fuel Moisture,Fuel Moisture Method,Days Since Rain,Snow Off,Emission Reduction Techniques,Diurnal Plume Characteristics,Remarks,Primary Fuel Type,NFDRS Fuel Model,Harvest Date,Primary Duff Type,Sound rotten 0 025,Sound rotten 026 1,Sound rotten 1 3,Sound 3 9,Sound 9 20,Sound 20 greater,Rotten 3 greater,Stump 20 greater,Shrub brush,Grass herb,Avg litter depth,Avg duff depth,Piles per Acre,Tons Piles per Acre,Soil in Piles,Primary Species,Primary Species (%),Secondary Species,Secondary Species (%),Quality,Width,Height,Length,Packing Ratio,Treated Potential PM2.5,PM2.5 ERT Reduction (non-burned acres),Blackened Potential PM2.5,PM2.5 ERT Reduction,Actual PM2.5,PM2.5 Averted
12/17/2019,Arizona Department of Forestry and Fire Management,Southeast District,A3S305P,Gila River P,10,0,0,N/A,0,(33.065825297348134; -109.99283485412599),0,0,0,0,,Both,,,"""Pre-Burn Fuel Removal; Piles""","""None""","""No ignitions took place due to weather being out of burn plan prescription.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/25/2020,Arizona Department of Forestry and Fire Management,Northern District,A1S221P,McCreary Machine Piles,1,0,0,Too wet to burn,0,(34.55495209701837; -111.32016353607179),0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/24/2020,Arizona Department of Forestry and Fire Management,Northeast District,A2S1602P,Northeast District Programmatic Piles,100,0,0,Other,0,(34.27086514091935; -109.79373056030273),0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/22/2021,Arizona Department of Forestry and Fire Management,Northern District,AZS1601P,Northern District Programmatic Piles,400,0,0,Other,0,(35.192411636525215; -111.56152423095705),0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/24/2021,Arizona Department of Forestry and Fire Management,Northern District,AZS1601P,Northern District Programmatic Piles,400,0,0,Too wet to burn,0,(35.13017127972716; -111.80931742858888),0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/25/2021,Arizona Department of Forestry and Fire Management,Northern District,AZS1601P,Northern District Programmatic Piles,400,0,0,Too wet to burn,0,(35.17965343848743; -111.54649313163759),0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/15/2021,Arizona Department of Forestry and Fire Management,Northern District,A1S222B,Flagstaff WUI,200,0,0,Other,0,(35.191407145969514; -111.7579321899414),0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/16/2021,Arizona Department of Forestry and Fire Management,Northern District,A1S222B,Flagstaff WUI,400,0,0,Other,0,(35.08892881180268; -111.786958984375),0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/9/2022,Arizona Department of Forestry and Fire Management,Central District,A4S1903P,Arizona State Parks Piles,1,0,0,Other,0,(33.457827797800654; -111.48208312988282),0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/7/2022,Arizona Department of Forestry and Fire Management,Northern District,A1S223B,Flying M Ranch,800,0,0,Too wet to burn,0,(34.941844714526525; -111.24021224975587),0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/7/2022,Arizona Department of Forestry and Fire Management,Northern District,A1S223B,Flying M Ranch,800,0,0,N/A,0,(34.941844714526525; -111.24021224975587),0,0,100,25,100,Both,0,12/8/2022,"""Other""","""None""","""the amount of moisture on the ground and the forecast high relative humidity's within the project area are not conducive to continue the project at this time. """,Grass,A,2/20/2020,N/A,0,0,0,2,4,2,0,2,1,2,0.5,0.5,,,,,,,,,,,,,125.32,125.32,0,0,0,125.32
2/1/2023,Arizona Department of Forestry and Fire Management,Central District,A4S1904P,Lost Dutchman Piles,40,0,0,Other,0,(33.450272841195584; -111.49452857971193),0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/3/2023,Arizona Department of Forestry and Fire Management,Northern District,A1S222B,Flagstaff WUI,300,0,0,Unfavorable weather conditions,0,(35.18874578132911; -111.74871591534423),0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/3/2016,Arizona Department of Transportation (ADOT),Arizona (ADOT),ADOT1209B,Arizona Department of Transportation hwy 89-A houserock valley,15,0,0,N/A,0,(36.707; -111.78300000000001),0,0,0,0,0,Both,,,"""Burn Before Green Up""","""n/a""","""n/a""",Grass,A,,Black (Litter Type),0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,0,0
3/1/2016,Arizona Department of Transportation (ADOT),Arizona (ADOT),ADOT1111bB,Tumbleweed burning on SR389,10,0,0,N/A,0,(36.95509741424101; -112.96099635449218),0,0,1,1,,Both,30,1/2/2016,"""Burn Before Green Up""","""DID NOT BURN""","""""",Grass,A,3/1/2016,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/3/2016,Arizona Department of Transportation (ADOT),Arizona (ADOT),ADOT1111aB,Tumbleweed burning on I-15,1,0,0,N/A,0,(36.91526275496166; -113.87715454101561),0,0,0,0,,Both,2,,"""Burn More Frequently""","""Too windy; did not burn""","""""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/1/2016,Arizona Department of Transportation (ADOT),Arizona (ADOT),ADOT1601NEB,US 180 MP 373-392,20,0,0,N/A,13,(34.30930124292935; -109.37923126220704),6,300,4,4,,Both,10,11/30/2016,"""Backing Fire; Concentrating Fuels""","""None. All fire extinguished at end of workday""",,Grass,A,,N/A,0.5,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0.1205,0.1205,0,0,0,0.1205
12/20/2016,Arizona Department of Transportation (ADOT),Arizona (ADOT),ADOT1601NEB,US 180 MP 373-392,20,0,0,N/A,13,(34.30930124292935; -109.37923126220704),8,480,50,30,,Both,4,12/18/2016,"""Backing Fire; Concentrating Fuels""","""None. All fire extinguished at end of workday""",,Grass,A,,N/A,0.25,0,0,0,0,0,0,0,0.5,0.5,1,0,,,,,,,,,,,,,0.30125,0.30125,0,0,0,0.30125
12/27/2016,Arizona Department of Transportation (ADOT),Arizona (ADOT),ADOT1601NEB,US 180 MP 373-392,10,0,0,N/A,13,(34.30930124292935; -109.37923126220704),8,240,3,5,,Both,5,12/25/2016,"""Backing Fire; Concentrating Fuels""","""None. All fire extinguished at end of workday""",,Grass,A,,N/A,0.25,0,0,0,0,0,0,0,0.5,0.5,1,0,,,,,,,,,,,,,0.150625,0.150625,0,0,0,0.150625
3/21/2017,Arizona Department of Transportation (ADOT),Arizona (ADOT),ADOT1602B,Page Hwy 98 fences & drainages,2,0,0,N/A,0,(36.48379206523626; -110.70369189453123),0,0,0,0,0,Both,0,,"""Other""","""did not burn too windy""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/25/2020,Arizona Department of Transportation (ADOT),Arizona (ADOT),ADOT1902BB,Four Corners Tumbleweed,2,0,0,Unfavorable weather conditions,0,(36.95875492697785; -109.30785803222657),0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/26/2020,Arizona Department of Transportation (ADOT),Arizona (ADOT),ADOT1902BB,Four Corners Tumbleweed,1,0,0,N/A,0,(36.94997559192084; -109.28245214843751),7,5,0,0,5,NFDRS,14,11/25/2019,"""Rapid Mop-Up; Windrow Burning""","""None. Fires are put out daily.""",,Grass,A,11/25/2019,Black (Litter Type),0.5,0,0,0,0,0,0,0,0.25,0.25,0,0,,,,,,,,,,,,,0,0,0,0,0,0
2/21/2020,Arizona Department of Transportation (ADOT),Arizona (ADOT),ADOT1111bB,Tumbleweed burning on SR389,2,0,0,Unfavorable weather conditions,0,(36.983; -112.98199999999997),0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/24/2020,Arizona Department of Transportation (ADOT),Arizona (ADOT),ADOT1111bB,Tumbleweed burning on SR389,2,0,0,Lack of resources,0,(36.983; -112.98199999999997),0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/3/2020,Arizona Department of Transportation (ADOT),Arizona (ADOT),ADOT1111aB,Tumbleweed burning on I-15,1,0,0,Other,0,(36.946; -113.69999999999999),0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/3/2020,Arizona Department of Transportation (ADOT),Arizona (ADOT),ADOT1902BB,Four Corners Tumbleweed,1,0,0,Lack of resources,0,(36.94997559192084; -109.27901892089845),0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/2/2020,Arizona Department of Transportation (ADOT),Arizona (ADOT),ADOT1902BB,Four Corners Tumbleweed,1,0,0,Lack of resources,0,(36.938534038411966; -109.24396209716798),0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/10/2020,Arizona Department of Transportation (ADOT),Arizona (ADOT),ADOT1902BB,Four Corners Tumbleweed,1,0,0,Lack of resources,0,(36.94174404621129; -109.2542996826172),0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/31/2020,Arizona Department of Transportation (ADOT),Arizona (ADOT),ADOT1111cB,Tumbleweed burning on US 89A,1,0,0,Lack of resources,0,(36.983; -112.459),0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/29/2020,Arizona Department of Transportation (ADOT),Arizona (ADOT),ADOT1503P,Chino Valley Yard,1,0,0,Lack of resources,0,(34.77150656821035; -112.45223304748535),0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/11/2021,Arizona Department of Transportation (ADOT),Arizona (ADOT),ADOT1111aB,Tumbleweed burning on I-15,2,0,0,Other,0,(36.946; -113.69999999999999),0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/11/2021,Arizona Department of Transportation (ADOT),Arizona (ADOT),ADOT1111bB,Tumbleweed burning on SR389,2,0,0,Lack of resources,0,(36.983; -112.98199999999997),0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/16/2021,Arizona Department of Transportation (ADOT),Arizona (ADOT),ADOT1111bB,Tumbleweed burning on SR389,3,0,0,Unfavorable weather conditions,0,(36.983; -112.98199999999997),0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/25/2021,Arizona Department of Transportation (ADOT),Arizona (ADOT),ADOT1111bB,Tumbleweed burning on SR389,2,0,0,Unfavorable weather conditions,0,(36.99342082553821; -112.99367297363281),0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/2/2021,Arizona Department of Transportation (ADOT),Arizona (ADOT),ADOT1111bB,Tumbleweed burning on SR389,2,0,0,Lack of resources,0,(36.9930437810874; -112.99337256622314),0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/2/2021,Arizona Department of Transportation (ADOT),Arizona (ADOT),ADOT1111cB,Tumbleweed burning on US 89A,2,0,0,Lack of resources,0,(36.9250424142397; -112.46535147094727),0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/1/2021,Arizona Department of Transportation (ADOT),Arizona (ADOT),ADOT1111cB,Tumbleweed burning on US 89A,2,0,0,Unfavorable weather conditions,0,(36.86003636933394; -112.30793798828125),0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/6/2021,Arizona Department of Transportation (ADOT),Arizona (ADOT),ADOT1111cB,Tumbleweed burning on US 89A,2,0,0,Unfavorable weather conditions,0,(36.869375382817104; -112.32098425292969),0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/7/2021,Arizona Department of Transportation (ADOT),Arizona (ADOT),ADOT1111cB,Tumbleweed burning on US 89A,2,0,0,Unfavorable weather conditions,0,(36.8644313413963; -112.31480444335938),0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/23/2021,Arizona Department of Transportation (ADOT),Arizona (ADOT),ADOT1111bB,Tumbleweed burning on SR389,2,0,0,Unfavorable weather conditions,0,(36.877752055974035; -112.88123477172851),0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/4/2021,Arizona Department of Transportation (ADOT),Arizona (ADOT),ADOT1111bB,Tumbleweed burning on SR389,2,0,0,Lack of resources,0,(36.87754608322584; -112.88183558654785),0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/5/2021,Arizona Department of Transportation (ADOT),Arizona (ADOT),ADOT1111bB,Tumbleweed burning on SR389,2,0,0,Lack of resources,0,(36.877202794075295; -112.8802048034668),0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/18/2021,Arizona Department of Transportation (ADOT),Arizona (ADOT),ADOT1111bB,Tumbleweed burning on SR389,2,0,0,Lack of resources,0,(36.87486838693627; -112.86870349121094),0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/19/2021,Arizona Department of Transportation (ADOT),Arizona (ADOT),ADOT1111bB,Tumbleweed burning on SR389,4,0,0,Other,0,(36.87376981771238; -112.86527026367187),0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/17/2022,Arizona Department of Transportation (ADOT),Arizona (ADOT),ADOT1111cB,Tumbleweed burning on US 89A,3,0,0,Unfavorable weather conditions,0,(36.86278325649477; -112.31343115234375),0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/18/2022,Arizona Department of Transportation (ADOT),Arizona (ADOT),ADOT1111cB,Tumbleweed burning on US 89A,3,0,0,Lack of resources,0,(36.89354164615076; -112.35874975585938),0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/21/2022,Arizona Department of Transportation (ADOT),Arizona (ADOT),ADOT1111aB,Tumbleweed burning on I-15,3,0,0,Unfavorable weather conditions,0,(36.99043729561743; -113.62515563964844),0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/21/2022,Arizona Department of Transportation (ADOT),Arizona (ADOT),ADOT1111cB,Tumbleweed burning on US 89A,3,0,0,Unfavorable weather conditions,0,(36.87157263186429; -112.32647741699219),0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/23/2022,Arizona Department of Transportation (ADOT),Arizona (ADOT),ADOT1111aB,Tumbleweed burning on I-15,3,0,0,Other,0,(36.99537317146993; -113.623095703125),0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/24/2022,Arizona Department of Transportation (ADOT),Arizona (ADOT),ADOT1111cB,Tumbleweed burning on US 89A,3,0,0,Lack of resources,0,(36.87322052717537; -112.3271640625),0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/5/2022,Arizona Department of Transportation (ADOT),Arizona (ADOT),ADOT1111cB,Tumbleweed burning on US 89A,3,0,0,Unfavorable weather conditions,0,(36.86882606068059; -112.32235754394532),0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/5/2022,Arizona Department of Transportation (ADOT),Arizona (ADOT),ADOT1803B,HWY 89 drainages/fencelines,5,0,0,Unfavorable weather conditions,0,(35.583758334789536; -111.52913273239139),0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/6/2022,Arizona Department of Transportation (ADOT),Arizona (ADOT),ADOT1803B,HWY 89 drainages/fencelines,5,0,0,Too wet to burn,0,(35.60317870802765; -111.52533472442627),0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/14/2022,Arizona Department of Transportation (ADOT),Arizona (ADOT),ADOT1803B,HWY 89 drainages/fencelines,2,0,0,Too wet to burn,0,(35.59211682675012; -111.52743757629395),0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/8/2021,Arizona Snowbowl,Arizona Snowbowl,AZSNO2101P,Snowbowl Machine Piles,1,0,0,Unfavorable weather conditions,0,(35.32670882040607; -111.70147206878661),0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/10/2021,Arizona Snowbowl,Arizona Snowbowl,AZSNO2101P,Snowbowl Machine Piles,2,0,0,Too wet to burn,0,(35.33021172995469; -111.70069389343263),0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/24/2022,Arizona Snowbowl,Arizona Snowbowl,AZSNO2202P,Snowbowl Hand Piles,2,0,0,Unfavorable weather conditions,0,(35.32748076775875; -111.69545822143556),0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/5/2016,Bureau of Land Management,Colorado River (CRD),CRD0001P,Pine Lake Piles,20,0,0,N/A,20,(35.15; -113.88999999999998),4,0,21,15,0,Both,0,,"""Isolating Fuels; Piles; Pre-Burn Fuel Removal""","""No diurnal smoke expected. Very little smoke by end of day.""","""None.""",,,,,,,,,,,,,,,,,5,4,0,Other,70,Ponderosa Pine,1,Clean,7,6,10,Ponderosa Pine < 10 Inches,0.964,,,0.6748,0.2892,0.6748
1/19/2016,Bureau of Land Management,Colorado River (CRD),CRD0002B,Pine Lake South,110,0,0,N/A,0,(35.087; -113.85399999999998),0,0,0,0,0,Both,0,,"""Burn Before Green Up""","""N/A""","""Had to cancel burn due to poor burning conditions (cloud cover/high RH). """,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/22/2016,Bureau of Land Management,Colorado River (CRD),CRD0016B,Blue Tank,1000,0,0,N/A,0,(35; -113.83600000000001),0,0,5,8,,Measured,,,"""Aerial / Mass Ignition""","""None""","""Burn was postponed due increasing wind forecast for Monday-Tuesday.  """,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/1/2016,Bureau of Land Management,Arizona Strip (ASD),ASD2001P,AZ-Strip District Fuel Breaks Pile Burn,30,0,0,N/A,0,(36.35510766879434; -113.12166699981691),0,0,20,20,20,Both,15,,"""Piles""","""None""","""Prescribed fire operations were canceled due to wildfire (Beaverdam-Littlefield) on the District.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/20/2018,Bureau of Land Management,Colorado River (CRD),CRD18B,Red Lake,750,0,0,N/A,0,(34.72485503442721; -113.33396606445313),0,0,3,5,,Measured,,,"""Aerial / Mass Ignition; Maintain fire line intensity""","""None.""","""Burn was cancelled due to extreme drought conditions and lack of grass in burn unit. Hoping to conduct burn under better conditions in 2019. """,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/6/2019,Bureau of Land Management,Gila District (SAD),SAD1801B,South Rim,4000,0,0,N/A,0,(32.891119503675014; -110.5059814453125),0,0,0,0,,Both,,,"""Other""","""NONE""","""Did not burn due to wildfire""",Grass,L,,N/A,0,0,0,0,0,0,0,0,0.6,2.1,0,0,,,,,,,,,,,,,130.1399966,130.1399966,0,0,0,130.1399966
10/30/2019,Bureau of Land Management,Arizona Strip (ASD),ASD2002B,Kanab Creek,10,0,0,Unfavorable weather conditions,0,(36.78278410814231; -112.62054138183595),0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/2/2019,Bureau of Land Management,Arizona Strip (ASD),ASD2001P,AZ-Strip District Fuel Breaks Pile Burn,50,0,0,Too wet to burn,0,(36.358702058501635; -113.11879167175294),0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/24/2020,Bureau of Land Management,Colorado River (CRD),CRD-0015dP,CRD Misc Piles (Mittry),10,0,0,Other,0,(32.8234847530618; -114.4837968826294),0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/12/2020,Bureau of Land Management,Colorado River (CRD),CRD-0015dP,CRD Misc Piles (Mittry),1,0,0,Too wet to burn,0,(32.8234847530618; -114.4837968826294),0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/31/2020,Bureau of Land Management,Arizona Strip (ASD),ASD2001P,AZ-Strip District Fuel Breaks Pile Burn,10,0,0,Other,0,(36.43195755948606; -113.14921240234375),0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/24/2022,Bureau of Land Management,Colorado River (CRD),CRD-14B,Bull Canyon,1100,0,0,Other,0,(34.95687448102617; -113.86789642333984),0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/3/2022,Bureau of Land Management,Phoenix (PHD),PHD210P,AFNM Black Hill Wash Piles,200,0,0,Other,0,(34.317; -112.053),0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/13/2023,Bureau of Land Management,Phoenix (PHD),PHD211P,Apache Junction Piles,80,0,0,Too wet to burn,0,(33.45412201270832; -111.49834804534913),0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/14/2023,Bureau of Land Management,Phoenix (PHD),PHD211P,Apache Junction Piles,80,0,0,Too wet to burn,0,(33.45840065865635; -111.49959259033204),0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/21/2023,Bureau of Land Management,Phoenix (PHD),PHD213P,Skull Valley Piles,50,0,0,Unfavorable weather conditions,0,(34.50290897981556; -112.66156845092775),0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/2/2023,Bureau of Land Management,Phoenix (PHD),PHD213P,Skull Valley Piles,15,0,0,Too wet to burn,0,(34.501918714036044; -112.66139678955079),0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/16/2023,Bureau of Land Management,Colorado River (CRD),CRD0017PP,North Hualapai Piles,2,0,0,Too wet to burn,0,(35.06558180696577; -113.8705795288086),0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/29/2023,Bureau of Land Management,Phoenix (PHD),PHD213P,Skull Valley Piles,40,0,0,Unfavorable weather conditions,0,(34.49583539473916; -112.62174301147462),0,0,0,0,0,,,,"""Other""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/30/2023,Bureau of Land Management,Phoenix (PHD),PHD213P,Skull Valley Piles,40,0,0,Unfavorable weather conditions,0,(34.4960122416807; -112.62122802734376),0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
