BurnID,BurnName,Burn Type,Latitude,Longitude,AgencyOrCompany,TotalArea,TotalPileVolume,Burned?,Date1,Date2,Date3,Date4,Date5,Date6,Date7,LAT_PERMIT,LON_PERMIT
758,North Little Mountain Prescribed Burn,SMP-II,44.9204706,-108.1578125,USDI-BLM-Wind River/Big Horn Basin District (Cody Field Office),200,,,,,,,,,,44.9204706,-108.1578125
1766,Polecat Bench Prescribed Burn,SMP-II,44.92,-108.78,USDI-BLM-Cody Field Office,50,,,,,,,,,,44.92,-108.78
3883,Crater Ridge Landing Piles,SMP-II,44.92,-107.78,USDA-USFS-Bighorn NF-Medicine Wheel/Paintrock RD,30,562500,Burned,10/25/2021,10/29/2021,,,,,,44.92,-107.78
1081,Little Mountain/Moss Ranch Prescribed Burn,SMP-II,44.9195455,-107.9556466,USDI-BLM-Wind River/Big Horn Basin District (Cody Field Office),200,,Burned,18-Apr-12,19-Apr-12,20-Apr-12,,,,,44.9195455,-107.9556466
766,Devil's Canyon,SMP-II,44.91833333,-107.9680556,USDA-USFS-Big Horn NF-Lovell RD,1260,,,,,,,,,,44.91833333,-107.9680556
1066,Devil's Canyon,SMP-II,44.91833333,-107.9680556,USDA-USFS-Big Horn NF-Lovell RD,1260,,Burned,30-Mar-12,,,,,,,44.91833333,-107.9680556
1370,Devil's Canyon,SMP-II,44.91833333,-107.9680556,USDA-USFS-Bighorn NF-Medicine Wheel/Paintrock RD,1260,,,,,,,,,,44.91833333,-107.9680556
1441,Polecat Bench Prescribed Burn,SMP-II,44.915,-108.7836111,USDI-BLM-Wind River Bighorn Basin District (Cody Field Office),180,,,,,,,,,,44.915,-108.7836111
1564,Polecat Bench Prescribed Burn,SMP-II,44.915,-108.7836111,USDI-BLM-Cody Field Office,120,,,,,,,,,,44.915,-108.7836111
1101,WGFD Kerns Habitat Area,SMP-II,44.9080213,-107.6040432,Wyoming Game and Fish Department,800,,,,,,,,,,44.9080213,-107.6040432
1733,Kirwin,SMP-II,44.88,-109.29,USDI-NPS-Yellowstone NP,0,18000,Burned,10/13/2015,,,,,,,44.88,-109.29
3299,West Slope Riparian Prescribed Burn,SMP-II,44.88,-108.08,USDI-BLM-Cody Field Office,900,,Burned,4/21/2018,4/11/2018,,,,,,44.88,-108.08
609,Beartrap Piles,SMP-II,44.871,-107.7,USDA-USFS-Big Horn NF-Tongue RD,37,85000,,,,,,,,,44.871,-107.7
1811,Amsden Creek WHMA Rx Burn 2015,SMP-II,44.87,-107.34,Wyoming Game and Fish Dept.,50,,,,,,,,,,44.87,-107.34
3144,West Slope Riparian Prescribed Burn,SMP-II,44.87,-108.09,USDA-USFS-Shoshone NF-Wind River RD,500,,Burned,3/29/2017,4/13/2017,4/14/2017,4/18/2017,,,,44.87,-108.09
768,Mexican Hill,SMP-II,44.86583333,-107.9805556,USDA-USFS-Big Horn NF-Lovell RD,300,,,,,,,,,,44.86583333,-107.9805556
1068,Mexican Hill,SMP-II,44.86583333,-107.9805556,USDA-USFS-Big Horn NF-Lovell RD,300,,,,,,,,,,44.86583333,-107.9805556
3822,Yellowtail RX,SMP-II,44.86,-108.08,USDI-BLM-Cody Field Office,60,,,,,,,,,,44.86,-108.08
3369,Cottonwood Creek,SMP-II,44.86,-108.08,USDI-BLM-Cody Field Office,11,384,,,,,,,,,44.86,-108.08
2023,West Slope Habitat Enhancement Prescribed Burn,SMP-II,44.86,-108.07,USDI-BLM-Cody Field Office,200,,Burned,3/19/2016,3/20/2016,4/2/2016,,,,,44.86,-108.07
3034,Twin Lakes TS,SMP-II,44.86,-109.01,USDA USFS Shoshone National Forest,5,669400,Burned,12/13/2016,,,,,,,44.86,-109.01
3462,Cottonwood Creek,SMP-II,44.86,-108.08,USDI-BLM-Cody Field Office,11,38400,Burned,1/29/2019,,,,,,,44.86,-108.08
3471,Yellowtail RX,SMP-II,44.86,-108.08,USDI-BLM-Cody Field Office,180,,,,,,,,,,44.86,-108.08
3588,Yellowtail RX,SMP-II,44.86,-108.08,USDI-BLM-Cody Field Office,180,,Burned,3/9/2020,,,,,,,44.86,-108.08
3664,Sugar Loaf RX,SMP-II,44.86,-109.53,Forest Service,277,,,,,,,,,,44.86,-109.53
3763,Sugarloaf RX,SMP-II,44.86,-109.52,,277,,,,,,,,,,44.86,-109.52
965,Squaw Creek Piles 2012,SMP-II,44.84722222,-109.6358333,USDA-USFS-Shoshone NF-Cody RD,3,27765,Burned,6-Dec-11,,,,,,,44.84722222,-109.6358333
963,Reef Creek Timber Sale Piles 2012,SMP-II,44.84361111,-109.5725,USDA-USFS-Shoshone NF-Wapiti RD,102,2849000,Burned,10-Jan-12,,,,,,,44.84361111,-109.5725
1322,Reef Creek TS 2013,SMP-II,44.84361111,-109.5725,USDA-USFS-Shoshone NF-Wapiti RD,9,993500,,,,,,,,,44.84361111,-109.5725
3135,Garland,SMP-II,44.84,-107.53,USDA-USFS-Bighorn NF-Tongue RD,,780007,Burned,11/17/2017,,,,,,,44.84,-107.53
1391,MOAB,SMP-II,44.83444,-106.99152,Sheridan VA Medical Center,,80000,,,,,,,,,44.83444,-106.99152
1585,Skull Ridge Unit,SMP-II,44.83194444,-107.4302778,USDA-USFS-Bighorn NF-Tongue RD,400,,Burned,31-Oct-14,31-Oct-14,,,,,,44.83194444,-107.4302778
1393,West Slope Habitat Enhancement Prescribed Burn,SMP-II,44.8313446,-108.197971,USDI-BLM-Wind River/Bighorn Basin District (Cody Field Office),300,,Burned,14-Mar-13,19-Mar-13,20-Mar-13,11-Apr-13,,,,44.8313446,-108.197971
760,Little Mountain/Moss Ranch Prescribed Burn,SMP-II,44.831254,-108.0563934,USDI-BLM-Wind River/Big Horn Basin District (Cody Field Office),200,,Burned,28-Apr-11,5-May-11,16-May-11,,,,,44.831254,-108.0563934
3775,Porcupine Landing,SMP-II,44.83,-107.86,,,135021,,,,,,,,,44.83,-107.86
3691,Porcupine Landing Piles,SMP-II,44.83,-107.86,,,135021,,,,,,,,,44.83,-107.86
1798,Porcupine Piles,SMP-II,44.83,-107.84,USDA-USFS-Bighorn NF,5,28500,Burned,11/23/2015,11/24/2015,,,,,,44.83,-107.84
1929,Porcupine Piles,SMP-II,44.83,-107.84,USDA-USFS-Bighorn NF-Medicine Wheel/Paintrock RD,4,104100,Burned,10/19/2016,,,,,,,44.83,-107.84
3121,Porcupine Piles,SMP-II,44.83,-107.84,USDA-USFS-Bighorn NF-Medicine Wheel/Paintrock RD,4,104100,Burned,10/31/2017,12/12/2017,,,,,,44.83,-107.84
3435,Chief Joseph Area Piles,SMP-II,44.83,-109.63,USDA-USFS-Shoshone NF-Wapiti RD,,,,,,,,,,,44.83,-109.63
3594,Chief Joseph Area Piles,SMP-II,44.83,-109.63,USDA-USFS-Shoshone NF-Wapiti RD,,,,,,,,,,,44.83,-109.63
3768,Chief Joeseph,SMP-II,44.83,-109.63,,,13696,,,,,,,,,44.83,-109.63
1461,Porcupine Piles,SMP-II,44.8280056,-107.8448111,USDA: USFS - BHNF,7,48252,,,,,,,,,44.8280056,-107.8448111
1603,Porcupine Piles,SMP-II,44.82800556,-107.8448111,USDA-USFS-Bighorn NF-Medicine Wheel/Paintrock RD,5,8500,Burned,12-Nov-14,13-Nov-14,,,,,,44.82800556,-107.8448111
1236,Porcupine Piles,SMP-II,44.82800556,-107.8448111,USDA-USFS-Big Horn NF-Lovell RD,5,8500,Burned,13-Nov-12,14-Nov-12,,,,,,44.82800556,-107.8448111
1782,Fool Creek Basin,SMP-II,44.82,-107.56,USDA-USFS-Bighorn NF-Tongue RD,116,,,,,,,,,,44.82,-107.56
1996,Fool Creek Basin,SMP-II,44.82,-107.56,USDA-USFS-Bighorn NF-Tongue RD,116,,,,,,,,,,44.82,-107.56
1583,Fool Creek Basin,SMP-II,44.81805556,-107.5641667,USDA-USFS-Bighorn NF-Tongue RD,116,,,,,,,,,,44.81805556,-107.5641667
1569,West Slope Habitat Enhancement Prescribed Burn,SMP-II,44.8167037,-108.015778,USDI-BLM-Cody Field Office,300,,,,,,,,,,44.8167037,-108.015778
1587,Twin Buttes 3,SMP-II,44.81611111,-107.4858333,USDA-USFS-Bighorn NF-Tongue RD,166,,Burned,8-Oct-14,25-Oct-14,,,,,,44.81611111,-107.4858333
1586,Twin Buttes 2,SMP-II,44.81222222,-107.5038889,USDA-USFS-Bighorn NF-Tongue RD,100,,Burned,19-May-14,26-Sep-14,26-Sep-14,,,,,44.81222222,-107.5038889
1416,Twin Buttes,SMP-II,44.80916667,-107.5144444,USDA-USFS-Bighorn NF-Tongue RD,188,,Burned,13-May-13,,,,,,,44.80916667,-107.5144444
1584,Schuler Unit,SMP-II,44.80305556,-107.6008333,USDA-USFS-Bighorn NF-Tongue RD,309,,,,,,,,,,44.80305556,-107.6008333
1781,Schuler Unit,SMP-II,44.8,-107.6,USDA-USFS-Bighorn NF-Tongue RD,309,,,,,,,,,,44.8,-107.6
1995,Schuler Unit,SMP-II,44.8,-107.6,USDA-USFS-Bighorn NF-Tongue RD,309,,Burned,10/23/2016,10/23/2016,10/27/2016,10/27/2016,,,,44.8,-107.6
3158,Schuler Unit,SMP-II,44.8,-107.6,USDA-USFS-Bighorn NF-Tongue RD,309,,,,,,,,,,44.8,-107.6
3342,Schuler Unit,SMP-II,44.8,-107.6,USDA-USFS-Bighorn NF-Tongue RD,309,,,,,,,,,,44.8,-107.6
3504,Schuler Unit,SMP-II,44.8,-107.6,USDA-USFS-Bighorn NF-Tongue RD,309,,,,,,,,,,44.8,-107.6
923,Burgess Work Center Piles,SMP-II,44.78972222,-107.5308333,USDA-USFS-Big Horn NF-Tongue RD,15,76800,Burned,13-Oct-11,14-Oct-11,,,,,,44.78972222,-107.5308333
1406,Planting Rx,SMP-II,44.770775,-104.3477222,USDA-USFS-Black Hills NF-Bearlodge RD,1288,,,,,,,,,,44.770775,-104.3477222
1249,Voss Hand Piles,SMP-II,44.77055556,-107.5088889,USDA-USFS-Big Horn NF-Tongue RD,12,3461,Burned,20-Nov-12,26-Nov-12,,,,,,44.77055556,-107.5088889
3622,Johnson Creek,SMP-II,44.77,-107.43,USDA-USFS-Bighorn NF-Tongue RD,,1047721,Burned,2/5/2020,,,,,,,44.77,-107.43
3800,South Tongue,SMP-II,44.77,-107.47,USDA-USFS-Bighorn NF-Tongue RD,,84301,Burned,3/5/2021,3/10/2021,3/26/2021,,,,,44.77,-107.47
799,Garden of the Gods (Tongue AMP),SMP-II,44.7684,-107.6103,USDA-USFS-Big Horn NF-Tongue RD,60,,,,,,,,,,44.7684,-107.6103
3774,Beavers Creek North,SMP-II,44.76,-107.75,,5285,,,,,,,,,,44.76,-107.75
3134,Beaver Creek North,SMP-II,44.76,-107.75,USDA-USFS-Bighorn NF-Medicine Wheel/Paintrock RD,5285,,,,,,,,,,44.76,-107.75
3496,Beaver Creek North,SMP-II,44.76,-107.75,USDA-USFS-Bighorn NF-Medicine Wheel/Paintrock RD,5285,,,,,,,,,,44.76,-107.75
3626,Beaver Creek North,SMP-II,44.76,-107.75,USDA-USFS-Shoshone NF-Greybull RD,5285,,,,,,,,,,44.76,-107.75
641,Dead Indian Communications Site Piles,SMP-II,44.75444444,-109.3755556,USDA-USFS-Shoshone NF-Wapiti RD,7,48016,Burned,3-Dec-09,4-Dec-09,8-Dec-09,,,,,44.75444444,-109.3755556
1735,Elk Creek,SMP-II,44.75,-109.45,USDA-USFS-Shoshone NF-Washakie RD,6,13485,Burned,1/22/2015,,,,,,,44.75,-109.45
1892,Elk Creek,SMP-II,44.75,-109.45,USDA-USFS-Shoshone NF,5,35177,,,,,,,,,44.75,-109.45
1966,Elk Creek,SMP-II,44.75,-109.45,USDA-USFS-Shoshone NF-Wapiti RD,5,35177,Burned,2/2/2016,2/3/2016,,,,,,44.75,-109.45
3032,Elk Creek,SMP-II,44.75,-109.45,USDA-USFS Shoshone National Forest,5,28390,,,,,,,,,44.75,-109.45
3137,Elk Creek,SMP-II,44.75,-109.45,USDA-USFS-Shoshone NF-Wapiti RD,5,28390,Burned,12/12/2016,,,,,,,44.75,-109.45
1671,Elk Creek,SMP-II,44.74561,-109.446369,USDA-USFS Shoshone National Forest,6,13485,,,,,,,,,44.74561,-109.446369
1792,Bald Ridge II Units 1&2,SMP-II,44.74,-109.38,USDI-NPS-Yellowstone NP,333,,Burned,3/27/2015,,,,,,,44.74,-109.38
1837,Bald Ridge II Units 3&4,SMP-II,44.74,-109.37,USDI-NPS-Yellowstone NP,314,,,,,,,,,,44.74,-109.37
2012,"Bald Ridge II Units 1, 3, & 4",SMP-II,44.74,-109.37,USDA-USFS-Shoshone NF,482,,,,,,,,,,44.74,-109.37
2083,Bald Ridge II,SMP-II,44.74,-109.37,USDA-USFS-Shoshone NF,660,,,,,,,,,,44.74,-109.37
3111,Bald Ridge,SMP-II,44.74,-109.38,USDA-USFS-Shoshone NF-Greybull RD,660,,,,,,,,,,44.74,-109.38
3114,Buckley Timber Sale Machine Pile Disposal,SMP-II,44.74,-104.41,USDA-USFS-Black Hills NF-Bearlodge RD,120,15708,Burned,1/26/2017,,,,,,,44.74,-104.41
3319,Bald Ridge II,SMP-II,44.74,-109.37,USDA-USFS-Shoshone NF-Clarks Fork RD,660,,Burned,10/23/2018,10/24/2018,,,,,,44.74,-109.37
3432,Bald Ridge II,SMP-II,44.74,-109.38,USDA-USFS-Shoshone NF-Wapiti RD,660,,Burned,4/19/2019,,,,,,,44.74,-109.38
3591,Bald Ridge II,SMP-II,44.74,-109.38,USDA-USFS-Shoshone NF-Wapiti RD,660,,Burned,11/5/2020,,,,,,,44.74,-109.38
3765,Bald Ridge II,SMP-II,44.74,-109.37,,660,,Burned,11/9/2021,,,,,,,44.74,-109.37
3072,New Haven Forest Management,SMP-II,44.73,-104.82,USDI-BLM-Newcastle Field Office,180,53000,Burned,1/23/2017,1/24/2017,1/25/2017,1/26/2017,1/27/2017,1/28/2017,,44.73,-104.82
708,Henry Mill TS Piles,SMP-II,44.72333333,-109.3808333,USDA-USFS-Shoshone NF-Wapiti RD,191,987973,Burned,4-Jan-11,,,,,,,44.72333333,-109.3808333
1779,Bull Creek 1,SMP-II,44.72,-107.61,USDA-USFS-Bighorn NF-Tongue RD,189,,,,,,,,,,44.72,-107.61
1951,Beam TS,SMP-II,44.72,-109.59,USDA-USFS-Shoshone NF-Wapiti RD,18,232675,Burned,12/13/2016,12/14/2016,,,,,,44.72,-109.59
1890,Beam TS,SMP-II,44.72,-109.59,USDA-USFS-Shoshone NF,18,232675,,,,,,,,,44.72,-109.59
1893,Henry Mill TS,SMP-II,44.72,-109.39,USDA-USFS-Shoshone NF,1,280000,,,,,,,,,44.72,-109.39
1967,Henry Mill TS,SMP-II,44.72,-109.39,USDA-USFS-Shoshone NF-Wapiti RD,1,280000,,,,,,,,,44.72,-109.39
1993,Bull Creek 1,SMP-II,44.72,-107.61,USDA-USFS-Bighorn NF-Tongue RD,189,,,,,,,,,,44.72,-107.61
3799,Parks Braodcast,SMP-II,44.72,-105.52,,,,Burned,4/29/2021,5/6/2021,,,,,,44.72,-105.52
1581,Bull Creek 1,SMP-II,44.71944444,-107.6094444,USDA-USFS-Bighorn NF-Tongue RD,189,,,,,,,,,,44.71944444,-107.6094444
1317,Henry Mill TS 2013,SMP-II,44.71916667,-109.3827778,USDA-USFS-Shoshone NF-Wapiti RD,7,234720,,,,,,,,,44.71916667,-109.3827778
960,Henry Mill Timber Sale Piles 2012,SMP-II,44.71916667,-109.3827778,USDA-USFS-Shoshone NF-Cody Ranger District,57,189373,Burned,21-Dec-11,,,,,,,44.71916667,-109.3827778
1259,Henry Mill TS 2012a,SMP-II,44.71916667,-109.3827778,USDA-USFS-Shoshone NF-Wapiti RD,7,234720,,,,,,,,,44.71916667,-109.3827778
1121,Dead Indian Unit 3 Prescribed Burn 2012,SMP-II,44.71861111,-109.4147222,USDA-USFS-Shoshone NF-Wapiti RD,100,,,,,,,,,,44.71861111,-109.4147222
1673,,SMP-II,44.718444,-109.386697,USDA-USFS Shoshone National Forest,1,243000,,,,,,,,,44.718444,-109.386697
1502,Bald Ridge East TS Piles 2014,SMP-II,44.71305556,-109.3797222,USDA-USFS-Shoshone NF-Wapiti RD,3,337250,Burned,6-Jan-14,,,,,,,44.71305556,-109.3797222
1314,Bald Ridge East 2013,SMP-II,44.71305556,-109.3797222,USDA-USFS-Shoshone NF-Wapiti RD,4,348660,,,,,,,,,44.71305556,-109.3797222
957,Bald Ridge East Timber Sale Piles 2012,SMP-II,44.71305556,-109.3797222,USDA-USFS-Shoshone NF-Cody RD,88,204444,Burned,21-Dec-11,,,,,,,44.71305556,-109.3797222
1255,Bald Ridge East 2012a,SMP-II,44.71305556,-109.3797222,USDA-USFS-Shoshone NF-Wapiti RD,4,348660,,,,,,,,,44.71305556,-109.3797222
709,Bald Ridge East TS Piles (amended 12-20-2010),SMP-II,44.7125,-109.375,USDA-USFS-Shoshone NF-Wapiti RD,341,1748891,Burned,4-Jan-11,5-Jan-11,6-Jan-11,,,,,44.7125,-109.375
3711,Beaver Creek Pile,SMP-II,44.71,-107.73,USDI-BLM-Cody Field Office,30,,,,,,,,,,44.71,-107.73
3031,Bald Ridge TS Piles,SMP-II,44.71,-109.38,USDA USFS Shoshone National Forest,2,433800,Burned,12/13/2016,,,,,,,44.71,-109.38
1503,Beam TS Piles 2014,SMP-II,44.70777778,-109.6383333,USDA-USFS-Shoshone NF-Wapiti RD,4,28075,Burned,6-Jan-14,,,,,,,44.70777778,-109.6383333
1667,Bald Ridge East TS,SMP-II,44.706125,-109.380701,,2,215950,,,,,,,,,44.706125,-109.380701
1582,Bull Creek 2,SMP-II,44.7025,-107.6066667,USDA-USFS-Bighorn NF-Tongue RD,39,,,,,,,,,,44.7025,-107.6066667
1135,"Woodrock Clear-cut Units 1, 2, 2.1, 3 & 4",SMP-II,44.70222222,-107.4269444,USDA-USFS-Big Horn NF-Tongue RD,222,,Burned,15-May-12,,,,,,,44.70222222,-107.4269444
1546,Heald Road,SMP-II,44.70086667,-105.2172833,Wyoming State Forestry Division,4,28651,,,,,,,,,44.70086667,-105.2172833
1309,Heald Road,SMP-II,44.70086667,-105.2172833,Wyoming State Forestry Division,80,64000,,,,,,,,,44.70086667,-105.2172833
780,Heald Road,SMP-II,44.70001444,-105.2166769,Wyoming State Forestry Division,80,64000,,,,,,,,,44.70001444,-105.2166769
3873,Beaver Creek Piles,SMP-II,44.7,-107.84,,157,,,,,,,,,,44.7,-107.84
1780,Bull Creek 2,SMP-II,44.7,-107.61,USDA-USFS-Bighorn NF-Tongue RD,39,,,,,,,,,,44.7,-107.61
1994,Bull Creek 2,SMP-II,44.7,-107.61,USDA-USFS-Bighorn NF-Tongue RD,39,,,,,,,,,,44.7,-107.61
3220,Woodrock Timber Sale Hand Piles,SMP-II,44.69,-107.45,USDA-USFS-Bighorn NF-Tongue RD,206,24465,Burned,11/7/2017,,,,,,,44.69,-107.45
3287,Spring Creek,SMP-II,44.69,-105.19,USDA-USFS-Medicine Bow-Routt NF & Thunder Basin NG-Douglas RD,,75000,,,,,,,,,44.69,-105.19
3292,Spring Creek,SMP-II,44.69,-105.19,USDA-USFS-Medicine Bow-Routt NF & Thunder Basin NG-Douglas RD,,75000,Burned,1/17/2018,,,,,,,44.69,-105.19
3461,Spring Creek Veg Pile Burn,SMP-II,44.69,-105.19,USDA-USFS-Shoshone NF-Wind River RD,160,,,,,,,,,,44.69,-105.19
3605,Spring Creek Veg Pile Burn,SMP-II,44.69,-105.19,USFS,160,75000,,,,,,,,,44.69,-105.19
1224,Woodrock Timber Sale Hand Piles,SMP-II,44.68638889,-107.4522222,USDA-USFS-Big Horn NF-Tongue RD,206,24465,,,,,,,,,44.68638889,-107.4522222
1386,Woodrock Timber Sale Machine Piles,SMP-II,44.68638889,-107.4522222,USDA-USFS-Bighorn NF-Tongue RD,206,24465,Burned,15-Feb-13,22-Feb-12,,,,,,44.68638889,-107.4522222
1755,Beaver Creek South,SMP-II,44.68,-107.68,USDA-USFS-Bighorn NF,7427,,Burned,9/22/2015,9/23/2015,9/24/2015,,,,,44.68,-107.68
1978,Woodrock,SMP-II,44.68,-107.42,USDA-USFS-Bighorn NF-Tongue RD,,536859,Burned,1/26/2016,,,,,,,44.68,-107.42
2001,Beaver Creek South,SMP-II,44.68,-107.68,USDA-USFS-Bighorn NF,7427,,,,,,,,,,44.68,-107.68
1568,West Slope Riparian Prescribed Burn,SMP-II,44.6722938,-107.8107208,USDI-BLM-Cody Field Office,50,,,,,,,,,,44.6722938,-107.8107208
1597,Woodrock Clear-cut Units 10 & 12,SMP-II,44.66555556,-107.4591667,USDA-USFS-Bighorn NF-Tongue RD,107,,,,,,,,,,44.66555556,-107.4591667
1632,North End Rx,SMP-II,44.6625,-104.3472222,USDA-USFS-Black Hills NF-Bearlodge RD,175,,,,,,,,,,44.6625,-104.3472222
