BurnName,AgencyGroup,AgencyID,AdministrativeUnit,ShortPermitNum,PileBcst,Acres Max Permitted ,Piles Max Permitted,Lat,Lon,Actual Acres Burned,Act Pile Vol Consumed,ActPiles,PileActVolume,PilePctCons
Keystone Mountain,Non-Profits & Misc. Fed,SKI,Ski resort,175,p,,500,39.59,-105.93,,0,,,
Copper Mountain Coaster,Non-Profits & Misc. Fed,SKI,Ski resort,245,p,,100,39.49,-106.15,,0,,,
Winter Park,Non-Profits & Misc. Fed,SKI,Ski resort,304,p,,10,39.86,-105.75,,0,,,
Aspen Highlands Ski Area,Non-Profits & Misc. Fed,SKI,Ski resort,309,p,,90,39.13,-106.86,,0,,,
Wolf Creek Ski Area,Non-Profits & Misc. Fed,SKI,Ski resort,316,p,,2,37.47,-106.78,,4420,2,2600,85
Arapahoe Basin Ski Area,Non-Profits & Misc. Fed,SKI,Ski resort,341,p,,300,39.63,-105.87,,0,,,
Ridge Road Piles,Non-Profits & Misc. Fed,TNC,The Nature Conservancy,150,p,,150,39.48,-105.24,,0,,,
Storage Tank,Non-Profits & Misc. Fed,TNC,The Nature Conservancy,158,b,250,,37.4,-103.69,,0,,,
Elkhorn Unit #1,Non-Profits & Misc. Fed,TNC,The Nature Conservancy,165,b,200,,40.73,-105.51,,0,,,
Curelew RX,Non-Profits & Misc. Fed,TNC,The Nature Conservancy,290,b,500,,37.39,-103.70,,0,,,
Green Grizzly Piles,NPS,BCP,Black Canyon National Park,26,p,,200,38.59,-107.69,,0,,,
BCP Maintenance Brush Pile,NPS,BCP,Black Canyon National Park,271,p,,1,38.53,-107.68,,0,,,
Dinosaur HQ,NPS,DSP,Dinosaur National Monument,279,p,,5,40.24,-108.96,,0,,,
Sand Dunes Admin Pile,NPS,GSP,Great Sand Dunes National Park,138,p,,1,37.71,-105.51,,0,,,
Liberty Units 1 & 2,NPS,GSP,Great Sand Dunes National Park,193,b,1150,,37.9,-105.67,,0,,,
MEVE Admin,NPS,MVP,Mesa Verde National Park,93,p,,2,37.18,-108.48,,950,1,1000,95
Deer Mt. West,NPS,RMP,Rocky Mountain National Park,35,p,,1600,40.4,-105.62,,0,,,
Old Fall River,NPS,RMP,Rocky Mountain National Park,36,p,,7,40.35,-106.01,,1925,7,275,100
Mill Creek,NPS,RMP,Rocky Mountain National Park,67,p,,406,40.34,-105.59,,0,,,
Eagle LLP,NPS,RMP,Rocky Mountain National Park,69,p,,50,40.35,-105.58,,0,,,
West BME,NPS,RMP,Rocky Mountain National Park,81,p,,91,40.36,-105.58,,0,,,
Private Piles,Private Land,BPT,Privately-owned land being burned by owner,270,p,,65,37.09,-106.67,,0,,,
Private Piles,Private Land,PVT,Privately-owned land being burned by owner,2,p,,99,39.69,-106.33,,0,,,
Private Piles,Private Land,PVT,Privately-owned land being burned by owner,24,p,,525,38.47,-106.41,,0,,,
Private Piles,Private Land,PVT,Privately-owned land being burned by owner,50,p,,25,38.47,-105.19,,1181.25,1,1575,75
Private Piles,Private Land,PVT,Privately-owned land being burned by owner,94,p,,3,37.48,-105.20,,0,,,
Private Piles,Private Land,PVT,Privately-owned land being burned by owner,97,p,,64,37.42,-108.36,,0,,,
Private Piles,Private Land,PVT,Privately-owned land being burned by owner,99,p,,75,40.76,-105.51,,0,,,
Private Piles,Private Land,PVT,Privately-owned land being burned by owner,105,p,,15,40.71,-105.34,,0,,,
Private Piles,Private Land,PVT,Privately-owned land being burned by owner,136,p,,120,39.52,-106.06,,0,,,
Private Piles,Private Land,PVT,Privately-owned land being burned by owner,147,p,,12,40.71,-105.36,,0,,,
Private Piles,Private Land,PVT,Privately-owned land being burned by owner,147,p,,12,40.71,-105.36,,0,,,
Private Piles,Private Land,PVT,Privately-owned land being burned by owner,183,p,,250,40.05,-105.36,,0,,,
Private Piles,Private Land,PVT,Privately-owned land being burned by owner,218,p,,55,30.08,-105.42,,44550,45,1000,99
Private Piles,Private Land,PVT,Privately-owned land being burned by owner,240,p,,1,40.56,-106.89,,0,,,
Private Piles,Private Land,PVT,Privately-owned land being burned by owner,249,p,,1,40.48,-106.80,,0,,,
Private Piles,Private Land,PVT,Privately-owned land being burned by owner,265,p,,100,39.59,-102.32,,0,,,
Private Piles,Private Land,PVT,Privately-owned land being burned by owner,276,p,,2,36.98,-105.73,,0,,,
Private Piles,Private Land,PVT,Privately-owned land being burned by owner,278,p,,2,37.36,-107.84,,0,,,
Private Piles,Private Land,PVT,Privately-owned land being burned by owner,282,p,,10,40.51,-107.06,,16625,7,2500,95
Private Piles,Private Land,PVT,Privately-owned land being burned by owner,294,p,,30,39.49,-106.05,,0,,,
Private Piles,Private Land,PVT,Privately-owned land being burned by owner,303,p,,1,39.38,-105.81,,0,,,
Private Piles,Private Land,PVT,Privately-owned land being burned by owner,318,p,,800,37.53,-107.79,,0,,,
Private Piles,Private Land,PVT,Privately-owned land being burned by owner,332,p,,120,39.5,-105.28,,0,,,
Private Piles,Private Land,PVT,Privately-owned land being burned by owner,340,p,,3,40.4,-106.80,,5510,2,2900,95
Private Piles,Private Land,PVT,Privately-owned land being burned by owner,343,p,,50,40.21,-106.89,,0,,,
Private Piles,Private Land,PVT,Privately-owned land being burned by owner,344,p,,1,40.3,-106.88,,0,,,
Private Piles,Private Land,PVT,Privately-owned land being burned by owner,350,p,,3,40.46,-106.81,,0,,,
Private Piles,Private Land,PVT,Privately-owned land being burned by owner,352,p,,4,37.54,-107.80,,0,,,
Private Piles,Private Land,TRT,Privately-owned land being burned by owner,4,p,,45,39.87,-105.41,,0,,,
Private Piles,Private Land,TRT,Privately-owned land being burned by owner,20,p,,30,37.97,-108.01,,0,,,
Private Piles,Private Land,TRT,Privately-owned land being burned by owner,21,p,,100,37.62,-105.23,,0,,,
Private Piles,Private Land,TRT,Privately-owned land being burned by owner,22,p,,78,37.41,-105.23,,296820,15,20400,97
Private Piles,Private Land,TRT,Privately-owned land being burned by owner,157,p,,12,37.04,-105.00,,0,,,
Private Broadcast,Private Land,TRT,Privately-owned land being burned by owner,273,b,2800,,37.49,-105.39,,0,,,
Private Piles,Private Land,TRT,Privately-owned land being burned by owner,353,p,,30,37.27,-105.23,,145141.5,7,27646,75
Private Piles,Private Land,VRT,Privately-owned land being burned by owner,76,p,,500,37.1,-104.64,,0,,,
Mad and Blue Creek Piles,USFS,ARF,Arapaho/Roosevelt National Forests,45,p,,5000,39.76,-105.69,,0,,,
Sugarloaf 151,USFS,ARF,Arapaho/Roosevelt National Forests,56,p,,1500,39.97,-105.47,,0,,,
Lump Gulch Lumpy Tung 1-9,USFS,ARF,Arapaho/Roosevelt National Forests,57,p,,560,39.88,-105.49,,0,,,
Lump Gulch Lumpy Tung 1-9,USFS,ARF,Arapaho/Roosevelt National Forests,57,p,,560,39.88,-105.49,,0,,,
Sugarloaf 137,USFS,ARF,Arapaho/Roosevelt National Forests,61,p,,24,39.99,-105.45,,7307.1,23,353,90
Kelly Dahl,USFS,ARF,Arapaho/Roosevelt National Forests,68,p,,200,39.93,-105.49,,0,,,
Sulphur Machine South,USFS,ARF,Arapaho/Roosevelt National Forests,77,p,,300,39.91,-105.84,,1345818.6,255,6283,84
Magic Sky,USFS,ARF,Arapaho/Roosevelt National Forests,80,p,,4822,40.74,-105.52,,0,,,
Magic Sky,USFS,ARF,Arapaho/Roosevelt National Forests,80,p,,4822,40.74,-105.52,,0,,,
St. Vrain Taylor SV6,USFS,ARF,Arapaho/Roosevelt National Forests,82,p,,2500,40.2,-105.49,,0,,,
Sugarloaf 4,USFS,ARF,Arapaho/Roosevelt National Forests,83,p,,500,40.05,-105.43,,0,,,
James Creek Handpiles,USFS,ARF,Arapaho/Roosevelt National Forests,84,p,,12000,40.09,-105.44,,298591.2,1468,226,90
Forsythe 99,USFS,ARF,Arapaho/Roosevelt National Forests,89,p,,600,39.96,-105.76,,0,,,
James Creek Machine,USFS,ARF,Arapaho/Roosevelt National Forests,114,p,,110,40.09,105.43,,5089.5,3,1885,90
Crown Point,USFS,ARF,Arapaho/Roosevelt National Forests,125,p,,38,40.65,-105.62,,0,,,
Sulphur North Machine Piles,USFS,ARF,Arapaho/Roosevelt National Forests,139,p,,300,40.26,-106.07,,100528,20,6283,80
Sulphur Machine West,USFS,ARF,Arapaho/Roosevelt National Forests,141,p,,300,39.92,-105.84,,432584.55,81,6283,85
Evergreen 1A,USFS,ARF,Arapaho/Roosevelt National Forests,145,p,,75,39.56,-105.38,,0,,,
"St. Vrain 13_14, Johnny Park",USFS,ARF,Arapaho/Roosevelt National Forests,151,p,,5000,40.25,-105.40,,0,,,
James Creek 3401-3402 Boulder Hts,USFS,ARF,Arapaho/Roosevelt National Forests,152,p,,2000,40.1,-105.32,,0,,,
"James Creek M3202 Ward Jam #5,6,7",USFS,ARF,Arapaho/Roosevelt National Forests,169,p,,1200,40.08,-105.48,,0,,,
Keota 10,USFS,ARF,Arapaho/Roosevelt National Forests,192,b,800,,40.84,-104.47,,0,,,
Pingree Hill,USFS,ARF,Arapaho/Roosevelt National Forests,202,b,1800,,40.71,-105.54,,0,,,
Red Feather North,USFS,ARF,Arapaho/Roosevelt National Forests,219,b,2220,,40.85,-105.57,,0,,,
SRD North Handpiles,USFS,ARF,Arapaho/Roosevelt National Forests,238,p,,10000,40.22,-105.96,,105700.5,415,283,90
SRD South Handpiles,USFS,ARF,Arapaho/Roosevelt National Forests,239,p,,10000,39.92,-105.87,,890100,3956,250,90
St. Vrain 5i 5H,USFS,ARF,Arapaho/Roosevelt National Forests,252,p,,1000,40.16,-105.45,,0,,,
James Creek RFB 10,USFS,ARF,Arapaho/Roosevelt National Forests,253,p,,2000,40.06,-105.49,,2754,36,85,90
Arrow,USFS,ARF,Arapaho/Roosevelt National Forests,335,p,,3000,39.91,-105.76,,426381.2,2030,236,89
Kannah Creek,USFS,GMF,Grand Mesa/Uncompahgre/Gunnison Nat'l Forests,49,p,,350,38.96,-108.21,,0,,,
Mesa Pt Comm Site,USFS,GMF,Grand Mesa/Uncompahgre/Gunnison Nat'l Forests,54,p,,250,38.87,-108.33,,0,,,
Ridgestock,USFS,GMF,Grand Mesa/Uncompahgre/Gunnison Nat'l Forests,64,p,,40,38.25,-107.37,,0,,,
Highway 149 Corridor,USFS,GMF,Grand Mesa/Uncompahgre/Gunnison Nat'l Forests,65,p,,201,37.98,-107.20,,0,,,
Highway 149 Corridor,USFS,GMF,Grand Mesa/Uncompahgre/Gunnison Nat'l Forests,65,p,,201,37.97,-107.20,,0,,,
Escalante,USFS,GMF,Grand Mesa/Uncompahgre/Gunnison Nat'l Forests,71,p,,1200,38.51,-108.34,,0,,,
Ouray Amphitheater,USFS,GMF,Grand Mesa/Uncompahgre/Gunnison Nat'l Forests,72,p,,20,38.02,-107.66,,0,,,
Cow Creek,USFS,GMF,Grand Mesa/Uncompahgre/Gunnison Nat'l Forests,153,p,,1000,39.11,-107.61,,0,,,
Leroux Creek,USFS,GMF,Grand Mesa/Uncompahgre/Gunnison Nat'l Forests,154,p,,1000,38.99,-107.71,,0,,,
Hubbard,USFS,GMF,Grand Mesa/Uncompahgre/Gunnison Nat'l Forests,155,p,,60,39.04,-107.59,,0,,,
Eggleston Group,USFS,GMF,Grand Mesa/Uncompahgre/Gunnison Nat'l Forests,156,p,,2625,39.03,-108.01,,0,,,
Cottonwood Hollow,USFS,GMF,Grand Mesa/Uncompahgre/Gunnison Nat'l Forests,186,b,3208,,38.49,-108.42,,0,,,
Little Monitor,USFS,GMF,Grand Mesa/Uncompahgre/Gunnison Nat'l Forests,187,b,1000,,38.52,-108.30,,0,,,
25 Mesa,USFS,GMF,Grand Mesa/Uncompahgre/Gunnison Nat'l Forests,188,b,1406,,38.48,-108.38,,0,,,
Glencoe Pine,USFS,GMF,Grand Mesa/Uncompahgre/Gunnison Nat'l Forests,200,b,3412,,38.36,-108.40,,0,,,
Horse Pasture Pit,USFS,GMF,Grand Mesa/Uncompahgre/Gunnison Nat'l Forests,201,p,,15,38.08,-108.32,,0,,,
WIMP 5,USFS,GMF,Grand Mesa/Uncompahgre/Gunnison Nat'l Forests,207,b,1150,,38.97,-108.12,,0,,,
Calamity Hills,USFS,GMF,Grand Mesa/Uncompahgre/Gunnison Nat'l Forests,227,b,2000,,38.69,-108.78,,0,,,
Battlements,USFS,GMF,Grand Mesa/Uncompahgre/Gunnison Nat'l Forests,244,b,1335,,39.29,-107.88,,0,,,
Los Pinos,USFS,GMF,Grand Mesa/Uncompahgre/Gunnison Nat'l Forests,246,b,1500,,38.19,-106.89,,0,,,
Myers,USFS,GMF,Grand Mesa/Uncompahgre/Gunnison Nat'l Forests,255,b,1000,,38.25,-106.62,,0,,,
Sheep Flats TS (revised),USFS,GMF,Grand Mesa/Uncompahgre/Gunnison Nat'l Forests,256,p,,300,39.14,-107.85,,132710.25,201,695,95
Rocky Pitch,USFS,GMF,Grand Mesa/Uncompahgre/Gunnison Nat'l Forests,257,b,2000,,38.76,-108.67,,0,,,
Sanborn Fuels,USFS,GMF,Grand Mesa/Uncompahgre/Gunnison Nat'l Forests,258,b,900,,38.2,-108.22,,0,,,
Sawmill RX,USFS,GMF,Grand Mesa/Uncompahgre/Gunnison Nat'l Forests,266,b,1300,,38.49,-108.40,,0,,,
Thunder Road Fuels RX,USFS,GMF,Grand Mesa/Uncompahgre/Gunnison Nat'l Forests,274,b,601,,38.05,-108.31,130,0,,,
Ed Joe Fuels Rx,USFS,GMF,Grand Mesa/Uncompahgre/Gunnison Nat'l Forests,275,b,512,,38.06,-108.28,,0,,,
Wiley Gulch,USFS,GMF,Grand Mesa/Uncompahgre/Gunnison Nat'l Forests,319,p,,100,38.55,-106.50,,0,,,
Sargents Mesa,USFS,GMF,Grand Mesa/Uncompahgre/Gunnison Nat'l Forests,320,p,,30,38.29,-106.35,,0,,,
Stage Stop Reoffer and Murdie,USFS,GMF,Grand Mesa/Uncompahgre/Gunnison Nat'l Forests,321,p,,100,38.81,-106.47,,0,,,
Red Creek,USFS,GMF,Grand Mesa/Uncompahgre/Gunnison Nat'l Forests,322,p,,50,38.61,-107.47,,0,,,
Beetle Pinos and Perfecto,USFS,GMF,Grand Mesa/Uncompahgre/Gunnison Nat'l Forests,327,p,,50,38.08,-106.94,,0,,,
Paradox Piles,USFS,GMF,Grand Mesa/Uncompahgre/Gunnison Nat'l Forests,329,p,,150,38.27,-108.08,,0,,,
Mtn Village,USFS,GMF,Grand Mesa/Uncompahgre/Gunnison Nat'l Forests,346,p,,75,37.91,-107.85,,1134,10,126,90
Buckeye Reservoir,USFS,MLF,Manti La Salle National Forests,263,b,500,,38.43,-109.03,110,0,,,
Log Decks,USFS,PSF,Pike/San Isabel National Forests,6,p,,25,39.39,-105.13,,0,,,
