BurnName,ShortPermitNum,AgencyGroup,AgencyID,AdministrativeUnit,PileBcst,AcresAnnMaxProjectPermitted,PilesAnnMaxProjectPermitted,Lat,Lon,Actual Acres Burned,Act Pile Vol Consumed,ActPiles,PileActVolume,PilePctCons
4 Neighborhoods RX,271,BLM,SWD,"Southwest District , BLM",p,,60,38.06,-107.68,,0.00,0,,
Dry Creek (TFO Piles),279,BLM,SWD,"Southwest District , BLM",p,,1400,38.06,-108.55,,0.00,0,,
4 Neighborhoods Piles,241,BLM,UPD,"Uncompaghre Field  Office (Montrose), BLM",p,,100,38.07,-107.67,,"7,125.00",25,300,95
Leonards Basin,242,BLM,UPD,"Uncompaghre Field  Office (Montrose), BLM",p,,150,38.79,-108.31,,0.00,0,,
James Mark Jones SWA Piles,89,CPW,DEW,"Denver Area, Colo Parks & Wildlife Div",p,,150,39.18,-105.89,,0.00,0,,
Nott Creek Units 123 Pile Burn,102,CPW,DEW,"Denver Area, Colo Parks & Wildlife Div",p,,777,39.86,-105.35,,"46,717.58",193,247,98
St. Vrain,107,CPW,DEW,"Denver Area, Colo Parks & Wildlife Div",p,,1,40.16,-104.98,,0.00,,,
Banner Lakes,183,CPW,DEW,"Denver Area, Colo Parks & Wildlife Div",b,1000,,40.07,-104.56,,,,,
Park County CPW Broadcast Burn,86,CPW,DUW,"Durango Area, Colo Parks & Wildlife Div",b,700,,39.2,-105.89,0,,,,
Bellvue Piles,142,CPW,FCW,"Fort Collins Area, Colo Parks & Wildlife Div",p,,1,40.63,-105.17,,0.00,,,
Cameo Pile,212,CPW,GJW,Grand Junction Area,p,,2,39.15,-108.31,,0.00,,,
Rio Grande SWA,97,CPW,MVW,"Monte Vista Area, Colo Parks & Wildlife Div",p,,15,37.57,-106.04,,0.00,0,,
Lory State Park,106,CPW,SPW,Colorado State Parks,p,,350,40.57,-105.18,,"10,625.00",250,50,85
Mueller State Park Rx,113,CPW,SPW,Colorado State Parks,b,720,,38.88,-105.15,0,,,,
Chemical Depot Broadcast,167,DoD,CDQ,Army Chemical Depot,b,300,,38.27,-104.28,,,,,
Fort Carson Piles,124,DoD,FCQ,Fort Carson Army,p,,1000,38.59,-104.82,,0.00,0,,
PCMS Piles,125,DoD,FCQ,Fort Carson Army,p,,500,37.52,-104,,0.00,0,,
Fort Carson - North,201,DoD,FCQ,Fort Carson Army,b,5000,,38.7,-104.77,0,,,,
Fort Carson - Middle,202,DoD,FCQ,Fort Carson Army,b,10000,,38.59,-104.82,0,,,,
Fort Carson - South,203,DoD,FCQ,Fort Carson Army,b,10000,,38.47,-104.86,0,,,,
PCMS Broadcast,204,DoD,FCQ,Fort Carson Army,b,25000,,37.46,-103.96,0,,,,
Water Tank,197,Local Gov't Agency,BCX,City of Boulder,b,85,,39.95,-105.26,,,,,
Hall Ranch,6,Local Gov't Agency,BOX,Boulder County Open Space,p,,1000,40.21,-105.33,,"9,537.00",132,85,85
Wapiti 2,218,Local Gov't Agency,BOX,Boulder County Open Space,b,270,,40.16,-105.29,0,,,,
CAFA Unit 3 Project,45,Local Gov't Agency,LCL,Local Government Agency,p,,100,40.09,-105.32,,"12,830.40",60,216,99
1577 West Coach Road,46,Local Gov't Agency,LCL,Local Government Agency,p,,100,40.06,-105.34,,"12,830.40",60,216,99
Anne White Project,47,Local Gov't Agency,LCL,Local Government Agency,p,,350,40.05,-105.31,,"21,384.00",100,216,99
Oak Creek FPD,70,Local Gov't Agency,LCL,Local Government Agency,p,,500,40.29,-106.96,,0.00,,,
North Routt FPD,71,Local Gov't Agency,LCL,Local Government Agency,p,,500,40.76,-106.75,,0.00,,,
Elk Creek FPD,85,Local Gov't Agency,LCL,Local Government Agency,p,,1050,39.57,-105.28,,"7,040.00",110,64,100
Glacier View Community Piles,91,Local Gov't Agency,LCL,Local Government Agency,p,,20,40.7,-105.41,,0.00,,,
Deer Valley Park Association Piles,155,Local Gov't Agency,LCL,Local Government Agency,p,,2000,39.43,-105.43,,"20,482.00",440,49,95
Dalla Mountain Park Burn,162,Local Gov't Agency,LCL,Local Government Agency,p,,150,37.3,-107.88,,"7,039.50",130,57,95
Limon Collection,173,Local Gov't Agency,LCL,Local Government Agency,p,,1,39.25,-103.68,,"9,500.00",1,9500,100
Cortez Fire Piles,175,Local Gov't Agency,LCL,Local Government Agency,p,,500,37.33,-108.6,,"1,762.20",12,165,89
Perry Park,182,Local Gov't Agency,LCL,Local Government Agency,p,,1,39.27,-105,,"133,000.00",1,140000,95
Willow,213,Local Gov't Agency,LCL,Local Government Agency,p,,3,37.17,-105.86,,0.00,,,
Otis Tree Pile,235,Local Gov't Agency,LCL,Local Government Agency,p,,4,40.14,-102.95,,0.00,,,
Mesa Cortina Open Space,237,Local Gov't Agency,LCL,Local Government Agency,p,,457,39.62,-106.08,,"27,562.50",175,175,90
Dry Gulch,31,Multiple Agencies,MUL,multiple agencies,b,590,,39.91,-106.59,,,,,
Arsenal Broadcast,145,Multiple Agencies,MUL,multiple agencies,b,3500,,39.81,-104.81,0,,,,
"Ingersoll, Heil Valley Ranch",146,Multiple Agencies,MUL,multiple agencies,b,301,,40.13,-105.33,0.01,,,,
Squaw Creek,168,Multiple Agencies,MUL,multiple agencies,b,600,,38.08,-106.45,0,,,,
North Slope Piles,26,Non-Profits & Misc. Fed,OTR,Other,p,,500,38.92,-105.04,,"10,854.00",60,201,90
F Wagon Creek,247,Non-Profits & Misc. Fed,OTR,Other,p,,1,37.55,-105.22,,"2,772.00",1,3080,90
Arrowhead,258,Non-Profits & Misc. Fed,OTR,Other,p,,1,38.32,-107.35,,"62,244.00",1,65520,95
Snowmass Ski Area Piles,160,Non-Profits & Misc. Fed,SKI,Ski resort,p,,320,39.19,-106.95,,247.50,2,275,45
Tucker Mountain,229,Non-Profits & Misc. Fed,SKI,Ski resort,p,,100,39.45,-106.16,,450.00,1,450,100
Wolf Creek Ski Area,234,Non-Profits & Misc. Fed,SKI,Ski resort,p,,6,37.47,-106.78,,"4,900.00",4,1225,100
Aspen Highlands Ski Area,239,Non-Profits & Misc. Fed,SKI,Ski resort,p,,380,39.13,-106.86,,"24,400.35",195,129,97
Winter Park,285,Non-Profits & Misc. Fed,SKI,Ski resort,p,,25,39.86,-105.75,,"5,320.00",1,5600,95
Brannigan,134,Non-Profits & Misc. Fed,TNC,The Nature Conservancy,b,1200,,40.96,-105.06,,,,,
Dino Admin,215,NPS,DNP,Dinosaur National Monument,p,,3,40.24,-108.97,,0.00,,,
Sand Dunes Admin Pile,93,NPS,GSP,Great Sand Dunes National Park,p,,1,37.71,-105.51,,"1,325.70",1,1473,90
Liberty Units 1-4,214,NPS,GSP,Great Sand Dunes National Park,b,3335,,37.9,-105.67,,,,,
MEVE Admin,143,NPS,MVP,Mesa Verde National Park,p,,2,37.18,-108.48,,"6,927.62",1,7069,98
East Portal,50,NPS,RMP,Rocky Mountain National Park,p,,1200,40.32,-105.58,,"283,122.00",321,900,98
Upper Bear Lake Road,51,NPS,RMP,Rocky Mountain National Park,p,,150,40.32,-105.62,,"74,970.00",85,900,98
Wind River,52,NPS,RMP,Rocky Mountain National Park,p,,4500,40.32,-105.59,,"1,825,740.00",2070,900,98
Moraine Park Pit,159,NPS,RMP,Rocky Mountain National Park,p,,2,40.4,-105.58,,"47,040.00",2,24000,98
South Lateral Moraine Unit,186,NPS,RMP,Rocky Mountain National Park,b,175,,40.34,-105.59,0,,,,
BME Unit,187,NPS,RMP,Rocky Mountain National Park,b,300,,40.36,-105.56,,,,,
Banded Peak Ranch,217,Private Land,BPT,Banded Peak Ranch,p,,15,37.09,-106.67,,"6,075.00",15,450,90
Private Piles,61,Private Land,PVT,Privately-owned land being burned by owner,p,,2,37.98,-105.73,,0.00,,,
Private Piles,62,Private Land,PVT,Privately-owned land being burned by owner,p,,220,38.46,-106.41,,"10,801.92",192,58,97
Private Piles,84,Private Land,PVT,Privately-owned land being burned by owner,p,,6,40.4,-106.8,,"11,020.00",4,2900,95
Private Piles,90,Private Land,PVT,Privately-owned land being burned by owner,p,,2,40.81,-105.61,,"18,000.00",2,18000,50
Private Piles,110,Private Land,PVT,Privately-owned land being burned by owner,p,,8,37.47,-105.19,,0.00,,,
Private Piles,111,Private Land,PVT,Privately-owned land being burned by owner,b,15,,39.78,-104.75,0,,,,
Private Piles,126,Private Land,PVT,Privately-owned land being burned by owner,p,,81,38.08,-105.42,,"60,944.40",81,792,95
Private Piles,154,Private Land,PVT,Privately-owned land being burned by owner,p,,2,38.9,-107.92,,"1,112.00",1,1390,80
Private Piles,157,Private Land,PVT,Privately-owned land being burned by owner,p,,500,39.94,-105.47,,0.00,,,
Private Piles,171,Private Land,PVT,Privately-owned land being burned by owner,b,75,,39.63,-106.81,0,,,,
Private Piles,174,Private Land,PVT,Privately-owned land being burned by owner,p,,12,37.51,-107.8,,"5,130.00",9,750,76
Private Piles,180,Private Land,PVT,Privately-owned land being burned by owner,p,,20,40.61,-105.33,,0.00,0,,
Private Piles,205,Private Land,PVT,Privately-owned land being burned by owner,p,,2000,37.31,-107.77,,"4,600.00",2,2500,92
Private Piles,225,Private Land,PVT,Privately-owned land being burned by owner,p,,1,40.56,-106.89,,0.00,,,
Private Piles,232,Private Land,PVT,Privately-owned land being burned by owner,p,,1,40.33,-106.84,,0.00,,,
Private Piles,257,Private Land,PVT,Privately-owned land being burned by owner,p,,75,40.35,-104.76,,"77,576.85",39,2235,89
Private Piles,272,Private Land,PVT,Privately-owned land being burned by owner,p,,103,37.54,-107.8,,0.00,,,
Private Piles,280,Private Land,PVT,Privately-owned land being burned by owner,p,,99,40.29,-106.43,,0.00,,,
Private Piles,282,Private Land,PVT,Privately-owned land being burned by owner,p,,10,38.29,-107.59,,0.00,,,
Private Piles,72,Private Land,TRT,Ranch,p,,55,37,-105,,"93,480.00",12,8200,95
Private Piles,73,Private Land,TRT,Ranch,p,,106,37,-105,,"995,103.72",26,41154,93
Private Piles,74,Private Land,TRT,Ranch,p,,45,37,-105,,"325,124.80",20,16588,98
Ranch Mixed Conifer Restoration,211,Private Land,TRT,Ranch,b,500,,37,-105,0,,,,
Ranch Grass,223,Private Land,TRT,Ranch,b,500,,37,-105,125,,,,
Link Creek STL Piles,88,SLB,SLB,State Land Board,p,,300,39.01,-105.45,,"1,606.50",21,85,90
Sand Creek,108,SLB,SLB,State Land Board,p,,60,40.92,-105.81,,0.00,0,,
State Forest Piles,133,SLB,SLB,State Land Board,p,,50,40.52,-106.02,,"20,991.96",4,5301,99
Green Ridge Piles,238,SLB,SLB,State Land Board,p,,25,40.18,-106.87,,0.00,0,,
James Creek Handpiles,5,USFS,ARF,Arapaho/Roosevelt National Forests,p,,12000,40.09,-105.44,,"261,426.00",1320,233,85
Red Feather 3,10,USFS,ARF,Arapaho/Roosevelt National Forests,p,,12072,40.76,-105.6,,"201,780.00",950,236,90
Thompson River 4,11,USFS,ARF,Arapaho/Roosevelt National Forests,p,,16120,40.36,-105.38,,"3,356,180.70",9085,393,94
Red Feather 4,12,USFS,ARF,Arapaho/Roosevelt National Forests,p,,6345,40.76,-105.6,,0.00,,,
Deadhorse-Pratt Creek,13,USFS,ARF,Arapaho/Roosevelt National Forests,p,,45,40.96,-105.59,,"297,000.00",33,10000,90
Magic Sky 3,14,USFS,ARF,Arapaho/Roosevelt National Forests,p,,6335,40.78,-105.5,,"1,012,210.80",2740,393,94
Magic Sky 2,15,USFS,ARF,Arapaho/Roosevelt National Forests,p,,6200,40.77,-105.48,,"2,146,762.50",5750,393,95
Glen Haven,16,USFS,ARF,Arapaho/Roosevelt National Forests,p,,2460,40.47,-105.46,,"286,976.00",1280,236,95
James Creek Machine,39,USFS,ARF,Arapaho/Roosevelt National Forests,p,,110,40.09,-105.43,,0.00,0,,
Echo Hills Blue Hills Hand Piles,40,USFS,ARF,Arapaho/Roosevelt National Forests,p,,2500,39.68,-105.44,,"773,617.50",1825,471,90
Mad and Blue Creek Piles,41,USFS,ARF,Arapaho/Roosevelt National Forests,p,,5000,39.76,-105.69,,"151,483.20",1140,151,88
Evergreen 1A,42,USFS,ARF,Arapaho/Roosevelt National Forests,p,,125,39.56,-105.38,,"14,850.00",110,150,90
Lump Gulch,43,USFS,ARF,Arapaho/Roosevelt National Forests,p,,12000,39.95,-105.44,,"3,417.00",20,201,85
James Creek 3401-3402 Boulder Hts,48,USFS,ARF,Arapaho/Roosevelt National Forests,p,,2000,40.1,-105.32,,"120,360.00",600,236,85
St. Vrain Hand Piles,49,USFS,ARF,Arapaho/Roosevelt National Forests,p,,12000,40.23,-105.53,,"230,647.50",1350,201,85
Forsythe II Hand Piles,109,USFS,ARF,Arapaho/Roosevelt National Forests,p,,10000,39.99,-105.39,,"52,623.50",410,151,85
Keyser Creek,117,USFS,ARF,Arapaho/Roosevelt National Forests,p,,200,39.9,-106.01,,0.00,0,,
Pass Creek,118,USFS,ARF,Arapaho/Roosevelt National Forests,p,,300,40.32,-106.07,,0.00,0,,
Trail Creek,119,USFS,ARF,Arapaho/Roosevelt National Forests,p,,6000,40.22,-105.94,,0.00,0,,
Supply Creek,120,USFS,ARF,Arapaho/Roosevelt National Forests,p,,4501,40.25,-105.95,,0.00,0,,
Vasquez,121,USFS,ARF,Arapaho/Roosevelt National Forests,p,,3000,39.88,-105.82,,0.00,0,,
Saint Louis Creek,122,USFS,ARF,Arapaho/Roosevelt National Forests,p,,15,39.9,-105.87,,0.00,0,,
High Lonesome,123,USFS,ARF,Arapaho/Roosevelt National Forests,p,,75,40.04,-105.81,,0.00,0,,
Panhandle 2,132,USFS,ARF,Arapaho/Roosevelt National Forests,p,,5,40.86,-105.78,,"36,000.00",4,10000,90
Pingree Hill/Elkhorn,148,USFS,ARF,Arapaho/Roosevelt National Forests,b,2191,,40.71,-105.63,155,,,,
Blue Ridge Piles,161,USFS,ARF,Arapaho/Roosevelt National Forests,p,,9500,39.99,-105.97,,0.00,0,,
Blue Creek,165,USFS,ARF,Arapaho/Roosevelt National Forests,b,300,,39.76,-105.69,0,,,,
Blue Ridge,166,USFS,ARF,Arapaho/Roosevelt National Forests,b,1280,,40.03,-106.09,0,,,,
Poudre Canyon Bighorn Sheep,169,USFS,ARF,Arapaho/Roosevelt National Forests,b,636,,40.7,-105.75,0,,,,
Lands End,77,USFS,GMF,Grand Mesa/Uncompahgre/Gunnison Nat'l Forests,p,,350,38.96,-108.21,,"17,671.90",71,262,95
Eggleston Group,78,USFS,GMF,Grand Mesa/Uncompahgre/Gunnison Nat'l Forests,p,,2608,39.05,-107.97,,0.00,,,
Paonia Corral,79,USFS,GMF,Grand Mesa/Uncompahgre/Gunnison Nat'l Forests,p,,2,38.86,-107.49,,353.70,1,393,90
Grand Mesa Resort Salvage,80,USFS,GMF,Grand Mesa/Uncompahgre/Gunnison Nat'l Forests,p,,500,39.06,-107.94,,"438,984.90",69,7069,90
Calamity Hills,81,USFS,GMF,Grand Mesa/Uncompahgre/Gunnison Nat'l Forests,b,2000,,38.69,-108.78,,,,,
Calamity Understory,82,USFS,GMF,Grand Mesa/Uncompahgre/Gunnison Nat'l Forests,b,400,,38.67,-108.79,,,,,
Steamboat Rock,83,USFS,GMF,Grand Mesa/Uncompahgre/Gunnison Nat'l Forests,b,1500,,39,-108.22,,,,,
Horsefly Thinning Piles,98,USFS,GMF,Grand Mesa/Uncompahgre/Gunnison Nat'l Forests,p,,500,38.21,-108.18,,"110,400.00",200,600,92
Los Pinos Piles,101,USFS,GMF,Grand Mesa/Uncompahgre/Gunnison Nat'l Forests,p,,606,38.07,-106.88,,"1,319,329.48",203,6914,94
Horse Pasture Pit,127,USFS,GMF,Grand Mesa/Uncompahgre/Gunnison Nat'l Forests,p,,15,38.08,-108.32,,784.00,1,800,98
Ed Joe Fuels Rx,128,USFS,GMF,Grand Mesa/Uncompahgre/Gunnison Nat'l Forests,b,512,,38.06,-108.28,0,,,,
Thunder Road Fuels RX,129,USFS,GMF,Grand Mesa/Uncompahgre/Gunnison Nat'l Forests,b,601,,38.05,-108.31,0,,,,
Sanborn Fuels,130,USFS,GMF,Grand Mesa/Uncompahgre/Gunnison Nat'l Forests,b,900,,38.2,-108.22,0,,,,
Glencoe Pine,131,USFS,GMF,Grand Mesa/Uncompahgre/Gunnison Nat'l Forests,b,3412,,38.36,-108.4,0,,,,
Davewood,147,USFS,GMF,Grand Mesa/Uncompahgre/Gunnison Nat'l Forests,b,1833,,38.29,-108.01,0,,,,
Simms Mesa GMF,149,USFS,GMF,Grand Mesa/Uncompahgre/Gunnison Nat'l Forests,b,1000,,38.27,-107.94,0,,,,
25 Mesa,150,USFS,GMF,Grand Mesa/Uncompahgre/Gunnison Nat'l Forests,b,1406,,38.48,-108.38,0,,,,
Little Monitor,151,USFS,GMF,Grand Mesa/Uncompahgre/Gunnison Nat'l Forests,b,1000,,38.52,-108.3,0,,,,
Escalante,152,USFS,GMF,Grand Mesa/Uncompahgre/Gunnison Nat'l Forests,p,,1200,38.51,-108.34,,"4,989.40",52,101,95
Cottonwood Hollow,153,USFS,GMF,Grand Mesa/Uncompahgre/Gunnison Nat'l Forests,b,3208,,38.49,-108.42,0,,,,
Telluride,163,USFS,GMF,Grand Mesa/Uncompahgre/Gunnison Nat'l Forests,p,,2,37.91,-107.85,,0.00,0,,
High Mesa,164,USFS,GMF,Grand Mesa/Uncompahgre/Gunnison Nat'l Forests,p,,2000,38.23,-107.48,,0.00,0,,
Sheep Flats TS,216,USFS,GMF,Grand Mesa/Uncompahgre/Gunnison Nat'l Forests,p,,300,39.14,-107.85,,0.00,,,
West Elk,228,USFS,GMF,Grand Mesa/Uncompahgre/Gunnison Nat'l Forests,b,1000,,38.56,-107.15,,,,,
Little Cone Piles,259,USFS,GMF,Grand Mesa/Uncompahgre/Gunnison Nat'l Forests,p,,10,37.91,-108.09,,"222,500.00",10,25000,89
Slumgullion Piles,261,USFS,GMF,Grand Mesa/Uncompahgre/Gunnison Nat'l Forests,p,,100,37.97,-107.18,,0.00,0,,
Sargents Mesa Piles,262,USFS,GMF,Grand Mesa/Uncompahgre/Gunnison Nat'l Forests,p,,300,38.31,-106.36,,0.00,0,,
Taylor,263,USFS,GMF,Grand Mesa/Uncompahgre/Gunnison Nat'l Forests,p,,160,38.75,-106.69,,0.00,0,,
Skeleton Salvage,264,USFS,GMF,Grand Mesa/Uncompahgre/Gunnison Nat'l Forests,p,,150,38.25,-106.61,,"434,280.96",72,6283,96
Alpine Plateau Piles,265,USFS,GMF,Grand Mesa/Uncompahgre/Gunnison Nat'l Forests,p,,600,38.22,-107.33,,0.00,0,,
West Mtn Monarch Wilder Piles,266,USFS,GMF,Grand Mesa/Uncompahgre/Gunnison Nat'l Forests,p,,50,38.61,-106.55,,"3,186.00",15,236,90
Round Mtn Force Account Landing Piles,1,USFS,PSF,Pike/San Isabel National Forests,p,,13,39.06,-105.42,,"45,448.00",13,3680,95
Road Gulch Hand Piles,3,USFS,PSF,Pike/San Isabel National Forests,p,,4300,38.59,-105.41,,"14,850.00",110,150,90
Beaver Rx Units P1-3,4,USFS,PSF,Pike/San Isabel National Forests,b,250,,38.86,-105.42,,,,,
Payne Gulch,8,USFS,PSF,Pike/San Isabel National Forests,p,,3000,39.4,-105.5,,"112,290.00",394,300,95
Spring Creek Machine,9,USFS,PSF,Pike/San Isabel National Forests,p,,250,39.35,-105.25,,"85,500.00",150,600,95
Pikes Peak Piles,19,USFS,PSF,Pike/San Isabel National Forests,p,,23200,38.91,-105,,"508,518.42",4174,131,93
South Platte River - East,20,USFS,PSF,Pike/San Isabel National Forests,p,,17000,39.4,-105.13,,"43,120.50",534,85,95
South Platte River - Central,21,USFS,PSF,Pike/San Isabel National Forests,p,,16000,39.33,-105.23,,"314,682.75",3897,85,95
East Turquoise,28,USFS,PSF,Pike/San Isabel National Forests,p,,120,39.26,-106.33,,"362,812.50",43,9375,90
Poncha Loop,29,USFS,PSF,Pike/San Isabel National Forests,p,,700,38.42,-106.1,,"1,078,295.40",182,6583,90
Tornado Fuels Contract Landing Piles,37,USFS,PSF,Pike/San Isabel National Forests,p,,7,38.98,-105.43,,"6,300.00",2,3500,90
"Echo Fuels Contract
				PILES",38,USFS,PSF,Pike/San Isabel National Forests,p,,75,38.89,-105.42,,"27,787.50",75,390,95
North Divide Piles,60,USFS,PSF,Pike/San Isabel National Forests,p,,28000,38.99,-105.2,,"82,325.10",606,143,95
Rampart Range Piles,87,USFS,PSF,Pike/San Isabel National Forests,p,,30000,39.04,-105,,"153,458.76",276,611,91
Alvarado,92,USFS,PSF,Pike/San Isabel National Forests,p,,8500,38.08,-105.56,,"7,064.20",26,286,95
Bennett Mountain,135,USFS,PSF,Pike/San Isabel National Forests,b,754,,39.38,-105.13,0,,,,
Noddles,136,USFS,PSF,Pike/San Isabel National Forests,b,365,,39.32,-105.13,0,,,,
Harris Park,137,USFS,PSF,Pike/San Isabel National Forests,b,1000,,39.53,-105.48,0,,,,
Sand Springs,138,USFS,PSF,Pike/San Isabel National Forests,b,280,,39.35,-105.25,0,,,,
Bear Mountain Broadcast,139,USFS,PSF,Pike/San Isabel National Forests,b,774,,39.36,-105.15,0,,,,
Jenny Gulch,140,USFS,PSF,Pike/San Isabel National Forests,b,500,,39.28,-105.21,0,,,,
Saloon Gulch,141,USFS,PSF,Pike/San Isabel National Forests,b,8800,,39.52,-105.54,0,,,,
12 Mile,158,USFS,PSF,Pike/San Isabel National Forests,p,,35030,38.02,-105,,"71,560.32",156,488,94
Payne Gulch Machine,170,USFS,PSF,Pike/San Isabel National Forests,p,,250,39.4,-105.51,,"102,870.00",127,900,90
O'Brien Rx Unit P5&P6,177,USFS,PSF,Pike/San Isabel National Forests,b,1400,,38.96,-105.4,,,,,
"Wilson 1,5,7,10",178,USFS,PSF,Pike/San Isabel National Forests,b,450,,38.93,-105.34,,,,,
Wilson Rest,179,USFS,PSF,Pike/San Isabel National Forests,b,975,,38.96,-105.35,,,,,
Deweese,188,USFS,PSF,Pike/San Isabel National Forests,b,400,,37.05,-102.6,,,,,
Galetta,189,USFS,PSF,Pike/San Isabel National Forests,b,600,,37.15,-102.8,,,,,
Lyons Camp,190,USFS,PSF,Pike/San Isabel National Forests,b,480,,37.02,-102.67,,,,,
Packstring,191,USFS,PSF,Pike/San Isabel National Forests,b,600,,37.35,-102.75,,,,,
Shooting Range,192,USFS,PSF,Pike/San Isabel National Forests,b,640,,37.28,-102.76,,,,,
Sunflower,193,USFS,PSF,Pike/San Isabel National Forests,b,500,,37.04,-102.42,,,,,
Shavano,231,USFS,PSF,Pike/San Isabel National Forests,b,1000,,38.58,-106.2,0,,,,
Greenhorn,244,USFS,PSF,Pike/San Isabel National Forests,p,,400,38.04,-105.18,,"46,410.00",50,1020,91
Gibson Piles,245,USFS,PSF,Pike/San Isabel National Forests,p,,500,38.11,-105.58,,"152,550.00",300,565,90
Black Mtn Piles,246,USFS,PSF,Pike/San Isabel National Forests,p,,1000,37.91,-105.05,,"56,028.00",525,116,92
Bear Gulch Piles,248,USFS,PSF,Pike/San Isabel National Forests,p,,100,38.25,-105.25,,"1,855.35",35,57,93
Cuchara Piles,249,USFS,PSF,Pike/San Isabel National Forests,p,,100,37.36,-105.12,,"2,069.10",22,99,95
Turkey Tracks Rx,250,USFS,PSF,Pike/San Isabel National Forests,b,750,,39.13,-105.13,,,,,
Reservoir Piles,22,USFS,RGF,Rio Grande National Forest,p,,7,37.05,-106.47,,0.00,0,,
Zissou,23,USFS,RGF,Rio Grande National Forest,p,,25,37.75,-106.8,,"397,152.00",20,22064,90
Lobo Piles,24,USFS,RGF,Rio Grande National Forest,p,,12,37.05,-106.49,,0.00,,,
Jasper Piles,25,USFS,RGF,Rio Grande National Forest,p,,5,37.46,-106.52,,"89,550.00",5,19900,90
Easy Money Piles,94,USFS,RGF,Rio Grande National Forest,p,,9,37.96,-106.64,,0.00,,,
Spruce Park Piles,95,USFS,RGF,Rio Grande National Forest,p,,16,37.02,-106.48,,"142,362.00",4,39545,90
El Gato Piles,96,USFS,RGF,Rio Grande National Forest,p,,60,37.05,-106.49,,"241,751.25",27,9425,95
Rendezvous Piles,116,USFS,RGF,Rio Grande National Forest,p,,12,37.03,-106.43,,0.00,,,
