name,start_date,end_date,agency,unit,acres,type,receptors,lat,lng,approval_type,elevation,airshed,class1,nonattainment,added_on
Willard Bay State Park,5/8/2023,5/15/2023,State,Bear River Area,100,Broadcast,Willard city ,41.422,-112.074,,4200,4 (Cache/Bear R.),FALSE,FALSE,5/8/2023
North Zone Timber Piles,5/9/2023,5/12/2023,USFS,Manti-La Sal North Zone,50,Piles,"Ephraim City, Sanpete Valley ",39.361,-111.47,,8830,10 (San Pitch R.),FALSE,FALSE,5/8/2023
Old Woman South,5/8/2023,5/13/2023,USFS,Fishlake NF Richfield,2000,Broadcast,"Emery County, Accord Lakes SUFCO Mine",38.805,-111.466,,8170,12 (Upper Colo. R.),FALSE,FALSE,5/8/2023
Old Woman South,5/7/2023,5/13/2023,USFS,Fishlake NF Richfield,1200,Broadcast,"Emery County, Accord Lakes SUFCO Mine",38.858,-111.463,,8530,12 (Upper Colo. R.),FALSE,FALSE,5/4/2023
West Zone Piles RX,5/4/2023,5/7/2023,USFS,Ashley NF West Zone,5,Piles,"Roosevelt, Vernal",40.627,-110.151,,7640,9 (Uinta Basin),FALSE,FALSE,5/2/2023
North Zone Timber Piles,5/2/2023,5/4/2023,USFS,Manti-La Sal North Zone,50,Piles,"Ephraim City, Sanpete Valley ",39.355,-111.502,,7580,10 (San Pitch R.),FALSE,FALSE,5/1/2023
Ouray NWR comprehensive burn plan,5/9/2023,5/12/2023,FWS,Rocky/Basin Refuges,200,Broadcast,"Vernal, Pelican lake, Randlett",40.162,-109.597,,4660,9 (Uinta Basin),FALSE,TRUE,5/1/2023
Park Ridge,5/4/2023,5/10/2023,USFS,Fishlake NF Fremont River,75,Broadcast,"Fruita, Grover, Boulder",38.103,-111.308,,7500,"16 - Above 6,500 feet",TRUE,FALSE,5/1/2023
Old Woman South,4/29/2023,5/6/2023,USFS,Fishlake NF Richfield,500,Broadcast,"Emery County, Accord Lakes SUFCO Mine",38.858,-111.463,,8530,12 (Upper Colo. R.),FALSE,FALSE,4/29/2023
Grouse Creek Piles,4/28/2023,5/5/2023,State,Bear River Area,200,Piles,grouse creek,41.743,-113.843,,5710,1 (N. West Desert),FALSE,FALSE,4/28/2023
Fremont River Slash Pile ,5/2/2023,5/8/2023,USFS,Fishlake NF Fremont River,5,Piles,Fishlake ,38.576,-111.694,,8860,12 (Upper Colo. R.),FALSE,FALSE,4/26/2023
North Zone Timber Piles,4/27/2023,4/27/2023,USFS,Manti-La Sal North Zone,50,Piles,"Ephraim City, Sanpete Valley ",39.366,-111.462,,8830,10 (San Pitch R.),FALSE,FALSE,4/25/2023
Beaver Ranger District Slash Piles 2022,4/25/2023,5/1/2023,USFS,Fishlake NF Beaver,50,Piles,"Beaver, Circleville, Junction, Elk Meadows",38.271,-112.475,,7940,2 (S. West Desert),FALSE,FALSE,4/24/2023
Stewart Lake,4/26/2023,4/28/2023,State,Northeastern Area,560,Broadcast,"Jensen, Naple, Brush Creek",40.352,-109.356,,4728,9 - Uinta Basin,FALSE,FALSE,4/20/2023
Old Woman South,4/22/2023,4/28/2023,USFS,Fishlake NF Richfield,1200,Broadcast,"Emery County, Accord Lakes SUFCO Mine",38.823,-111.478,,8660,12 (Upper Colo. R.),FALSE,FALSE,4/19/2023
Beaver Ranger District Slash Piles 2022,4/18/2023,4/24/2023,USFS,Fishlake NF Beaver,100,Piles,Beaver Circleville Marysvale,38.268,-112.488,,7380,2 (S. West Desert),FALSE,FALSE,4/17/2023
Bicknell Bottoms,4/16/2023,4/18/2023,State,Central Area,200,Stand Replace,"Wayne High School, Wayne County Community Medical Clinic, Teasdale, Torrey, Lyman Town, Fruita",38.304,-111.543,,6886,"16 - Above 6,500 feet",TRUE,FALSE,4/15/2023
Fish Springs RX,4/18/2023,4/21/2023,FWS,Rocky/Basin Refuges,2000,Broadcast,Callao,39.856,-113.363,,4290,2 - S. West Desert,FALSE,FALSE,4/12/2023
Fremont River RD Slash,4/12/2023,4/18/2023,USFS,Fishlake NF Fremont River,40,Broadcast,"Capitol Reef NP, Torrey, Loa, Bicknell, Grover",38.219,-111.576,,8430,12 (Upper Colo. R.),FALSE,FALSE,4/6/2023
Bauer Biochar Rx,4/17/2023,4/21/2023,State,Wasatch Front Area,1.5,Piles,"Tooele City, Stockton Town",40.471,-112.361,,4950,1 (N. West Desert),FALSE,TRUE,4/5/2023
Sheep Bridge Rx,4/10/2023,4/14/2023,State,Local or Private Entity,5,Piles,"Virgin, Rockville",37.2,-113.213,,3410,3 (Virgin R.),FALSE,FALSE,4/5/2023
Test 2022,4/1/2023,4/2/2023,USFS,Fishlake NF Beaver,10,Broadcast,Beaver,38.293,-112.412,,8730,2 (S. West Desert),FALSE,FALSE,4/3/2023
Color Country and Paria River District Piles,3/29/2023,3/31/2023,BLM,Color Country District,40,Piles,"There are scattered communities, but none will be impacted substantially",39.136,-111.984,,6630,8 (S. Wasatch Front),FALSE,FALSE,3/28/2023
Fremont River RD Slash,4/3/2023,4/9/2023,USFS,Fishlake NF Fremont River,100,Broadcast,"Capitol Reef NP, Torrey, Loa, Bicknell, Grover",38.239,-111.604,,7870,12 (Upper Colo. R.),FALSE,FALSE,3/27/2023
Fish Springs RX,3/27/2023,3/31/2023,FWS,Rocky/Basin Refuges,2000,Broadcast,None,39.856,-113.363,,4290,2 - S. West Desert,FALSE,FALSE,3/24/2023
Green River District Programmatic Pile Plan,3/16/2023,3/22/2023,BLM,Green River District,220,Piles,"Ouray, UT, Vernal, UT",39.568,-109.405,,7150,11 (Book Cliffs),FALSE,FALSE,3/13/2023
Shivwits Pile Burn,3/14/2023,3/16/2023,BIA,Southern Paiute Agency,5,Piles,Shivwits Village and ivans,37.194,-113.775,,3000,3 - Virgin R.,FALSE,FALSE,3/12/2023
Beaver Ranger District Slash Piles 2022,3/13/2023,3/19/2023,USFS,Fishlake NF Beaver,50,Piles,"Beaver, Junction, Marysvale",38.267,-112.487,,7280,2 (S. West Desert),FALSE,FALSE,3/8/2023
Shivwits Pile Burn,3/1/2023,3/2/2023,BIA,Southern Paiute Agency,5,Piles,Shivwits Village and Santa Clara,37.194,-113.775,,3000,3 - Virgin R.,FALSE,FALSE,2/28/2023
Color Country and Paria River District Piles,2/28/2023,3/3/2023,BLM,Color Country District,40,Piles,"There are scattered communities, but none will be impacted substantially",37.651,-113.26,,5710,2 (S. West Desert),FALSE,FALSE,2/27/2023
Color Country and Paria River District Piles,2/28/2023,3/2/2023,BLM,Color Country District,2,Piles,"There are scattered communities, but none will be impacted substantially",37.631,-113.194,,5450,2 (S. West Desert),FALSE,FALSE,2/27/2023
Canyon country programmatic pile burn ,2/28/2023,3/7/2023,BLM,Canyon Country District,4,Piles,all municipalities within canyon country district ,38.558,-109.588,,3970,12 (Upper Colo. R.),FALSE,FALSE,2/27/2023
Color Country and Paria River District Piles,2/27/2023,3/3/2023,BLM,Color Country District,10,Piles,"There are scattered communities, but none will be impacted substantially",38.715,-111.997,,6000,13 (Sevier R.),FALSE,FALSE,2/24/2023
Dikes and Piles,2/28/2023,3/3/2023,FWS,Rocky/Basin Refuges,5,Piles,"Tremonton, Corinne, Bigham City, Tremonton, Corinne, Bigham City",41.47,-112.246,,4200,4 - Cache/Bear R.,FALSE,TRUE,2/23/2023
Color Country and Paria River District Piles,2/22/2023,2/28/2023,BLM,Color Country District,30,Piles,"There are scattered communities, but none will be impacted substantially",37.642,-113.197,,5450,2 (S. West Desert),FALSE,FALSE,2/21/2023
Canyon country programmatic pile burn ,2/21/2023,2/28/2023,BLM,Canyon Country District,10,Piles,all municipalities within canyon country district ,38.652,-109.718,,4590,12 (Upper Colo. R.),FALSE,FALSE,2/17/2023
Color Country and Paria River District Piles,2/15/2023,2/15/2023,BLM,Color Country District,30,Piles,"There are scattered communities, but none will be impacted substantially",37.633,-113.193,,5450,2 (S. West Desert),FALSE,FALSE,2/14/2023
Color Country and Paria River District Piles,2/15/2023,2/15/2023,BLM,Color Country District,40,Piles,"There are scattered communities, but none will be impacted substantially",38.262,-113.55,,7090,2 (S. West Desert),FALSE,FALSE,2/14/2023
Zion Piles,2/14/2023,2/28/2023,NPS,Utah NPS Units,3,Piles,Springdale,37.215,-112.963,,3900,3 (Virgin R.),TRUE,FALSE,2/13/2023
Canyon country programmatic pile burn ,2/13/2023,2/20/2023,BLM,Canyon Country District,10,Piles,all municipalities within canyon country district ,38.705,-109.405,,4040,12 (Upper Colo. R.),FALSE,FALSE,2/13/2023
Dikes and Piles,2/13/2023,2/18/2023,FWS,Rocky/Basin Refuges,20,Piles,"Tremonton, Corinne, Bigham City, Tremonton, Corinne, Bigham City",41.47,-112.246,,4200,4 - Cache/Bear R.,FALSE,TRUE,2/13/2023
Grand County De Minimis Pile Burning,2/14/2023,2/15/2023,State,Southeastern Area,9,Piles,"Castle Valley, Moab, Arches NP",38.709,-109.372,,4130,12 (Upper Colo. R.),FALSE,FALSE,2/13/2023
Canyon country programmatic pile burn ,2/13/2023,2/20/2023,BLM,Canyon Country District,50,Piles,all municipalities within canyon country district ,38.622,-109.667,,4690,12 (Upper Colo. R.),FALSE,FALSE,2/10/2023
Shivwits Pile Burn,1/30/2023,1/30/2023,BIA,Southern Paiute Agency,4,Piles,Shivwits Village,37.194,-113.775,,3000,3 - Virgin R.,FALSE,FALSE,1/27/2023
Canyon country programmatic pile burn ,1/24/2023,1/31/2023,BLM,Canyon Country District,50,Piles,all municipalities within canyon country district ,38.489,-109.448,,4860,12 (Upper Colo. R.),FALSE,FALSE,1/24/2023
Shivwits Pile Burn,1/24/2023,1/25/2023,BIA,Southern Paiute Agency,5,Piles,"Shivwits Village, Ivins",37.194,-113.775,,3000,3 - Virgin R.,FALSE,FALSE,1/23/2023
Canyon country programmatic pile burn ,1/24/2023,1/31/2023,BLM,Canyon Country District,50,Piles,all municipalities within canyon country district ,38.489,-109.448,,4860,12 (Upper Colo. R.),FALSE,FALSE,1/20/2023
Shivwits Pile Burn,1/23/2023,1/23/2023,BIA,Southern Paiute Agency,10,Piles,Shivwits Village and Gunlock,37.194,-113.775,,3000,3 - Virgin R.,FALSE,FALSE,1/19/2023
Canyon country programmatic pile burn ,1/18/2023,1/25/2023,BLM,Canyon Country District,50,Piles,all municipalities within canyon country district ,38.489,-109.448,,4860,12 (Upper Colo. R.),FALSE,FALSE,1/13/2023
Long Knoll,1/18/2023,1/24/2023,BLM,West Desert District,153,Piles,Scipio,39.175,-112.068,,5800,8 - S. Wasatch Front,FALSE,FALSE,1/12/2023
Canyon country programmatic pile burn ,1/10/2023,1/17/2023,BLM,Canyon Country District,50,Piles,all municipalities within canyon country district ,38.478,-109.428,,5050,12 (Upper Colo. R.),FALSE,FALSE,1/10/2023
Lodge Rx Units 1-4,1/4/2023,2/7/2023,NPS,Utah NPS Units,80,Broadcast,"Bryce Canyon City, Tropic",37.63,-112.17,,7802,"16 - Above 6,500 feet",FALSE,FALSE,1/3/2023
Green River District Programmatic Pile Plan,12/13/2022,12/15/2022,BLM,Green River District,80,Piles,"Ouray, UT, Vernal, UT",39.561,-109.405,,7280,11 (Book Cliffs),FALSE,FALSE,12/12/2022
Dikes and Piles,12/12/2022,12/16/2022,FWS,Rocky/Basin Refuges,100,Piles,"Tremonton, Corinne, Bigham City, Tremonton, Corinne, Bigham City",41.47,-112.246,,4200,4 - Cache/Bear R.,FALSE,TRUE,12/9/2022
Johnson Creek,12/12/2022,12/16/2022,State,Southeastern Area,10,Piles,"Blanding, Monticello, Monticello, Blanding, Monticello, Blanding, Blanding, Monticello",37.713,-109.511,,6500,15 (San Juan R.),FALSE,FALSE,12/7/2022
Ephraim Willow project,12/7/2022,12/22/2022,State,Central Area,20,Piles,"Manti Municipality , Ephraim Municipality ",39.335,-111.526,,6700,10 - San Pitch R.,FALSE,FALSE,12/6/2022
Pinto Piles,12/7/2022,12/7/2022,State,Color Country District,55,Piles,"Enterprise, Utah, Pine Valley, Utah, New Castle, Utah, Berel, Utah",37.527,-113.522,,6200,2 (S. West Desert),FALSE,FALSE,12/6/2022
Cedar City Piles,12/6/2022,12/10/2022,USFS,Dixie NF Cedar City,25,Piles,"Long Valley Jct., Duck Creek Village, Hatch, Duck Creek Village, Panguitch Lake, Mammoth Creek Subdivision, Duck Creek Village, Brian Head, Parowan, Paragonah",37.62,-112.734,,9810,13 (Sevier R.),FALSE,FALSE,12/4/2022
Test 2022,12/2/2022,12/7/2022,USFS,Fishlake NF Beaver,100,Broadcast,Beaver,38.289,-112.401,,9060,2 (S. West Desert),FALSE,FALSE,12/1/2022
North Zone Timber Piles,12/1/2022,12/1/2022,USFS,Manti-La Sal North Zone,100,Piles,Orangeville 15 air miles southeast of the project  ,39.367,-111.277,,7510,12 (Upper Colo. R.),FALSE,FALSE,11/29/2022
Lower Fish Creek,11/30/2022,12/7/2022,State,Southeastern Area,20,Piles,Scofield Town ,39.767,-110.957,,7477,"16 - Above 6,500 feet",FALSE,FALSE,11/29/2022
Central Area Piles,11/30/2022,12/1/2022,State,Central Area,20,Piles,"Mt Pleasant, Fairview, Sanpete County",39.58326,-111.36617,,7710,10 (San Pitch R.),FALSE,FALSE,11/29/2022
North Zone Piles,12/2/2022,12/8/2022,USFS,UWC NF North Zone,222,Piles,Randolph,41.718,-111.428,,7280,4 (Cache/Bear R.),FALSE,FALSE,11/29/2022
Cedar City Piles,11/29/2022,12/1/2022,USFS,Dixie NF Cedar City,30,Piles,"Long Valley Jct., Duck Creek Village, Hatch, Duck Creek Village, Panguitch Lake, Mammoth Creek Subdivision, Duck Creek Village, Brian Head",37.607,-112.734,,9510,13 (Sevier R.),FALSE,FALSE,11/28/2022
Weber Piles,11/29/2022,11/29/2022,State,Bear River Area,1,Piles,None,41.24,-112.034,,4230,5 (N. Wasatch Front),FALSE,TRUE,11/28/2022
The Enclave HOA Pile Burn,11/28/2022,12/5/2022,LPE,Local or Private Entity,6,Piles,Greater Snyderville Basin. ,40.699,-111.562,,7090,6 (Wasatch Back),FALSE,FALSE,11/25/2022
Pinebrook HOA Pile Burn,11/28/2022,12/5/2022,LPE,Local or Private Entity,4,Piles,Greater Snyderville Basin. ,40.737,-111.581,,6690,6 (Wasatch Back),FALSE,FALSE,11/25/2022
South Zone Piles - Lamb's Canyon Phase 1,11/18/2022,11/23/2022,USFS,UWC NF South Zone,30,Piles,"Lost Acres Community, Lower Canyon Community, Forest Home Community, Interstate 80 in Parley's Canyon, Summit Park, Pinebrook, Kimball Junction, Snyderville Basin, Mt. Aire Community, Eastern Salt Lake Valley",40.716,-111.645,,7050,8 (S. Wasatch Front),FALSE,TRUE,11/17/2022
The Enclave HOA Pile Burn,11/16/2022,11/23/2022,LPE,Local or Private Entity,1,Piles,Greater Snyderville Basin. ,40.699,-111.56,,6900,"16 - Above 6,500 feet",FALSE,FALSE,11/15/2022
Pinebrook HOA Pile Burn,11/16/2022,11/23/2022,LPE,Local or Private Entity,1,Piles,Greater Snyderville Basin. ,40.737,-111.566,,6900,6 (Wasatch Back),FALSE,FALSE,11/15/2022
Kane County #1,11/16/2022,11/23/2022,State,Southwestern Area,12,Piles,Duck Creek village ,37.522,-112.644,,8460,13 (Sevier R.),FALSE,FALSE,11/15/2022
D4 Slash,11/17/2022,11/23/2022,USFS,Fishlake NF Richfield,1500,Broadcast,"Sevier Valley, I70",38.747,-111.798,,7320,13 (Sevier R.),FALSE,FALSE,11/15/2022
Beaver Ranger District Slash Piles 2022,11/16/2022,11/22/2022,USFS,Fishlake NF Beaver,50,Piles,"Beaver, Manderfield",38.266,-112.49,,7150,2 (S. West Desert),FALSE,FALSE,11/14/2022
North Zone Timber Piles,11/15/2022,11/21/2022,USFS,Manti-La Sal North Zone,100,Piles,Skyline Mine,39.671,-111.244,,8500,"16 - Above 6,500 feet",FALSE,FALSE,11/14/2022
Rich Piles,11/14/2022,11/20/2022,State,Bear River Area,40,Piles,None,41.783,-111.337,,6820,6 (Wasatch Back),FALSE,FALSE,11/11/2022
Cold Water,11/14/2022,11/20/2022,State,Bear River Area,40,Piles,None,41.568,-111.749,,6000,"16 - Above 6,500 feet",FALSE,FALSE,11/11/2022
Willow Fuels Project (Piles and Broadcast),11/10/2022,11/11/2022,USFS,Manti-La Sal North Zone,20,Broadcast,"Mt Pleasant, Spring City, Manti, Ephraim, Manti, Ephraim, Mt Pleasant, Spring City",39.349,-111.506,,7610,10 (San Pitch R.),FALSE,FALSE,11/9/2022
Zion Piles,11/9/2022,11/18/2022,NPS,Utah NPS Units,5,Piles,Springdale,37.215,-112.963,,3900,3 (Virgin R.),TRUE,FALSE,11/8/2022
Evanston-Mountain View Pile Burn,11/10/2022,11/17/2022,USFS,UWC NF East Zone,300,Piles,"Evanston, Mountain View, Robertson, Lonetree, McKinnon, Manilla",40.939,-110.23,,9020,7 (N. Slope Uintas),FALSE,FALSE,11/8/2022
Evanston-Mountain View Pile Burn,11/11/2022,11/18/2022,USFS,UWC NF East Zone,300,Piles,"Evanston, Mountain View, Robertson, Lonetree, McKinnon, Manilla",40.909,-110.045,,9550,7 (N. Slope Uintas),FALSE,FALSE,11/8/2022
Grand County De Minimis Pile Burning,11/9/2022,11/22/2022,State,Southeastern Area,3,Piles,Castle Valley,38.585,-109.24,,8140,15 (San Juan R.),FALSE,FALSE,11/8/2022
Beaver Ranger District Slash Piles 2022,11/9/2022,11/15/2022,USFS,Fishlake NF Beaver,200,Piles,"Beaver, Manderfield",38.257,-112.542,,6460,2 (S. West Desert),FALSE,FALSE,11/8/2022
Boobie Hole Pile burn,11/9/2022,11/15/2022,State,Central Area,10,Piles,None,38.69,-111.749,,10430,13 (Sevier R.),FALSE,FALSE,11/8/2022
FFSL Central Area Piles,11/9/2022,11/10/2022,State,Central Area,20,Piles,"Mt Pleasant, Fairview, Sanpete County",39.58326,-111.36617,,7710,10 (San Pitch R.),FALSE,FALSE,11/7/2022
Johnson Creek,11/9/2022,11/16/2022,State,Southeastern Area,10,Piles,"Blanding, Monticello, Monticello, Blanding, Monticello, Blanding, Blanding, Monticello",37.713,-109.511,,6500,15 (San Juan R.),FALSE,FALSE,11/7/2022
The Enclave HOA Pile Burn,11/8/2022,11/12/2022,LPE,Local or Private Entity,1,Piles,Greater Snyderville Basin. ,40.699,-111.56,,6900,"16 - Above 6,500 feet",FALSE,FALSE,11/7/2022
Lower Fish Creek,11/9/2022,11/16/2022,State,Southeastern Area,195,Piles,Scofield Town ,39.767,-110.957,,7477,"16 - Above 6,500 feet",FALSE,FALSE,11/7/2022
Cold Water,11/8/2022,11/14/2022,State,Bear River Area,100,Piles,None,41.568,-111.749,,6000,"16 - Above 6,500 feet",FALSE,FALSE,11/6/2022
Heber-Kamas Pile Burn,11/7/2022,11/14/2022,USFS,UWC NF East Zone,1,Piles,,40.476,-111.044,,9380,6 (Wasatch Back),FALSE,FALSE,11/5/2022
Heber-Kamas Pile Burn,11/7/2022,11/14/2022,USFS,UWC NF East Zone,1,Piles,,40.476,-111.044,,9380,6 (Wasatch Back),FALSE,FALSE,11/5/2022
Evanston-Mountain View Pile Burn,11/6/2022,11/13/2022,USFS,UWC NF East Zone,2,Piles,Monvisto,40.944,-110.862,,8270,6 (Wasatch Back),FALSE,FALSE,11/5/2022
Evanston-Mountain View Pile Burn,11/6/2022,11/13/2022,USFS,UWC NF East Zone,10,Piles,"Evanston, Mountain View, Robertson, Lonetree, McKinnon, Manilla",40.916,-110.91,,8690,6 (Wasatch Back),FALSE,FALSE,11/5/2022
Heber-Kamas Pile Burn,11/6/2022,11/8/2022,USFS,UWC NF East Zone,3,Piles,Timber Lakes,40.4537,-111.1888,,9580,6 (Wasatch Back),FALSE,FALSE,11/5/2022
Heber-Kamas Pile Burn,11/6/2022,11/7/2022,USFS,UWC NF East Zone,2,Piles,"Hanna, Tabionia",40.524,-110.9445,,9510,9 (Uinta Basin),FALSE,FALSE,11/5/2022
Pine Meadow Ranch HOA Piles,11/7/2022,11/11/2022,LPE,Local or Private Entity,1,Piles,None. Rural Summit County,40.803,-111.5,,7800,"16 - Above 6,500 feet",FALSE,FALSE,11/4/2022
North Zone Piles,11/10/2022,11/16/2022,USFS,UWC NF North Zone,300,Piles,"Bear Lake Valley, Randolph",41.72,-111.429,,7220,4 (Cache/Bear R.),FALSE,FALSE,11/4/2022
North Zone Timber Piles,11/7/2022,11/13/2022,USFS,Manti-La Sal North Zone,50,Piles,Skyline Mine,39.587,-111.222,,9120,12 (Upper Colo. R.),FALSE,FALSE,11/4/2022
Evanston-Mountain View Pile Burn,11/4/2022,11/11/2022,USFS,UWC NF East Zone,300,Piles,"Evanston, Mountain View, Robertson, Lonetree, McKinnon, Manilla",40.916,-110.091,,9220,7 (N. Slope Uintas),FALSE,FALSE,11/3/2022
