BurnName,ShortPermitNum,AgencyGroup,AgencyID,AdministrativeUnit,PileBcst,Acres Max Permitted ,Piles Max Permitted,Actual Acres Burned,Act Pile Vol Consumed,ActPiles,PileActVolume,PilePctCons,Lat,Lon,TWN,TWND,RNG,RNGD,SECTION
Noland Gulch,233,BLM,SGD,Saguache Field Office,b,650,,420, ,,,,38.3,-105.98,46,N,9,E,21
Hat Springs Broadcast Rx,286,BLM,SGD,Saguache Field Office,b,600,,, ,,,,0,0,44,N,5,E,6
Forest Lakes Pile Burn,11,BLM,SJD,San Juan Field Office,p,,650,,78902.1,486,191,85,0,0,35,N,7,W,3
Disappointment Tamarisk Piles,59,BLM,SJD,San Juan Field Office,p,,500,,145615.2,680,249,86,0,0,43,N,18,W,2
Quakie Rx,238,BLM,SJD,San Juan Field Office,b,641,,609, ,,,,37.9,-108.83,,,,,
Dolores Rim,245,BLM,SJD,San Juan Field Office,b,1000,,219, ,,,,37.76,-108.77,,,,,
Bradfield Prescribed Fire,256,BLM,SJD,San Juan Field Office,b,35,,, ,,,,37.65,-108.73,,,,,
Badger Flat,161,BLM,WRD,White River Field Office,b,525,,, ,,,,0,0,5,N,100,W,2
Freezewall Broadcast,183,BLM,WRD,White River Field Office,b,90,,, ,,,,0,0,2,S,99,W,1
Witter - Boulder Mountain Fire PD,138,BMFPD,BMX,Boulder Mountain Fire,p,,343,,5778.849468,188,32.36,95,0,0,1,N,71,W,9
Tern Island @ Blue Lake,372,CDOW,LAW,Lamar Area Office,b,27,,54, ,,,,0,0,21,S,52,W,32
Oak Ridge SWA,255,CDOW,MEW,Meeker Area Office (NW Region),b,231,,, ,,,,0,0,1,S,92,W,7
Escalante Food Plots/Field Burn,198,CDOW,MOW,Montrose Area Office (SW Region),b,75,,, ,,,,0,0,15,S,96,W,18
Hamilton Tamarisk Piles,199,CDOW,MOW,Montrose Area Office (SW Region),p,,60,, ,,,,0,0,15,S,96,W,18
Beaver Creek SWA,208,CDOW,SAW,Salida Area Office (SE Region),b,20,,20, ,,,,38.61,-104.98,16,S,68,W,33
Pueblo Chemical Depot,272,Chemical Depot Army,CDQ,Army Chemical Depot,b,3000,,, ,,,,0,0,19,S,62,W,31
Van Vleet Orchid Meadow,210,City of Boulder,BCX,City of Boulder,b,23,,, ,,,,0,0,2,S,70,W,10
Bobcat Ridge Piles,2,City of Ft Collins,FCX,City of Fort Collins,p,,70,,9874.618423,30,330.63,99.55,0,0,6,N,70,W,21
Soapstone Burn,174,City of Ft Collins,FCX,City of Fort Collins,b,85,,35, ,,,,40.59,-105.43,12,N,68,W,21
Running Deer Rx,176,City of Ft Collins,FCX,City of Fort Collins,b,47,,15, ,,,,0,0,7,N,68,W,21
Soapstone Prairie Rx Burn,307,City of Ft Collins,FCX,City of Fort Collins,b,47,,, ,,,,0,0,12,N,69,W,22
Bobcat Ridge Naural Area,323,City of Ft Collins,FCX,City of Fort Collins,b,50,,, ,,,,0,0,6,N,70,w,16
Forbes Park Landowner Asso - FPLOA,289,CSFS,ALS,Alamosa District Office,p,,6,,27984,6,5300,88,37.3,-105.13,,,,,
S Lazy U Trout Club,290,CSFS,ALS,Alamosa District Office,p,,4,,1900,2,1000,95,0,0,41,N,3,W,20
Finnerty,42,CSFS,BOS,Boulder District Office,p,,40,,5372.73,27,201,99,0,0,3,S,72,W,12
Upper Sunshine/Lickskillet (Gold Hill),87,CSFS,BOS,Boulder District Office,p,,750,,8208,40,216,95,0,0,1,N,71,W,7
Gross Reservoir,88,CSFS,BOS,Boulder District Office,p,,70,,36352.8,170,216,99,39.56,-105.22,,,,,
Upper Badger Creek Pile Burn,62,CSFS,CCS,Canon City District Office,p,,265,,12677.75,85,157,95,0,0,51,N,10,E,14
Bear Creek Bowl II/Mt. Evans SWA,64,CSFS,GOS,Golden District Office,b,350,,110, ,,,,0,0,5,S,73,W,11
Ralston Roost,89,CSFS,GOS,Golden District Office,p,,230,,13180.5,145,101,90,0,0,2,S,72,W,35
Centennial Cone,101,CSFS,GOS,Golden District Office,b,266,,, ,,,,39.45,-105.22,,,,,
Flying J Ranch,151,CSFS,GOS,Golden District Office,b,53,,, ,,,,0,0,5,S,70,W,10
"White Ranch Park Understory (Units 13, 14, 20)",177,CSFS,GOS,Golden District Office,b,60,,, ,,,,39.49,-105.16,,,,,
White Ranch Park Grass (Unit 12),178,CSFS,GOS,Golden District Office,b,20,,, ,,,,39.49,-105.17,,,,,
Lower North Fork,190,CSFS,GOS,Golden District Office,b,335,,43.75, ,,,,0,0,7,S,70,W,15
GGCSP Nott Creek Broadcast,237,CSFS,GOS,Golden District Office,b,180,,, ,,,,0,0,2,S,71,W,19
Fraser Valley Piles,291,CSFS,GRS,Granby District Office,p,,60,,43095.5,25,1759,98,0,0,1,S,75,W,34
Carter Mountain,357,CSFS,GRS,Granby District Office,p,,90,,65202.3,41,1767,90,0,0,4,N,80,W,30
Lathrop Slash Pile,236,CSFS,LVS,La Veta District Office,p,,1,,8378,1,8378,100,37.6,-104.85,,,,,
Bighorn Burn Unit 1,261,CSFS,MOS,Montrose District Office,b,100,,, ,,,,38.14,-107.7,,,,,
Buckhorn Burn Unit 1,262,CSFS,MOS,Montrose District Office,b,100,,41, ,,,,0,0,47,N,7,W,18
Colorado State Forest Piles,109,CSFS,SSS,Steamboat Springs District Office,p,,80,,526673.5307,77,7007,97.62,40.58,-105.97,7,N,76,W,16
Delaney Buttes,221,CSFS,SSS,Steamboat Springs District Office,b,750,,2, ,,,,0,0,8,N,81,W,4
Steamboat Lake and Pearl,224,CSFS,SSS,Steamboat Springs District Office,p,,30,,8700,29,300,100,0,0,10,N,85,W,26
Sheep Creek 2,231,CSFS,SSS,Steamboat Springs District Office,b,1200,,740, ,,,,0,0,11,N,73,W,33
Tarryall Reservoir SWA,4,CSFS,WPS,Woodland Park District Office,b,150,,108, ,,,,0,0,9,S,74,W,25
Park County DOW Rx Burn,5,CSFS,WPS,Woodland Park District Office,b,550,,221, ,,,,0,0,10,S,76,W,3
Salt Creek Piles,122,CSFS,WPS,Woodland Park District Office,p,,15,,2137.5,15,150,95,0,0,13,S,77,W,3
Eleven Mile SP Piles,217,CSFS,WPS,Woodland Park District Office,p,,150,,1725,23,75,100,0,0,13,S,72,W,18
PPWS North Slope,298,CSFS,WPS,Woodland Park District Office,b,105,,, ,,,,0,0,13,S,69,W,12
Eleven Mile State Park Rx Burn,299,CSFS,WPS,Woodland Park District Office,b,160,,165, ,,,,0,0,13,S,72,W,18
Fort Carson - PCMS,38,Fort Carson Army,FCQ,Fort Carson Army,b,25000,,"5,015.00", ,,,,0,0,30,S,59,W,1
Fort Carson - North,39,Fort Carson Army,FCQ,Fort Carson Army,b,5000,,456, ,,,,38.73,-104.78,,,,,
Fort Carson - Middle,40,Fort Carson Army,FCQ,Fort Carson Army,b,10000,,"1,706.00", ,,,,38.65,-104.78,,,,,
Fort Carson - South,41,Fort Carson Army,FCQ,Fort Carson Army,b,10000,,"1,250.00", ,,,,38.47,-104.76,,,,,
Carter Lake,6,Larimer County,LRX,Larimer County,p,,300,,22831,316,85,85,0,0,4,N,70,W,4
Horsetooth,7,Larimer County,LRX,Larimer County,p,,800,, ,,,,0,0,7,N,70,W,25
Indian Creek Phase 2,163,Larimer County,LRX,Larimer County,b,125,,, ,,,,0,0,6,N,69,W,30
Excel-Horsetooth Mountain Open Space - Spg Canyon,315,Larimer County,LRX,Larimer County,b,20,,21, ,,,,40.32,-105.11,,,,,
Bar-K,184,Lefthand FD,LFX,Lefthand Fire Department,p,,1500,, ,,,,0,0,2,N,72,W,22
Lake of the Pines,185,Lefthand FD,LFX,Lefthand Fire Department,p,,6,, ,,,,0,0,2,N,71,W,13
Mountain Ridge,189,Lefthand FD,LFX,Lefthand Fire Department,p,,1500,, ,,,,0,0,2,N,71,W,1
West Divide,119,Multi,MUL,multiple agencies,b,3000,,, ,,,,39.19,-107.33,8,S,91,W,33
Spiranthes Burn,175,Multi,MUL,multiple agencies,b,40,,, ,,,,40.36,-105.85,7,N,69,W,5
Bulrush Wetlands Park,273,Multi,MUL,multiple agencies,b,18,,12, ,,,,0,0,1,N,68,W,5
Reservoir Gulch RX,281,Multi,MUL,multiple agencies,b,2400,,280, ,,,,0,0,8,S,92,W,9
Four Neighborhood Piles,312,Multi,MUL,multiple agencies,p,,90,,7267.5,90,85,95,0,0,44,N,8,W,12
Green Grizzly Piles,44,NPS,BCP,Black Canyon National Park,p,,425,, ,,,,0,0,50,N,7,W,18
Green Grizzly Broadcast,277,NPS,BCP,Black Canyon National Park,b,161,,, ,,,,0,0,50,N,7,W,8
Soap Creek Piles,387,NPS,CCP,Curecanti National Monument,p,,150,, ,,,,38.15,-106.5,49,N,4,W,16
East Side Piles,79,NPS,CNP,Colorado National Monument,p,,325,,10483.2,168,65,96,0,0,12,S,101,W,11
Sand Dunes NP Pile 1,251,NPS,GSP,Great Sand Dunes National Park,p,,1,, ,,,,0,0,27,S,73,W,2
Chapin/Morefield Piles,200,NPS,MVP,Mesa Verde National Park,p,,3,,3572.51,1,3683,97,0,0,34,N,15,W,16
Chapin SZ Maintenance,332,NPS,MVP,Mesa Verde National Park,b,12,,12, ,,,,0,0,34,N,15,W,16
Farview Units 5/6,333,NPS,MVP,Mesa Verde National Park,b,45,,45, ,,,,0,0,35,N,15,W,27
Rock Springs Cabin Piles,394,NPS,MVP,Mesa Verde National Park,p,,24,,1836,24,85,90,0,0,34,N,15,W,6
Grand Lake Boundary Piles,33,NPS,RMP,Rocky Mountain National Park,p,,310,,220281.5831,240,1056,86.92,40.25,-105.84,,,,,
Timber Creek Campground & Water Tank,46,NPS,RMP,Rocky Mountain National Park,p,,15,,11319,30,770,49,40.38,-105.85,,,,,
Lily Lake Pit,47,NPS,RMP,Rocky Mountain National Park,p,,1,,9620.66,2,9817,49,40.3,-105.54,,,,,
Moraine Park Pile,68,NPS,RMP,Rocky Mountain National Park,p,,1,, ,,,,40.36,-105.59,,,,,
Leiffer Cabin Piles,69,NPS,RMP,Rocky Mountain National Park,p,,35,,9055.2,35,264,98,40.27,-105.54,,,,,
Wild Basin,90,NPS,RMP,Rocky Mountain National Park,p,,150,,32771.2,76,440,98,0,0,3,N,73,W,22
Green Mountain Summer Employee Housing,92,NPS,RMP,Rocky Mountain National Park,p,,75,,24868.19907,66,465,81.03,40.3,-105.84,,,,,
Betty Dick Road,186,NPS,RMP,Rocky Mountain National Park,p,,50,,27886.18,50,1433,38.92,40.32,-105.85,,,,,
Old Fall River Road,188,NPS,RMP,Rocky Mountain National Park,p,,10,, ,,,,40.41,-105.66,,,,,
South Lateral Moraine,227,NPS,RMP,Rocky Mountain National Park,b,500,,, ,,,,0,0,4,N,73,W,5
West Deer Mountain,319,NPS,RMP,Rocky Mountain National Park,p,,500,,15750,175,100,90,40.38,-105.6,,,,,
Upper Colorado River,320,NPS,RMP,Rocky Mountain National Park,p,,350,,46170,243,200,95,40.38,-105.84,,,,,
Lower Colorado River,327,NPS,RMP,Rocky Mountain National Park,p,,750,,147440,776,200,95,40.33,-105.85,,,,,
Kawuneeche,328,NPS,RMP,Rocky Mountain National Park,p,,215,,19950,140,150,95,40.25,-105.8,,,,,
South Boundary,329,NPS,RMP,Rocky Mountain National Park,p,,2150,,66880,352,200,95,40.25,-105.81,,,,,
North Deer Mountain,334,NPS,RMP,Rocky Mountain National Park,p,,3400,,173950.003,955,200,91.07,40.38,-105.58,,,,,
Betty Dick's Large Pile,335,NPS,RMP,Rocky Mountain National Park,p,,1,, ,,,,40.32,-105.85,,,,,
Shadow Mountain,339,NPS,RMP,Rocky Mountain National Park,p,,60,,3000,40,150,50,40.23,-105.81,,,,,
Tonahutu,340,NPS,RMP,Rocky Mountain National Park,p,,400,,56033.76031,243,254.42,90.63,40.25,-105.8,,,,,
Wild Basin Trailhead,356,NPS,RMP,Rocky Mountain National Park,p,,25,,14130,50,314,90,40.21,-105.55,,,,,
Bear lake,377,NPS,RMP,Rocky Mountain National Park,p,,450,, ,,,,40.31,-105.63,,,,,
East Portal,378,NPS,RMP,Rocky Mountain National Park,p,,300,, ,,,,40.33,-105.59,,,,,
East Road Corridor,379,NPS,RMP,Rocky Mountain National Park,p,,750,, ,,,,40.29,-105.62,,,,,
Perry Park Burn Piles,37,Other Gov't Agency,LAX,Larkspur Fire Protection District,p,,200,,13715.1036,102,149.4,90,39.14,-104.59,,,,,
Button Rock Pile Burn,195,Other Gov't Agency,LCL,Local Agency,p,,300,, ,,,,40.13,-105.22,,,,,
Glacier View Community Piles,201,Other Gov't Agency,LCL,Local Agency,p,,4,,122760,2,62000,99,40.74,-105.43,,,,,
Oak Creek FPD,374,Other Gov't Agency,LCL,Local Agency,p,,500,, ,,,,0,0,4,N,85,W,30
North Routt FPD,375,Other Gov't Agency,LCL,Local Agency,p,,500,, ,,,,0,0,9,N,84,W,1
Routt County Emergency Services,376,Other Gov't Agency,LCL,Local Agency,p,,500,, ,,,,0,0,11,N,87,W,6
North-West FPD Pile,117,Other Gov't Agency,NWX,North-West Fire Protection District,p,,10,, ,,,,0,0,10,S,77,W,3
Platte Canyon (Deer Creek),166,Other Gov't Agency,PLX,Platte Canyon Fire Department,p,,4000,,97576.05183,2595,39,96.41,0,0,6,S,72,W,28
Ken Caryl - North Hogback North,152,Other Gov't Agency,WEX,West Metro Fire Department,b,54,,, ,,,,39.35,-105.97,5,S,69,W,30
Bear Creek,154,Other Gov't Agency,WEX,West Metro Fire Department,b,350,,73, ,,,,0,0,4,S,69,W,34
Private Piles,187,Private Land,OTR,other,p,,4,, ,,,,40.81,-105.65,,,,,
Private Piles,373,Private Land,OTR,other,p,,632,,113566.7915,285,419.45,95,39.11,-105.07,,,,,
Private Piles,1,Private Land,PVT,Privately-owned land,p,,7,, ,,,,40.24,-106.79,,,,,
Private Piles,3,Private Land,PVT,Privately-owned land,p,,40,, ,,,,40.85,-107.19,,,,,
Private Piles,14,Private Land,PVT,Privately-owned land,p,,110,,744800,98,8000,95,0,0,6,S,77,W,19
Private Piles,20,Private Land,PVT,Privately-owned land,p,,110,,1173450.031,40,31525,93.06,37.52,-105.4,,,,,
Private Piles,21,Private Land,PVT,Privately-owned land,p,,150,,522949.9737,28,19928.57,93.72,37.57,-105.3,,,,,
Private Piles,54,Private Land,PVT,Privately-owned land,p,,120,, ,,,,0,0,6,S,78,W,24
Private Piles,60,Private Land,PVT,Privately-owned land,p,,8,,467466.12,4,118047,99,0,0,1,N,81,W,1
Private Piles,65,Private Land,PVT,Privately-owned land,p,,20,,41958,6,7000,99.9,39.73,-106.11,,,,,
Private Piles,86,Private Land,PVT,Privately-owned land,p,,3000,,56898,116,545,90,0,0,3,S,79,W,11
Private Piles,94,Private Land,PVT,Privately-owned land,p,,200,,6885,90,85,90,0,0,2,N,71,W,19
Private Piles,100,Private Land,PVT,Privately-owned land,p,,277,,587016,155,4208,90,0,0,1,S,81,W,15
Private Piles,103,Private Land,PVT,Privately-owned land,p,,125,,6771.6,120,57,99,39.94,-105.47,,,,,
Private Broadcast,118,Private Land,PVT,Privately-owned land,b,1000,,, ,,,,39.59,-106.22,1,S,81,S,16
Private Broadcast,121,Private Land,PVT,Privately-owned land,b,600,,, ,,,,0,0,33,S,51,W,21
Private Piles,123,Private Land,PVT,Privately-owned land,p,,100,,27048,138,196,100,0,0,2,S,80,W,36
Private Piles,144,Private Land,PVT,Privately-owned land,p,,6,, ,,,,0,0,11,N,73,W,3
Private Piles,150,Private Land,PVT,Privately-owned land,p,,40,, ,,,,40.47,-106.85,,,,,
Private Piles,173,Private Land,PVT,Privately-owned land,p,,600,, ,,,,0,0,13,S,69,W,13
Private Broadcast,197,Private Land,PVT,Privately-owned land,b,12,,, ,,,,38.16,-103.71,,,,,
Private Piles,202,Private Land,PVT,Privately-owned land,p,,4,,33623.99976,4,8475,99.19,39.89,-106.38,,,,,
Private Broadcast,205,Private Land,PVT,Privately-owned land,b,2000,,, ,,,,37.53,-105.37,,,,,
Private Piles,206,Private Land,PVT,Privately-owned land,p,,5,, ,,,,40.3,-106.49,,,,,
Private Broadcast,207,Private Land,PVT,Privately-owned land,b,1700,,, ,,,,37.29,-105.23,,,,,
Private Broadcast,209,Private Land,PVT,Privately-owned land,b,250,,, ,,,,40.67,-105.04,,,,,
Private Piles,212,Private Land,PVT,Privately-owned land,p,,50,, ,,,,37.33,-106.41,,,,,
Private Broadcast,213,Private Land,PVT,Privately-owned land,b,880,,, ,,,,37.33,-106.41,,,,,
Private Broadcast,215,Private Land,PVT,Privately-owned land,b,50,,, ,,,,0,0,1,S,67,W,22
Private Piles,253,Private Land,PVT,Privately-owned land,p,,15,,24884.64,16,1571,99,0,0,4,S,78,W,22
Private Piles,258,Private Land,PVT,Privately-owned land,p,,1,, ,,,,0,0,4,N,84,W,18
Private Piles,259,Private Land,PVT,Privately-owned land,p,,15,, ,,,,0,0,10,N,85,W,24
Private Piles,263,Private Land,PVT,Privately-owned land,p,,11,,795.6,1,884,90,0,0,4,S,78,W,23
Private Piles,271,Private Land,PVT,Privately-owned land,p,,26,,9120,24,400,95,0,0,10,N,85,W,20
Private Piles,279,Private Land,PVT,Privately-owned land,p,,40,,58053.6,8,8796,82.5,0,0,2,N,83,W,6
Private Piles,285,Private Land,PVT,Privately-owned land,p,,2,, ,,,,40.79,-106.91,,,,,
Private Piles,300,Private Land,PVT,Privately-owned land,p,,80,, ,,,,40.25,-106.51,,,,,
Bear Ranch,302,Private Land,PVT,Privately-owned land,b,300,,, ,,,,38.56,-107.19,,,,,
Private Piles,324,Private Land,PVT,Privately-owned land,p,,120,,2600500.024,50,54800,94.91,37.41,-105.23,,,,,
Private Piles,330,Private Land,PVT,Privately-owned land,p,,7,,5354.99952,10,570,93.95,0,0,5,N,84,W,10
Private Piles,338,Private Land,PVT,Privately-owned land,p,,120,, ,,,,0,0,4,S,63,W,19
Private Piles,354,Private Land,PVT,Privately-owned land,p,,25,,252270.9,23,12187,90,0,0,3,N,84,W,23
Private Piles,355,Private Land,PVT,Privately-owned land,p,,25,,24225,17,1500,95,0,0,6,S,77,W,19
Private Piles,358,Private Land,PVT,Privately-owned land,p,,10,, ,,,,40.6,-105.52,,,,,
Private Piles,370,Private Land,PVT,Privately-owned land,p,,190,,4335,51,85,100,40.05,-105.36,,,,,
Stagecoach Ski Area,395,Private Land,PVT,Privately-owned land,p,,10,, ,,,,40.25,-106.85,3,N,85,W,12
Copper Mtn,264,Private Land,SKI,Ski resorts,p,,150,,16687.5,150,125,89,0,0,6,S,78,W,30
Winter Park Resort,274,Private Land,SKI,Ski resorts,p,,100,,79800,42,2000,95,0,0,3,S,75,W,9
Wolf Creek Ski Area,296,Private Land,SKI,Ski resorts,p,,5,,9188.399293,3,3534,86.67,37.47,-106.79,,,,,
Keystone Mountain,297,Private Land,SKI,Ski resorts,p,,500,,10379.9997,4,2625,98.86,39.35,-105.56,,,,,
James Creek Units H1401 & RFB14,15,USFS,ARF,Arapaho/Roosevelt National Forests,p,,3000,, ,,,,0,0,2,N,72,W,11
James Creek PBFB1,16,USFS,ARF,Arapaho/Roosevelt National Forests,p,,3500,,31042.99933,370,106.41,78.85,0,0,1,N,72,W,9
Sugarloaf 132 & 132E,17,USFS,ARF,Arapaho/Roosevelt National Forests,p,,2000,,23684,155,191,80,0,0,1,N,72,W,33
Sugarloaf 165 A & B,18,USFS,ARF,Arapaho/Roosevelt National Forests,p,,260,, ,,,,0,0,1,N,72,W,21
Sugarloaf 166,19,USFS,ARF,Arapaho/Roosevelt National Forests,p,,1500,, ,,,,0,0,1,N,72,W,14
Lone Pine Piles,23,USFS,ARF,Arapaho/Roosevelt National Forests,p,,300,,28025,125,236,95,0,0,10,N,74,W,25
Crown Point Piles,24,USFS,ARF,Arapaho/Roosevelt National Forests,p,,840,,152680.2,681,236,95,40.66,-105.58,8,N,73,W,9
Cache la Poudre Piles,25,USFS,ARF,Arapaho/Roosevelt National Forests,p,,400,,65153.48,469,151,92,0,0,8,N,72,W,5
Pearl Beaver Piles,26,USFS,ARF,Arapaho/Roosevelt National Forests,p,,730,,95285,425,236,95,0,0,11,N,74,W,10
"James Creek RFB 6, 7, 8",32,USFS,ARF,Arapaho/Roosevelt National Forests,p,,5500,, ,,,,0,0,2,N,72,W,23
James Creek RFB15,34,USFS,ARF,Arapaho/Roosevelt National Forests,p,,300,, ,,,,0,0,2,N,72,W,14
"James Creek RFB 16,17,18,20",35,USFS,ARF,Arapaho/Roosevelt National Forests,p,,2450,,61276.5,801,85,90,0,0,2,N,72,W,1
Thompson River Piles,36,USFS,ARF,Arapaho/Roosevelt National Forests,p,,9068,,193862.2053,894,236,91.88,0,0,5,N,71,W,20
Yankee Hill 24,50,USFS,ARF,Arapaho/Roosevelt National Forests,p,,100,, ,,,,0,0,2,S,72,W,30
Pingree Hill/Lonetree,53,USFS,ARF,Arapaho/Roosevelt National Forests,p,,18500,,996501.8375,7269,151,90.79,0,0,9,N,73,W,19
Evergreen 6B,58,USFS,ARF,Arapaho/Roosevelt National Forests,p,,22,,3600,1,4000,90,0,0,5,S,71,W,31
Sugarloaf 151,63,USFS,ARF,Arapaho/Roosevelt National Forests,p,,250,,16308,120,151,90,0,0,1,S,72,W,8
Estes Valley (Fish Creek),66,USFS,ARF,Arapaho/Roosevelt National Forests,p,,6000,,673841.9094,4745,151,94.05,0,0,4,N,72,W,18
"Evergreen 32A, 32B, 5A",81,USFS,ARF,Arapaho/Roosevelt National Forests,p,,200,, ,,,,0,0,5,S,71,W,32
Grizzly Gulch,82,USFS,ARF,Arapaho/Roosevelt National Forests,p,,12190,,399231.1812,2862,150.86,92.47,0,0,4,N,72,W,4
Lake Pasture,83,USFS,ARF,Arapaho/Roosevelt National Forests,p,,14347,,1471106,6850,236,91,0,0,4,N,72,W,21
Pinewood Springs,84,USFS,ARF,Arapaho/Roosevelt National Forests,p,,5948,,77077.94601,543,151,94.01,0,0,4,N,71,W,21
