Proposal Date,ID,Member ID,Member,Office,Unit Name,Location,Burn Type,Airshed,Impact Zone,Elevation,Tons/Acre,Acres Burned,Proposed Acres,Priority,Latitude,Longitude,Comments,Status,No Burn Reason
9/29/2010,161795,45,Bureau of Land Management,CDA,Killarney Lake Broadcast,"9 miles south of I90, 1 1/2 miles northwest of state hiway 3, 4 miles south of Rose Lake, Idaho.",Understory,11,None,2765,15.64,None,30,A,47.5207,-116.556,None,Proposed,None
9/30/2010,161795,45,Bureau of Land Management,CDA,Killarney Lake Broadcast,"9 miles south of I90, 1 1/2 miles northwest of state hiway 3, 4 miles south of Rose Lake, Idaho.",Understory,11,None,2765,15.64,None,30,A,47.5207,-116.556,None,Proposed,None
10/5/2010,161795,45,Bureau of Land Management,CDA,Killarney Lake Broadcast,"9 miles south of I90, 1 1/2 miles northwest of state hiway 3, 4 miles south of Rose Lake, Idaho.",Understory,11,None,2765,15.64,0,30,A,47.5207,-116.556,None,Completed,None
10/6/2010,161795,45,Bureau of Land Management,CDA,Killarney Lake Broadcast,"9 miles south of I90, 1 1/2 miles northwest of state hiway 3, 4 miles south of Rose Lake, Idaho.",Understory,11,None,2765,15.64,0,30,A,47.5207,-116.556,None,Completed,None
10/7/2010,161795,45,Bureau of Land Management,CDA,Killarney Lake Broadcast,"9 miles south of I90, 1 1/2 miles northwest of state hiway 3, 4 miles south of Rose Lake, Idaho.",Understory,11,None,2765,15.64,0,30,A,47.5207,-116.556,None,Completed,None
10/8/2010,161795,45,Bureau of Land Management,CDA,Killarney Lake Broadcast,"9 miles south of I90, 1 1/2 miles northwest of state hiway 3, 4 miles south of Rose Lake, Idaho.",Understory,11,None,2765,15.64,None,30,A,47.5207,-116.556,None,Proposed,None
10/12/2010,160030,45,Bureau of Land Management,CW,Eastside Township,Elk City,Other Mechanical,13,None,3500,40,0,5,A,45.7789,-115.411,None,Completed,None
10/13/2010,160030,45,Bureau of Land Management,CW,Eastside Township,Elk City,Other Mechanical,13,None,3500,40,1,5,A,45.7789,-115.411,None,Completed,None
10/14/2010,160030,45,Bureau of Land Management,CW,Eastside Township,Elk City,Other Mechanical,13,None,3500,40,0,50,A,45.7789,-115.411,None,Completed,None
10/15/2010,160030,45,Bureau of Land Management,CW,Eastside Township,Elk City,Other Mechanical,13,None,3500,40,1,50,A,45.7789,-115.411,None,Completed,None
10/16/2010,160030,45,Bureau of Land Management,CW,Eastside Township,Elk City,Other Mechanical,13,None,3500,40,50,50,A,45.7789,-115.411,None,Completed,None
10/17/2010,160030,45,Bureau of Land Management,CW,Eastside Township,Elk City,Other Mechanical,13,None,3500,40,50,50,A,45.7789,-115.411,None,Completed,None
10/18/2010,160030,45,Bureau of Land Management,CW,Eastside Township,Elk City,Other Mechanical,13,None,3500,40,75,50,A,45.7789,-115.411,None,Completed,None
10/19/2010,160030,45,Bureau of Land Management,CW,Eastside Township,Elk City,Other Mechanical,13,None,3500,40,None,50,A,45.7789,-115.411,None,Proposed,None
10/20/2010,160030,45,Bureau of Land Management,CW,Eastside Township,Elk City,Other Mechanical,13,None,3500,40,10,10,A,45.7789,-115.411,None,Completed,None
10/25/2010,160030,45,Bureau of Land Management,CW,Eastside Township,Elk City,Other Mechanical,13,None,3500,40,10,25,A,45.7789,-115.411,None,Completed,None
10/26/2010,160030,45,Bureau of Land Management,CW,Eastside Township,Elk City,Other Mechanical,13,None,3500,40,10,25,A,45.7789,-115.411,None,Completed,None
10/27/2010,160030,45,Bureau of Land Management,CW,Eastside Township,Elk City,Other Mechanical,13,None,3500,40,10,20,A,45.7789,-115.411,None,Completed,None
10/28/2010,160030,45,Bureau of Land Management,CW,Eastside Township,Elk City,Other Mechanical,13,None,3500,40,10,20,A,45.7789,-115.411,None,Completed,None
10/28/2010,161510,45,Bureau of Land Management,TWIN,Bald Mtn Hand Piles,West of Ketchum Idaho. This project consists of piles created from the Bald Mountain Stewardship project.,Hand Piles,23,Sun Valley,5840,10,None,1,A,43.6699,-114.369,None,Proposed,None
10/29/2010,160030,45,Bureau of Land Management,CW,Eastside Township,Elk City,Other Mechanical,13,None,3500,40,5,10,A,45.7789,-115.411,None,Completed,None
11/2/2010,162656,45,Bureau of Land Management,CDA,AML piles - Rex,Rex mining/mill site...AML...Pine Creek,Other Mechanical,11,None,3240,25,0,10,A,47.5352,-115.872,None,Completed,None
11/2/2010,162657,45,Bureau of Land Management,CDA,AML piles - Constitution,Constitution mining/mill site...AML...Pine Creek,Other Mechanical,11,None,3240,25,0,10,A,47.4336,-116.172,None,Completed,None
11/2/2010,49035,45,Bureau of Land Management,CDA,misc. piles,recreation site clean up,Hand Piles,11,None,3000,10,2,10,A,47.4482,-116.407,None,Completed,None
11/2/2010,160030,45,Bureau of Land Management,CW,Eastside Township,Elk City,Other Mechanical,13,None,3500,40,5,10,A,45.7789,-115.411,None,Completed,None
11/2/2010,162654,45,Bureau of Land Management,CDA,Island Pilot piles,"1 mile north of Mullan, Id.",Other Mechanical,12B,None,4314,30,5,18,A,47.2816,-115.494,None,Completed,None
11/4/2010,159413,45,Bureau of Land Management,CDA,2-Tail piles,"6 miles east of Bonners Ferry, Idaho.",Other Mechanical,11,None,3400,20,0,50,A,48.6816,-116.166,None,Completed,None
11/4/2010,160030,45,Bureau of Land Management,CW,Eastside Township,Elk City,Other Mechanical,13,None,3500,40,5,10,A,45.7789,-115.411,None,Completed,None
11/4/2010,162654,45,Bureau of Land Management,CDA,Island Pilot piles,"1 mile north of Mullan, Id.",Other Mechanical,12B,None,4314,30,0,8,A,47.2816,-115.494,None,Completed,None
11/5/2010,162654,45,Bureau of Land Management,CDA,Island Pilot piles,"1 mile north of Mullan, Id.",Other Mechanical,12B,None,4314,30,3,5,A,47.2816,-115.494,None,Completed,None
11/5/2010,159413,45,Bureau of Land Management,CDA,2-Tail piles,"6 miles east of Bonners Ferry, Idaho.",Other Mechanical,11,None,3400,20,0,50,A,48.6816,-116.166,None,Completed,None
11/8/2010,160030,45,Bureau of Land Management,CW,Eastside Township,Elk City,Other Mechanical,13,None,3500,40,0,10,A,45.7789,-115.411,None,Completed,None
11/9/2010,160030,45,Bureau of Land Management,CW,Eastside Township,Elk City,Other Mechanical,13,None,3500,40,0,10,A,45.7789,-115.411,None,Completed,None
11/9/2010,89211,45,Bureau of Land Management,IDF,Soda Hills,5 miles NW of Soda Springs,Hand Piles,20,None,6000,20,20,25,A,42.6989,-111.69,None,Completed,None
11/10/2010,89211,45,Bureau of Land Management,IDF,Soda Hills,5 miles NW of Soda Springs,Hand Piles,20,None,6000,20,0,25,B,42.6989,-111.69,None,Completed,None
11/15/2010,89211,45,Bureau of Land Management,IDF,Soda Hills,5 miles NW of Soda Springs,Hand Piles,20,None,6000,20,20,20,A,42.6989,-111.69,None,Completed,None
11/16/2010,89211,45,Bureau of Land Management,IDF,Soda Hills,5 miles NW of Soda Springs,Hand Piles,20,None,6000,20,0,25,A,42.6989,-111.69,None,Completed,None
11/17/2010,89204,45,Bureau of Land Management,IDF,Samaria Hand Piles,7 miles SW of Malad,Hand Piles,20,None,4600,35,20,20,A,42.0776,-112.279,None,Completed,None
11/18/2010,89204,45,Bureau of Land Management,IDF,Samaria Hand Piles,7 miles SW of Malad,Hand Piles,20,None,4600,35,0,25,A,42.0776,-112.279,None,Completed,None
11/18/2010,164938,45,Bureau of Land Management,SAL,"Morgan Creek Piles Units 4,5,6,19,29","Morgan Creek Drainage 19 air miles northeast of Challis, ID",Hand Piles,17,None,7500,9,25,50,A,44.6594,-114.281,None,Completed,None
11/19/2010,164938,45,Bureau of Land Management,SAL,"Morgan Creek Piles Units 4,5,6,19,29","Morgan Creek Drainage 19 air miles northeast of Challis, ID",Hand Piles,17,None,7500,9,0,25,A,44.6594,-114.281,None,Completed,None
11/22/2010,164938,45,Bureau of Land Management,SAL,"Morgan Creek Piles Units 4,5,6,19,29","Morgan Creek Drainage 19 air miles northeast of Challis, ID",Hand Piles,17,None,7500,9,50,50,A,44.6594,-114.281,None,Completed,None
11/22/2010,89204,45,Bureau of Land Management,IDF,Samaria Hand Piles,7 miles SW of Malad,Hand Piles,20,None,4600,35,25,25,A,42.0776,-112.279,None,Completed,None
11/23/2010,89204,45,Bureau of Land Management,IDF,Samaria Hand Piles,7 miles SW of Malad,Hand Piles,20,None,4600,35,0,25,A,42.0776,-112.279,None,Completed,None
11/29/2010,164938,45,Bureau of Land Management,SAL,"Morgan Creek Piles Units 4,5,6,19,29","Morgan Creek Drainage 19 air miles northeast of Challis, ID",Hand Piles,17,None,7500,9,100,100,A,44.6594,-114.281,None,Completed,None
12/1/2010,164938,45,Bureau of Land Management,SAL,"Morgan Creek Piles Units 4,5,6,19,29","Morgan Creek Drainage 19 air miles northeast of Challis, ID",Hand Piles,17,None,7500,9,25,25,A,44.6594,-114.281,None,Completed,None
12/7/2010,159413,45,Bureau of Land Management,CDA,2-Tail piles,"6 miles east of Bonners Ferry, Idaho.",Other Mechanical,11,None,3400,20,10,50,A,48.6816,-116.166,None,Completed,None
12/22/2010,159413,45,Bureau of Land Management,CDA,2-Tail piles,"6 miles east of Bonners Ferry, Idaho.",Other Mechanical,11,None,3400,20,40,40,A,48.6816,-116.166,None,Completed,None
5/11/2011,161795,45,Bureau of Land Management,CDA,Killarney Lake Broadcast,"9 miles south of I90, 1 1/2 miles northwest of state hiway 3, 4 miles south of Rose Lake, Idaho.",Understory,11,None,2765,15.64,24,24,A,47.5207,-116.556,None,Completed,None
6/27/2011,160212,45,Bureau of Land Management,TWIN,Martin Canyon,"East of Bellevue, Idaho",Broadcast,23,Sun Valley,7000,39.57,0,150,A,43.5106,-114.143,None,Completed,None
7/6/2011,160212,45,Bureau of Land Management,TWIN,Martin Canyon,"East of Bellevue, Idaho",Broadcast,23,Sun Valley,7000,39.57,0,150,A,43.5106,-114.143,None,Completed,None
9/23/2011,165403,45,Bureau of Land Management,CDA,Island Pilot,"1 mile northwest of Mullan, Idaho.",Understory,11,None,4200,28.85,None,45,A,47.4772,-115.829,None,Proposed,None
9/24/2011,165403,45,Bureau of Land Management,CDA,Island Pilot,"1 mile northwest of Mullan, Idaho.",Understory,11,None,4200,28.85,None,45,A,47.4772,-115.829,None,Proposed,None
9/30/2011,165403,45,Bureau of Land Management,CDA,Island Pilot,"1 mile northwest of Mullan, Idaho.",Understory,11,None,4200,28.85,22,45,A,47.4772,-115.829,None,Completed,None
10/1/2011,165403,45,Bureau of Land Management,CDA,Island Pilot,"1 mile northwest of Mullan, Idaho.",Understory,11,None,4200,28.85,23,45,A,47.4772,-115.829,None,Completed,None
10/12/2011,165830,45,Bureau of Land Management,CW,Eastside Township tractor,"Whitaker Creek, northeast of Elk City",Other Mechanical,13,None,4200,40,2,25,A,45.8513,-115.411,None,Completed,None
10/13/2011,165830,45,Bureau of Land Management,CW,Eastside Township tractor,"Whitaker Creek, northeast of Elk City",Other Mechanical,13,None,4200,40,40,50,A,45.8513,-115.411,None,Completed,None
10/14/2011,165830,45,Bureau of Land Management,CW,Eastside Township tractor,"Whitaker Creek, northeast of Elk City",Other Mechanical,13,None,4200,40,5,20,A,45.8513,-115.411,None,Completed,None
10/15/2011,160212,45,Bureau of Land Management,TWIN,Martin Canyon,"East of Bellevue, Idaho",Broadcast,23,Sun Valley,7000,39.57,0,200,A,43.5106,-114.143,None,Completed,None
10/17/2011,160030,45,Bureau of Land Management,CW,Eastside Township,Elk City,Other Mechanical,13,None,3500,40,45,50,A,45.7789,-115.411,None,Completed,None
10/17/2011,160212,45,Bureau of Land Management,TWIN,Martin Canyon,"East of Bellevue, Idaho",Broadcast,23,Sun Valley,7000,39.57,0,200,A,43.5106,-114.143,None,Completed,None
10/18/2011,160212,45,Bureau of Land Management,TWIN,Martin Canyon,"East of Bellevue, Idaho",Broadcast,23,Sun Valley,7000,39.57,None,200,A,43.5106,-114.143,None,Proposed,None
10/18/2011,165830,45,Bureau of Land Management,CW,Eastside Township tractor,"Whitaker Creek, northeast of Elk City",Other Mechanical,13,None,4200,40,50,50,A,45.8513,-115.411,None,Completed,None
10/19/2011,160212,45,Bureau of Land Management,TWIN,Martin Canyon,"East of Bellevue, Idaho",Broadcast,23,Sun Valley,7000,39.57,None,200,A,43.5106,-114.143,None,Proposed,None
10/19/2011,165830,45,Bureau of Land Management,CW,Eastside Township tractor,"Whitaker Creek, northeast of Elk City",Other Mechanical,13,None,4200,40,50,50,A,45.8513,-115.411,None,Completed,None
10/20/2011,165830,45,Bureau of Land Management,CW,Eastside Township tractor,"Whitaker Creek, northeast of Elk City",Other Mechanical,13,None,4200,40,2,20,A,45.8513,-115.411,None,Completed,None
10/24/2011,164938,45,Bureau of Land Management,SAL,"Morgan Creek Piles Units 4,5,6,19,29","Morgan Creek Drainage 19 air miles northeast of Challis, ID",Hand Piles,17,None,7500,9,0,100,A,44.6594,-114.281,None,Completed,None
10/24/2011,165838,45,Bureau of Land Management,CW,Eastside Township Landings,East side Elk City township,Landings,13,None,3500,25,0,20,A,45.8513,-115.411,None,Completed,None
10/25/2011,165838,45,Bureau of Land Management,CW,Eastside Township Landings,East side Elk City township,Landings,13,None,3500,25,1,20,A,45.8513,-115.411,None,Completed,None
10/26/2011,165838,45,Bureau of Land Management,CW,Eastside Township Landings,East side Elk City township,Landings,13,None,3500,25,7,20,A,45.8513,-115.411,None,Completed,None
10/26/2011,164938,45,Bureau of Land Management,SAL,"Morgan Creek Piles Units 4,5,6,19,29","Morgan Creek Drainage 19 air miles northeast of Challis, ID",Hand Piles,17,None,7500,9,0,100,A,44.6594,-114.281,None,Completed,None
10/27/2011,165838,45,Bureau of Land Management,CW,Eastside Township Landings,East side Elk City township,Landings,13,None,3500,25,7,20,A,45.8513,-115.411,None,Completed,None
10/27/2011,164938,45,Bureau of Land Management,SAL,"Morgan Creek Piles Units 4,5,6,19,29","Morgan Creek Drainage 19 air miles northeast of Challis, ID",Hand Piles,17,None,7500,9,65,100,A,44.6594,-114.281,None,Completed,None
10/28/2011,164938,45,Bureau of Land Management,SAL,"Morgan Creek Piles Units 4,5,6,19,29","Morgan Creek Drainage 19 air miles northeast of Challis, ID",Hand Piles,17,None,7500,9,0,50,A,44.6594,-114.281,None,Completed,None
10/31/2011,164938,45,Bureau of Land Management,SAL,"Morgan Creek Piles Units 4,5,6,19,29","Morgan Creek Drainage 19 air miles northeast of Challis, ID",Hand Piles,17,None,7500,9,0,50,A,44.6594,-114.281,None,Completed,None
10/31/2011,165838,45,Bureau of Land Management,CW,Eastside Township Landings,East side Elk City township,Landings,13,None,3500,25,10,10,A,45.8513,-115.411,None,Completed,None
11/1/2011,165838,45,Bureau of Land Management,CW,Eastside Township Landings,East side Elk City township,Landings,13,None,3500,25,10,20,A,45.8513,-115.411,None,Completed,None
11/1/2011,164938,45,Bureau of Land Management,SAL,"Morgan Creek Piles Units 4,5,6,19,29","Morgan Creek Drainage 19 air miles northeast of Challis, ID",Hand Piles,17,None,7500,9,0,35,A,44.6594,-114.281,None,Completed,None
11/2/2011,165838,45,Bureau of Land Management,CW,Eastside Township Landings,East side Elk City township,Landings,13,None,3500,25,5,10,A,45.8513,-115.411,None,Completed,None
11/3/2011,166815,45,Bureau of Land Management,TWIN,Hailey Creek Piles,"Hand piles 7 miles east of Hailey, ID. Hailey Creek is with in the Little Wood River drainage system.",Hand Piles,23,None,6400,2,2,300,A,43.55,-114.148,None,Completed,None
11/4/2011,166597,45,Bureau of Land Management,CDA,Hunter_Trapper,"Silver Valley, Shoshone County",Hand Piles,11,None,4222,7,1,1,A,47.464,-116.244,None,Completed,None
11/7/2011,89211,45,Bureau of Land Management,IDF,Soda Hills,5 miles NW of Soda Springs,Hand Piles,20,None,6000,20,20,20,A,42.6989,-111.69,None,Completed,None
11/7/2011,164938,45,Bureau of Land Management,SAL,"Morgan Creek Piles Units 4,5,6,19,29","Morgan Creek Drainage 19 air miles northeast of Challis, ID",Hand Piles,17,None,7500,9,35,35,A,44.6594,-114.281,None,Completed,None
11/7/2011,166815,45,Bureau of Land Management,TWIN,Hailey Creek Piles,"Hand piles 7 miles east of Hailey, ID. Hailey Creek is with in the Little Wood River drainage system.",Hand Piles,23,None,6400,2,0,298,A,43.55,-114.148,None,Completed,None
11/8/2011,89204,45,Bureau of Land Management,IDF,Samaria Hand Piles,7 miles SW of Malad,Hand Piles,20,None,4600,35,None,30,A,42.0776,-112.279,None,Proposed,None
11/8/2011,164938,45,Bureau of Land Management,SAL,"Morgan Creek Piles Units 4,5,6,19,29","Morgan Creek Drainage 19 air miles northeast of Challis, ID",Hand Piles,17,None,7500,9,None,35,A,44.6594,-114.281,None,Proposed,None
11/8/2011,166815,45,Bureau of Land Management,TWIN,Hailey Creek Piles,"Hand piles 7 miles east of Hailey, ID. Hailey Creek is with in the Little Wood River drainage system.",Hand Piles,23,None,6400,2,None,298,B,43.55,-114.148,None,Proposed,None
11/9/2011,89211,45,Bureau of Land Management,IDF,Soda Hills,5 miles NW of Soda Springs,Hand Piles,20,None,6000,20,2,30,A,42.6989,-111.69,None,Completed,None
11/10/2011,162654,45,Bureau of Land Management,CDA,Island Pilot piles,"1 mile north of Mullan, Id.",Other Mechanical,12B,None,4314,30,6,10,A,47.2816,-115.494,None,Completed,None
11/14/2011,165838,45,Bureau of Land Management,CW,Eastside Township Landings,East side Elk City township,Landings,13,None,3500,25,5,5,A,45.8513,-115.411,None,Completed,None
11/14/2011,166815,45,Bureau of Land Management,TWIN,Hailey Creek Piles,"Hand piles 7 miles east of Hailey, ID. Hailey Creek is with in the Little Wood River drainage system.",Hand Piles,23,None,6400,2,75,298,A,43.55,-114.148,None,Completed,None
11/14/2011,162654,45,Bureau of Land Management,CDA,Island Pilot piles,"1 mile north of Mullan, Id.",Other Mechanical,12B,None,4314,30,0,4,A,47.2816,-115.494,None,Completed,None
11/15/2011,166815,45,Bureau of Land Management,TWIN,Hailey Creek Piles,"Hand piles 7 miles east of Hailey, ID. Hailey Creek is with in the Little Wood River drainage system.",Hand Piles,23,None,6400,2,0,298,A,43.55,-114.148,None,Completed,None
11/15/2011,89211,45,Bureau of Land Management,IDF,Soda Hills,5 miles NW of Soda Springs,Hand Piles,20,None,6000,20,15,25,A,42.6989,-111.69,None,Completed,None
11/16/2011,89211,45,Bureau of Land Management,IDF,Soda Hills,5 miles NW of Soda Springs,Hand Piles,20,None,6000,20,0,25,A,42.6989,-111.69,None,Completed,None
11/17/2011,89211,45,Bureau of Land Management,IDF,Soda Hills,5 miles NW of Soda Springs,Hand Piles,20,None,6000,20,20,25,A,42.6989,-111.69,None,Completed,None
11/21/2011,89211,45,Bureau of Land Management,IDF,Soda Hills,5 miles NW of Soda Springs,Hand Piles,20,None,6000,20,7,12,A,42.6989,-111.69,None,Completed,None
3/15/2012,50005,45,Bureau of Land Management,CW,Russell Bar,"2 miles north of Slate Creek, ID along the Salmon River.",Hand Piles,13,None,1568,10,1,2,A,45.6631,-116.298,None,Completed,None
4/11/2012,50003,45,Bureau of Land Management,CW, Hammer Creek,"1 mile west of White Bird, ID along the Salmon River.",Hand Piles,13,None,2595,10,0,1,A,45.6776,-116.339,None,Completed,None
4/12/2012,50003,45,Bureau of Land Management,CW, Hammer Creek,"1 mile west of White Bird, ID along the Salmon River.",Hand Piles,13,None,2595,10,1,1,A,45.6776,-116.339,None,Completed,None
4/23/2012,161795,45,Bureau of Land Management,CDA,Killarney Lake Broadcast,"9 miles south of I90, 1 1/2 miles northwest of state hiway 3, 4 miles south of Rose Lake, Idaho.",Understory,11,None,2765,15.64,24,24,A,47.5207,-116.556,None,Completed,None
5/12/2012,161510,45,Bureau of Land Management,TWIN,Bald Mtn Hand Piles,West of Ketchum Idaho. This project consists of piles created from the Bald Mountain Stewardship project.,Hand Piles,23,Sun Valley,5840,10,1,1,A,43.6699,-114.369,None,Completed,None
5/13/2012,161510,45,Bureau of Land Management,TWIN,Bald Mtn Hand Piles,West of Ketchum Idaho. This project consists of piles created from the Bald Mountain Stewardship project.,Hand Piles,23,Sun Valley,5840,10,-2,1,A,43.6699,-114.369,None,Completed,None
5/14/2012,161510,45,Bureau of Land Management,TWIN,Bald Mtn Hand Piles,West of Ketchum Idaho. This project consists of piles created from the Bald Mountain Stewardship project.,Hand Piles,23,Sun Valley,5840,10,None,1,A,43.6699,-114.369,None,Proposed,None
6/13/2012,160212,45,Bureau of Land Management,TWIN,Martin Canyon,"East of Bellevue, Idaho",Broadcast,23,Sun Valley,7000,39.57,0,125,A,43.5106,-114.143,None,Completed,None
6/14/2012,160212,45,Bureau of Land Management,TWIN,Martin Canyon,"East of Bellevue, Idaho",Broadcast,23,Sun Valley,7000,39.57,0,125,A,43.5106,-114.143,None,Completed,None
6/15/2012,160212,45,Bureau of Land Management,TWIN,Martin Canyon,"East of Bellevue, Idaho",Broadcast,23,Sun Valley,7000,39.57,0,125,A,43.5106,-114.143,None,Completed,None
10/23/2012,168485,45,Bureau of Land Management,CDA,Murry South Handpiles,1.5 mile south of Murray Idaho,Hand Piles,11,None,5325,40,0,25,A,47.6028,-115.855,None,Completed,None
10/24/2012,167181,45,Bureau of Land Management,CDA,Wallace South,".50 miles South of Wallace, ID",Hand Piles,11,None,4183,20,15,30,A,47.4603,-115.926,None,Completed,None
10/25/2012,167181,45,Bureau of Land Management,CDA,Wallace South,".50 miles South of Wallace, ID",Hand Piles,11,None,4183,20,5,20,A,47.4603,-115.926,None,Completed,None
10/26/2012,168566,45,Bureau of Land Management,CDA,Killarney Handpiles,"The prescribed fire area is south (4 miles) of Rose Lake, Idaho immediately adjacent (north) of Killarney Lake.  ",Hand Piles,11,None,2721,10,None,11,A,47.5235,-116.557,None,Proposed,None
10/29/2012,168571,45,Bureau of Land Management,CDA,Wallace South Landing Piles,"The prescribed fire area is south of Wallace, Idaho immediately adjacent to town and then continuing on into the higher ridges in Placer Creek.",Landings,11,None,5125,30,20,20,A,47.4521,-115.92,None,Completed,None
10/29/2012,168566,45,Bureau of Land Management,CDA,Killarney Handpiles,"The prescribed fire area is south (4 miles) of Rose Lake, Idaho immediately adjacent (north) of Killarney Lake.  ",Hand Piles,11,None,2721,10,11,11,A,47.5235,-116.557,None,Completed,None
10/30/2012,167181,45,Bureau of Land Management,CDA,Wallace South,".50 miles South of Wallace, ID",Hand Piles,11,None,4183,20,10,10,A,47.4603,-115.926,None,Completed,None
10/30/2012,168566,45,Bureau of Land Management,CDA,Killarney Handpiles,"The prescribed fire area is south (4 miles) of Rose Lake, Idaho immediately adjacent (north) of Killarney Lake.  ",Hand Piles,11,None,2721,10,None,11,B,47.5235,-116.557,None,Proposed,None
10/30/2012,165830,45,Bureau of Land Management,CW,Eastside Township tractor,"Whitaker Creek, northeast of Elk City",Other Mechanical,13,None,4200,40,25,25,A,45.8513,-115.411,None,Completed,None
10/31/2012,165830,45,Bureau of Land Management,CW,Eastside Township tractor,"Whitaker Creek, northeast of Elk City",Other Mechanical,13,None,4200,40,20,25,A,45.8513,-115.411,None,Completed,None
10/31/2012,168571,45,Bureau of Land Management,CDA,Wallace South Landing Piles,"The prescribed fire area is south of Wallace, Idaho immediately adjacent to town and then continuing on into the higher ridges in Placer Creek.",Landings,11,None,5125,30,20,20,A,47.4521,-115.92,None,Completed,None
10/31/2012,168566,45,Bureau of Land Management,CDA,Killarney Handpiles,"The prescribed fire area is south (4 miles) of Rose Lake, Idaho immediately adjacent (north) of Killarney Lake.  ",Hand Piles,11,None,2721,10,None,11,B,47.5235,-116.557,None,Proposed,None
11/1/2012,167181,45,Bureau of Land Management,CDA,Wallace South,".50 miles South of Wallace, ID",Hand Piles,11,None,4183,20,10,10,A,47.4603,-115.926,None,Completed,None
11/1/2012,165830,45,Bureau of Land Management,CW,Eastside Township tractor,"Whitaker Creek, northeast of Elk City",Other Mechanical,13,None,4200,40,1,20,A,45.8513,-115.411,None,Completed,None
