Permit Number,BurnName,ShortPermitNum,AgencyGroup,AgencyID,AdministrativeUnit,PileBcst,Acres Max Permitted ,Piles Max Permitted,Actual Acres Burned,Act Pile Vol Consumed,ActPiles,PileActVolume,PilePctCons,Lat,Lon,TWN,TWND,RNG,RNGD,SECTION
FCX-10-107,Bobcat Ridge Piles,107,LOCAL,FCX,City of Fort Collins,p,,140,54,,5,100,80, ,  ,6,N,70,W,21
FCX-10-199,Bobcat Ridge Natural Area,199,LOCAL,FCX,City of Fort Collins,b,60,,,52.7,,,, ,  ,6,N,70,W,16
FCX-10-264,Butterfly Woods,264,LOCAL,FCX,City of Fort Collins,b,22,,,0.15,,,,40.61,-105.13,8,N,69,W,33
FCX-10-327,Running Deer Rx,327,LOCAL,FCX,City of Fort Collins,b,47,,,,,,, ,  ,7,N,68,W,21
FCX-10-330,Soapstone Prairie Mountain Plover Rx,330,LOCAL,FCX,City of Fort Collins,b,300,,,250,,,, ,  ,11,N,68,W,5
GCX-10-999,Grand County Delegation Annual Summary,388,LOCAL,GCX,Grand County Delegation,,,,,,4150,2533.39,100, ,  ,,,,,
GJX-10-322,Las Colonias,322,LOCAL,GJX,Grand Junction Fire Department,p,,6,7069,,23,1391,89,39.03,-108.33,,,,,
LFX-10-065,Lake of the Pines,65,LOCAL,LFX,Lefthand Fire Dept,p,,6,1414,,2,85,95,40.13,-105.28,,,,,
LFX-10-067,Mountain Ridge,67,LOCAL,LFX,Lefthand Fire Dept,p,,1500,85,,137,84,95, ,  ,2,N,71,W,1
LRX-10-039,Carter Lake,39,LOCAL,LRX,Larimer County,p,,300,38,,250,85,85.85883, ,  ,4,N,70,W,4
LRX-10-040,Horsetooth,40,LOCAL,LRX,Larimer County,p,,800,38,,75,84,75, ,  ,7,N,70,W,25
LRX-10-041,Indian Creek Phase 2,41,LOCAL,LRX,Larimer County,b,125,,,,,,, ,  ,6,N,69,W,30
PLX-10-166,Platte Canyon Piles (Deer Creek),166,LOCAL,PLX,Platte Canyon Fire Department,p,,4000,39,,1565,61.61981,36.14279, ,  ,6,S,72,W,28
RMX-10-044,Flagstaff,44,LOCAL,RMX,Rocky Mountain Fire,p,,1000,39,,,,, ,  ,1,S,71,W,8
SOX-10-312,Fetters Ranch,312,Local,SOX,South Metro Fire Department,b,75,,,11,,,, ,  ,5,S,66,W,32
WEX-10-177,"Green Mountain Units 2,3,4,5",177,LOCAL,WEX,West Metro Fire Department,b,150,,,,,,, ,  ,4,S,70,W,24
WEX-10-180,Ken Caryl - North Hogback North,180,LOCAL,WEX,West Metro Fire Department,b,54,,,,,,, ,  ,5,S,69,W,30
WEX-10-298,Bear Creek Rx 2010,298,LOCAL,WEX,West Metro Fire Department,b,350,,,137,,,,39.38,-105.1,4,S,69,W,34
MUL-10-064,Oak Meadows,64,MULTI,MUL,multiple agencies,p,,650,275,,471,255,89, ,  ,7,S,89,W,15
MUL-10-144,Blacktail,144,MULTI,MUL,multiple agencies,b,915,,,340,,,, ,  ,4,N,84,W,30
MUL-10-156,Chaffee,156,MULTI,MUL,multiple agencies,b,485,,,260,,,, ,  ,47,N,8,W,34
MUL-10-193,Bulrush Wetlands Park (Yardley Wetlands),193,MULTI,MUL,multiple agencies,b,18,,,0.3,,,, ,  ,1,N,68,W,5
MUL-10-197,Reservoir Gulch RX,197,MULTI,MUL,multiple agencies,b,2400,,,1292,,,, ,  ,8,S,92,W,9
BCP-10-069,Green Grizzly,69,NPS,BCP,Black Canyon National Park,b,160,,,,,,, ,  ,50,N,7,W,8
BCP-10-100,BCP Maintenance Brush Piles,100,NPS,BCP,Black Canyon National Park,p,,1,5027,,1,5027,100, ,  ,49,N,7,W,5
BCP-10-301,Green Grizzly Piles,302,NPS,BCP,Black Canyon National Park,p,,425,65,,,,, ,  ,50,N,7,W,18
CNP-10-104,Red Canyon,104,NPS,CNP,Colorado National Monument,b,160,,,2,,,, ,  ,12,S,101,W,10
CNP-10-303,East Side Piles,303,NPS,CNP,Colorado National Monument,p,,325,65,,,,, ,  ,12,S,101,W,11
FFP-10-200,Florissant Piles,200,NPS,FFP,Florissant Fossil Beds National Monument,p,,1000,275,,215,275,98.62791,40.39,-105.58,,,,,
FFP-10-243,SE Florissant Boundary Piles,243,NPS,FFP,Florissant Fossil Beds National Monument,p,,200,151,,50,151,99, ,  ,13,S,70,W,30
GSP-10-294,Liberty RX,294,NPS,GSP,Great Sand Dunes National Park,b,500,,,,,,,37.5,-105.37,,,,,
MVP-10-126,Chapin Pile Rx,126,NPS,MVP,Mesa Verde National Park,p,,1,3700,,1,3700,100, ,  ,34,N,15,W,16
RMP-10-139,Betty Dicks Slash Disposal Burn,139,NPS,RMP,Rocky Mountain National Park,p,,1,29500,,2,29500,47.5, ,  ,4,N,76,W,12
RMP-10-165,Grand Lake Boundary Piles,165,NPS,RMP,Rocky Mountain National Park,p,,4000,275,,480,275,98,40.26,-105.84,,,,,
RMP-10-171,Deer Mountain Piles,171,NPS,RMP,Rocky Mountain National Park,p,,4000,275,,1107,275,98,40.39,-105.48,,,,,
RMP-10-194,Pontiac Pit,194,NPS,RMP,Rocky Mountain National Park,p,,3,14621,,3,14621,98,40.33,-105.85,,,,,
RMP-10-226,Horseshoe,226,NPS,RMP,Rocky Mountain National Park,b,100,,,2,,,, ,  ,5,N,73,W,17
RMP-10-247,Leiffer Cabin,247,NPS,RMP,Rocky Mountain National Park,p,,35,396,,,,,40.27,-105.54,,,,,
RMP-10-278,South Lateral Moraine,278,NPS,RMP,Rocky Mountain National Park,b,500,,,21,,,, ,  ,4,N,73,W,5
RMP-10-287,North Lateral Moraine,287,NPS,RMP,Rocky Mountain National Park,b,200,,,,,,,40.21,-105.35,,,,,
PVT-10-003,Private Piles,3,PVT,PVT,Privately-owned land,p,,230,15301,,13,10000,95,37.57,-105.3,,,,,
PVT-10-004,Private Piles,4,PVT,PVT,Privately-owned land,p,,100,20000,,25,27480,95,37.52,-105.4,,,,,
PVT-10-029,Private Piles,29,PVT,PVT,Privately-owned land,p,,6,10268,,,,, ,  ,2,N,83,W,6
PVT-10-042,Private Piles,42,PVT,PVT,Privately-owned land,p,,20,933,,21,1353,97, ,  ,3,N,84,W,16
PVT-10-043,Private Piles,43,PVT,PVT,Privately-owned land,p,,120,11200,,12,9000,95, ,  ,6,S,78,W,24
PVT-10-058,Private Broadcast,58,PVT,PVT,Privately-owned land,b,2000,,,,,,,37.53,-105.37,,,,,
PVT-10-059,Private Broadcast,59,PVT,PVT,Privately-owned land,b,1700,,,,,,,37.49,-105.48,,,,,
LFX-10-066,Private Piles,66,PVT,PVT,Privately-owned land,p,,1500,63,,,,, ,  ,2,N,72,W,22
PVT-10-068,Private Piles,68,PVT,PVT,Privately-owned land,p,,5,19635,,3,19635,100, ,  ,2,N,83,W,6
PVT-10-094,Private Piles,94,PVT,PVT,Privately-owned land,p,,200,85,,20,80,90, ,  ,2,N,71,W,19
PVT-10-095,Private Piles,95,PVT,PVT,Privately-owned land,p,,3000,545,,319,20,85, ,  ,3,S,79,W,11
PVT-10-101,Private Piles,101,PVT,PVT,Privately-owned land,p,,277,8459,,47,4173.149,95, ,  ,1,S,81,W,15
PVT-10-105,Banded Peaks Ranch Broadcast,105,PVT,PVT,Privately-owned land,b,880,,,,,,,37.49,-106.69,,,,,
PVT-10-118,Private Piles,118,PVT,PVT,Privately-owned land,p,,50,141000,,5,146480.8,98.48256, ,  ,2,S,80,W,17
PVT-10-119,Private Piles,119,PVT,PVT,Privately-owned land,p,,50,5301,,6,393,95, ,  ,3,N,85,W,12
PVT-10-124,Private Piles,124,PVT,PVT,Privately-owned land,p,,50,628,,8,600,85,37.05,-106.69,,,,,
PVT-10-147,Private Piles,147,PVT,PVT,Privately-owned land,p,,25,2356,,13,20,85, ,  ,3,N,84,W,23
PVT-10-151,Private Piles,151,PVT,PVT,Privately-owned land,p,,25,5300,,20,5300,100, ,  ,6,S,77,W,29
PVT-10-169,Phantom Canyon Preseve: East Side,169,PVT,PVT,Privately-owned land,b,725,,,129,,,, ,  ,11,N,71,W,1
PVT-10-188,Private Piles,188,PVT,PVT,Privately-owned land,p,,5,39270,,5,15600,99.9, ,  ,4,S,78,W,23
PVT-10-196,Private Piles,196,PVT,PVT,Privately-owned land,p,,7,70686,,5,35100,99.74, ,  ,1,N,81,W,1
PVT-10-215,Private Piles,215,PVT,PVT,Privately-owned land,p,,12,2500,,4,8000,95, ,  ,3,N,84,W,10
PVT-10-216,Private Piles,216,PVT,PVT,Privately-owned land,p,,20,2500,,12,2500,80, ,  ,5,N,84,W,10
PVT-10-219,WWV,219,PVT,PVT,Privately-owned land,b,250,,,,,,, ,  ,8,N,68,W,7
PVT-10-220,Private Piles,220,PVT,PVT,Privately-owned land,p,,40,7000,,27,6870.371,97.91644,40.47,-106.85,,,,,
PVT-10-221,Bar NI Unit 3,221,PVT,PVT,Privately-owned land,b,73,,,,,,,37.19,-105.04,,,,,
PVT-10-234,Private Piles,234,PVT,PVT,Privately-owned land,p,,80,1414,,,,,40.42,-106.85,,,,,
PVT-10-251,Private Piles,251,PVT,PVT,Privately-owned land,p,,2,1800,,8,8,75, ,  ,2,N,83,W,17
PVT-10-271,Blue Valley Ranch Broadcast,271,PVT,PVT,Privately-owned land,b,1000,,,240,,,,39.99,-106.38,1,S,80,W,16
PVT-10-284,Private Piles,284,PVT,PVT,Privately-owned land,p,,100,2300,,38,1921,90, ,  ,2,S,75,W,9
PVT-10-285,Private Piles,285,PVT,PVT,Privately-owned land,p,,500,1325,,12,1500,98,39.59,-105.93,,,,,
PVT-10-293,Private Piles,293,PVT,PVT,Privately-owned land,p,,40,8796,,18,8796,92.72222, ,  ,2,N,83,W,6
PVT-10-295,Private Piles,295,PVT,PVT,Privately-owned land,p,,12,3770,,9,3770,90, ,  ,6,S,77,W,19
PVT-10-296,Private Piles,296,PVT,PVT,Privately-owned land,p,,50,314,,43,2735.116,94.92789, ,  ,5,S,76,W,2
PVT-10-304,Private Piles,304,PVT,PVT,Privately-owned land,p,,2,31416,,1,31416,95, ,  ,1,N,2,W,18
PVT-10-305,Private Piles,305,PVT,PVT,Privately-owned land,p,,5,2026,,,,,40.14,-106.47,,,,,
PVT-10-328,Private Piles,328,PVT,PVT,Privately-owned land,p,,75,120,,9,27.77778,100, ,  ,6,S,78,W,30
PVT-10-335,Private Piles,335,PVT,PVT,Privately-owned land,p,,3,3299,,3,3299,90, ,  ,13,S,86,W,25
PVT-10-341,Private Piles,341,PVT,PVT,Privately-owned land,p,,240,100,,237,125.2911,98.50353,39.16,-106.86,,,,,
PVT-10-342,Private Piles,342,PVT,PVT,Privately-owned land,p,,25,235,,,,,39.18,-106.85,,,,,
PVT-10-365,Private Piles,365,PVT,PVT,Privately-owned land,p,,30,4000,,20,1571,67, ,  ,3,N,84,W,6
PVT-10-366,Private Piles,366,PVT,PVT,Privately-owned land,p,,40,5300,,,,,40.51,-107.11,,,,,
PVT-10-369,Private Piles,369,PVT,PVT,Privately-owned land,p,,4,75000,,,,,40.81,-105.65,,,,,
PVT-10-371,Private Piles,371,PVT,PVT,Privately-owned land,b,600,,,,,,, ,  ,33,S,51,W,21
PVT-10-373,Private Piles,373,PVT,PVT,Privately-owned land,p,,4,4404,,,,,40.32,-106.47,,,,,
PVT-10-377,Private Piles,377,PVT,PVT,Privately-owned land,p,,20,7068,,8,7000,99.9,39.73,-106.11,,,,,
PVT-10-378,Private Piles,378,PVT,PVT,Privately-owned land,p,,100,300,,,,,39.58,-104.43,,,,,
PVT-10-379,Private Piles,379,PVT,PVT,Privately-owned land,p,,2,,,,,, ,  ,6,N,84,W,4
PVT-10-381,Private Piles,381,PVT,PVT,Privately-owned land,p,,100,196,,,,, ,  ,2,S,80,W,36
PVT-10-384,Private Piles,384,PVT,PVT,Privately-owned land,p,,22,1178,,10,6283,95, ,  ,2,N,83,W,17
ALS-10-276,Hudson Rx,276,STATE,ALS,Alamosa District Office,b,50,,,0.25,,,,37.17,-106.29,34,N,6,E,15
ALS-10-289,Ptarmigan Meadows Piles,289,STATE,ALS,Alamosa District Office,p,,2,2500,,1,2500,98, ,  ,41,N,3,W,13
ALS-10-325,Forbes Park LOA Piles Unit B,325,STATE,ALS,Alamosa District Office,p,,4,3140,,4,3500,95,37.26,-105.1,,,,,
ALS-10-372,Powder House ALS,372,STATE,ALS,Alamosa District Office,p,,200,59,,70,59,95, ,  ,39,N,3,E,4
BOS-10-016,Upper Sunshine/Lickskillet (Gold Hill),16,STATE,BOS,Boulder District Office,p,,750,115,,30,85,90, ,  ,1,N,71,W,7
BOS-10-112,Gross Roservoir,112,STATE,BOS,Boulder District Office,p,,70,85,,,,, ,  ,1,S,71,W,20
CCS-10-070,Table Mountain Pile Burns,70,STATE,CCS,Canon City District Office,p,,75,1254,,75,1254,95, ,  ,17,S,68,W,24
CCS-10-083,Upper Badger Creek Pile Burn,83,STATE,CCS,Canon City District Office,p,,265,157,,,,, ,  ,51,N,10,E,14
DEW-10-269,Tarryall Reservoir SWA,269,STATE,DEW,"Denver Area Office,  NE Region",b,27,,,,,,, ,  ,9,S,74,W,25
DEW-10-270,Woodhouse State Wildlife Area,270,STATE,DEW,"Denver Area Office,  NE Region",b,15,,,,,,, ,  ,7,S,68,W,9
DRS-10-181,Frisco Creek,181,STATE,DRS,Durango District Office,p,,1,1571,,,,, ,  ,38,N,5,E,2
FRS-10-102,Lower North Fork,102,STATE,FRS,Franktown District Office,b,335,,,,,,, ,  ,7,S,70,W,15
GOS-10-111,Bergan Peak,111,STATE,GOS,Golden District Office,p,,200,1571,,60,4800,0, ,  ,4,S,72,W,26
GOS-10-121,Flying J Ranch,121,STATE,GOS,Golden District Office,b,53,,,,,,, ,  ,5,S,70,W,10
GOS-10-138,GGCSP Nott Creek Broadcast,138,STATE,GOS,Golden District Office,b,298,,,101,,,, ,  ,2,S,71,W,19
GOS-10-230,"White Ranch Park Understory (Units 13, 14, 20)",230,STATE,GOS,Golden District Office,b,60,,,,,,,39.82,-105.28,,,,,
GOS-10-239,Bear Creek Bowl II/Mt Evans SWA,239,STATE,GOS,Golden District Office,b,350,,,159,,,, ,  ,5,S,73,W,11
GOS-10-248,White Ranch Park Grass (Unit 12),248,STATE,GOS,Golden District Office,b,20,,,,,,,39.82,-105.28,,,,,
GOS-10-263,Ralston Roost,263,STATE,GOS,Golden District Office,p,,230,101,,33,101,90, ,  ,2,S,72,W,35
GRS-10-071,Fraser Valley Piles,71,STATE,GRS,Granby District Office,p,,170,1759,,100,1759,98, ,  ,1,S,75,W,34
LAW-10-357,Tern Island@Blue Lake,357,STATE,LAW,Lamar Area Office,b,54,,,26,,,, ,  ,20,S,52,W,32
MOW-10-060,Escalante Food Plots/Field Burn,60,STATE,MOW,"Montrose Area Office, SW Region",b,75,,,12,,,, ,  ,15,S,96,W,18
MOW-10-061,Hamilton Tamarisk Piles,61,STATE,MOW,"Montrose Area Office, SW Region",p,,60,392,,,,, ,  ,15,S,96,W,18
MVW-10-198,Coller SWA,198,STATE,MVW,"Monte Vista Area Office, SE Region",b,50,,,50,,,,37.7,-106.75,40,N,2,E,12
MVW-10-203,Rio Grande SWA Piles,203,STATE,MVW,"Monte Vista Area Office, SE Region",p,,300,27,,,,, ,  ,39,N,8,E,34
SSS-10-052,Steamboat Lake and Pearl,52,STATE,SSS,Steamboat Springs District Office,p,,125,5500,,38,4000,88, ,  ,10,N,85,W,26
SSS-10-099,CS Forest Piles,99,STATE,SSS,Steamboat Springs District Office,p,,80,884,,40,1500,97,40.5,-105.9,7,N,76,W,16
SSS-10-217,Knox,217,STATE,SSS,Steamboat Springs District Office,p,,6,3142,,11,2364,95, ,  ,10,N,85,W,20
SSS-10-250,Delaney Buttes,250,STATE,SSS,Steamboat Springs District Office,b,750,,,,,,, ,  ,10,N,77,W,5
SSS-10-364,Stagecoach Piles,364,STATE,SSS,Steamboat Springs District Office,p,,1,2356,,1,2356,100, ,  ,4,N,84,W,32
WPS-10-015,PPWS North Slope Ridge Road,15,STATE,WPS,Woodland Park District Office,b,114,,,114,,,, ,  ,13,S,69,W,13
WPS-10-149,James Mark Jones SWA Rx Burn,149,STATE,WPS,Woodland Park District Office,b,650,,,155,,,, ,  ,10,S,76,W,9
WPS-10-213,Eleven Mile State Park Rx Burn,213,STATE,WPS,Woodland Park District Office,b,60,,,60,,,, ,  ,13,S,72,W,18
WPS-10-291,Pikes Peak Watershed Pile Burn,291,STATE,WPS,Woodland Park District Office,p,,300,200,,300,200,100, ,  ,13,S,69,W,11
WPS-10-292,Salt Creek Piles,292,STATE,WPS,Woodland Park District Office,p,,10,1500,,,,, ,  ,13,S,77,W,3
ARF-10-006,James Creek Units H1401 & RFB14,6,USFS,ARF,Arapaho/Roosevelt National Forests,p,,3000,60,,268,79.07462,87.48962, ,  ,2,N,72,W,11
ARF-10-007,Sugarloaf 165 A & B,7,USFS,ARF,Arapaho/Roosevelt National Forests,p,,260,32,,,,, ,  ,1,N,72,W,21
ARF-10-008,Sugarloaf 132 & 132E,8,USFS,ARF,Arapaho/Roosevelt National Forests,p,,2000,191,,,,, ,  ,1,N,72,W,33
ARF-10-009,James Creek PBFB1,9,USFS,ARF,Arapaho/Roosevelt National Forests,p,,3500,151,,2670,151,85.26517, ,  ,1,N,72,W,9
ARF-10-010,Porter Ranch Unit 5,10,USFS,ARF,Arapaho/Roosevelt National Forests,p,,500,151,,101,151,94.70297, ,  ,1,S,72,W,10
ARF-10-011,Sugarloaf Unit 121-123,11,USFS,ARF,Arapaho/Roosevelt National Forests,p,,35,9425,,25,1244,85, ,  ,1,N,72,W,31
ARF-10-017,Sugarloaf 166,17,USFS,ARF,Arapaho/Roosevelt National Forests,p,,1500,32,,,,, ,  ,1,N,72,W,14
ARF-10-018,Sugarloaf Unit 54,18,USFS,ARF,Arapaho/Roosevelt National Forests,p,,50,565,,32,577.1875,90, ,  ,1,N,72,W,30
ARF-10-088,Fish Creek,88,USFS,ARF,Arapaho/Roosevelt National Forests,p,,6000,151,,,,, ,  ,4,N,72,W,18
ARF-10-089,Meeker Park,89,USFS,ARF,Arapaho/Roosevelt National Forests,p,,7000,151,,3275,150.1499,92.6816, ,  ,3,N,72,W,6
ARF-10-090,Pinewood Springs,90,USFS,ARF,Arapaho/Roosevelt National Forests,p,,7000,151,,1052,151,91.53042, ,  ,4,N,71,W,21
ARF-10-091,Pingree Hill,91,USFS,ARF,Arapaho/Roosevelt National Forests,p,,13000,151,,,,, ,  ,9,N,73,W,22
ARR-10-092,Red Feather,92,USFS,ARF,Arapaho/Roosevelt National Forests,p,,800,151,,587,550.4855,90.41356, ,  ,10,N,73,W,4
ARF-10-097,Grizzly Gulch,97,USFS,ARF,Arapaho/Roosevelt National Forests,p,,14000,151,,1812,151,90, ,  ,4,N,72,W,4
