name,burn_date,agency,unit,total_acres,black_acres,clearing_index,tons_pm,tons_voc,tons_nox,tons_elC,tons_orC,no_burn,reason_no_burn,approval_type,lat,lng,county,elevation,airshed,class1,nonattainment,fuel_types,added_on,start_time,end_time,piles,public_interest,daytime,nighttime,status,Pile Acres,FM1 Grass Acres,FM2 Timber Und. Acres,FM3 Tall Grass Acres,FM4 Low Brush Acres,FM5 Tall Brush Acres,FM6 PJ Acres,FM8 Timber Litter Acres,FM9 Hard. Litter Acres,FM10 Timber Acres,FM11 Slash Acres
D1 Pondo,5/19/2023,USFS,Ashley NF East Zone,100,100,600,3.74,22.05,1.8,1.09,2.64,FALSE,,,40.886,-109.646,Daggett,7640,7 (N. Slope Uintas),FALSE,FALSE,"[""Grass"",""Brush"",""Timber""]",5/20/2023,12:30,17:30,,Some,Light smoke that lifted to about 1000ft agl,,Approved,,,100,,,,,,,,
South Beaver RX 2022,5/19/2023,USFS,Fishlake NF Beaver,51,30,1000,2.54,14.99,1.22,0.74,1.8,FALSE,,,38.231,-112.485,Beaver,8920,2 (S. West Desert),FALSE,FALSE,"[""Grass"",""Brush"",""Timber"",""Timber Litter""]",5/19/2023,12:00,16:30,,None,"dispersed really well to the south east, only visible on 2-3 occasions.",None,Approved,,,,,,,,30,,,
South Beaver RX 2022,5/17/2023,USFS,Fishlake NF Beaver,5,5,1000,0.89,5.28,0.43,0.26,0.63,FALSE,,,38.231,-112.485,Beaver,8920,2 (S. West Desert),FALSE,FALSE,"[""Grass"",""Brush"",""Timber"",""Timber Litter""]",5/19/2023,13:00,16:30,,None,None,None,Approved,,,,,,,,,,,5
UTTR RX- Lakeside Road,5/18/2023,DOD,Utah Military Bases,7,7,800,0.18,0.24,0.08,0.03,0.15,FALSE,,,41.164,-112.901,Box Elder,4530,1 (N. West Desert),FALSE,FALSE,"[""Short Grass""]",5/19/2023,10:00,15:00,,None,"Smoke was minimal, vegetation was completely cured. I used FM3 Tall Grass to best represent Russian thistle (tumble weed) accumulations along fence lines that typically averaged 3' in height. Burning was not conducted after 1700 hrs. Great dispersion was observed. East winds 4-6 over the range provided good consumption with no operational challenges.",No night time burning was conducted. All burning material was extinguished prior 1700 hrs.,Approved,,,,7,,,,,,,
UTTR RX- Lakeside Road,5/17/2023,DOD,Utah Military Bases,11,11,1000,0.29,0.38,0.12,0.05,0.24,FALSE,,,41.05,-112.926,Box Elder,4400,1 - N. West Desert,FALSE,FALSE,"[""Short Grass""]",5/19/2023,10:00,16:00,,None,"Smoke was minimal, vegetation was completely cured. I used FM3 Tall Grass to best represent Russian thistle (tumble weed) accumulations along fence lines that typically averaged 3' in height. Burning was not conducted after 1700 hrs. Great dispersion was observed. East winds 4-6 over the range provided good consumption with no operational challenges. ",All areas burned during the day were completely extinguished prior 1730 hrs.,Approved,,,,11,,,,,,,
Dikes and Piles,5/18/2023,FWS,Rocky/Basin Refuges,250,250,1882,6.5,8.65,2.73,1.1,5.39,FALSE,,,41.47,-112.246,Box Elder,4200,4 - Cache&#x2F;Bear R.,FALSE,TRUE,"[""Wetland Vegetation""]",5/18/2023,11:00,15:00,,Some,Clearing to east with the passing storm cells,,Approved,,,,250,,,,,,,
Heber-Kamas Pile Burn,5/17/2023,USFS,UWC NF East Zone,105,1,900,0.06,0.34,0.03,0.02,0.04,FALSE,,,40.596,-111.088,Summit,7710,6 (Wasatch Back),FALSE,FALSE,"[""Slash"",""Hand Piles"",""Machine Piles""]",5/18/2023,11:00,13:30,,Some,Light White Smoke drifting to the NNE,NA,Approved,1,,,,,,,,,,
Grouse Creek Piles,5/17/2023,State,Bear River Area,150,150,1000,8.65,51.03,4.15,2.53,6.12,FALSE,,,41.742,-113.844,Box Elder,5610,1 (N. West Desert),FALSE,FALSE,"[""Light Slash""]",5/18/2023,8:00,16:30,,None,good dispersion to the east then becoming turbulent and lingering after 14:00. pushing to the north east.  ,minimal smoke,Approved,150,,,,,,,,,,
North Zone Timber Piles,5/17/2023,USFS,Manti-La Sal North Zone,30,30,910,1.73,10.21,0.83,0.51,1.22,FALSE,,,39.361,-111.467,Sanpete,8760,10 (San Pitch R.),FALSE,FALSE,"[""Machine Piles""]",5/17/2023,9:30,14:00,,None,Smoke lifted to the North East ,,Approved,30,,,,,,,,,,
D1 Pondo,,USFS,Ashley NF East Zone,,0,,0,0,0,0,0,TRUE,Lack of personnel/resources,,40.874,-109.487,Daggett,7190,7 (N. Slope Uintas),FALSE,FALSE,"[""Grass"",""Brush"",""Timber""]",5/17/2023,,,,,,,Approved,,,,,,,,,,,
Heber-Kamas Pile Burn,5/16/2023,USFS,UWC NF East Zone,30,1,940,0.06,0.34,0.03,0.02,0.04,FALSE,,,40.596,-111.088,Summit,7710,6 (Wasatch Back),FALSE,FALSE,"[""Slash"",""Hand Piles"",""Machine Piles""]",5/17/2023,10:30,13:30,,Some,Smoke was light white/grey drifting strait up/up canyon. No column formed,NA,Approved,1,,,,,,,,,,
Heber-Kamas Pile Burn,5/13/2023,USFS,UWC NF East Zone,4,4,1000,0.3057,1.36,0.11,0.07,0.16,FALSE,,,40.58,-111.044,Summit,7810,6 (Wasatch Back),FALSE,FALSE,"[""Slash"",""Hand Piles"",""Machine Piles""]",5/13/2023,10:30,13:00,,Some,Dissipated quickly,,Approved,4,,,,,,,,,,
Old Woman South,5/12/2023,USFS,Fishlake NF Richfield,50,50,750,2.88,17.01,1.38,0.84,2.04,FALSE,,,38.858,-111.463,Sevier,8530,12 (Upper Colo. R.),FALSE,FALSE,"[""Brush"",""Timber""]",5/13/2023,13:30,16:30,,None,"light, lofted then dissipated",,Approved,,,,,,,50,,,,
Heber-Kamas Pile Burn,5/12/2023,USFS,UWC NF East Zone,8,8,670,0.3305,2.72,0.22,0.13,0.33,FALSE,,,40.579,-111.042,Summit,7810,6 (Wasatch Back),FALSE,FALSE,"[""Slash"",""Hand Piles"",""Machine Piles""]",5/12/2023,10:30,13:00,,None,Up Canyon,N/A,Approved,8,,,,,,,,,,
Old Woman South,5/11/2023,USFS,Fishlake NF Richfield,112,112,1000,6.46,38.1,3.1,1.89,4.57,FALSE,,,38.858,-111.463,Sevier,8530,12 (Upper Colo. R.),FALSE,FALSE,"[""Brush"",""Timber""]",5/12/2023,15:00,18:00,,None,"light, wipsy, good loft",,Approved,,,,,,,112,,,,
Grouse Creek Piles,5/11/2023,State,Bear River Area,300,300,1000,17.29,102.05,8.31,5.06,12.23,FALSE,,,41.741,-113.843,Box Elder,5640,1 (N. West Desert),FALSE,FALSE,"[""Light Slash""]",5/12/2023,9:30,16:00,,None,good dispersion to the south east,minimal smoke. low level ,Approved,300,,,,,,,,,,
North Zone Timber Piles,,USFS,Manti-La Sal North Zone,,0,,0,0,0,0,0,TRUE,Site access issues,,39.361,-111.47,Sanpete,8830,10 (San Pitch R.),FALSE,FALSE,"[""Machine Piles""]",5/11/2023,,,,,,,Approved,,,,,,,,,,,
Old Woman South,5/10/2023,USFS,Fishlake NF Richfield,500,200,1000,11.53,68.03,5.54,3.37,8.15,FALSE,,,38.82,-111.482,Sevier,8200,12 (Upper Colo. R.),FALSE,FALSE,"[""Brush"",""Timber""]",5/11/2023,11:30,18:00,,None,nothing unusual,,Approved,,,,,,,200,,,,
Ouray NWR comprehensive burn plan,5/10/2023,FWS,Rocky/Basin Refuges,200,200,1534,5,6.92,2.18,0.88,4.31,FALSE,,,40.162,-109.597,Uintah,4660,9 (Uinta Basin),FALSE,TRUE,"[""Wetland Vegetation""]",5/10/2023,12:00,15:30,,None,Cleared well above 1500ft agl,,Approved,,,,200,,,,,,,
Old Woman South,5/9/2023,USFS,Fishlake NF Richfield,900,300,1000,17.29,102.05,8.31,5.06,12.23,FALSE,,,38.806,-111.461,Sevier,7970,12 (Upper Colo. R.),FALSE,FALSE,"[""Brush"",""Timber""]",5/10/2023,11:30,19:00,,None,nothing unusual with smoke.,,Approved,,,,,,,300,,,,
Old Woman South,5/8/2023,USFS,Fishlake NF Richfield,50,50,1000,2.88,17.01,1.38,0.84,2.04,FALSE,,,38.788,-111.456,Sevier,8200,12 (Upper Colo. R.),FALSE,FALSE,"[""Brush"",""Timber""]",5/9/2023,11:00,16:00,,None,typical smoke. ,,Approved,,,,,,,50,,,,
Grouse Creek Piles,,State,Bear River Area,,0,,0,0,0,0,0,TRUE,Weather not favorable,,41.743,-113.843,Box Elder,5710,1 (N. West Desert),FALSE,FALSE,"[""Light Slash""]",5/8/2023,,,,,,,Approved,,,,,,,,,,,
Central Area Piles,,State,Central Area,,0,,0,0,0,0,0,TRUE,Lack of personnel/resources,,38.587,-111.982,Sevier,9450,13 (Sevier R.),FALSE,FALSE,"[""Heavy Slash""]",5/8/2023,,,,,,,Approved,,,,,,,,,,,
The Enclave HOA Pile Burn,1-Dec,LPE,Local or Private Entity,2,2,656,0.12,0.68,0.06,0.03,0.08,FALSE,,,40.699,-111.562,Summit,7090,6 (Wasatch Back),FALSE,FALSE,"[""Timber"",""Hand Piles""]",5/5/2023,9:30,14:00,,Some,Smoke rose to 300' and dispersed well to the south.,,Approved,2,,,,,,,,,,
The Enclave HOA Pile Burn,29-Nov,LPE,Local or Private Entity,2,2,690,0.12,0.68,0.06,0.03,0.08,FALSE,,,40.699,-111.562,Summit,7090,6 (Wasatch Back),FALSE,FALSE,"[""Timber"",""Hand Piles""]",5/5/2023,9:30,14:30,,Some,Smoke rose to 350' and dispersed to the southwest. Some settling around dusk with no residual smoke overnight.,,Approved,2,,,,,,,,,,
The Enclave HOA Pile Burn,28-Nov,LPE,Local or Private Entity,2,2,960,0.12,0.68,0.06,0.03,0.08,FALSE,,,40.699,-111.562,Summit,7090,6 (Wasatch Back),FALSE,FALSE,"[""Timber"",""Hand Piles""]",5/5/2023,9:00,14:30,,Some,Smoke rose to 500' and dispersed to the south,,Approved,2,,,,,,,,,,
Pinebrook HOA Pile Burn,11/28/2022,LPE,Local or Private Entity,1,1,500,0.06,0.34,0.03,0.02,0.04,FALSE,,,40.737,-111.581,Summit,6690,6 (Wasatch Back),FALSE,FALSE,"[""Hand Piles""]",5/5/2023,9:30,14:00,,Some,Smoke rose to 350' and dispersed to the south,N/A,Approved,1,,,,,,,,,,
Park Ridge,5/4/2023,USFS,Fishlake NF Fremont River,110,110,1000,9.31,54.97,4.48,2.73,6.59,FALSE,,,38.103,-111.308,Garfield,7500,"16 - Above 6,500 feet",TRUE,FALSE,"[""Timber""]",5/5/2023,10:00,15:00,,Some,"High winds aloft prevented column development, smoke direction was south.",Smoke settled in the drainage down slope to the east.   ,Approved,,,,,,,,110,,,
West Zone Piles RX,5/4/2023,USFS,Ashley NF West Zone,5,5,1000,0.29,1.7,0.14,0.08,0.2,FALSE,,,40.627,-110.151,Duchesne,7640,9 (Uinta Basin),FALSE,FALSE,"[""Hand Piles,Machine Piles""]",5/5/2023,9:00,9:30,,None,Light blue gray rising a few hundred feet then dispersing,,Approved,5,,,,,,,,,,
Old Woman South,5/4/2023,USFS,Fishlake NF Richfield,10,10,1000,0.58,3.4,0.28,0.17,0.41,FALSE,,,38.779,-111.451,Sevier,8170,12 (Upper Colo. R.),FALSE,FALSE,"[""Brush,Timber""]",5/5/2023,12:00,18:30,,None,Minimal smoke observed. Understory burning around Ponderosa Pines. Grey smoke to white smoke.,,Approved,,,,,,,10,,,,
Old Woman South,5/3/2023,USFS,Fishlake NF Richfield,50,50,1000,2.88,17.01,1.38,0.84,2.04,FALSE,,,38.785,-111.469,Sevier,8040,12 (Upper Colo. R.),FALSE,FALSE,"[""Brush"",""Timber""]",5/4/2023,11:30,17:30,,None,Intermittent small columns of smoke though the day. smoke when from black to grey to white.,,Approved,,,,,,,50,,,,
Fremont River Slash Pile ,5/2/2023,USFS,Fishlake NF Fremont River,1,1,1000,0.06,0.34,0.03,0.02,0.04,FALSE,,,38.576,-111.694,Sevier,8860,12 (Upper Colo. R.),FALSE,FALSE,"[""Light Slash""]",5/3/2023,10:00,10:30,,None,excellent clearing  ,,Approved,1,,,,,,,,,,
