name,acres,agency,unit,type,lat,lng,elevation,airshed,county,nonattainment,class1,de_minimis,tons_pm,models,has_plan,receptors,fuel_types,ignition_methods,objectives,erts,added_on
West Zone Piles RX,100,USFS,Ashley NF West Zone,Piles,40.545,-110.568,8860,9 (Uinta Basin),Duchesne,FALSE,FALSE,Sometimes,500,[null],TRUE,,"[""Hand Piles"",""Machine Piles""]","[""Drip Torch""]","[""Hazard Reduction"",""Wildlife Habitat Improvement"",""Property Protection"",""Stand Improvement""]","[""Reduce Fuel Load""]",2/25/2023
Beaver RX ,300,USFS,Ashley NF West Zone,Broadcast,40.052,-111.022,9480,6 (Wasatch Back),Wasatch,FALSE,FALSE,No,10,"[""BlueSky""]",TRUE,"Strawberry Reservoir (10 miles North of unit), Strawberry Pinnacles (11 miles NE of unit).   ","[""Grass"",""Brush"",""Timber""]","[""Drip Torch"",""PSD""]","[""Wildlife Habitat Improvement"",""Veg Type Manipulation""]","[""Increase Combustion Efficiency"",""Reduce Fuel Load""]",2/25/2023
Vernal RD Piles,0,USFS,Ashley NF East Zone,Piles,40.67,-109.743,9420,9 (Uinta Basin),Uintah,FALSE,FALSE,Sometimes,2,"[""BlueSky""]",TRUE,Vernal,"[""Hand Piles"",""Machine Piles""]","[""Drip Torch""]",[],"[""Fuel Reduction (Activity Fuels)"",""Increase Combustion Efficiency""]",2/2/2023
Flaming Gorge RD Piles,0,USFS,Ashley NF East Zone,Piles,40.861,-109.542,7580,7 (N. Slope Uintas),Daggett,FALSE,FALSE,Sometimes,5,"[""BlueSky""]",TRUE,"Manila, Dutch John, Vernal","[""Hand Piles"",""Machine Piles""]","[""Drip Torch"",""Other""]",[],"[""Fuel Reduction (Activity Fuels)"",""Increase Combustion Efficiency""]",2/2/2023
New Canyon,2000,USFS,Manti-La Sal North Zone,Broadcast,39.358,-111.46,9020,10 (San Pitch R.),Sanpete,FALSE,FALSE,Sometimes,71,"[""BlueSky"",""Pile Calculator""]",TRUE,"Ephraim, Sanpete Valley ","[""Timber"",""Hand Piles"",""Machine Piles""]","[""Drip Torch"",""Helitorch"",""PSD"",""Other""]","[""Hazard Reduction"",""Wildlife Habitat Improvement"",""Fuel Reduction (Activity Fuels)"",""Veg Type Manipulation"",""Stand Improvement""]","[""Increase Combustion Efficiency""]",1/23/2023
Lovell RX,300,State,Central Area,Broadcast,39.461,-112.407,4660,8 (S. Wasatch Front),Millard,FALSE,FALSE,Sometimes,0.5,"[""FOFEM""]",TRUE,"Delta City, Lynndyl, and Oak City communities.  Materion Metal Manufacturing Plant","[""Brush"",""Wetland Vegetation""]","[""Drip Torch""]","[""Fire Dependent Ecosystem Maintenance"",""Fuel Reduction (Activity Fuels)""]","[""Reduce Area Burned""]",1/18/2023
Henrie Knolls North,1940,USFS,Dixie NF Cedar City,Broadcast,37.592,-112.662,8860,13 (Sevier R.),Garfield,FALSE,FALSE,Sometimes,549.07,"[""BlueSky""]",TRUE,"Mammoth Creek, Tommy Creek, Panguitch Lake, Panguitch city, Hatch Town","[""Timber Litter""]","[""Drip Torch""]","[""Wildlife Habitat Improvement"",""Fire Dependent Ecosystem Maintenance"",""Fuel Reduction (Activity Fuels)"",""Property Protection"",""Stand Improvement""]","[""Reduce Area Burned""]",1/6/2023
Pinto Piles,55,State,Southwestern Area,Piles,37.529,-113.507,5910,2 (S. West Desert),Washington,FALSE,FALSE,Yes,2.8491,"[""Pile Calculator""]",TRUE,"Enterprise, Utah, Pine Valley, Utah, New Castle, Utah, Berel, Utah","[""Brush"",""Hand Piles""]","[""Drip Torch""]","[""Hazard Reduction"",""Fuel Reduction (Activity Fuels)""]","[""Reduce Fuel Load""]",12/6/2022
Test 2022,100,USFS,Fishlake NF Beaver,Broadcast,38.293,-112.412,8730,2 (S. West Desert),Beaver,FALSE,FALSE,No,4.5,"[""BlueSky""]",TRUE,Beaver,"[""Timber""]","[""Drip Torch""]","[""Hazard Reduction"",""Fire Dependent Ecosystem Maintenance""]","[""Reduce Fuel Consumed""]",12/1/2022
Kane County burn #2 East Zion ,11,State,Southwestern Area,Piles,37.27,-112.871,6460,3 (Virgin R.),Kane,FALSE,FALSE,Yes,0.0059,"[""Pile Calculator""]",TRUE,"Zion national Park, Zion ponderosa Ranch ","[""Pinyon-Juniper""]","[""Drip Torch""]",[],"[""Fuel Reduction (Activity Fuels)"",""Reduce Fuel Load""]",11/15/2022
Kane County #1,13,State,Southwestern Area,Piles,37.522,-112.644,8460,13 (Sevier R.),Kane,FALSE,FALSE,Yes,0.1822,"[""Pile Calculator""]",TRUE,Duck Creek village ,"[""Timber""]","[""Drip Torch""]",[],"[""Fuel Reduction (Activity Fuels)"",""Reduce Fuel Load""]",11/15/2022
Boobie Hole Pile burn,15,State,Central Area,Piles,38.69,-111.749,10430,13 (Sevier R.),Sevier,FALSE,FALSE,Yes,0.2209,"[""Pile Calculator""]",TRUE,None,"[""Machine Piles""]","[""Other""]",[],"[""Fuel Reduction (Activity Fuels)"",""Increase Combustion Efficiency""]",11/8/2022
Fremont River RD Slash,3500,USFS,Fishlake NF Fremont River,Broadcast,38.558,-111.553,8760,12 (Upper Colo. R.),Sevier,FALSE,FALSE,Sometimes,10,"[""FOFEM""]",TRUE,"Capitol Reef NP, Torrey, Loa, Bicknell, Grover","[""Slash""]","[""Drip Torch"",""PSD""]",[],"[""Reduce Fuel Load""]",11/4/2022
Sun Peak HOA Open Space Pile Burn,20,LPE,Local or Private Entity,Piles,40.699,-111.567,7190,6 (Wasatch Back),Summit,FALSE,FALSE,Sometimes,0.278,"[""Pile Calculator""]",TRUE,Greater Snyderville Basin,"[""Hand Piles""]","[""Drip Torch""]","[""Hazard Reduction"",""Wildlife Habitat Improvement"",""Stand Improvement""]","[""Increase Combustion Efficiency""]",10/24/2022
SITLA Piles - Beaver Cty,150,State,Southwestern Area,Piles,38.287,-112.428,9090,2 (S. West Desert),Beaver,FALSE,FALSE,Sometimes,10,"[""Pile Calculator""]",TRUE,"Eagle Point Resort, Beaver","[""Machine Piles""]","[""Drip Torch""]","[""Hazard Reduction"",""Wildlife Habitat Improvement"",""Fire Dependent Ecosystem Maintenance"",""Fuel Reduction (Activity Fuels)""]","[""Increase Combustion Efficiency""]",10/24/2022
Deer Valley 2022,3,LPE,Local or Private Entity,Piles,40.62,-111.497,8140,6 (Wasatch Back),Summit,FALSE,FALSE,Yes,0.2271,"[""Pile Calculator""]",,Park City,"[""Hand Piles""]","[""Drip Torch""]","[""Hazard Reduction"",""Fuel Reduction (Activity Fuels)""]","[""Increase Combustion Efficiency""]",10/20/2022
Big Hollow Rx,10,State,Wasatch Front Area,Piles,40.337,-112.509,5580,1 (N. West Desert),Tooele,FALSE,FALSE,Yes,0.76,"[""BlueSky""]",TRUE,"Rush Valley, Terra, South Rim","[""Hand Piles"",""Machine Piles""]","[""Drip Torch""]","[""Hazard Reduction"",""Fuel Reduction (Activity Fuels)"",""Property Protection""]","[""Increase Combustion Efficiency""]",5/23/2022
I-80 Frontage Rd Fence Line,10,State,Wasatch Front Area,Broadcast,40.764,-112.999,4630,1 (N. West Desert),Tooele,FALSE,FALSE,Yes,0.09,"[""BlueSky""]",TRUE,"Aragonite, Low, Clive","[""Grass"",""Brush""]","[""Drip Torch""]","[""Hazard Reduction"",""Fuel Reduction (Activity Fuels)""]","[""Increase Combustion Efficiency""]",5/23/2022
Little Sahara ,5,BLM,West Desert District,Broadcast,39.702,-112.334,5120,8 (S. Wasatch Front),Juab,FALSE,FALSE,Yes,0.01,"[""BlueSky""]",TRUE,"Eureka, Lynndyl, Leamington Utah","[""Other""]","[""Drip Torch"",""Propane Torch""]",[],"[""Reduce Fuel Load""]",5/10/2022
Leamington Tamarisk piles,34,State,Central Area,Piles,39.539,-112.275,4690,8 (S. Wasatch Front),Millard,FALSE,FALSE,Yes,0.1,"[""BlueSky""]",,"Town of Leamington, State Highway 132","[""Machine Piles""]","[""Drip Torch""]",[],"[""Fuel Reduction (Activity Fuels)"",""Schedule Burning Before New Fuels Appear""]",4/25/2022
Ashley NF Piles,1000,USFS,Ashley NF East Zone,Piles,40.686,-109.691,9320,9 (Uinta Basin),Uintah,FALSE,FALSE,Sometimes,100,"[""BlueSky""]",TRUE,"Vernal, Manila, Dutch John","[""Hand Piles"",""Machine Piles""]","[""Drip Torch""]",[],"[""Project Maintenance"",""Increase Combustion Efficiency""]",3/28/2022
North Flank,922,USFS,Ashley NF East Zone,Broadcast,40.911,-109.888,9150,7 (N. Slope Uintas),Daggett,FALSE,FALSE,No,100,"[""BlueSky""]",TRUE,"Manila, Dutch John, Vernal.","[""Timber""]","[""Helitorch""]",[],"[""Stand Improvement"",""Increase Combustion Efficiency""]",3/28/2022
D1 Pondo,28000,USFS,Ashley NF East Zone,Broadcast,40.874,-109.487,7190,7 (N. Slope Uintas),Daggett,FALSE,FALSE,No,150,"[""BlueSky""]",TRUE,"Dutch John, Manila ","[""Grass"",""Brush"",""Timber""]","[""Drip Torch"",""PSD""]","[""Fuel Reduction (Activity Fuels)"",""Stand Improvement""]","[""Increase Combustion Efficiency"",""Reduce Area Burned""]",3/28/2022
West River Dip,390,State,Central Area,Broadcast,39.401,-112.515,4630,2 (S. West Desert),Millard,FALSE,FALSE,Sometimes,0.01,[null],TRUE,"Delta City, Lynndyl, and Oak City.","[""Brush"",""Wetland Vegetation""]","[""Drip Torch""]",[],"[""Fuel Reduction (Activity Fuels)"",""Reduce Fuel Load""]",3/14/2022
South Zone Piles - Cascade Springs ,9,USFS,UWC NF South Zone,Piles,40.459,-111.549,6230,6 (Wasatch Back),Wasatch,FALSE,FALSE,Yes,0.03,"[""Pile Calculator""]",TRUE,"Midway, Heber City, Charleston, Wallsburg, Deer Creek Reservoir, Wildwood, Sundance, Aspen Grove, Orem, American Fork Canyon, Tibble Fork Reservoir, Timpanogos Cave National Monument, Pleasant Grove","[""Brush"",""Timber Litter"",""Hand Piles"",""Wetland Vegetation""]","[""Drip Torch"",""Propane Torch""]","[""Hazard Reduction"",""Fire Dependent Ecosystem Maintenance"",""Historical &#x2F; Cultural Maintenance""]","[""Increase Combustion Efficiency"",""Schedule Burning Before New Fuels Appear""]",3/11/2022
Camp Williams Slash Pile Burns,10,DOD,Utah Military Bases,Piles,40.43,-112.06,5150,8 (S. Wasatch Front),Utah,TRUE,FALSE,Yes,1.55,"[""BlueSky""]",TRUE,"Herriman, Southern Salt Lake Valley, Northern Provo Valley","[""Brush"",""P-J"",""Slash"",""Hand Piles""]","[""Drip Torch"",""Propane Torch""]","[""Project Maintenance""]","[""Increase Combustion Efficiency"",""Reduce Area Burned"",""Reduce Fuel Load"",""Reduce Fuel Consumed""]",3/3/2022
Camp Williams Between The Twins,120,DOD,Utah Military Bases,Broadcast,40.42,-112.05,4720,8 (S. Wasatch Front),Utah,TRUE,FALSE,No,2.95,"[""BlueSky""]",TRUE,"Herriman, Southern Salt Lake Valley, Northern Provo Valley","[""Grass"",""Brush""]","[""Drip Torch"",""Propane Torch""]","[""Property Protection"",""Veg Type Manipulation""]","[""Increase Combustion Efficiency"",""Reduce Area Burned"",""Reduce Fuel Load""]",3/3/2022
Camp Williams Machine Gun Range,450,DOD,Utah Military Bases,Broadcast,40.41,-112.08,5540,8 (S. Wasatch Front),Utah,TRUE,FALSE,No,14.57,"[""BlueSky""]",TRUE,"Herriman, Southern Salt Lake Valley, Northern Provo Valley","[""Grass"",""Brush"",""P-J""]","[""Drip Torch""]","[""Hazard Reduction"",""Fuel Reduction (Activity Fuels)"",""Project Maintenance""]","[""Increase Combustion Efficiency"",""Reduce Fuel Consumed""]",3/3/2022
South Zone Piles - Spruces Campground 3,33,USFS,UWC NF South Zone,Piles,40.642,-111.642,7380,6 (Wasatch Back),Salt Lake,TRUE,FALSE,Sometimes,1.22,"[""Pile Calculator""]",TRUE,"Town of Brighton, Silver Fork Lodge & Cabins, Solitude Resort, Brighton Resort, Park City Mountain Resort, Park City, Town of Alta, Alta Resort, Snowbird Resort, Eastern Salt Lake Valley around Cottonwood Heights","[""Hand Piles""]","[""Drip Torch"",""Propane Torch""]","[""Hazard Reduction"",""Fuel Reduction (Activity Fuels)"",""Property Protection"",""Stand Improvement""]","[""Increase Combustion Efficiency"",""Reduce Fuel Consumed""]",3/2/2022
Canyon country programmatic pile burn ,500000,BLM,Canyon Country District,Piles,38.489,-109.448,4860,12 (Upper Colo. R.),San Juan,FALSE,FALSE,Sometimes,1000000000,"[""Pile Calculator""]",TRUE,all municipalities within canyon country district ,"[""Slash""]","[""Drip Torch""]",[],"[""Fuel Reduction (Activity Fuels)"",""Increase Combustion Efficiency""]",2/24/2022
The Creeks RX 2022,77000,USFS,Fishlake NF Beaver,Broadcast,38.486,-112.544,8960,2 (S. West Desert),Beaver,FALSE,FALSE,Sometimes,23028,"[""BlueSky""]",TRUE,"Richfield Salina, Monroe, Joseph, Marysvale, Junction, Kanosh, Fillmore","[""Grass"",""Brush"",""Timber"",""Pinyon-Juniper"",""Timber Litter"",""Other""]","[""Drip Torch"",""Helitorch"",""PSD"",""Other""]","[""Hazard Reduction"",""Wildlife Habitat Improvement"",""Fire Dependent Ecosystem Maintenance"",""Health &#x2F; Insect Control"",""Project Maintenance"",""Site Preparation"",""Veg Type Manipulation"",""Stand Improvement""]","[""Increase Combustion Efficiency"",""Schedule Burning Before New Fuels Appear""]",2/24/2022
North Beaver RX 2022,60000,USFS,Fishlake NF Beaver,Broadcast,38.329,-112.473,8920,2 (S. West Desert),Beaver,FALSE,FALSE,Sometimes,15685,[null],TRUE,Richfield Joseph Monroe Junction Marysvale Circleville Kanosh Fillmore,"[""Grass"",""Brush"",""Timber"",""Pinyon-Juniper"",""Timber Litter"",""Other""]","[""Drip Torch"",""Helitorch"",""PSD"",""Other""]","[""Hazard Reduction"",""Wildlife Habitat Improvement"",""Fire Dependent Ecosystem Maintenance"",""Health &#x2F; Insect Control"",""Project Maintenance"",""Site Preparation"",""Veg Type Manipulation"",""Stand Improvement""]","[""Increase Combustion Efficiency"",""Schedule Burning Before New Fuels Appear""]",2/24/2022
Arches and Canyonlands National Parks,1,NPS,Utah NPS Units,Piles,38.614,-109.605,4400,12 (Upper Colo. R.),Grand,FALSE,TRUE,Sometimes,1,"[""Pile Calculator""]",TRUE,Moab,"[""Slash""]","[""Drip Torch""]",[],"[""Reduce Fuel Load""]",2/22/2022
South Zone Piles - Timpooneke 1,60,USFS,UWC NF South Zone,Piles,40.435,-111.636,7220,6 (Wasatch Back),Utah,TRUE,FALSE,Yes,1.18,"[""Pile Calculator""]",TRUE,"SR-92; Alpine Loop, American Fork Canyon, and Tibble Fork Campgrounds; Tibble Fork and Silver Lake Summer Homes Communities; Sundance Resort; Timpanogos Cave National Monument; Alpine; American Fork; Pleasant Grove; Provo; US-189; Wildwood; Charleston, Midway, Heber City","[""Hand Piles""]","[""Drip Torch"",""Propane Torch""]","[""Hazard Reduction"",""Wildlife Habitat Improvement"",""Fuel Reduction (Activity Fuels)"",""Property Protection"",""Veg Type Manipulation""]","[""Increase Combustion Efficiency"",""Reduce Fuel Consumed""]",2/18/2022
South Zone Piles - Lamb's Canyon,176,USFS,UWC NF South Zone,Piles,40.712,-111.653,7050,8 (S. Wasatch Front),Salt Lake,TRUE,FALSE,Sometimes,6.22,"[""Pile Calculator""]",TRUE,"Lost Acres Community, Lower Canyon Community, Forest Home Community, Interstate 80 in Parley's Canyon, Summit Park, Pinebrook, Kimball Junction, Snyderville Basin, Mt. Aire Community, Eastern Salt Lake Valley","[""Hand Piles""]","[""Drip Torch"",""Propane Torch""]","[""Hazard Reduction"",""Fire Dependent Ecosystem Maintenance"",""Fuel Reduction (Activity Fuels)"",""Property Protection""]","[""Increase Combustion Efficiency"",""Reduce Fuel Consumed""]",2/17/2022
Sheep Bridge Rx,4.2,State,Local or Private Entity,Piles,37.2,-113.213,3410,3 (Virgin R.),Washington,FALSE,FALSE,Sometimes,0.02,"[""Pile Calculator""]",TRUE,"Virgin, Rockville","[""Hand Piles""]","[""Drip Torch""]",[],"[""Increase Combustion Efficiency""]",2/16/2022
Brown Duck Club,50,LPE,Duck Clubs,Broadcast,40.837,-112.038,4200,8 (S. Wasatch Front),Salt Lake,TRUE,FALSE,Sometimes,9,"[""BlueSky""]",TRUE,"SLC Int'l, I-80, Prison, Warehouses","[""Wetland Vegetation""]","[""Other""]","[""Hazard Reduction"",""Wildlife Habitat Improvement"",""Veg Type Manipulation""]","[""Schedule Burning Before New Fuels Appear""]",2/16/2022
South Beaver RX 2022,33000,USFS,Fishlake NF Beaver,Broadcast,38.182,-112.476,8690,2 (S. West Desert),Beaver,FALSE,FALSE,Sometimes,8623.68,"[""BlueSky""]",TRUE,"Junction, Circleville, Richfield","[""Grass"",""Brush"",""Timber"",""Timber Litter""]","[""Drip Torch"",""Helitorch"",""PSD""]","[""Hazard Reduction"",""Wildlife Habitat Improvement"",""Fire Dependent Ecosystem Maintenance"",""Site Preparation"",""Veg Type Manipulation"",""Stand Improvement""]","[""Increase Combustion Efficiency""]",2/15/2022
Book Cliffs Tamarisk Control,200,State,Northeastern Area,Piles,39.492,-109.606,6230,11 (Book Cliffs),Uintah,FALSE,FALSE,Sometimes,0.1064,"[""Pile Calculator""]",TRUE,,"[""Brush"",""Slash"",""Hand Piles""]","[""Drip Torch""]","[""Hazard Reduction"",""Wildlife Habitat Improvement"",""Site Preparation"",""Veg Type Manipulation""]","[""Reduce Fuel Production""]",1/31/2022
Porcupine Ridge,35,State,Northeastern Area,Piles,40.98,-111.152,7970,6 (Wasatch Back),Summit,FALSE,FALSE,Sometimes,0.4795,"[""Pile Calculator""]",TRUE,Coalville,"[""Timber""]","[""Drip Torch""]","[""Wildlife Habitat Improvement"",""Veg Type Manipulation"",""Stand Improvement""]","[""Increase Combustion Efficiency""]",1/31/2022
2022 Tooele Tumbleweeds,8,State,Wasatch Front Area,Piles,40.238,-112.717,4790,1 (N. West Desert),Tooele,FALSE,FALSE,Yes,0.5,"[""Other""]",TRUE,"Dugway, Terra and Skull Valley Reservation","[""Other""]","[""Drip Torch""]","[""Hazard Reduction""]","[""Increase Combustion Efficiency""]",1/28/2022
Color Country and Paria River District Piles,2226,BLM,Color Country District,Piles,37.646,-113.007,7610,2 (S. West Desert),Iron,FALSE,FALSE,Yes,11.6,"[""Pile Calculator""]",TRUE,"There are scattered communities, but none will be impacted substantially","[""Hand Piles"",""Machine Piles""]","[""Drip Torch""]","[""Hazard Reduction"",""Fuel Reduction (Activity Fuels)""]","[""Increase Combustion Efficiency"",""Reduce Fuel Load""]",1/25/2022
Bear River Wetlands,7500,FWS,Rocky/Basin Refuges,Broadcast,41.507,-112.069,4200,"4 - Cache/Bear R.
",Box Elder,1,0,No,30,"[""SASEM2""]",1,"Corrine Utah, Brigham City/Perry Utah, I-15 Corridor, I-15 Corridor, Brigham City/Perry Utah, Corrine Utah","[""Tall Grass""]","[""Drip Torch""]","[""Wildlife Habitat Improvement, Hazard Reduction, Exotic or Undesireable Species Control""]","[""Schedule Burning Before New Fuels Appear""]",3/24/2015
Moroni Peak,17580,USFS,Fishlake NF Richfield,Broadcast,38.761,-111.505,7940,12 (Upper Colo. R.),Sevier,FALSE,FALSE,Sometimes,840.19,"[""BlueSky""]",TRUE,"Emery County, SUFCO Mine","[""Brush"",""Timber"",""Pinyon-Juniper""]","[""Drip Torch"",""Helitorch"",""PSD""]","[""Hazard Reduction"",""Wildlife Habitat Improvement""]","[""Increase Combustion Efficiency"",""Reduce Area Burned"",""Schedule Burning Before New Fuels Appear""]",1/20/2022
Old Woman South,15745,USFS,Fishlake NF Richfield,Broadcast,38.858,-111.463,8530,12 (Upper Colo. R.),Sevier,FALSE,FALSE,Sometimes,281.18,"[""BlueSky""]",TRUE,"Emery County, Accord Lakes SUFCO Mine","[""Brush"",""Timber""]","[""Drip Torch"",""Helitorch"",""PSD""]","[""Hazard Reduction"",""Wildlife Habitat Improvement"",""Property Protection"",""Stand Improvement""]","[""Increase Combustion Efficiency"",""Reduce Area Burned""]",1/20/2022
Blue Fly,3510,USFS,Dixie NF Powell,Broadcast,37.628,-112.263,8270,13 (Sevier R.),Garfield,FALSE,FALSE,Sometimes,23.9,[null],TRUE,"Bryce Canyon National Park, Bryce Canyon City, Bryce Canyon Airport, Tropic City","[""Pinyon-Juniper"",""Timber Litter""]","[""Drip Torch""]","[""Hazard Reduction"",""Wildlife Habitat Improvement"",""Fire Dependent Ecosystem Maintenance""]","[""Increase Combustion Efficiency"",""Reduce Area Burned""]",1/19/2022
Brown’s Park Comprehensive Prescribed Fire Project,147,FWS,Rocky/Basin Refuges,Broadcast,40.840711,-109.051431,5380,7 (N. Slope Uintas),Daggett,FALSE,FALSE,No,1.07,"[""BlueSky""]",TRUE,"Browns park area, green river corridor and Dinosaur National Monument.","[""Grass"",""Wetland Vegetation""]","[""Drip Torch"",""PSD"",""Marshmaster""]","[""Hazard Reduction"",""Wildlife Habitat Improvement"",""Fire Dependent Ecosystem Maintenance""]","[""Schedule Burning Before New Fuels Appear""]",1/6/2022
Dry Wash Piles,141,USFS,Manti-La Sal North Zone,Piles,39.035,-111.192,7020,12 (Upper Colo. R.),Emery,FALSE,FALSE,Sometimes,0.4577,"[""Pile Calculator""]",TRUE,Ferron City ,"[""Hand Piles""]","[""Drip Torch""]","[""Hazard Reduction"",""Wildlife Habitat Improvement"",""Fuel Reduction (Activity Fuels)""]","[""Increase Combustion Efficiency"",""Reduce Area Burned""]",1/5/2022
Swasey Piles,223,USFS,Manti-La Sal North Zone,Piles,39.38,-111.278,7710,12 (Upper Colo. R.),Emery,FALSE,FALSE,Sometimes,0.5721,"[""Pile Calculator""]",TRUE,Joes Valley ,"[""Hand Piles""]","[""Drip Torch""]","[""Hazard Reduction"",""Fuel Reduction (Activity Fuels)""]","[""Increase Combustion Efficiency""]",1/5/2022
