BurnName,AgencyGroup,AgencyID,AdministrativeUnit,ShortPermitNum,PileBcst,AcresAnnMaxProject,PilesAnnMaxProject,Lat,Lon,ActAcres,ActPiles,PileActVolume,PilePctCons
Pinewood Reservoir,LRX,LRX,Larimer County,5,p,,200,40.36,-105.29,,165,151,87
Elk Creek Ranch,Multiple Agencies,MUL,multiple agencies,63,p,,2000,37.68,-106.69,,2150,85,90
West Divide,Multiple Agencies,MUL,multiple agencies,108,b,870,,39.31,-107.55,,,,
Battlements,Multiple Agencies,MUL,multiple agencies,163,b,650,,39.29,-107.88,800,,,
Maddox,Non-Profits & Misc. Fed,OTR,Other,44,p,,2000,38.94,-105.04,,528,201,87
Forbes Wagon Creek,Non-Profits & Misc. Fed,OTR,Other,72,p,,2,37.55,-105.22,,2,37333,97
North Slope Piles,Non-Profits & Misc. Fed,OTR,Other,73,p,,500,38.92,-105.04,,56,337,92
North Catamount Phase 1,Non-Profits & Misc. Fed,OTR,Other,74,b,105,,38.93,-105.06,,,,
Elk Creek Unit 1 Piles,Non-Profits & Misc. Fed,OTR,Other,129,p,,500,40.73,-105.51,,276,56,90
Magic Sky Ranch,Non-Profits & Misc. Fed,OTR,Other,139,p,,170,40.77,-105.48,,91,130,95
Longs Canyon,Non-Profits & Misc. Fed,OTR,Other,145,p,,160,37.01,-104.74,,,,
Bulrush Wetlands,Non-Profits & Misc. Fed,OTR,Other,175,b,30,,40.02,105.04,,,,
Riverdell Golf Course,Non-Profits & Misc. Fed,OTR,Other,182,b,50,,39.95,-104.87,,,,
Sourdough,Non-Profits & Misc. Fed,OTR,Other,194,b,15,,39.03,-105.06,,,,
IMMD,Non-Profits & Misc. Fed,OTR,Other,211,p,,2,39.28,-105.81,,,,
Arrowhead,Non-Profits & Misc. Fed,OTR,Other,257,p,,1,38.30,-105.35,,1,65520,95
Dos Rios,Non-Profits & Misc. Fed,OTR,Other,306,p,,3,38.52,-106.96,,1,7000,95
Snowmass Ski Area Piles,Non-Profits & Misc. Fed,SKI,Ski resort,157,p,,178,39.19,-106.95,,35,3687,53
Keystone Mountain,Non-Profits & Misc. Fed,SKI,Ski resort,216,p,,500,39.59,-105.93,,46,1522,97
Winter Park,Non-Profits & Misc. Fed,SKI,Ski resort,219,p,,30,39.86,-105.75,,6,4000,90
Wolf Creek Ski Area,Non-Profits & Misc. Fed,SKI,Ski resort,226,p,,2,37.47,-106.78,,1,74,98
Aspen Highlands Piles,Non-Profits & Misc. Fed,SKI,Ski resort,237,p,,351,39.13,-106.86,,263,126,98
Ute Park 2016 Burn,Non-Profits & Misc. Fed,SKI,Ski resort,266,p,,1,37.90,-107.84,,1,6283,93
Storage Tank,Non-Profits & Misc. Fed,TNC,The Nature Conservancy,221,b,250,,37.40,-103.69,,,,
Elkhorn Unit #1,Non-Profits & Misc. Fed,TNC,The Nature Conservancy,238,b,55,,40.73,-105.51,,,,
Ridge Road Piles,Non-Profits & Misc. Fed,TNC,The Nature Conservancy,289,p,,150,39.48,-105.24,,,,
BCP Maintenance Brush Pile,NPS,BCP,Black Canyon National Park,198,p,,1,38.53,-107.68,,,,
Curecanti Brush Piles,NPS,BCP,Black Canyon National Park,199,p,,2,38.47,-107.17,,2,2536,96
Green Grizzly Piles,NPS,BCP,Black Canyon National Park,308,p,,200,38.59,-107.69,,50,65,95
Dinosaur HQ,NPS,DSP,Dinosaur National Monument,314,p,,5,40.24,-108.96,,,,
North & East Interface,NPS,FFP,Florissant Fossil Beds National Monument,197,b,400,,38.92,-105.26,,,,
MEVE Admin,NPS,MVP,Mesa Verde National Park,64,p,,3,37.18,-108.48,,1,3142,98
Eagle LLP,NPS,RMP,Rocky Mountain National Park,18,p,,450,40.35,-105.58,,,,
Allenspark Boundary,NPS,RMP,Rocky Mountain National Park,19,p,,600,40.21,-105.55,,,,
Old Fall River,NPS,RMP,Rocky Mountain National Park,20,p,,15,40.41,-105.56,,,,
Mill Creek,NPS,RMP,Rocky Mountain National Park,186,p,,25,40.34,-105.59,,20,501,95
Sprague Lake,NPS,RMP,Rocky Mountain National Park,188,p,,25,40.32,-105.60,,19,1118,95
Deer Mt. West,NPS,RMP,Rocky Mountain National Park,233,p,,1400,40.40,-105.62,,,,
Private Broadcast,Private Land,BPT,Privately-owned land being burned by owner,242,b,310,,37.05,-106.68,115,,,
Private Piles,Private Land,BVT,Privately-owned land being burned by owner,311,p,,15,39.98,-106.41,,,,
Private Piles,Private Land,PVT,Privately-owned land being burned by owner,16,p,,25,37.09,-106.67,,19,2094,70
Private Piles,Private Land,PVT,Privately-owned land being burned by owner,45,p,,602,38.47,-106.41,,495,62,98
Private Piles,Private Land,PVT,Privately-owned land being burned by owner,50,p,,22,40.71,-105.36,,3,1300,100
Private Piles,Private Land,PVT,Privately-owned land being burned by owner,50,p,,22,40.71,-105.36,,3,1300,100
Private Piles,Private Land,PVT,Privately-owned land being burned by owner,59,p,,6,37.33,-107.82,,,,
Private Piles,Private Land,PVT,Privately-owned land being burned by owner,70,p,,77,38.08,-105.42,,81,5100,95
Private Piles,Private Land,PVT,Privately-owned land being burned by owner,71,p,,10,40.51,-107.06,,13,2500,95
Private Piles,Private Land,PVT,Privately-owned land being burned by owner,101,p,,200,37.92,-108.03,,236,134,100
Private Piles,Private Land,PVT,Privately-owned land being burned by owner,102,p,,3,37.48,-105.20,,3,19859,100
Private Piles,Private Land,PVT,Privately-owned land being burned by owner,117,p,,25,38.47,-105.19,,8,1280,95
Private Piles,Private Land,PVT,Privately-owned land being burned by owner,122,p,,15,40.71,-105.34,,,,
Private Piles,Private Land,PVT,Privately-owned land being burned by owner,136,p,,120,39.51,-106.06,,65,19763,97
Private Piles,Private Land,PVT,Privately-owned land being burned by owner,137,p,,75,40.76,-105.51,,33,512,100
Private Piles,Private Land,PVT,Privately-owned land being burned by owner,153,p,,2,36.98,-105.73,,2,2000,99
Private Piles,Private Land,PVT,Privately-owned land being burned by owner,185,p,,30,37.51,-107.80,,,,
Private Piles,Private Land,PVT,Privately-owned land being burned by owner,217,p,,50,40.21,-106.89,,,,
Private Piles,Private Land,PVT,Privately-owned land being burned by owner,224,p,,30,39.49,-106.05,,,,
Private Piles,Private Land,PVT,Privately-owned land being burned by owner,227,p,,2,40.40,-106.80,,2,7000,95
Private Piles,Private Land,PVT,Privately-owned land being burned by owner,279,p,,800,37.53,-107.79,,695,57,90
Private Piles,Private Land,PVT,Privately-owned land being burned by owner,302,p,,64,37.42,-108.36,,,,
Private Piles,Private Land,PVT,Privately-owned land being burned by owner,307,p,,1,40.48,106.80,,,,
Private Piles,Private Land,TRT,Trinchera Ranch,42,p,,75,37.04,-105.00,,30,3700,90
Private Piles,Private Land,TRT,Trinchera Ranch,52,p,,45,37.97,-108.01,,18,6222,98
Private Piles,Private Land,TRT,Trinchera Ranch,60,p,,80,37.41,-105.23,,64,41833,95
Private Piles,Private Land,TRT,Trinchera Ranch,61,p,,100,37.62,-105.23,,65,13077,94
Forsythe A6,USFS,ARF,Arapaho/Roosevelt National Forests,21,p,,300,39.94,-105.44,,,,
"Forsythe 1-6, 8, 19",USFS,ARF,Arapaho/Roosevelt National Forests,22,p,,16500,39.96,-105.36,,4915,151,90
LG and F30s,USFS,ARF,Arapaho/Roosevelt National Forests,23,p,,98,39.95,-105.49,,83,1078,80
Forsythe G5,USFS,ARF,Arapaho/Roosevelt National Forests,24,p,,300,39.95,-105.47,,,,
Magic Sky,USFS,ARF,Arapaho/Roosevelt National Forests,25,p,,4822,40.74,-105.52,,1045,227,91
James Creek RFB 17,USFS,ARF,Arapaho/Roosevelt National Forests,26,p,,2200,40.16,-105.40,,,,
RF2 Creedmore,USFS,ARF,Arapaho/Roosevelt National Forests,27,p,,130,40.85,-105.54,,130,471,90
James Creek M3401 & O3401,USFS,ARF,Arapaho/Roosevelt National Forests,28,p,,90,40.09,-105.43,,,,
"James Creek RFB 6, 7, 8",USFS,ARF,Arapaho/Roosevelt National Forests,29,p,,7000,40.10,-105.40,,,,
James Creek 3401-3402 Boulder Hts,USFS,ARF,Arapaho/Roosevelt National Forests,30,p,,2000,40.10,-105.32,,,,
Kelly Dahl,USFS,ARF,Arapaho/Roosevelt National Forests,31,p,,200,39.93,-105.49,,,,
Sugarloaf 4,USFS,ARF,Arapaho/Roosevelt National Forests,32,p,,500,40.05,-105.43,,,,
Sugarloaf 151,USFS,ARF,Arapaho/Roosevelt National Forests,33,p,,1500,39.97,-105.47,,350,151,90
Winiger,USFS,ARF,Arapaho/Roosevelt National Forests,34,p,,10,39.96,-105.43,,,,
Lump Gulch Lumpy Tung 1-9,USFS,ARF,Arapaho/Roosevelt National Forests,76,p,,560,39.88,-105.49,,430,154,86
High Park,USFS,ARF,Arapaho/Roosevelt National Forests,78,p,,33,40.58,-105.45,,1,1885,90
St. Vrain Taylor SV6,USFS,ARF,Arapaho/Roosevelt National Forests,85,p,,2500,40.20,-105.49,,,,
"St. Vrain 13_14, Johnny Park",USFS,ARF,Arapaho/Roosevelt National Forests,94,p,,7000,40.25,-105.40,,,,
Forsythe 99,USFS,ARF,Arapaho/Roosevelt National Forests,152,p,,600,39.96,-105.76,,,,
Mad Creek Piles,USFS,ARF,Arapaho/Roosevelt National Forests,158,p,,1500,39.76,-105.69,,1210,151,89
Center,USFS,ARF,Arapaho/Roosevelt National Forests,160,b,900,,40.84,-104.47,900,,,
Pingree Hill,USFS,ARF,Arapaho/Roosevelt National Forests,174,b,2027,,40.71,-105.54,415,,,
Mad Creek Broadcast,USFS,ARF,Arapaho/Roosevelt National Forests,195,b,58,,39.77,-105.69,58,,,
St. Vrain 5i 5H,USFS,ARF,Arapaho/Roosevelt National Forests,220,p,,1000,40.16,-105.45,,,,
James Creek RFB 10,USFS,ARF,Arapaho/Roosevelt National Forests,229,p,,2000,40.06,-105.49,,,,
Red Feather North,USFS,ARF,Arapaho/Roosevelt National Forests,232,b,2220,,40.85,-105.56,,,,
Sugarloaf 137,USFS,ARF,Arapaho/Roosevelt National Forests,245,p,,24,39.99,-105.45,,,,
James Creek M1603,USFS,ARF,Arapaho/Roosevelt National Forests,247,p,,300,40.13,-105.43,,,,
Gill,USFS,ARF,Arapaho/Roosevelt National Forests,255,p,,500,40.11,-105.38,,,,
SRD North Handpiles,USFS,ARF,Arapaho/Roosevelt National Forests,270,p,,10000,40.22,-105.96,,250,283,90
Evergreen 1A,USFS,ARF,Arapaho/Roosevelt National Forests,274,p,,75,39.56,-105.38,,,,
SRD South Handpiles,USFS,ARF,Arapaho/Roosevelt National Forests,277,p,,10000,39.93,-105.87,,288,264,88
James Creek M3201,USFS,ARF,Arapaho/Roosevelt National Forests,295,p,,14,40.09,-105.48,,,,
Kannah Creek,USFS,GMF,Grand Mesa/Uncompahgre/Gunnison Nat'l Forests,77,p,,350,38.96,-108.21,,,,
Escalante,USFS,GMF,Grand Mesa/Uncompahgre/Gunnison Nat'l Forests,130,p,,1200,38.51,-108.34,,,,
Brushy Ridge,USFS,GMF,Grand Mesa/Uncompahgre/Gunnison Nat'l Forests,169,b,1200,,38.62,-108.52,462,,,
Davewood 8,USFS,GMF,Grand Mesa/Uncompahgre/Gunnison Nat'l Forests,172,b,1833,,38.31,-108.01,,,,
Little Monitor,USFS,GMF,Grand Mesa/Uncompahgre/Gunnison Nat'l Forests,173,b,1000,,38.52,-108.30,120,,,
25 Mesa,USFS,GMF,Grand Mesa/Uncompahgre/Gunnison Nat'l Forests,176,b,1406,,38.48,-108.38,,,,
Cottonwood Hollow,USFS,GMF,Grand Mesa/Uncompahgre/Gunnison Nat'l Forests,180,b,3208,,38.49,-108.42,,,,
West Elk,USFS,GMF,Grand Mesa/Uncompahgre/Gunnison Nat'l Forests,181,b,1000,,38.54,-107.15,250,,,
WIMP 5,USFS,GMF,Grand Mesa/Uncompahgre/Gunnison Nat'l Forests,189,b,1150,,38.97,-108.12,635,,,
Glencoe Pine,USFS,GMF,Grand Mesa/Uncompahgre/Gunnison Nat'l Forests,190,b,3412,,38.36,-108.40,,,,
Horse Pasture Pit,USFS,GMF,Grand Mesa/Uncompahgre/Gunnison Nat'l Forests,191,p,,15,38.08,-108.32,,1,800,98
Rocky Pitch,USFS,GMF,Grand Mesa/Uncompahgre/Gunnison Nat'l Forests,222,b,2000,,38.76,-108.67,,,,
Ouray Amphitheater,USFS,GMF,Grand Mesa/Uncompahgre/Gunnison Nat'l Forests,241,p,,20,38.02,-107.66,,,,
Highway 149 Corridor,USFS,GMF,Grand Mesa/Uncompahgre/Gunnison Nat'l Forests,246,p,,201,37.98,-107.20,,81,2356,95
Windy Mill,USFS,GMF,Grand Mesa/Uncompahgre/Gunnison Nat'l Forests,251,p,,31,37.98,-107.23,,31,8338,90
Beetle Pinos and Perfecto,USFS,GMF,Grand Mesa/Uncompahgre/Gunnison Nat'l Forests,252,p,,200,38.08,-106.94,,103,9690,95
Red Creek,USFS,GMF,Grand Mesa/Uncompahgre/Gunnison Nat'l Forests,253,p,,50,38.61,-107.47,,17,7065,75
Stage Stop Reoffer and Murdie,USFS,GMF,Grand Mesa/Uncompahgre/Gunnison Nat'l Forests,254,p,,50,38.81,-106.47,,37,6597,95
Leroux Creed,USFS,GMF,Grand Mesa/Uncompahgre/Gunnison Nat'l Forests,260,p,,1000,38.99,-107.71,,,,
Mesa Lake Piles,USFS,GMF,Grand Mesa/Uncompahgre/Gunnison Nat'l Forests,261,p,,300,39.04,-108.10,,,,
Ward Lake,USFS,GMF,Grand Mesa/Uncompahgre/Gunnison Nat'l Forests,262,p,,600,39.05,-107.97,,,,
Eggleston Group,USFS,GMF,Grand Mesa/Uncompahgre/Gunnison Nat'l Forests,263,p,,2025,39.03,-107.99,,8,85,85
Paradox Piles,USFS,GMF,Grand Mesa/Uncompahgre/Gunnison Nat'l Forests,265,p,,150,38.29,-108.10,,,,
Wiley Gulch,USFS,GMF,Grand Mesa/Uncompahgre/Gunnison Nat'l Forests,280,p,,100,38.55,-106.50,,,,
Mesa Pt. Comm. Site,USFS,GMF,Grand Mesa/Uncompahgre/Gunnison Nat'l Forests,293,p,,250,38.87,-108.33,,,,
Hanks Valley Thinning Piles,USFS,GMF,Grand Mesa/Uncompahgre/Gunnison Nat'l Forests,297,p,,120,38.23,-108.11,,120,535,90
Sargents Mesa/Millswitch,USFS,GMF,Grand Mesa/Uncompahgre/Gunnison Nat'l Forests,298,p,,40,38.29,-106.35,,11,4912,98
Cow Creek,USFS,GMF,Grand Mesa/Uncompahgre/Gunnison Nat'l Forests,299,p,,1000,39.11,-107.61,,,,
Hubbard,USFS,GMF,Grand Mesa/Uncompahgre/Gunnison Nat'l Forests,300,p,,60,39.04,-107.59,,,,
Ridgestock,USFS,GMF,Grand Mesa/Uncompahgre/Gunnison Nat'l Forests,312,p,,25,38.25,-107.37,,,,
Buckeye Reservoir,USFS,MLF,Manti La Salle National Forests,203,b,780,,38.43,-109.03,126,,,
North Divide Piles,USFS,PSF,Pike/San Isabel National Forests,8,p,,1200,39.03,-105.17,,48,1256,89
Tramway 4,USFS,PSF,Pike/San Isabel National Forests,35,p,,75,39.33,-105.32,,65,1400,80
Tramway 7,USFS,PSF,Pike/San Isabel National Forests,36,p,,450,39.33,-105.30,,,,
Sand Springs,USFS,PSF,Pike/San Isabel National Forests,37,p,,1200,39.33,-105.30,,1017,189,93
Bear Mountain Piles,USFS,PSF,Pike/San Isabel National Forests,38,p,,3400,39.38,-105.13,,1,200,90
Bennett Mountain,USFS,PSF,Pike/San Isabel National Forests,39,b,751,,39.30,-105.15,,,,
Bear Mountain Broadcast,USFS,PSF,Pike/San Isabel National Forests,40,b,774,,39.36,-105.15,4,,,
Noddles,USFS,PSF,Pike/San Isabel National Forests,41,b,365,,39.32,-105.13,,,,
Shaded Fuels,USFS,PSF,Pike/San Isabel National Forests,43,p,,5000,39.33,-105.26,,449,150,88
AG Ranch,USFS,PSF,Pike/San Isabel National Forests,46,p,,400,39.42,-105.57,,93,2255,95
Shaded Fuels Underburn,USFS,PSF,Pike/San Isabel National Forests,47,b,369,,39.33,-105.26,,,,
Carrizo Work Center,USFS,PSF,Pike/San Isabel National Forests,65,p,,4,37.06,-102.35,,,,
Purgatoire River,USFS,PSF,Pike/San Isabel National Forests,66,p,,6,37.62,-103.60,,,,
Sand Canyon,USFS,PSF,Pike/San Isabel National Forests,67,p,,50,37.02,-102.82,,,,
Lake George Station,USFS,PSF,Pike/San Isabel National Forests,75,p,,5,38.97,-105.35,,2,30,98
Prairie Chicken,USFS,PSF,Pike/San Isabel National Forests,155,b,300,,37.06,-102.35,,,,
Black Mountain Broadcast,USFS,PSF,Pike/San Isabel National Forests,166,b,1300,,37.94,-105.22,459,,,
San Isabel Workcenter,USFS,PSF,Pike/San Isabel National Forests,167,b,20,,37.98,-105.04,,,,
Oak Creek Campground,USFS,PSF,Pike/San Isabel National Forests,168,b,30,,38.29,-105.26,9,,,
"Wilson 1,5,7,10",USFS,PSF,Pike/San Isabel National Forests,192,b,450,,38.93,-105.34,,,,
Wilson Rest,USFS,PSF,Pike/San Isabel National Forests,193,b,975,,38.96,-105.35,325,,,
North Trout Creek,USFS,PSF,Pike/San Isabel National Forests,210,b,750,,38.93,-106.04,,,,
Cree Creek,USFS,PSF,Pike/San Isabel National Forests,213,p,,150,38.54,-106.23,,54,300,95
O'Brien Rx Unit P5&P6,USFS,PSF,Pike/San Isabel National Forests,223,b,1400,,38.96,-105.40,,,,
Flume Creek Broadcast,USFS,PSF,Pike/San Isabel National Forests,230,b,130,,39.07,-106.31,,,,
Trout Creek,USFS,PSF,Pike/San Isabel National Forests,231,b,320,,39.12,-105.06,320,,,
Black Mountain Piles,USFS,PSF,Pike/San Isabel National Forests,234,p,,500,37.93,-105.20,,,,
Alvarado,USFS,PSF,Pike/San Isabel National Forests,236,p,,8500,38.06,-105.56,,,,
Shavano,USFS,PSF,Pike/San Isabel National Forests,239,b,513,,38.61,-106.16,300,,,
Echo-Beaver Force Account Piles,USFS,PSF,Pike/San Isabel National Forests,240,p,,400,38.87,-105.45,,,,
Greenhorn,USFS,PSF,Pike/San Isabel National Forests,244,p,,250,38.04,-105.18,,145,1640,88
Black Mtn Piles,USFS,PSF,Pike/San Isabel National Forests,248,p,,500,37.91,-105.19,,82,173,90
Howard Landing,USFS,PSF,Pike/San Isabel National Forests,249,p,,7,38.94,-105.34,,,,
Cuchara,USFS,PSF,Pike/San Isabel National Forests,256,p,,300,37.35,-105.35,,,,
Tornado Piles,USFS,PSF,Pike/San Isabel National Forests,259,p,,300,38.97,-105.39,,,,
12 Mile,USFS,PSF,Pike/San Isabel National Forests,267,p,,18000,38.02,-105.00,,,,
Flume Creek Piles,USFS,PSF,Pike/San Isabel National Forests,291,p,,100,39.06,-106.30,,65,300,90
Dry Lake,USFS,PSF,Pike/San Isabel National Forests,292,p,,80,38.55,-106.19,,16,18000,90
Buffalo Pass,USFS,RGF,Rio Grande National Forest,53,b,700,,38.18,-106.50,,,,
English Valley,USFS,RGF,Rio Grande National Forest,54,b,900,,37.75,-106.34,,,,
