BurnName,ShortPermitNum,AgencyGroup,AgencyID,AdministrativeUnit,PileBcst,Acres Max Permitted ,Piles Max Permitted,Actual Acres Burned,Act Pile Vol Consumed,ActPiles,PileActVolume,PilePctCons,Lat,Lon,TWN,TWND,RNG,RNGD,SECTION
Fischer Draw,44,BLM,KRD,"Kremmling Office, BLM",b,1506,,,0,,,,0,0,11,N,80,W,25
Vils,118,BLM,KRD,"Kremmling Office, BLM",b,200,,,0,,,,40.57,-106.16,,,,,
Hogback,285,BLM,KRD,"Kremmling Office, BLM",p,,21,,0,,,,0,0,2,N,77,W,3
Reed Creek,288,BLM,KRD,"Kremmling Office, BLM",p,,41,,0,,,,0,0,1,N,77,W,10
Blanca Wetlands Rx,106,BLM,LJD,"La Jara Office, BLM",b,120,,,0,,,,0,0,38,N,11,E,1
Deer Valley,294,BLM,LSD,Little Snake Field Office,p,,500,,0,,,,40.58,-108.73,,,,,
Fire Mountain,186,BLM,MRD,"Montrose Office, BLM",p,,800,,52891.25298,710,85.00,87.64,0,0,13,S,92,W,25
Gold Basin (broadcast),208,BLM,MRD,"Montrose Office, BLM",b,450,,225,0,,,,38.33,-106.83,47,N,1,E,14
The Meadows,246,BLM,MRD,"Montrose Office, BLM",b,150,,,0,,,,0,0,48,N,15,W,19
Deer Haven,19,BLM,RGD,"Royal Gorge Office, BLM, Canon City",b,383,,,0,,,,38.62,-105.37,,,,,
High Park Piles,20,BLM,RGD,"Royal Gorge Office, BLM, Canon City",p,,500,,0,,,,0,0,16,S,71,W,3
Hole In The Rock,22,BLM,RGD,"Royal Gorge Office, BLM, Canon City",p,,7000,,93100,500,196.00,95.00,38.67,-105.27,,,,,
Turkey Gulch Piles,23,BLM,RGD,"Royal Gorge Office, BLM, Canon City",p,,4600,,128520,1275,126.00,80.00,0,0,20,S,73,W,9
McCoy Gulch Piles,24,BLM,RGD,"Royal Gorge Office, BLM, Canon City",p,,100,,6745,100,71.00,95.00,38.37,-105.64,,,,,
Stoney Face,27,BLM,RGD,"Royal Gorge Office, BLM, Canon City",p,,130,,0,,,,0,0,51,N,11,E,33
Trail Gulch,247,BLM,RGD,"Royal Gorge Office, BLM, Canon City",b,800,,,0,,,,38.67,-105.27,,,,,
Torres,299,BLM,RGD,"Royal Gorge Office, BLM, Canon City",p,,6000,,0,,,,38.33,-105.58,20,S,73,W,7
Hat Springs Broadcast Rx,260,BLM,SGD,"Saguache Office, BLM",b,600,,,0,,,,0,0,44,N,5,E,6
Disappointment Tamarisk Piles,88,BLM,SJD,"San Juan Office, BLM",p,,500,,0,,,,0,0,43,N,18,W,2
Mesa Pedregosa,161,BLM,SJD,"San Juan Office, BLM",b,334,,,0,,,,0,0,32,N,1,E,6
Dolores Rim,231,BLM,SJD,"San Juan Office, BLM",b,1000,,,0,,,,37.76,-108.77,,,,,
Quakie Rx,242,BLM,SJD,"San Juan Office, BLM",b,100,,,0,,,,37.90,-108.83,,,,,
Badger Flat,119,BLM,WRD,"White River Office, BLM",b,525,,,0,,,,0,0,5,N,100,W,2
Dragon Compressor Piles,175,BLM,WRD,"White River Office, BLM",p,,280,,16267.01054,135,122.00,98.77,0,0,2,S,103,W,10
Escalante Foot Plots/Field burn,184,CDPW,MOW,"Montrose Area, Colo Parks & Wildlife Div",b,75,,,0,,,,0,0,15,S,96,W,18
Hamilton Tamarisk Piles,185,CDPW,MOW,"Montrose Area, Colo Parks & Wildlife Div",p,,60,,0,,,,0,0,15,S,96,W,18
Finnerty,189,CSFS,BOS,Boulder District Colo State Forest Svc,p,,40,,1989.9,10,201.00,99.00,0,0,3,S,72,W,12
Ralston Roost,117,CSFS,GOS,Golden District Colo State Forest Svc,p,,230,,11817,130,101.00,90.00,0,0,2,S,72,W,35
Lower North Fork,157,CSFS,GOS,Golden District Colo State Forest Svc,b,335,,44,0,,,,0,0,7,S,70,W,15
Camp Kotami Piles,167,CSFS,GOS,Golden District Colo State Forest Svc,p,,504,,0,,,,0,0,7,S,70,W,17
Flying J Ranch,215,CSFS,GOS,Golden District Colo State Forest Svc,b,8050,,,0,,,,0,0,5,S,70,W,10
"White Ranch Park Understory (Units 13, 20)",217,CSFS,GOS,Golden District Colo State Forest Svc,b,45,,,0,,,,39.82,-105.28,,,,,
White Ranch Park Grass (Unit 12),218,CSFS,GOS,Golden District Colo State Forest Svc,b,24,,24,0,,,,39.82,-105.28,,,,,
Colorado State Forest Piles,105,CSFS,SSS,Steamboat Springs Dist. Colo State Forest Svc,p,,160,,40391.50184,57,737.72,96.06,40.58,-105.97,7,N,76,W,16
Park County DOW Rx Burn,58,CSFS,WPS,Woodland Park District Colo State Forest Svc,b,300,,,0,,,,0,0,10,S,87,W,3
Catamount,68,CSFS,WPS,Woodland Park District Colo State Forest Svc,p,,600,,0,,,,0,0,13,S,69,W,15
James Mark Jones SWA Piles,69,CSFS,WPS,Woodland Park District Colo State Forest Svc,p,,100,,0,,,,0,0,10,S,76,W,3
PPWS North Slope,237,CSFS,WPS,Woodland Park District Colo State Forest Svc,b,105,,,0,,,,0,0,13,S,69,W,12
Fort Carson - PCMS Broadcast,200,DoD,FCQ,Fort Carson Army,b,25000,,,0,,,,0,0,30,S,59,W,1
PCMS Piles,201,DoD,FCQ,Fort Carson Army,p,,100,,0,,,,37.52,-104.00,,,,,
Fort Carson - North,202,DoD,FCQ,Fort Carson Army,b,5000,,,0,,,,38.70,-104.77,,,,,
Fort Carson - Middle,203,DoD,FCQ,Fort Carson Army,b,10000,,,0,,,,38.59,-104.82,,,,,
Fort Carson - South,204,DoD,FCQ,Fort Carson Army,b,10000,,,0,,,,38.47,-104.86,,,,,
Witter,267,Local Gov't Agency,bmx,Boulder Mountain Fire,p,,300,,0,,,,0,0,1,N,71,W,9
Reynolds Ranch,107,Local Gov't Agency,BOX,Boulder County Open Space,p,,214,,29814.99833,105,335.00,84.76,0,0,1,S,72,W,19
Hall Ranch Project Area 4,108,Local Gov't Agency,BOX,Boulder County Open Space,p,,400,,51433.2,182,314.00,90.00,0,0,3,N,71,W,22
Heil Ranch Project Area 7,109,Local Gov't Agency,BOX,Boulder County Open Space,p,,300,,25326,140,201.00,90.00,40.18,-105.29,3,N,71,W,36
Walker Ranch PA7,110,Local Gov't Agency,BOX,Boulder County Open Space,p,,150,,17460.9,87,223.00,90.00,0,0,1,S,71,W,22
Heil Ranch Log Decks,111,Local Gov't Agency,BOX,Boulder County Open Space,p,,19,,8586,15,636.00,90.00,0,0,2,N,71,W,11
Heil Geer Meadows Rx,213,Local Gov't Agency,BOX,Boulder County Open Space,b,60,,,0,,,,0,0,2,N,71,W,14
Soapstone Prairie Rx Burn,55,Local Gov't Agency,FCX,City of Fort Collins,b,47,,,0,,,,40.94,-105.09,11,N,69,W,6
BobcatRidge Natural Area,124,Local Gov't Agency,FCX,City of Fort Collins,b,372,,50,0,,,,40.48,-105.23,,,,,
White Ranch Block 6B,43,Local Gov't Agency,JEX,Jefferson County Open Space,p,,120,,0,,,,0,0,2,S,71,W,36
Rapid Creek,11,Local Gov't Agency,LCL,Local Government Agency,p,,5,,450,4,150.00,75.00,0,0,11,S,97,W,8
Platte Canyon Piles  (Deer Creek),12,Local Gov't Agency,LCL,Local Government Agency,p,,4000,,14008.79984,370,39.00,97.08,0,0,6,S,72,W,28
Glacier View Community Piles,87,Local Gov't Agency,LCL,Local Government Agency,p,,6,,89100,3,30000.00,99.00,40.74,-105.44,,,,,
North West FPD Pile,122,Local Gov't Agency,LCL,Local Government Agency,p,,365,,0,,,,0,0,10,S,77,W,3
Dalla Mountain Park,128,Local Gov't Agency,LCL,Local Government Agency,p,,400,,21280,350,64.00,95.00,37.30,-107.88,35,N,9,W,8
Steamboat Springs Fire,156,Local Gov't Agency,LCL,Local Government Agency,p,,500,,0,,,,0,0,6,N,84,W,8
Oak Creek FPD,165,Local Gov't Agency,LCL,Local Government Agency,p,,500,,0,,,,0,0,4,N,85,W,30
North Routt FPD,166,Local Gov't Agency,LCL,Local Government Agency,p,,500,,0,,,,0,0,9,N,84,W,1
Pagosa Springs Town Piles,168,Local Gov't Agency,LCL,Local Government Agency,p,,1,,0,,,,37.26,-107.01,,,,,
Perry Park Burn Piles,241,Local Gov't Agency,LCL,Local Government Agency,p,,200,,0,,,,39.24,-104.98,,,,,
Carter Lake,9,Local Gov't Agency,LRX,Larimer County,p,,300,,12665.00034,180,85.00,82.78,0,0,5,N,70,W,34
Horsetooth,10,Local Gov't Agency,LRX,Larimer County,p,,800,,3952,130,38.00,80.00,0,0,7,N,70,W,25
Indian Creek Phase 2,97,Local Gov't Agency,LRX,Larimer County,b,125,,40,0,,,,0,0,6,N,69,W,30
HRLETF Rx,153,Local Gov't Agency,SOX,South Metro Fire Department,b,80,,6,0,,,,39.49,-104.97,,,,,
Woodhouse Ranch,176,Local Gov't Agency,SOX,South Metro Fire Department,b,112,,45,0,,,,39.45,-105.00,,,,,
Ken Caryl - North Hogback North,209,Local Gov't Agency,WEX,West Metro Fire Department,b,54,,45,0,,,,39.59,-105.16,5,S,69,W,30
Bear Creek,210,Local Gov't Agency,WEX,West Metro Fire Department,b,350,,,0,,,,39.38,-105.10,4,S,69,W,34
Spiranthes Burn,42,Multiple Agencies,MUL,multiple agencies,b,40,,,0,,,,0,0,7,N,69,W,5
Reservoir Gulch RX,83,Multiple Agencies,MUL,multiple agencies,b,2400,,,0,,,,0,0,8,S,92,W,8
Arsenal Broadcast Burns,147,Multiple Agencies,MUL,multiple agencies,b,5200,,127,0,,,,0,0,3,S,66,W,5
Palisade Watershed,170,Multiple Agencies,MUL,multiple agencies,b,647,,,0,,,,39.07,-108.26,,,,,
Calf Creek,177,Multiple Agencies,MUL,multiple agencies,b,500,,,0,,,,0,0,48,N,5,E,4
Lions Camp,50,Non-Profits & Misc. Fed,OTR,Other,p,,250,,7600,8,1000.00,95.00,39.05,-105.09,,,,,
Ridgewood,89,Non-Profits & Misc. Fed,OTR,Other,p,,350,,83747.23452,301,292.87,95.00,39.11,-105.07,,,,,
Bulrush Wetlands Park,220,Non-Profits & Misc. Fed,OTR,Other,b,25,,14.8,0,,,,0,0,1,N,68,W,5
Winter Park Resort Piles,162,Non-Profits & Misc. Fed,SKI,Ski resort,p,,100,,37900.00322,21,1952.38,92.44,0,0,2,S,75,w,9
Aspen Mountain,212,Non-Profits & Misc. Fed,SKI,Ski resort,p,,25,,33230.05,19,1841.00,95.00,39.15,-106.81,,,,,
Copper Mountain Piles,236,Non-Profits & Misc. Fed,SKI,Ski resort,p,,150,,5767.999948,13,558.77,79.41,0,0,6,S,78,W,30
Arapahoe Basin Ski Area,251,Non-Profits & Misc. Fed,SKI,Ski resort,p,,10,,237.5,1,250.00,95.00,0,0,5,S,76,W,2
Keystone Mountain,258,Non-Profits & Misc. Fed,SKI,Ski resort,p,,500,,30870,21,1500.00,98.00,39.59,-105.93,,,,,
Wolf Creek Ski Area,259,Non-Profits & Misc. Fed,SKI,Ski resort,p,,6,,519.99996,6,100.00,86.67,37.47,-106.79,,,,,
Aspen Highlands Ski Area,261,Non-Profits & Misc. Fed,SKI,Ski resort,p,,230,,35750.96736,289,126.16,98.06,39.13,-106.86,,,,,
Snowmass Ski Area,274,Non-Profits & Misc. Fed,SKI,Ski resort,p,,18,,7267.900063,10,962.50,75.51,39.19,-106.95,,,,,
Green Grizzly Piles,40,NPS,BCP,Black Canyon National Park,p,,425,,14449.5,234,65.00,95.00,0,0,50,N,7,W,18
Green Grizzly,234,NPS,BCP,Black Canyon National Park,b,161,,,0,,,,0,0,50,N,7,W,8
BCP Maintenance,282,NPS,BCP,Black Canyon National Park,p,,1,,0,,,,0,0,49,N,7,W,5
Soap Creek Piles,39,NPS,CCP,Curecanti National Monument,p,,150,,4914,84,65.00,90.00,0,0,49,N,4,W,16
East Side Piles,41,NPS,CNP,Colorado National Monument,p,,200,,10920,175,65.00,96.00,0,0,12,S,101,W,11
Medano Ranch,159,NPS,GSP,Great Sand Dunes National Park,p,,2,,6786,2,3770.00,90.00,37.70,-105.67,,,,,
Chapin/Morefield Piles,121,NPS,MVP,Mesa Verde National Park,p,,3,,2356,1,4712.00,50.00,37.19,-108.48,,,,,
Bobcat Canyon,271,NPS,MVP,Mesa Verde National Park,b,10,,3,0,,,,37.18,-108.52,,,,,
Deer Mountain,45,NPS,RMP,Rocky Mountain National Park,p,,3400,,177792.5,985,190.00,95.00,40.38,-105.58,,,,,
Lily Lake Pit,46,NPS,RMP,Rocky Mountain National Park,p,,1,,0,,,,40.30,-105.54,,,,,
East Road Corridor,47,NPS,RMP,Rocky Mountain National Park,p,,750,,42185.00088,162,275.00,94.69,40.39,-105.62,,,,,
Betty Dick's Large Pile,48,NPS,RMP,Rocky Mountain National Park,p,,1,,7389.2,1,21112.00,35.00,40.32,-105.85,,,,,
East Portal,49,NPS,RMP,Rocky Mountain National Park,p,,300,,32887.8,220,151.00,99.00,40.33,-105.59,,,,,
Bear Lake,59,NPS,RMP,Rocky Mountain National Park,p,,450,,56885.40293,157,396.00,91.50,40.31,-105.63,,,,,
Moraine Park,60,NPS,RMP,Rocky Mountain National Park,p,,2,,18652.3,2,9817.00,95.00,40.36,-105.59,,,,,
South Boundary,80,NPS,RMP,Rocky Mountain National Park,p,,2160,,261885.0111,1105,260.00,91.15,40.33,-105.85,,,,,
Private Piles,31,Private Land,PVT,Privately-owned land burned by owner,p,,10,,0,,,,0,0,3,N,85,W,12
Private Piles,32,Private Land,PVT,Privately-owned land burned by owner,p,,425,,1063411.2,192,6154.00,90.00,0,0,1,S,81,W,15
Private Piles,51,Private Land,PVT,Privately-owned land burned by owner,p,,100,,15300,2,8500.00,90.00,37.62,-105.29,,,,,
Private Piles,95,Private Land,PVT,Privately-owned land burned by owner,p,,175,,164236.9935,31,5591.74,94.75,0,0,3,S,79,W,11
Private Piles,100,Private Land,PVT,Privately-owned land burned by owner,p,,120,,0,,,,39.52,-106.06,6,S,78,W,24
Private Piles,101,Private Land,PVT,Privately-owned land burned by owner,p,,50,,39600,4,11000.00,90.00,37.05,-106.69,,,,,
Private Piles,102,Private Land,PVT,Privately-owned land burned by owner,p,,100,,1771.52371,22,84.76,95.00,0,0,2,N,71,W,19
Private Piles,104,Private Land,PVT,Privately-owned land burned by owner,p,,11,,2556,10,284.00,90.00,0,0,4,S,78,W,23
Private Piles,120,Private Land,PVT,Privately-owned land burned by owner,p,,10,,0,,,,40.60,-105.52,,,,,
Private Broadcast,133,Private Land,PVT,Privately-owned land burned by owner,b,226,,,0,,,,39.98,-105.27,,,,,
Private Broadcast,136,Private Land,PVT,Privately-owned land burned by owner,b,30,,13,0,,,,38.98,-108.46,2,S,1,E,5
Private Piles,140,Private Land,PVT,Privately-owned land burned by owner,p,,50,,223250,47,5000.00,95.00,0,0,6,S,77,W,19
Private Piles,141,Private Land,PVT,Privately-owned land burned by owner,p,,2,,0,,,,39.89,-106.38,2,S,80,W,6
Private Broadcast,163,Private Land,PVT,Privately-owned land burned by owner,b,880,,,0,,,,37.05,-106.69,,,,,
Private Piles,164,Private Land,PVT,Privately-owned land burned by owner,p,,100,,4410,25,196.00,90.00,0,0,2,S,80,W,36
Private Piles,179,Private Land,PVT,Privately-owned land burned by owner,p,,15,,785,1,785.00,100.00,40.71,-105.34,,,,,
Private Broadcast,180,Private Land,PVT,Privately-owned land burned by owner,b,50,,,0,,,,0,0,1,S,67,W,22
Private Piles,187,Private Land,PVT,Privately-owned land burned by owner,p,,2,,0,,,,39.31,-106.82,,,,,
Private Piles,198,Private Land,PVT,Privately-owned land burned by owner,p,,4,,0,,,,40.19,-105.65,,,,,
Private Broadcast,235,Private Land,PVT,Privately-owned land burned by owner,b,50,,,0,,,,0,0,9,S,58,W,12
Private Piles,263,Private Land,PVT,Privately-owned land burned by owner,p,,25,,0,,,,37.51,-107.80,,,,,
Private Piles,272,Private Land,PVT,Privately-owned land burned by owner,p,,100,,0,,,,37.41,-105.23,,,,,
Private Piles,279,Private Land,PVT,Privately-owned land burned by owner,p,,34,,27225.0005,35,785.71,99.00,39.73,-106.11,,,,,
Private Piles,290,Private Land,PVT,Privately-owned land burned by owner,p,,5,,9900,2,5500.00,90.00,0,0,5,N,84,W,10
James Creek Units H1401 & RFB14,1,USFS,ARF,Arapaho/Roosevelt National Forests,p,,3000,,0,,,,0,0,2,N,72,W,11
"James Creek O0401, O0402, O0403, M3401",2,USFS,ARF,Arapaho/Roosevelt National Forests,p,,90,,10800,12,1000.00,90.00,0,0,1,N,72,W,3
James Creek PBFB1,3,USFS,ARF,Arapaho/Roosevelt National Forests,p,,3500,,0,,,,0,0,1,N,72,W,9
James Creek RFB15,4,USFS,ARF,Arapaho/Roosevelt National Forests,p,,300,,0,,,,0,0,2,N,72,W,14
"James Creek RFB 16, 17, 18, 20",5,USFS,ARF,Arapaho/Roosevelt National Forests,p,,2750,,5355,70,85.00,90.00,0,0,2,N,72,W,1
"Evergreen 32A, 32B, 5A",6,USFS,ARF,Arapaho/Roosevelt National Forests,p,,200,,0,,,,0,0,5,S,71,W,32
Sugarloaf 132 & 132E,7,USFS,ARF,Arapaho/Roosevelt National Forests,p,,2000,,0,,,,0,0,1,N,72,W,33
Sugarloaf 151,8,USFS,ARF,Arapaho/Roosevelt National Forests,p,,250,,0,,,,0,0,1,S,72,W,8
Grizzly Gulch,33,USFS,ARF,Arapaho/Roosevelt National Forests,p,,12190,,61844.40112,340,191.00,95.23,0,0,4,N,72,W,4
Fish Creek,34,USFS,ARF,Arapaho/Roosevelt National Forests,p,,2500,,78142.5,575,151.00,90.00,0,0,4,N,72,W,18
Thompson River Piles,35,USFS,ARF,Arapaho/Roosevelt National Forests,p,,9068,,854143.0516,3852,236.00,93.96,0,0,5,N,71,W,20
Pingree Hill/Lonetree,36,USFS,ARF,Arapaho/Roosevelt National Forests,p,,18500,,0,,,,0,0,9,N,73,W,19
Lake Pasture,37,USFS,ARF,Arapaho/Roosevelt National Forests,p,,14347,,291003.9501,1295,236.54,95.00,0,0,4,N,72,W,21
Pinewood Springs,38,USFS,ARF,Arapaho/Roosevelt National Forests,p,,5948,,0,,,,0,0,4,N,71,W,21
Stringtown West Piles,70,USFS,ARF,Arapaho/Roosevelt National Forests,p,,11600,,1476840.864,6816,236.00,91.81,0,0,7,N,71,W,32
Arrow,71,USFS,ARF,Arapaho/Roosevelt National Forests,p,,3100,,0,,,,0,0,1,S,75,W,34
Conveyor Belt,72,USFS,ARF,Arapaho/Roosevelt National Forests,p,,200,,0,,,,0,0,3,S,77,W,6
Jericho Road,73,USFS,ARF,Arapaho/Roosevelt National Forests,p,,150,,0,,,,0,0,3,N,75,W,7
East Elk Creek Ridge Piles,74,USFS,ARF,Arapaho/Roosevelt National Forests,p,,4000,,0,,,,0,0,2,S,75,W,7
A Bay Temp Storage Piles,75,USFS,ARF,Arapaho/Roosevelt National Forests,p,,20,,0,,,,0,0,2,N,76,W,11
ANRA Landings Piles,76,USFS,ARF,Arapaho/Roosevelt National Forests,p,,200,,0,,,,0,0,3,N,76,W,15
St. Louis,77,USFS,ARF,Arapaho/Roosevelt National Forests,p,,300,,0,,,,0,0,1,S,76,W,34
Willow Creek ARF,123,USFS,ARF,Arapaho/Roosevelt National Forests,p,,8000,,16000,50,400.00,80.00,40.32,-106.00,4,N,77,W,10
Upper Fraser II Landing,125,USFS,ARF,Arapaho/Roosevelt National Forests,p,,800,,0,,,,0,0,1,S,76,W,36
Vasquez Ridge Piles,127,USFS,ARF,Arapaho/Roosevelt National Forests,p,,4000,,1040000.108,2590,464.86,86.38,0,0,2,S,75,W,8
Upper Fraser Hand Piles,137,USFS,ARF,Arapaho/Roosevelt National Forests,p,,1300,,0,,,,0,0,2,S,75,W,4
Tunnel Chambers Campground Piles,138,USFS,ARF,Arapaho/Roosevelt National Forests,p,,300,,59684.391,291,227.89,90.00,40.67,-105.85,,,,,
Crystal 4 Machine and Hand Piles,169,USFS,ARF,Arapaho/Roosevelt National Forests,p,,2262,,254880,1200,236.00,90.00,0,0,10,N,74.,W,16
Evergreen Unit 6B,171,USFS,ARF,Arapaho/Roosevelt National Forests,p,,75,,40056.25,25,1885.00,85.00,0,0,5,S,71,W,31
West Beaver Machine Piles,199,USFS,ARF,Arapaho/Roosevelt National Forests,p,,54,,0,,,,0,0,11,N,74,W,10
Browns Park Machine Piles,206,USFS,ARF,Arapaho/Roosevelt National Forests,p,,21,,0,,,,0,0,10,N,76,W,33
Pawnee 2012,207,USFS,ARF,Arapaho/Roosevelt National Forests,b,578,,578,0,,,,0,0,10,N,64,W,11
One Mile,90,USFS,GMF,Grand Mesa/Uncompahgre/Gunnison Nat'l Forests,b,2000,,1713,0,,,,0,0,15,S,84,W,16
Tomichi Creek,91,USFS,GMF,Grand Mesa/Uncompahgre/Gunnison Nat'l Forests,p,,142,,128783.76,94,1398.00,98.00,0,0,49,N,5,E,29
Mesa Lake Piles,98,USFS,GMF,Grand Mesa/Uncompahgre/Gunnison Nat'l Forests,p,,50,,5017.6,32,160.00,98.00,0,0,11,S,96,W,34
Ward Lake Piles,99,USFS,GMF,Grand Mesa/Uncompahgre/Gunnison Nat'l Forests,p,,600,,10031.24963,50,205.00,97.87,0,0,11,S,95,W,35
West Mountain,130,USFS,GMF,Grand Mesa/Uncompahgre/Gunnison Nat'l Forests,p,,1400,,256399.772,852,413.14,72.84,0,0,50,N,4,E,5
Taylor Canyon,174,USFS,GMF,Grand Mesa/Uncompahgre/Gunnison Nat'l Forests,b,1500,,,0,,,,38.84,-106.74,14,S,84,W,11
Los Pinos,178,USFS,GMF,Grand Mesa/Uncompahgre/Gunnison Nat'l Forests,b,1500,,,0,,,,38.19,-106.89,46,N,1,E,31
Yellow Pine,181,USFS,GMF,Grand Mesa/Uncompahgre/Gunnison Nat'l Forests,b,800,,,0,,,,0,0,49,N,3,E,1
Ohio City-Pitkin,182,USFS,GMF,Grand Mesa/Uncompahgre/Gunnison Nat'l Forests,b,1200,,,0,,,,0,0,50,N,3,E,24
Myers,183,USFS,GMF,Grand Mesa/Uncompahgre/Gunnison Nat'l Forests,b,1500,,,0,,,,38.25,-106.62,46,N,3,E,10
Kannah Creek Piles,191,USFS,GMF,Grand Mesa/Uncompahgre/Gunnison Nat'l Forests,p,,75,,0,,,,0,0,12,S,97,W,34
Nick Mountain,214,USFS,GMF,Grand Mesa/Uncompahgre/Gunnison Nat'l Forests,b,1200,,,0,,,,0,0,10,S,95,W,32
West Elk,216,USFS,GMF,Grand Mesa/Uncompahgre/Gunnison Nat'l Forests,b,500,,,0,,,,38.55,-107.22,50,N,3,W,31
Glencoe Pine,244,USFS,GMF,Grand Mesa/Uncompahgre/Gunnison Nat'l Forests,b,3412,,,0,,,,38.36,-108.40,,,,,
Little Monitor,245,USFS,GMF,Grand Mesa/Uncompahgre/Gunnison Nat'l Forests,b,450,,,0,,,,38.15,-106.50,,,,,
Tomichi Creek Piles,262,USFS,GMF,Grand Mesa/Uncompahgre/Gunnison Nat'l Forests,p,,403,,1287766.42,400,3388.86,95.00,38.45,-106.43,48,N,5,E,16
Willow Timber Sale,264,USFS,GMF,Grand Mesa/Uncompahgre/Gunnison Nat'l Forests,p,,11,,0,,,,0,0,46,N,4,W,16
Illinois Creek,265,USFS,GMF,Grand Mesa/Uncompahgre/Gunnison Nat'l Forests,p,,19,,40197.35,19,2227.00,95.00,38.91,-106.52,13,S,82,W,15
Independence/Wiley,266,USFS,GMF,Grand Mesa/Uncompahgre/Gunnison Nat'l Forests,p,,240,,18714.10073,248,81.69,92.38,38.57,-106.50,50,N,4,E,22
Stagestop/Murdie,270,USFS,GMF,Grand Mesa/Uncompahgre/Gunnison Nat'l Forests,p,,60,,13202.15162,61,227.82,95.00,0,0,14,S,82,W,15
Raspberry Divide,281,USFS,GMF,Grand Mesa/Uncompahgre/Gunnison Nat'l Forests,p,,1000,,21420,280,85.00,90.00,0,0,47,N,12,W,21
Goat Creek,296,USFS,GMF,Grand Mesa/Uncompahgre/Gunnison Nat'l Forests,p,,34,,75905,17,4700.00,95.00,37.92,-108.19,42,N,12,W,4
SnoGo,297,USFS,GMF,Grand Mesa/Uncompahgre/Gunnison Nat'l Forests,p,,250,,84983.00187,255,340.00,98.02,0,0,43,N,13,W,23
West Grouse,298,USFS,GMF,Grand Mesa/Uncompahgre/Gunnison Nat'l Forests,p,,20,,46635.5,10,4909.00,95.00,39.57,-106.44,,,,,
Carpenter Ridge RAWS Piles,248,USFS,MLF,Manti La Salle National Forests,p,,200,,0,,,,38.45,-109.04,,,,,
Buffalo Jones TS,13,USFS,PSF,Pike/San Isabel National Forests,p,,40,,47790,30,1770.00,90.00,0,0,12,S,77,W,3
Caylor Thinning,14,USFS,PSF,Pike/San Isabel National Forests,p,,600,,0,,,,0,0,12,S,72,W,33
O'Brien RX P2 Thinning,15,USFS,PSF,Pike/San Isabel National Forests,p,,150,,4129.65,63,69.00,95.00,0,0,12,S,72,W,25
Tornado Blowdown Salvage (Road 251),16,USFS,PSF,Pike/San Isabel National Forests,p,,900,,23044.15,127,191.00,95.00,0,0,13,S,72,W,4
