BurnName,ShortPermitNum,AgencyGroup,AgencyID,AdministrativeUnit,PileBcst,AcresAnnMaxPERMITTED,PilesAnnMaxPERMITTED,Lat,Lon,Actual Acres Burned,Act Pile Vol Consumed (FT3),Actual Piles,PileActVolume,PilePctCons
Dry Mesa Rx,257,BLM,SWD,"Southwest District , BLM",b,554,,38.62,-108.32,,,,,
Simms Mesa,260,BLM,SWD,"Southwest District , BLM",b,200,,38.31,-107.88,3,,,,
Pinto Gulch,7,BLM,WRD,"White River Office, BLM",b,700,,40.04,-108.49,,,,,
Dry Gulch,232,CDPW,HSW,"Hot Sulphur Springs Area, Colo Pks Wildlife",b,590,,39.91,-106.59,,,,,
Rio Grande SWA,106,CDPW,MVW,"Monte Vista Area, Colo Parks & Wildlife Div",p,,15,37.57,-106.04,,"2,198.00",5,628,70
Mueller State Park Rx,248,CDPW,SPW,Colorado State Parks,b,720,,38.88,-105.15,,,,,
Bald Mountain,24,CSFS,BOS,Boulder District Colo State Forest Svc,p,,300,40.05,-105.34,,0.00,,,
Nott Creek Units 123 Pile Burn,38,CSFS,BOS,Boulder District Colo State Forest Svc,p,,950,39.86,-105.35,,"17,561.70",79,247,90
Manhattan Creek,32,CSFS,FCS,Fort Collins District Colo State Forest Svc,p,,80,40.74,-105.58,,"7,560.00",75,126,80
Pass Creek SLB Piles,141,CSFS,FCS,Fort Collins District Colo State Forest Svc,p,,8,40.82,-105.92,,"120,360.00",8,17700,85
Sand Creek,161,CSFS,FCS,Fort Collins District Colo State Forest Svc,p,,60,40.92,-105.81,,"6,437.60",13,619,80
Crooked Top Pile Burn,166,CSFS,GOS,Golden District Colo State Forest Svc,p,,200,39.47,-105.49,,0.00,,,
Bergen Peak SL Piles,167,CSFS,GOS,Golden District Colo State Forest Svc,p,,60,39.66,-105.4,,0.00,,,
Green Ridge Piles,140,CSFS,SSS,Steamboat Springs Dist. Colo State Forest Svc,p,,25,40.18,-106.88,,0.00,,,
State Forest Piles,142,CSFS,SSS,Steamboat Springs Dist. Colo State Forest Svc,p,,50,40.52,-106.02,,"39,900.00",7,6000,95
Link Creek,2,CSFS,WPS,Woodland Park District Colo State Forest Svc,p,,300,39.01,-105.45,,0.00,,,
St. Vrain,27,DFPC,NEC,"Northeast Region, Div Fire Prev & Ctrl",p,,1,40.17,-104.99,,0.00,,,
Bellvue Pile Project,162,DFPC,NEC,"Northeast Region, Div Fire Prev & Ctrl",p,,2,40.63,-105.17,,0.00,,,
Lory State Park,163,DFPC,NEC,"Northeast Region, Div Fire Prev & Ctrl",p,,350,40.57,-105.18,,"4,500.00",100,50,90
Banner Lakes,239,DFPC,NEC,"Northeast Region, Div Fire Prev & Ctrl",b,500,,40.07,-104.56,75,,,,
Chemical Depot Broadcast,273,DoD,CDQ,Army Chemical Depot,b,300,,38.27,-104.28,,,,,
Fort Carson Piles,62,DoD,FCQ,Fort Carson Army,p,,1000,38.59,-104.82,,"13,108.00",29,452,100
PCMS Piles,63,DoD,FCQ,Fort Carson Army,p,,500,37.52,-104,,0.00,,,
Fort Carson - Middle,153,DoD,FCQ,Fort Carson Army,b,10000,,38.59,-104.82,,,,,
Fort Carson - South,154,DoD,FCQ,Fort Carson Army,b,10000,,38.47,-104.86,,,,,
PCMS Broadcast,155,DoD,FCQ,Fort Carson Army,b,25000,,37.46,-103.96,1796,,,,
Fort Carson - North,156,DoD,FCQ,Fort Carson Army,b,5000,,38.7,-104.77,,,,,
Chapman,125,Local Gov't Agency,BCX,City of Boulder,p,,140,40,-105.32,,0.00,,,
Water Tank,143,Local Gov't Agency,BCX,City of Boulder,b,85,,39.95,-105.26,17,,,,
Hall Ranch,43,Local Gov't Agency,BOX,Boulder County Open Space,p,,1000,40.21,-105.33,,"52,164.50",646,85,95
Arapaho Rx,44,Local Gov't Agency,BOX,Boulder County Open Space,b,350,,40.23,-105.19,45,,,,
Wapiti 2,45,Local Gov't Agency,BOX,Boulder County Open Space,b,270,,40.16,-105.29,,,,,
"Ingersoll, Heil Valley Ranch",46,Local Gov't Agency,BOX,Boulder County Open Space,b,300,,40.13,-105.33,,,,,
Walker Ranch Piles,60,Local Gov't Agency,BOX,Boulder County Open Space,p,,600,39.96,-105.34,,"29,880.90",378,85,93
Reynolds Ranch Piles,319,Local Gov't Agency,BOX,Boulder County Open Space,p,,100,39.95,-105.46,,"2,998.80",36,85,98
Signature Bluff,226,Local Gov't Agency,GCX,City of Greeley,b,110,,40.44,-104.79,,,,,
Perry Park,41,Local Gov't Agency,LCL,Local Government Agency,p,,1,39.27,-105,,"138,600.00",1,140000,99
Platte Canyon Piles,42,Local Gov't Agency,LCL,Local Government Agency,p,,3000,39.49,-105.45,,"33,159.75",895,39,95
CAFA Unit 2 Project,47,Local Gov't Agency,LCL,Local Government Agency,p,,75,40.1,-105.33,,"9,622.80",45,216,99
High View,48,Local Gov't Agency,LCL,Local Government Agency,p,,380,40.03,-105.3,,"28,576.80",135,216,98
Deer Trail,49,Local Gov't Agency,LCL,Local Government Agency,p,,450,40.09,-105.34,,"41,277.60",195,216,98
Upper Overland Rd,127,Local Gov't Agency,LCL,Local Government Agency,p,,800,40.11,-105.45,,"48,760.00",212,250,92
Glacier View Community Piles,136,Local Gov't Agency,LCL,Local Government Agency,p,,20,40.7,-105.41,,0.00,,,
Otis Tree Pile,213,Local Gov't Agency,LCL,Local Government Agency,p,,4,40.14,-102.95,,0.00,,,
Booth Creek Rx,243,Local Gov't Agency,LCL,Local Government Agency,b,24,,39.64,-106.31,,,,,
Vail Hazardous Fuels Reduction,253,Local Gov't Agency,LCL,Local Government Agency,p,,151,39.61,-106.44,,"9,776.00",50,208,94
Conejos County Willows,279,Local Gov't Agency,LCL,Local Government Agency,p,,3,37.17,-105.86,,0.00,,,
Lake County Slash,288,Local Gov't Agency,LCL,Local Government Agency,p,,1,39.22,-106.28,,"119,790.00",11,121000,9
Bear Creek Lake Park,173,Local Gov't Agency,WEX,West Metro Fire Department,b,350,,39.64,-105.17,,,,,
Squaw Creek,285,Multiple Agencies,MUL,multiple agencies,b,600,,38.08,-106.45,,,,,
North Slope Piles,26,Non-Profits & Misc. Fed,OTR,Other,p,,500,38.92,-105.04,,"7,833.60",17,512,90
Elk Creek Unit 1 Piles,31,Non-Profits & Misc. Fed,OTR,Other,p,,800,40.73,-105.51,,"232,142.40",705,343,96
Maddox,50,Non-Profits & Misc. Fed,OTR,Other,p,,2000,38.94,-105.05,,"14,400.00",80,200,90
Arrowhead,278,Non-Profits & Misc. Fed,OTR,Other,p,,1,38.32,-107.35,,"62,244.00",1,65520,95
FWCreek,339,Non-Profits & Misc. Fed,OTR,Other,p,,2,37.55,-105.22,,"2,464.00",1,3080,80
Snowmass Ski Area Piles,211,Non-Profits & Misc. Fed,SKI,Ski resort,p,,320,39.19,-106.95,,275.00,1,275,100
Tucker Mountain,218,Non-Profits & Misc. Fed,SKI,Ski resort,p,,100,39.46,-106.17,,"34,279.74",58,597,99
Keystone Mountain,264,Non-Profits & Misc. Fed,SKI,Ski resort,p,,500,39.59,-105.93,,0.00,,,
Wolf Creek Ski Area,267,Non-Profits & Misc. Fed,SKI,Ski resort,p,,14,37.47,-106.78,,"30,876.30",6,7917,65
Winter Park,274,Non-Profits & Misc. Fed,SKI,Ski resort,p,,20,39.86,-105.75,,"28,028.00",7,4400,91
Monarch Mountain Veg Mgmt Project,293,Non-Profits & Misc. Fed,SKI,Ski resort,p,,30,38.51,-106.33,,"17,600.00",2,11000,80
Aspen Highlands Ski Area,308,Non-Profits & Misc. Fed,SKI,Ski resort,p,,205,39.13,-106.86,,"25,213.44",201,128,98
Aspen Ski Company - Buttermilk,323,Non-Profits & Misc. Fed,SKI,Ski resort,p,,15,39.2,-106.86,,"3,780.00",15,252,100
Mozzetti Piles,130,Non-Profits & Misc. Fed,TNC,The Nature Conservancy,p,,200,39.5,-105,,"12,060.00",100,134,90
Soapstone Prairie,180,Non-Profits & Misc. Fed,TNC,The Nature Conservancy,b,1600,,40.99,-105.01,400,,,,
Elkhorn 4 Rx Fire,186,Non-Profits & Misc. Fed,TNC,The Nature Conservancy,b,546,,40.74,-105.49,477,,,,
BCP Maintenance Brush Pile,233,NPS,BCP,Black Canyon National Park,p,,1,38.53,-107.68,,"1,166.22",1,1178,99
Dino HQ,203,NPS,DNP,Dinosaur National Monument,p,,1,40.24,-108.97,,0.00,,,
Liberty Units 1-4,305,NPS,GSP,Great Sand Dunes National Park,b,3335,,37.9,-105.67,,,,,
MEVE Admin,59,NPS,MVP,Mesa Verde National Park,p,,2,37.18,-108.48,,"6,927.62",1,7069,98
Mill Creek,20,NPS,RMP,Rocky Mountain National Park,p,,1400,40.34,-105.59,,"117,083.70",246,501,95
Deer Mt. West,21,NPS,RMP,Rocky Mountain National Park,p,,500,40.4,-105.62,,"63,000.00",100,700,90
Deer Mountain North Face,22,NPS,RMP,Rocky Mountain National Park,p,,2000,40.4,-105.58,,"632,448.00",732,900,96
Deer Mountain East,23,NPS,RMP,Rocky Mountain National Park,p,,800,40.37,-105.56,,"513,000.00",600,900,95
South Lateral Moraine Unit,169,NPS,RMP,Rocky Mountain National Park,b,175,,40.34,-105.59,,,,,
Moraine Park Pit,178,NPS,RMP,Rocky Mountain National Park,p,,2,40.4,-105.58,,"14,400.00",1,24000,60
Bear Lake Road,184,NPS,RMP,Rocky Mountain National Park,p,,100,40.36,-105.58,,"12,903.00",51,275,92
BME Unit,268,NPS,RMP,Rocky Mountain National Park,b,300,,40.39,-105.57,,,,,
Wind River,315,NPS,RMP,Rocky Mountain National Park,p,,2500,40.32,-105.59,,"264,600.00",300,900,98
Upper Bear Lake Road,316,NPS,RMP,Rocky Mountain National Park,p,,150,40.32,-105.62,,0.00,,,
East Portal,317,NPS,RMP,Rocky Mountain National Park,p,,1200,40.32,-105.58,,0.00,,,
Banded Peak Ranch,326,Private Land,BPT,Ranch,p,,15,37.1,-106.7,,"1,215.00",3,450,90
Private Piles,1,Private Land,PVT,Privately-owned land being burned by owner,p,,2000,37.31,-107.77,,"2,250.00",1,2500,90
Private Piles,28,Private Land,PVT,Privately-owned land being burned by owner,p,,1,37.34,-107.85,,"3,720.00",1,3720,100
Private Piles,29,Private Land,PVT,Privately-owned land being burned by owner,b,200,,38.16,-104.61,,,,,
Private Piles,30,Private Land,PVT,Privately-owned land being burned by owner,p,,6,37.54,-107.80,,"4,320.00",3,1600,90
Private Piles,61,Private Land,PVT,Privately-owned land being burned by owner,b,4000,,38.43,-104.29,,,,,
Private Piles,70,Private Land,PVT,Privately-owned land being burned by owner,p,,3,37.34,-107.85,,"1,600.00",2,800,100
Private Piles,75,Private Land,PVT,Privately-owned land being burned by owner,p,,2,37.98,-105.73,,"5,654.00",2,2827,100
Private Piles,85,Private Land,PVT,Privately-owned land being burned by owner,p,,6,40.40,-106.80,,"7,830.00",3,2900,90
Private Piles,99,Private Land,PVT,Privately-owned land being burned by owner,p,,29,38.08,-105.42,,"39,788.00",29,1400,98
Private Piles,107,Private Land,PVT,Privately-owned land being burned by owner,p,,15,38.47,-105.19,,"3,801.60",3,1280,99
Private Piles,114,Private Land,PVT,Privately-owned land being burned by owner,p,,10,37.51,-107.80,,"3,727.50",7,750,71
Private Piles,126,Private Land,PVT,Privately-owned land being burned by owner,p,,250,37.85,-108.80,,"6,619.60",52,134,95
Private Piles,132,Private Land,PVT,Privately-owned land being burned by owner,p,,15,40.64,-105.34,,0.00,,,
Private Piles,138,Private Land,PVT,Privately-owned land being burned by owner,p,,120,39.52,-106.06,,"8,482.50",5,3393,50
Private Piles,151,Private Land,PVT,Privately-owned land being burned by owner,p,,500,39.94,-105.47,,"16,963.20",310,57,96
Private Piles,179,Private Land,PVT,Privately-owned land being burned by owner,p,,2,40.81,-105.61,,"4,240.80",2,2356,90
Private Piles,220,Private Land,PVT,Privately-owned land being burned by owner,p,,200,37.46,-108.55,,720.00,2,400,90
Private Piles,235,Private Land,PVT,Privately-owned land being burned by owner,b,15,,39.78,-104.75,,,,,
Private Piles,240,Private Land,PVT,Privately-owned land being burned by owner,p,,49,39.90,-105.37,,0.00,,,
Private Piles,247,Private Land,PVT,Privately-owned land being burned by owner,p,,264,38.47,-106.41,,"14,233.78",253,58,97
Private Piles,255,Private Land,PVT,Privately-owned land being burned by owner,p,,3,40.48,-106.80,,0.00,,,
Private Piles,261,Private Land,PVT,Privately-owned land being burned by owner,p,,5,40.50,-107.05,,0.00,,,
Private Piles,262,Private Land,PVT,Privately-owned land being burned by owner,b,75,,37.56,-108.43,,,,,
Private Piles,270,Private Land,PVT,Privately-owned land being burned by owner,p,,6,37.55,-107.82,,0.00,,,
Private Piles,271,Private Land,PVT,Privately-owned land being burned by owner,p,,99,40.29,-106.43,,0.00,,,
Private Piles,275,Private Land,PVT,Privately-owned land being burned by owner,p,,4,39.55,-106.04,,"1,571.00",1,1571,100
Private Piles,311,Private Land,PVT,Privately-owned land being burned by owner,p,,4,40.95,-105.69,,"5,600.00",1,7000,80
Private Piles,335,Private Land,PVT,Privately-owned land being burned by owner,p,,1,40.33,-106.85,,"1,194.15",1,1257,95
West Indian Creek,39,Private Land,TRT,Ranch,p,,55,37,-105,,"889,479.90",30,31881,93
Deep Creek,40,Private Land,TRT,Ranch,p,,106,37,-105,,"1,427,162.10",30,52277,91
Slash Piles- Upper Canadian,72,Private Land,TRT,Ranch,p,,30,36,-105,,"551,374.20",26,23563,90
Sleepy Grass,139,Private Land,TRT,Ranch,b,500,,37,-105,,,,,
Tercio Ranch Mixed Conifer Restoration,242,Private Land,TRT,Ranch,b,500,,37,-105,,,,,
Opposite Joe Baker 2,86,Private Land,VRT,Ranch,p,,100,37,-104.73,,0.00,,,
Blue Ridge,4,USFS,ARF,Arapaho/Roosevelt National Forests,b,1000,,40.03,-106.09,277,,,,
James Creek Handpiles,5,USFS,ARF,Arapaho/Roosevelt National Forests,p,,12000,40.09,-105.44,,"1,723,456.08",8394,236,87
St. Vrain Hand Piles,6,USFS,ARF,Arapaho/Roosevelt National Forests,p,,12000,40.23,-105.53,,"292,786.65",1755,201,83
St Vrain Machine Piles,15,USFS,ARF,Arapaho/Roosevelt National Forests,p,,50,40.23,-105.52,,"26,447.05",41,679,95
Echo Hills Blue Hills Hand Piles,16,USFS,ARF,Arapaho/Roosevelt National Forests,p,,2500,39.69,-105.45,,0.00,,,
Gold Hill Machine Piles,17,USFS,ARF,Arapaho/Roosevelt National Forests,p,,50,40.05,-105.45,,"141,390.00",50,3142,90
Keyser Creek,18,USFS,ARF,Arapaho/Roosevelt National Forests,p,,200,39.9,-106.01,,0.00,,,
Pass Creek,19,USFS,ARF,Arapaho/Roosevelt National Forests,p,,300,40.32,-106.07,,"356,015.44",59,6857,88
Mad and Blue Creek Piles,64,USFS,ARF,Arapaho/Roosevelt National Forests,p,,5000,39.76,-105.69,,"228,150.00",1625,156,90
James Creek Machine,65,USFS,ARF,Arapaho/Roosevelt National Forests,p,,110,40.09,-105.43,,"84,598.80",51,1885,88
Poudre Canyon Bighorn Sheep,83,USFS,ARF,Arapaho/Roosevelt National Forests,b,636,,40.71,-105.73,440,,,,
Red Feather 4,93,USFS,ARF,Arapaho/Roosevelt National Forests,p,,7772,40.76,-105.6,,"1,652,338.80",4437,392,95
Lump Gulch,94,USFS,ARF,Arapaho/Roosevelt National Forests,p,,12000,39.95,-105.44,,"643,200.00",4000,201,80
Evergreen 1A,122,USFS,ARF,Arapaho/Roosevelt National Forests,p,,75,39.56,-105.38,,0.00,,,
Swampou Machine Piles,128,USFS,ARF,Arapaho/Roosevelt National Forests,p,,74,40.73,-105.61,,0.00,,,
Thompson River 4,129,USFS,ARF,Arapaho/Roosevelt National Forests,p,,3500,40.36,-105.38,,0.00,,,
Red Feather 3,133,USFS,ARF,Arapaho/Roosevelt National Forests,p,,21787,40.76,-105.6,,"5,412,341.40",16265,354,94
Glen Haven 1 Hand Piles,134,USFS,ARF,Arapaho/Roosevelt National Forests,p,,3772,40.47,-105.46,,0.00,,,
Elkhorn 1,135,USFS,ARF,Arapaho/Roosevelt National Forests,p,,2937,40.77,-105.61,,"991,562.50",3125,334,95
Trail Creek,149,USFS,ARF,Arapaho/Roosevelt National Forests,p,,6000,40.21,-105.9,,"223,508.22",1066,241,87
Supply Creek,150,USFS,ARF,Arapaho/Roosevelt National Forests,p,,4500,40.25,-105.95,,"325,584.00",1008,340,95
Magic Sky,164,USFS,ARF,Arapaho/Roosevelt National Forests,p,,30,40.74,-105.52,,"3,537.00",10,393,90
Keota Steer,172,USFS,ARF,Arapaho/Roosevelt National Forests,b,1200,,40.65,-104.08,,,,,
Pingree Hill,238,USFS,ARF,Arapaho/Roosevelt National Forests,b,1800,,40.71,-105.54,1450,,,,
Pratt Creek Machine,246,USFS,ARF,Arapaho/Roosevelt National Forests,p,,11,40.57,-105.34,,"205,276.50",11,18850,99
Blue Creek,266,USFS,ARF,Arapaho/Roosevelt National Forests,b,300,,39.76,-105.69,125,,,,
Red Feather North,272,USFS,ARF,Arapaho/Roosevelt National Forests,b,2420,,40.85,-105.57,1980,,,,
Vasquez,318,USFS,ARF,Arapaho/Roosevelt National Forests,p,,3000,39.89,-105.82,,"62,553.60",432,181,80
Panhandle 2,340,USFS,ARF,Arapaho/Roosevelt National Forests,p,,5,40.86,-105.78,,0.00,,,
Love Mesa,108,USFS,GMF,Grand Mesa/Uncompahgre/Gunnison Nat'l Forests,b,4000,,38.52,-108.46,,,,,
Escalante,109,USFS,GMF,Grand Mesa/Uncompahgre/Gunnison Nat'l Forests,p,,1200,38.51,-108.34,,"1,000.00",40,25,100
Cottonwood Hollow,110,USFS,GMF,Grand Mesa/Uncompahgre/Gunnison Nat'l Forests,b,3208,,38.49,-108.42,,,,,
Sawmill RX,111,USFS,GMF,Grand Mesa/Uncompahgre/Gunnison Nat'l Forests,b,1300,,38.49,-108.4,600,,,,
Little Monitor,112,USFS,GMF,Grand Mesa/Uncompahgre/Gunnison Nat'l Forests,b,1000,,38.52,-108.3,,,,,
Davewood,113,USFS,GMF,Grand Mesa/Uncompahgre/Gunnison Nat'l Forests,b,1833,,38.31,-108,,,,,
Thunder Road Fuels RX,116,USFS,GMF,Grand Mesa/Uncompahgre/Gunnison Nat'l Forests,b,601,,38.05,-108.31,,,,,
Sanborn Fuels,117,USFS,GMF,Grand Mesa/Uncompahgre/Gunnison Nat'l Forests,b,900,,38.2,-108.22,,,,,
WIMP 5,118,USFS,GMF,Grand Mesa/Uncompahgre/Gunnison Nat'l Forests,b,1150,,38.97,-108.12,705,,,,
Glencoe Pine,119,USFS,GMF,Grand Mesa/Uncompahgre/Gunnison Nat'l Forests,b,3412,,38.36,-108.4,,,,,
Ed Joe Fuels Rx,120,USFS,GMF,Grand Mesa/Uncompahgre/Gunnison Nat'l Forests,b,512,,38.06,-108.28,,,,,
Horse Pasture Pit,121,USFS,GMF,Grand Mesa/Uncompahgre/Gunnison Nat'l Forests,p,,15,38.08,-108.32,,800.00,1,800,100
Sheep Flats TS,144,USFS,GMF,Grand Mesa/Uncompahgre/Gunnison Nat'l Forests,p,,300,39.14,-107.85,,"223,611.57",171,1437,91
Lands End,145,USFS,GMF,Grand Mesa/Uncompahgre/Gunnison Nat'l Forests,p,,350,38.96,-108.21,,0.00,,,
Mesa Pt Comm Site,146,USFS,GMF,Grand Mesa/Uncompahgre/Gunnison Nat'l Forests,p,,250,38.87,-108.33,,"6,174.00",20,315,98
Eggleston Group,147,USFS,GMF,Grand Mesa/Uncompahgre/Gunnison Nat'l Forests,p,,2608,39.03,-108.01,,"5,453.00",70,82,95
Cow Creek,148,USFS,GMF,Grand Mesa/Uncompahgre/Gunnison Nat'l Forests,p,,1000,39.11,-107.61,,0.00,,,
25 Mesa,168,USFS,GMF,Grand Mesa/Uncompahgre/Gunnison Nat'l Forests,b,1406,,38.48,-108.38,,,,,
West Elk,192,USFS,GMF,Grand Mesa/Uncompahgre/Gunnison Nat'l Forests,b,1000,,37.94,-108.91,,,,,
Los Pinos,193,USFS,GMF,Grand Mesa/Uncompahgre/Gunnison Nat'l Forests,b,1500,,38.19,-106.89,194,,,,
Steamboat Rock,212,USFS,GMF,Grand Mesa/Uncompahgre/Gunnison Nat'l Forests,b,1500,,39,-108.22,,,,,
Paonia Corral,221,USFS,GMF,Grand Mesa/Uncompahgre/Gunnison Nat'l Forests,p,,2,38.86,-107.49,,700.00,2,350,100
Calamity Hills,259,USFS,GMF,Grand Mesa/Uncompahgre/Gunnison Nat'l Forests,b,2000,,38.69,-108.78,,,,,
Simms Mesa GMF,263,USFS,GMF,Grand Mesa/Uncompahgre/Gunnison Nat'l Forests,b,1000,,38.27,-107.94,450,,,,
Rocky Pitch,269,USFS,GMF,Grand Mesa/Uncompahgre/Gunnison Nat'l Forests,b,2000,,38.76,-108.67,732,,,,
High Mesa,284,USFS,GMF,Grand Mesa/Uncompahgre/Gunnison Nat'l Forests,p,,2000,38.23,-107.48,,"418,800.00",200,2094,100
Horsefly Thinning Piles,289,USFS,GMF,Grand Mesa/Uncompahgre/Gunnison Nat'l Forests,p,,500,38.21,-108.18,,"33,569.76",84,412,97
Calamity Understory,306,USFS,GMF,Grand Mesa/Uncompahgre/Gunnison Nat'l Forests,b,400,,38.67,-108.79,,,,,
Grand Mesa Resort Salvage,321,USFS,GMF,Grand Mesa/Uncompahgre/Gunnison Nat'l Forests,p,,500,39.06,-107.94,,"332,150.00",40,9125,91
West Mountain,325,USFS,GMF,Grand Mesa/Uncompahgre/Gunnison Nat'l Forests,p,,800,38.61,-106.55,,"127,440.00",600,236,90
Taylor,329,USFS,GMF,Grand Mesa/Uncompahgre/Gunnison Nat'l Forests,p,,160,38.75,-106.69,,"80,997.00",60,1421,95
Skeleton Salvage,332,USFS,GMF,Grand Mesa/Uncompahgre/Gunnison Nat'l Forests,p,,150,38.25,-106.61,,0.00,,,
Los Pinos Piles,333,USFS,GMF,Grand Mesa/Uncompahgre/Gunnison Nat'l Forests,p,,600,38.07,-106.88,,"1,698,048.00",264,6700,96
Telluride,336,USFS,GMF,Grand Mesa/Uncompahgre/Gunnison Nat'l Forests,p,,2,37.91,-107.85,,"28,274.00",2,14137,100
Slumgullion,338,USFS,GMF,Grand Mesa/Uncompahgre/Gunnison Nat'l Forests,p,,570,37.97,-106.19,,0.00,,,
Buckeye Reservoir,234,USFS,MLF,Manti La Salle National Forests,b,400,,38.43,-109.03,,,,,
Bear Mountain Broadcast,3,USFS,PSF,Pike/San Isabel National Forests,b,774,,39.36,-105.15,,,,,
Bear Creek Piles PIKE,8,USFS,PSF,Pike/San Isabel National Forests,p,,3250,39.39,-105.12,,0.00,,,
Buffalo Creek Piles,9,USFS,PSF,Pike/San Isabel National Forests,p,,2250,39.47,-105.25,,"411,825.00",1445,300,95
Osprey,10,USFS,PSF,Pike/San Isabel National Forests,p,,1750,39.35,-106.16,,0.00,,,
Ouzel,11,USFS,PSF,Pike/San Isabel National Forests,p,,1500,39.32,-105.18,,0.00,,,
Dell Piles,12,USFS,PSF,Pike/San Isabel National Forests,p,,2000,39.33,-105.23,,0.00,,,
Colorado Trail Piles,13,USFS,PSF,Pike/San Isabel National Forests,p,,1500,39.33,-105.26,,"135,945.00",477,300,95
Green Mountain Piles,14,USFS,PSF,Pike/San Isabel National Forests,p,,4000,39.32,-105.36,,0.00,,,
