BurnName,ShortPermitNum,AgencyID,AdministrativeUnit,PileBcst,AcresAnnMaxPERMITTED,PilesAnnMaxPERMITTED,Lat,Lon,Actual Acres Burned,Act Pile Vol Consumed,Actual Piles,PileActVolume,PilePctCons
James Creek Handpiles,32,ARF,Arapaho/Roosevelt National Forests,p,,12500,40.09389,-105.4417,,"79,296.0",420,236,80
Lump Gulch,33,ARF,Arapaho/Roosevelt National Forests,p,,12000,39.9557,-105.4446,,,,,
Deer Mt. West,34,RMP,Rocky Mountain National Park,p,,200,40.3925,-105.612,,,,,
East Inlet Trail,35,RMP,Rocky Mountain National Park,p,,100,40.2371,-105.8,,"58,905.0",85,700,99
North Lateral Moraine,36,RMP,Rocky Mountain National Park,p,,15,40.367,-105.613,,"2,800.0",5,800,70
Willow Park,37,RMP,Rocky Mountain National Park,p,,2,40.4325,-105.7334,,,,,
Shadow Mountain Fuels,38,ARF,Arapaho/Roosevelt National Forests,p,,1,40.22049,-105.8539,,"1,678.7",1,1767,95
Fall River Hand Piles,39,ARF,Arapaho/Roosevelt National Forests,p,,50,39.80314,-105.621,,"8,000.0",50,200,80
Deer Haven Broadcast,40,RGD,Royal Gorge Office Field Office,b,380,,38.62361,-105.378,,,,,
Muddy Pass - All Units,41,WRF,White River National Forest,b,5000,,39.703,-106.524,250,,,,
Hole in the Rock,42,RGD,Royal Gorge Office Field Office,p,,2000,38.67007,-105.278,,,,,
Likely Gulch,43,RGD,Royal Gorge Office Field Office,p,,3000,38.34232,-105.5754,,,,,
Thompson Mountain,44,RGD,Royal Gorge Office Field Office,p,,35,38.6043,-105.3829,,,,,
Tyndall Piles,45,RGD,Royal Gorge Office Field Office,p,,10,38.3179,-105.5318,,,,,
Whiskey,46,RGD,Royal Gorge Office Field Office,p,,4000,38.668,-105.349,,,,,
Farmers Canyon,47,GRD,Grand Junction Field Office,b,100,,38.80652,-108.5538,40,,,,
Browns Park NWR Piles,48,BPR,Browns Park National Wildlife Refuge,p,,500,40.7706,-108.8902,,,,,
Horsethief Bench,49,GRD,Grand Junction Field Office,p,,150,39.16,-108.84,,"17,325.0",50,385,90
Little Dolores,50,GRD,Grand Junction Field Office,p,,175,39.0244,-108.9747,,,,,
Green Ridge Piles,51,SLB,State Land Board,p,,45,40.18,-106.88,,"123,500.0",25,5200,95
State Forest Piles,52,SLB,State Land Board,p,,95,40.5268,-106.0297,,"598,314.6",78,8523,90
Poncha Loop,53,PSF,Pike/San Isabel National Forests,p,,1500,38.42872,-106.1077,,"350,655.0",1205,300,97
East Turquoise,54,PSF,Pike/San Isabel National Forests,p,,10,39.26644,-106.3381,,"145,500.0",6,25000,97
Nott Creek Units 123 Pile Burn,55,BRW,"Brush Area, Colo Parks & Wildlife Div",p,,477,39.86147,-105.3597,,,,,
Hall Ranch,56,BOX,Boulder County Open Space,p,,1000,40.21202,-105.3305,,"4,081.7",49,85,98
Bennett Mountain,57,PSF,Pike/San Isabel National Forests,b,754,,39.3875,-105.1342,,,,,
Harris Park,58,PSF,Pike/San Isabel National Forests,b,1000,,39.53801,-105.4893,40,,,,
Noddles,59,PSF,Pike/San Isabel National Forests,b,365,,39.32462,-105.1352,,,,,
Saloon Gulch,60,PSF,Pike/San Isabel National Forests,b,8800,,39.5201,-105.5498,,,,,
County Road 98 Handpiles,61,PSF,Pike/San Isabel National Forests,p,,2000,39.906,-105.408,,,,,
Lake George East-Station 10 Handpiles,62,PSF,Pike/San Isabel National Forests,p,,100,38.89135,-105.3529,,"8,085.0",55,150,98
Road Gulch 2 Handpiles,63,PSF,Pike/San Isabel National Forests,p,,3500,38.90557,-105.4268,,"113,857.5",799,150,95
Rampart Range Piles,64,PSF,Pike/San Isabel National Forests,p,,30000,39.04335,-105.0065,,"66,546.4",171,423,92
Pikes Peak Piles,65,PSF,Pike/San Isabel National Forests,p,,18200,38.91964,-105.0005,,,,,
North Divide Piles,66,PSF,Pike/San Isabel National Forests,p,,28000,39.03535,-105.1898,,"67,234.4",761,93,95
Keystone Gulch TSI,67,WRF,White River National Forest,p,,15000,39.58,-105.967,,"375,289.2",2187,220,78
Ophir Mountain-Miner's Creek,68,WRF,White River National Forest,p,,2000,39.56371,-106.0925,,,,,
E Ridge 21,69,PVT,Privately-owned land being burned by owner,p,,40,37.3113,-107.7716,,"4,800.0",2,2500,96
Shavano Piles,70,RGD,Royal Gorge Office Field Office,p,,2000,38.5694,-106.1458,,"664,392.0",1200,589,94
Mt. Harvard Estates,71,RGD,Royal Gorge Office Field Office,p,,1700,38.91566,-106.1709,,"247,500.0",1000,275,90
Big Red Park,72,RTF,Routt National Forest,p,,150,40.8924,-106.8791,,"113,094.0",10,12566,90
Kings Canyon Piles,73,RTF,Routt National Forest,p,,125,40.9376,-106.203,,,,,
Monument Rock,74,RTF,Routt National Forest,p,,200,40.76901,-106.851,,,,,
Fosset Gulch Pile RX,75,SJF,San Juan National Forest,p,,40,37.223,-107.398,,"10,000.0",4,6250,40
Eby Creek Mesa Slash Piles,76,LCL,Local Government Agency,p,,1500,39.667,-106.835,,,,,
Morrison Creek Piles,77,RTF,Routt National Forest,p,,125,40.1668,-106.7371,,"202,940.9",34,6283,95
North Routt,78,RTF,Routt National Forest,p,,800,40.72546,-106.8512,,"56,547.0",5,12566,90
Parks RD,79,RTF,Routt National Forest,p,,500,40.57728,-106.6066,,"181,517.7",61,3270,91
Newt Jack Piles,80,SJF,San Juan National Forest,p,,1000,37.3212,-107.1391,,,,,
Blanca Wetlands,81,SLD,San Luis Valley Field Office,b,300,,37.55333,-105.685,178,,,,
Cedar Park,82,ARF,Arapaho/Roosevelt National Forests,p,,10000,40.43803,-105.33,,"14,148.0",40,393,90
Mesa Cortina Open Space,83,LCL,Local Government Agency,p,,457,39.6212,-106.0891,,,,,
Thompson River 4,84,ARF,Arapaho/Roosevelt National Forests,p,,10500,40.36328,-105.3885,,,,,
Thompson River 3,85,ARF,Arapaho/Roosevelt National Forests,p,,4220,40.32864,-105.4054,,"406,755.0",1150,393,90
wildridge Slash Piles,86,LCL,Local Government Agency,p,,1000,39.65325,-106.5424,,"39,424.0",56,800,88
Confluence Mitigation,87,PVT,Privately-owned land being burned by owner,p,,75,40.35191,-104.7666,,"10,800.0",6,2000,90
Stub Creek,88,ARF,Arapaho/Roosevelt National Forests,p,,7,40.79153,-105.9078,,,,,
Magic Sky 4,89,ARF,Arapaho/Roosevelt National Forests,p,,7200,40.7884,-105.5032,,"511,096.5",1445,393,90
Electra Piles,90,PVT,Privately-owned land being burned by owner,p,,103,37.5432,-107.8023,,"28,848.6",94,341,90
Dry Creek (TFO Piles),91,SWD,Southwest District Office,p,,1400,38.063,-108.552,,"222,750.0",750,300,99
Greenhorn,92,PSF,Pike/San Isabel National Forests,p,,595,38.0492,-105.1834,,"48,024.0",29,1800,92
Silver Cloud,93,PVT,Privately-owned land being burned by owner,p,,85,40.084,-105.348,,,,,
Bear Johns Piles,94,RGF,Rio Grande National Forest,p,,75,37.9443,-106.6138,,"1,220,289.1",61,20413,98
Cal Johns Piles,95,RGF,Rio Grande National Forest,p,,30,37.9878,-106.5978,,"538,779.5",25,21991,98
Lory State Park,96,SLB,State Land Board,p,,80,40.57309,-105.1822,,"3,000.0",75,50,80
Sand Creek,97,SLB,State Land Board,p,,60,40.92105,-105.8181,,,,,
Leonards Basin,98,UPD,Uncompaghre Field  Office,p,,150,38.79126,-108.3171,,,,,
Arsenal Piles,99,RMR,Rocky Mountain Arsenal Wildlife Refuge,p,,200,39.86341,-104.8192,,"17,404.2",30,586,99
Arsenal Broadcast,100,RMR,Rocky Mountain Arsenal Wildlife Refuge,b,3500,,39.8198,-104.8188,1440,,,,
Swampou Machine Piles,101,ARF,Arapaho/Roosevelt National Forests,p,,7,40.73358,-105.6323,,"44,100.0",7,7000,90
NFSR 200 Roadside Piles,102,ARF,Arapaho/Roosevelt National Forests,p,,18,40.92703,-106.0748,,"1,071.0",1,1190,90
G leaf,103,PVT,Privately-owned land being burned by owner,p,,81,38.0846,-105.4277,,"82,567.4",81,1073,95
Storm M R,104,PVT,Privately-owned land being burned by owner,p,,6,40.40343,-106.8013,,,,,
Los Pinos Piles,105,GMF,Grand Mesa/Uncompahgre/Gunnison Nat'l Forests,p,,600,38.0749,-106.8838,,"136,260.5",22,6589,94
Skeleton Salvage,106,GMF,Grand Mesa/Uncompahgre/Gunnison Nat'l Forests,p,,150,38.2574,-106.6134,,"24,126.7",4,6283,96
Crescent Moon Piles,107,RGF,Rio Grande National Forest,p,,3,37.9872,-106.5243,,,,,
Easy Money Piles,108,RGF,Rio Grande National Forest,p,,11,37.9692,-106.6431,,"198,114.8",11,18378,98
Neff Piles,109,RGF,Rio Grande National Forest,p,,50,37.0439,-106.4149,,,,,
North Carnero WUI Piles,110,RGF,Rio Grande National Forest,p,,900,37.933,-106.3907,,,,,
Poage Piles,111,RGF,Rio Grande National Forest,p,,4,37.5106,-106.643,,,,,
Whistle Pig Piles,112,RGF,Rio Grande National Forest,p,,5,37.0213,-106.4133,,,,,
Cliffs Property Piles,113,PVT,Privately-owned land being burned by owner,p,,6,37.33,-107.82,,,,,
Glacier ,114,PVT,Privately-owned land being burned by owner,p,,12,37.511,-107.806,,"1,800.0",3,750,80
Boggy Draw/Haycamp Mesa,115,SJF,San Juan National Forest,b,23025,,37.5632,-108.3719,1643,,,,
Salter,116,SJF,San Juan National Forest,b,5502,,37.662,-108.578,,,,,
Fort Carson - North,117,FCQ,Fort Carson Army,b,5000,,38.709,-104.775,,,,,
Fort Carson - Middle,118,FCQ,Fort Carson Army,b,10000,,38.59,-104.822,,,,,
Fort Carson - South,119,FCQ,Fort Carson Army,b,10000,,38.479,-104.86,,,,,
Fort Carson Piles,120,FCQ,Fort Carson Army,p,,1000,38.59,-104.822,,,,,
PCMS Piles,121,FCQ,Fort Carson Army,p,,500,37.52255,-104.0038,,,,,
PCMS Broadcast,122,FCQ,Fort Carson Army,b,25000,,37.46131,-103.9609,,,,,
Ed Joe Fuels Rx,123,GMF,Grand Mesa/Uncompahgre/Gunnison Nat'l Forests,b,512,,38.06694,-108.2825,,,,,
25 Mesa,124,GMF,Grand Mesa/Uncompahgre/Gunnison Nat'l Forests,b,1406,,38.4814,-108.3816,,,,,
Davewood,125,GMF,Grand Mesa/Uncompahgre/Gunnison Nat'l Forests,b,1833,,38.2965,-108.0115,,,,,
Glencoe Pine,126,GMF,Grand Mesa/Uncompahgre/Gunnison Nat'l Forests,b,3412,,38.36328,-108.4071,800,,,,
Sanborn Fuels,127,GMF,Grand Mesa/Uncompahgre/Gunnison Nat'l Forests,b,900,,38.20694,-108.2208,246,,,,
Little Monitor,128,GMF,Grand Mesa/Uncompahgre/Gunnison Nat'l Forests,b,1000,,38.525,-108.304,,,,,
Simms Mesa GMF,129,GMF,Grand Mesa/Uncompahgre/Gunnison Nat'l Forests,b,1000,,38.277,-107.943,,,,,
O'Brien Rx Unit P5&P6,130,PSF,Pike/San Isabel National Forests,b,1400,,38.962,-105.405,102,,,,
Cottonwood Hollow,131,GMF,Grand Mesa/Uncompahgre/Gunnison Nat'l Forests,b,3208,,38.497,-108.422,,,,,
Thunder Road Fuels RX,132,GMF,Grand Mesa/Uncompahgre/Gunnison Nat'l Forests,b,601,,38.05639,-108.3122,,,,,
Escalante,133,GMF,Grand Mesa/Uncompahgre/Gunnison Nat'l Forests,p,,1200,38.51104,-108.349,,,,,
Elk Creek FPD,134,LCL,Local Government Agency,p,,1050,39.57433,-105.2877,,"35,208.4",178,215,92
High Mesa,135,GMF,Grand Mesa/Uncompahgre/Gunnison Nat'l Forests,p,,2000,38.23153,-107.4898,,170.0,1,170,100
Horse Pasture Pit,136,GMF,Grand Mesa/Uncompahgre/Gunnison Nat'l Forests,p,,15,38.08726,-108.3251,,,,,
Telluride,137,GMF,Grand Mesa/Uncompahgre/Gunnison Nat'l Forests,p,,10,37.9173,-107.8522,,"45,238.4",4,14137,80
Los Pinos,138,MRD,Montrose Field Office,p,,30,38.10661,-106.9863,,,,,
Cow Canyon/Five Pines,139,SJF,San Juan National Forest,p,,1000,37.7386,-108.692,,"190,800.0",160,1325,90
Barred Rock/Brahma/Chicken Creek,140,SJF,San Juan National Forest,p,,1000,37.43057,-108.2883,,"8,486.4",12,884,80
Leadville Fish Hatchery Piles,141,ALR,Alamosa National Wildlife Refuge,p,,1,39.2252,-106.3934,,"1,292.6",1,1319,98
South Fork Piles,142,RGF,Rio Grande National Forest,p,,10,37.641,-106.668,,"1,827.5",3,628,97
Waterboard Roadside,143,ARF,Arapaho/Roosevelt National Forests,p,,70,39.98998,-105.7462,,"27,997.2",44,707,90
Willow,144,LCL,Local Government Agency,p,,3,37.17557,-105.8604,,,,,
Rio Grande SWA,145,MVW,"Monte Vista Area, Colo Parks & Wildlife Div",p,,25,37.57447,-106.0477,,377.1,1,419,90
Glacier View Community Piles,146,LCL,Local Government Agency,p,,6,40.74344,-105.4316,,,,,
Sand Springs,147,PSF,Pike/San Isabel National Forests,b,280,,39.35257,-105.2503,143,,,,
Mesa Verde,148,MVP,Mesa Verde National Park,p,,2,37.1899,-108.4857,,,,,
West Divide,149,WRF,White River National Forest,b,5240,,39.31667,-107.5583,500,,,,
Braderich Creek,150,WRF,White River National Forest,b,2065,,39.19842,-107.3029,,,,,
Cattle Creek,151,WRF,White River National Forest,b,2500,,39.49595,-107.0298,1900,,,,
Cherry Creek,152,WRF,White River National Forest,b,1100,,39.67802,-107.6308,,,,,
Snell Rock,153,WRF,White River National Forest,b,1700,,40.24924,-107.5269,600,,,,
Twin Buttes Clean Up Piles,154,PVT,Privately-owned land being burned by owner,p,,10,37.271,-107.921,,"5,969.8",4,1571,95
Collins Creek,155,WRF,White River National Forest,b,4000,,39.27758,-106.8197,1200,,,,
Deweese,156,PSF,Pike/San Isabel National Forests,b,400,,37.0545,-102.6063,,,,,
Shooting Range,157,PSF,Pike/San Isabel National Forests,b,640,,37.2865,-102.7691,640,,,,
Packstring,158,PSF,Pike/San Isabel National Forests,b,600,,37.359,-102.751,584,,,,
Lyons Camp,159,PSF,Pike/San Isabel National Forests,b,480,,37.0255,-102.6786,480,,,,
Galetta,160,PSF,Pike/San Isabel National Forests,b,600,,37.156,-102.805,600,,,,
Sunflower,161,PSF,Pike/San Isabel National Forests,b,500,,37.04,-102.4253,,,,,
Water Tank,162,BCX,City of Boulder,b,85,,39.95917,-105.2628,,,,,
Johnstown  Piles,163,PVT,Privately-owned land being burned by owner,p,,5,40.326,-104.899,,,,,
Chicken Prescribed Fire,164,CRD,Colorado River Valley Field Office,b,450,,40.603,-108.826,,,,,
Roaring Judy State Fish Unit - CPW,165,GUW,"Gunnison Area, Colo Parks & Wildlife Div",p,,1,38.714,-106.852,,,,,
Tip Top,166,PVT,Privately-owned land being burned by owner,p,,20,40.614,-105.332,,,,,
M Piles,167,PVT,Privately-owned land being burned by owner,p,,4,37.149,-107.888,,,,,
Magic Sky 2,168,ARF,Arapaho/Roosevelt National Forests,p,,6200,40.77603,-105.4879,,,,,
Hog Lake,169,BPR,Browns Park National Wildlife Refuge,b,300,,40.83597,-108.9932,254,,,,
Snowmass Ski Area Piles,170,SKI,Ski resort,p,,320,39.1984,-106.9573,,"1,571.0",1,1571,100
Alpine Plateau Piles,171,GMF,Grand Mesa/Uncompahgre/Gunnison Nat'l Forests,p,,600,38.2208,-107.3379,,,,,
Town of De Beque,172,LCL,Local Government Agency,p,,2,39.31926,-108.1994,,"7,200.0",1,7200,100
West Elk,173,GMF,Grand Mesa/Uncompahgre/Gunnison Nat'l Forests,b,1000,,38.54973,-107.1544,,,,,
"Magic Sky 4 Elk Ð Units 21,22,24",174,ARF,Arapaho/Roosevelt National Forests,p,,1050,40.79942,-105.6404,,,,,
West Rim,175,SWD,Southwest District Office,b,2400,,37.8713,-108.7853,1807,,,,
El Gato Piles,176,RGF,Rio Grande National Forest,p,,60,37.054,-106.472,,"137,133.8",15,9425,97
Lobo Piles,177,RGF,Rio Grande National Forest,p,,12,37.0557,-106.494,,,,,
Rendezvous Piles,178,RGF,Rio Grande National Forest,p,,12,37.0343,-106.4328,,,,,
Reservoir Piles,179,RGF,Rio Grande National Forest,p,,7,37.0558,-106.4758,,"14,878.8",3,5113,97
Spruce Park Piles,180,RGF,Rio Grande National Forest,p,,16,37.0279,-106.4834,,"345,227.9",9,39545,97
Mount Evans Piles,181,DEW,"Denver Area, Colo Parks & Wildlife Div",p,,322,39.61,-105.485,,"36,392.6",122,314,95
Bergen Peak Piles,182,DEW,"Denver Area, Colo Parks & Wildlife Div",p,,60,39.584,-105.412,,"17,898.0",60,314,95
Hall Ranch / Nelson Loop,183,BOX,Boulder County Open Space,b,430,,40.22,-105.33,,,,,
F P L A,184,PVT,Privately-owned land being burned by owner,p,,14,37.48,-105.2,,"136,374.4",4,35888,95
Steamboat Front,185,RTF,Routt National Forest,b,3500,,40.56543,-106.8895,,,,,
Slackweiss,186,RTF,Routt National Forest,b,700,,40.40937,-106.3707,50,,,,
Little Snake,187,RTF,Routt National Forest,b,850,,40.94261,-106.9463,,,,,
E Highlands Pile Burn,188,PVT,Privately-owned land being burned by owner,p,,100,37.316,-107.787,,"5,975.5",74,85,95
South Lateral Moraine Unit,189,RMP,Rocky Mountain National Park,b,175,,40.34633,-105.5911,,,,,
BME Unit,190,RMP,Rocky Mountain National Park,b,300,,40.3661,-105.5698,,,,,
Arapaho Rx,191,BOX,Boulder County Open Space,b,350,,40.239,-105.197,,,,,
Los Pinos Broadcast,192,GMF,Grand Mesa/Uncompahgre/Gunnison Nat'l Forests,b,1500,,38.1972,-106.8988,926,,,,
La Jara Reservoir,193,MVW,"Monte Vista Area, Colo Parks & Wildlife Div",p,,2,37.26362,-106.3366,,,,,
Booth Creek Rx,194,LCL,Local Government Agency,b,24,,39.649,-106.317,,,,,
North Routt FPD,195,LCL,Local Government Agency,p,,500,40.76934,-106.7553,,,,,
Pueblo Mountain Parks,196,OTR,Other,b,30,,38.048,-104.996,,,,,
Calamity Hills,197,GMF,Grand Mesa/Uncompahgre/Gunnison Nat'l Forests,b,2000,,38.6951,-108.7859,,,,,
Calamity Understory,198,GMF,Grand Mesa/Uncompahgre/Gunnison Nat'l Forests,b,400,,38.67564,-108.7909,185,,,,
Steamboat Rock,199,GMF,Grand Mesa/Uncompahgre/Gunnison Nat'l Forests,b,1500,,39.00528,-108.2218,,,,,
Grand Mesa Resort Salvage,200,GMF,Grand Mesa/Uncompahgre/Gunnison Nat'l Forests,p,,500,39.0605,-107.9438,,"187,500.0",25,10000,75
Banded Peak Ranch,201,BPT,Banded Peak Ranch,p,,65,37.09222,-106.6728,,,,,
Simms Mesa,202,SWD,Southwest District Office,b,200,,38.31255,-107.8815,51,,,,
Dry Mesa Rx,203,SWD,Southwest District Office,b,554,,38.62,-108.32,40,,,,
Dawson,204,SWD,Southwest District Office,b,884,,37.8752,-108.6816,,,,,
S Pile Burn,205,PVT,Privately-owned land being burned by owner,p,,55,39.488,-105.238,,"1,455.3",33,49,90
St. Vrain,206,SLB,State Land Board,p,,1,40.17,-104.99,,"3,463.3",1,3534,98
Bear Lake Road,207,RMP,Rocky Mountain National Park,p,,100,40.369,-105.603,,,,,
MeadowPile Burn,208,PVT,Privately-owned land being burned by owner,p,,55,40.33433,-105.4332,,"11,806.4",47,314,80
Tucker Mountain,209,SKI,Ski resort,p,,500,39.46,-106.17,,"24,330.2",48,512,99
Bighorn/Stateline Unit 5 & 6,210,RGF,Rio Grande National Forest,b,1225,,37.0187,-106.1741,232,,,,
Buffalo Pass,211,RGF,Rio Grande National Forest,b,300,,38.1837,-106.5199,,,,,
Conejos Canyon Unit 1,212,RGF,Rio Grande National Forest,b,200,,37.1358,-106.2775,,,,,
Brockover Devil Creek Rx,213,SJF,San Juan National Forest,b,8446,,37.30833,-107.1633,400,,,,
English Valley,214,RGF,Rio Grande National Forest,b,2000,,37.75333,-106.3447,,,,,
Hot Creek/ Piedrosa Rx,215,RGF,Rio Grande National Forest,b,2000,,37.34088,-106.3031,,,,,
Lands End,216,GMF,Grand Mesa/Uncompahgre/Gunnison Nat'l Forests,p,,350,38.96344,-108.2126,,,,,
Eggleston Group,217,GMF,Grand Mesa/Uncompahgre/Gunnison Nat'l Forests,p,,2608,39.03591,-108.016,,,,,
Sheep Flats TS,218,GMF,Grand Mesa/Uncompahgre/Gunnison Nat'l Forests,p,,300,39.142,-107.853,,,,,
Gunnison State Wildlife Area,219,GUW,"Gunnison Area, Colo Parks & Wildlife Div",p,,10,38.53,-107.043,,,,,
VP Unit 1,220,SJF,San Juan National Forest,b,5771,,37.2446,-107.3543,1056,,,,
Chemical Depot Broadcast,221,CDQ,Army Chemical Depot,b,300,,38.2773,-104.2849,,,,,
Squaw Creek,222,SLD,San Luis Valley Field Office,b,600,,38.08812,-106.4566,549,,,,
ElkMeadow,223,PVT,Privately-owned land being burned by owner,p,,3,40.48605,-106.8035,,,,,
Lathrop State Park Piles,224,SPW,Colorado State Parks,p,,4,37.6,-104.854,,,,,
Vail Hazardous Fuels Reduction,225,LCL,Local Government Agency,p,,1,39.614,-106.438,,"2,238.2",1,2356,95
Turkey Tracks Rx,226,PSF,Pike/San Isabel National Forests,b,750,,39.1369,-105.1349,750,,,,
Eagle Ranch Open Space Rx/ Brush creek RX,227,LCL,Local Government Agency,b,700,,39.64582,-106.8154,94,,,,
Shavano,228,PSF,Pike/San Isabel National Forests,b,1000,,38.5869,-106.2018,432,,,,
Cortez Fire Piles,229,LCL,Local Government Agency,p,,500,37.33,-108.602,,,,,
JP Pile Burn,230,PVT,Privately-owned land being burned by owner,p,,6,40.52719,-106.7963,,,,,
"Wilson RX (P2,3,4W,5,7)",231,PSF,Pike/San Isabel National Forests,b,500,,38.95555,-105.3486,,,,,
Palisade Watershed,232,UPD,Uncompaghre Field  Office,b,1000,,39.4313,-108.1589,40,,,,
Wolf Creek Ski Area,233,SKI,Ski resort,p,,5,37.47218,-106.7877,,"4,000.0",1,4000,100
Blue Ridge,234,ARF,Arapaho/Roosevelt National Forests,b,1280,,40.0361,-106.0964,70,,,,
Magic Feather,235,ARF,Arapaho/Roosevelt National Forests,b,2000,,40.778,-105.552,290,,,,
Winter Park,236,SKI,Ski resort,p,,15,39.8676,-105.7537,,"6,800.0",2,4000,85
Archuleta Creek,237,SJF,San Juan National Forest,b,2257,,37.167,-107.258,,,,,
Bellvue Pile Project,238,SLB,State Land Board,p,,1,40.638,-105.173,,"13,900.4",1,14632,95
Animas City Mountain,239,SWD,Southwest District Office,b,717,,37.3281,-107.8699,,,,,
Town of Frederick Broadcast,240,LCL,Local Government Agency,b,20,,40.0992,-104.9372,,,,,
Liberty Units 1-4,241,GSP,Great Sand Dunes National Park,b,3335,,37.9076,-105.6777,,,,,
Hidden Lake,242,PVT,Privately-owned land being burned by owner,p,,140,40.53244,-104.8646,,"114,475.5",32,3688,97
Monarch Mountain Veg Mgmt Project,243,SKI,Ski resort,p,,30,38.5119,-106.3333,,,,,
Mill Creek SJF,244,SJF,San Juan National Forest,b,650,,37.2683,-106.8847,,,,,
Coyote Creek Piles,245,SJF,San Juan National Forest,p,,50,37.08567,-106.8427,,,,,
Four Mile Piles,246,SJF,San Juan National Forest,p,,250,37.38883,-107.0479,,,,,
CB Ranch,247,PVT,Privately-owned land being burned by owner,p,,161,38.46196,-106.4137,,,,,
Aldrich Lakes,248,WRF,White River National Forest,b,2500,,40.138,-107.613,,,,,
Pagosa Creek Piles,249,SJF,San Juan National Forest,p,,105,37.445,-107.118,,,,,
North Trout Creek,250,PSF,Pike/San Isabel National Forests,b,920,,38.9327,-106.0469,,,,,
North Waugh Mountain,251,RGD,Royal Gorge Office Field Office,b,152,,38.62667,-105.6483,27,,,,
Crestone WUI Piles,252,RGF,Rio Grande National Forest,p,,1200,37.9952,-105.674,,,,,
Gunnison Gorge,254,SWD,Southwest District Office,p,,100,38.77711,-107.9252,,,,,
Aspen Highlands Ski Area,255,SKI,Ski resort,p,,180,39.13831,-106.8694,,,,,
Stoner Aspen,256,SJF,San Juan National Forest,p,,200,37.7,-108.22,,"169,668.0",120,1571,90
Hayrock Ponderosa,257,SJF,San Juan National Forest,p,,1130,37.505,-108.336,,,,,
Chicken Creek,258,SJF,San Juan National Forest,p,,4360,37.44,-108.3,,,,,
